"date","age","ISO2","country","ISO3","population","count_14days","count_local_14days","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cliWHO_14days","p_cliWHO_14days_low","p_cliWHO_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-10-20,5,"LY","Libya","LBY",6777453,137,135,0.0145985401459854,0,0.034682489723271,0.0145985401459854,0,0.034682489723271,0.0145985401459854,0,0.034682489723271,0.0227812718378756,0.0193240428490976,0.0262385008266536
2020-10-21,-99,"LY","Libya","LBY",6777453,544,509,0.0496323529411765,0.0313817635156964,0.0678829423666566,0.0294117647058824,0.0152137803251932,0.0436097490865715,0.0974264705882353,0.0725075961171996,0.122345345059271,0.0331022723060385,0.0309674072024321,0.0352371374096449
2020-10-21,1,"LY","Libya","LBY",6777453,308,307,0.0714285714285714,0.04266675081702,0.100190392040123,0.0422077922077922,0.0197532244012675,0.0646623600143169,0.12987012987013,0.0923279566723855,0.167412303067874,0.0432671624362362,0.0401409713842525,0.04639335348822
2020-10-21,2,"LY","Libya","LBY",6777453,703,701,0.0512091038406828,0.0349150453548537,0.0675031623265119,0.0384068278805121,0.0242008761871786,0.0526127795738456,0.105263157894737,0.0825772436494577,0.127949072140016,0.0450569267623072,0.0429477126340827,0.0471661408905317
2020-10-21,3,"LY","Libya","LBY",6777453,742,739,0.0256064690026954,0.0142409785306719,0.0369719594747189,0.022911051212938,0.012145514233712,0.033676588192164,0.0619946091644205,0.0446435588661892,0.0793456594626518,0.028978476778921,0.0273172070867073,0.0306397464711348
2020-10-21,4,"LY","Libya","LBY",6777453,449,449,0.0178173719376392,0.00558127616019005,0.0300534677150884,0.0089086859688196,0.000217309124144091,0.0176000628134951,0.0467706013363029,0.0272402475086403,0.0663009551639655,0.022523847543808,0.0206386304863425,0.0244090646012736
2020-10-21,5,"LY","Libya","LBY",6777453,135,133,0.0148148148148148,0,0.0351940676112953,0.0148148148148148,0,0.0351940676112953,0.0148148148148148,0,0.0351940676112953,0.0215633423180593,0.018172491118129,0.0249541935179896
2020-10-22,-99,"LY","Libya","LBY",6777453,528,496,0.0549242424242424,0.0354909458307116,0.0743575390177732,0.0321969696969697,0.0171401892407223,0.0472537501532171,0.104166666666667,0.0781105840651087,0.130222749268225,0.0308125380401704,0.0287235452169193,0.0329015308634215
2020-10-22,1,"LY","Libya","LBY",6777453,311,310,0.067524115755627,0.0396361938383892,0.0954120376728649,0.0385852090032154,0.0171792975472521,0.0599911204591787,0.131832797427653,0.0942333625135164,0.169432232341789,0.0396835057821059,0.0366985251361253,0.0426684864280865
2020-10-22,2,"LY","Libya","LBY",6777453,712,710,0.050561797752809,0.0344682164290924,0.0666553790765256,0.0379213483146067,0.0238914259322522,0.0519512706969613,0.10252808988764,0.0802468189465644,0.124809360828717,0.0426787137921871,0.0406364327733516,0.0447209948110225
2020-10-22,3,"LY","Libya","LBY",6777453,726,723,0.0261707988980716,0.0145581935376665,0.0377834042584767,0.0220385674931129,0.0113595247286297,0.0327176102575962,0.0606060606060606,0.0432495792736194,0.0779625419385018,0.0322555390276364,0.030486556649683,0.0340245214055899
2020-10-22,4,"LY","Libya","LBY",6777453,443,443,0.018058690744921,0.00565839270080891,0.0304589887890331,0.0090293453724605,0.000220788606200235,0.0178379021387208,0.0451467268623025,0.025812461133766,0.0644809925908389,0.0218493121512841,0.0199793618677295,0.0237192624348387
2020-10-22,5,"LY","Libya","LBY",6777453,128,126,0.015625,0,0.0371099034782183,0.015625,0,0.0371099034782183,0.0234375,0,0.0496463985896068,0.0218628331835879,0.0183554922417021,0.0253701741254737
2020-10-23,-99,"LY","Libya","LBY",6777453,540,507,0.0537037037037037,0.0346899921887333,0.0727174152186742,0.0314814814814815,0.016753855161251,0.046209107801712,0.1,0.0746969737623668,0.125303026237633,0.0305161698485356,0.0284596094284446,0.0325727302686266
2020-10-23,1,"LY","Libya","LBY",6777453,312,310,0.0641025641025641,0.0369242431143648,0.0912808850907634,0.0384615384615385,0.0171228633899497,0.0598002135331273,0.128205128205128,0.091108823711651,0.165301432698605,0.0399878271454656,0.0369918976941279,0.0429837565968033
2020-10-23,2,"LY","Libya","LBY",6777453,708,706,0.0480225988700565,0.0322730683898819,0.0637721293502311,0.0353107344632768,0.0217157548501121,0.0489057140764416,0.105932203389831,0.0832632906259968,0.128601116153664,0.0445507509754664,0.0424603041159419,0.0466411978349908
2020-10-23,3,"LY","Libya","LBY",6777453,705,702,0.0269503546099291,0.0149966292421929,0.0389040799776653,0.0226950354609929,0.0117015851495492,0.0336884857724366,0.0638297872340425,0.0457853791562138,0.0818741953118713,0.0354512713003279,0.0335723023931355,0.0373302402075203
2020-10-23,4,"LY","Libya","LBY",6777453,426,426,0.0187793427230047,0.00588892988103929,0.0316697555649701,0.0117370892018779,0.00150981870794319,0.0219643596958127,0.0516431924882629,0.0306278866207047,0.0726584983558211,0.0229426875719727,0.0209897537722234,0.0248956213717221
2020-10-23,5,"LY","Libya","LBY",6777453,130,129,0.0230769230769231,0,0.0488873715288082,0.0230769230769231,0,0.0488873715288082,0.0230769230769231,0,0.0488873715288082,0.0228170250109697,0.0192775996677736,0.0263564503541659
2020-10-24,-99,"LY","Libya","LBY",6777453,556,523,0.0503597122302158,0.0321823073556628,0.0685371171047689,0.0305755395683453,0.0162650415808469,0.0448860375558437,0.0899280575539568,0.0661489164354161,0.113707198672498,0.0294743677621848,0.0274833044695233,0.0314654310548463
2020-10-24,1,"LY","Libya","LBY",6777453,325,323,0.0676923076923077,0.0403801693100222,0.0950044460745932,0.0430769230769231,0.0210036232779744,0.0651502228758717,0.129230769230769,0.0927603368227749,0.165701201638764,0.0425842630994801,0.0395595530861304,0.0456089731128299
2020-10-24,2,"LY","Libya","LBY",6777453,700,698,0.05,0.0338547090464225,0.0661452909535775,0.0357142857142857,0.0219668112471295,0.0494617601814419,0.105714285714286,0.0829368904950496,0.128491680933522,0.0454938638698167,0.0433703836538882,0.0476173440857452
2020-10-24,3,"LY","Libya","LBY",6777453,688,685,0.0261627906976744,0.0142355746087106,0.0380900067866383,0.0232558139534884,0.0119939555782157,0.0345176723287611,0.063953488372093,0.0456710252703569,0.0822359514738292,0.0345131524583391,0.0326354344717293,0.0363908704449489
