ISO2,ISO_3,country_agg,age,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
IT,ITA,Italy,4,2021-09-22,2021-09-22,778,778,1,0.0012853470437018,0.00251761434776586,0.00132488468632883,2.37723205056923e-05,0.0012853470437018,0.00251761434776586,0.00132488468632883,2.37723205056923e-05,0.0016675680594635,0.000312792261511672,102,1,95,670,0.00321877539361396,0.00357599454894139,0.00316530486773639,3.23569767237512e-05,0.00213124128269655,0.00267262119343447,0.00207762233562547,2.40817677000711e-05,0.00213829190314998,0.000362711110138835,0.124183006535948,,0.00321877539361396
IT,ITA,Italy,4,2021-09-23,2021-09-23,696,696,1,0.0028735632183908,0.00397675618009892,0.00571963412893059,4.96902246736989e-05,0.0028735632183908,0.00397675618009892,0.00571963412893059,4.96902246736989e-05,0.00160178767333021,0.000323549705438943,102,4,92,597,0.00324467755408931,0.00359771821740768,0.0031984598802884,3.24407573161846e-05,0.00214388403386504,0.00267890386850093,0.0020984255870414,2.40746210887744e-05,0.00214976371837499,0.000365349955288494,0.133526850507983,,0.00324467755408931
IT,ITA,Italy,4,2021-09-24,2021-09-24,632,632,1,0,0,0,0,0,0,0,0,0.00176171259158663,0.00035582489857051,80,0,106,520,0.00327778267289236,0.00362518516231544,0.00323872860983301,3.25765747675102e-05,0.00216162599354609,0.00269040462696006,0.00212426051367774,2.4115413347898e-05,0.00216404559459399,0.000368196062882643,0.169329073482428,,0.00327778267289236
IT,ITA,Italy,4,2021-09-25,2021-09-25,688,688,1,0.00290697674418605,0.00402293012550731,0.00220163566619758,3.15630885609034e-05,0,0,0,0,0.00151703332277189,0.000316717605779545,103,3,82,599,0.00331788083479268,0.00365834910042449,0.00328576411369543,3.27635981248167e-05,0.00218426539376835,0.00270706997334471,0.00215473470980965,2.42027530508175e-05,0.00218114142902867,0.00037124066594242,0.120411160058737,,0.00331788083479268
IT,ITA,Italy,4,2021-09-26,2021-09-26,732,732,1,0.00273224043715847,0.00378144595109043,0.00268506165292609,3.46779912637656e-05,0.00136612021857924,0.00267571687675232,0.00223871384937349,3.16718372549168e-05,0.0022617964530398,0.000374236284504952,103,1,94,632,0.00336435383958928,0.00369689978301598,0.00333908019232033,3.3000062790001e-05,0.00221117152748115,0.00272853407954109,0.00218932203037793,2.43340491024185e-05,0.00220103538349752,0.000374470769227288,0.129476584022039,,0.00336435383958928
IT,ITA,Italy,4,2021-09-27,2021-09-27,725,725,1,0.00275862068965517,0.00381790596608917,0.00264180680349142,3.30971720953281e-05,0,0,0,0,0.00109590540646991,0.000262268212192823,111,4,95,624,0.00341655692127218,0.00374048670425397,0.00339797633645845,3.32829139906853e-05,0.0022418341469709,0.00275448100385142,0.00222740346141444,2.45061214796175e-05,0.00222364742024447,0.000377869017311918,0.132127955493741,,0.00341655692127218
IT,ITA,Italy,4,2021-09-28,2021-09-28,656,656,1,0,0,0,0,0,0,0,0,0.00210400592047016,0.000382479967301001,89,3,88,563,0.00347381290807769,0.00378871495127257,0.00346177294474398,3.36090218584973e-05,0.00227554261966631,0.00278437337855453,0.00226826009949997,2.47142526479177e-05,0.00224892921898182,0.000381420419822246,0.135176651305684,,0.00347381290807769
IT,ITA,Italy,4,2021-09-29,2021-09-29,700,700,1,0,0,0,0,0,0,0,0,0.00179592008170553,0.000341579529025501,95,3,95,597,0.0035349749685387,0.00384092258753486,0.00352941172985324,3.3973131607e-05,0.00231146371456061,0.00281762537845546,0.0023111103298944,2.49536964052716e-05,0.00227671759460943,0.000385102318554628,0.13728323699422,,0.0035349749685387
IT,ITA,Italy,4,2021-09-30,2021-09-30,658,658,1,0.0060790273556231,0.00593920232788147,0.00517369802545167,4.79408126544379e-05,0.0060790273556231,0.00593920232788147,0.00517369802545167,4.79408126544379e-05,0.00208799369885318,0.000379572206120577,118,1,96,553,0.00359910569560248,0.00389649376027068,0.00360003632956269,3.43705957950611e-05,0.00234878604103804,0.00285358831042794,0.0023552102090805,2.5219280596091e-05,0.00230687926509235,0.000388893563425612,0.147919876733436,,0.00359910569560248
IT,ITA,Italy,4,2021-10-01,2021-10-01,576,576,1,0.00868055555555556,0.00757560674715694,0.00571298229138198,5.1683614811127e-05,0.00694444444444444,0.00678175936753991,0.00340671083680907,3.99569355303842e-05,0.00257666409914378,0.000450218977156617,93,1,73,488,0.00366508542350797,0.00395470327470525,0.00367261803309367,3.47958166938572e-05,0.00238667380504057,0.00289156075326407,0.00239980108511349,2.55056818813972e-05,0.00233924239224869,0.000392771662810639,0.130124777183601,,0.00366508542350797
