"date","age","ISO2","country","ISO3","population","cli","anosmia","count","cli_local","count_local","cli_14days","anosmia_14days","count_14days","cli_local_14days","count_local_14days","p_cli","p_cli_low","p_cli_high","p_anosmia","p_anosmia_low","p_anosmia_high","p_cli_local","p_cli_local_low","p_cli_local_high","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-04-29,-99,"BO","Bolivia","BOL",11513102,0,0,3,0,3,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-29,-77,"BO","Bolivia","BOL",11513102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-29,1,"BO","Bolivia","BOL",11513102,5,8,221,171,220,NA,NA,NA,NA,NA,0.0226244343891403,0.00301922169610038,0.0422296470821802,0.0361990950226244,0.0115730609680839,0.060825129077165,0.0146655231560892,0.0124836000806381,0.0168474462315403,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-29,2,"BO","Bolivia","BOL",11513102,5,9,270,160,270,NA,NA,NA,NA,NA,0.0185185185185185,0.00243761730923696,0.0345994197278001,0.0333333333333333,0.011921988142496,0.0547446785241706,0.0111809923130678,0.00945822409335221,0.0129037605327834,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-29,3,"BO","Bolivia","BOL",11513102,1,2,142,14,142,NA,NA,NA,NA,NA,0.00704225352112676,0,0.0207961303506281,0.0140845070422535,0,0.0334663285676388,0.00186021791124103,0.000886700826640644,0.00283373499584142,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-29,4,"BO","Bolivia","BOL",11513102,0,1,57,6,57,NA,NA,NA,NA,NA,0,0,0,0.0175438596491228,0,0.051626232329365,0.00198609731876862,0.000398496601159034,0.0035736980363782,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-29,5,"BO","Bolivia","BOL",11513102,0,0,34,3,34,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.00166481687014428,0,0.00354713107691356,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-29,6,"BO","Bolivia","BOL",11513102,1,0,7,0,7,NA,NA,NA,NA,NA,0.142857142857143,0,0.402082007388211,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-29,7,"BO","Bolivia","BOL",11513102,0,0,2,0,2,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-30,-99,"BO","Bolivia","BOL",11513102,0,0,7,0,7,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-30,-77,"BO","Bolivia","BOL",11513102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-30,1,"BO","Bolivia","BOL",11513102,9,15,236,37,235,NA,NA,NA,NA,NA,0.038135593220339,0.0137004848271876,0.0625707016134904,0.0635593220338983,0.032433426685254,0.0946852173825426,0.00297069450020072,0.00201491176141125,0.0039264772389902,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-30,2,"BO","Bolivia","BOL",11513102,1,6,233,30,233,NA,NA,NA,NA,NA,0.00429184549356223,0,0.0126856374709475,0.0257510729613734,0.00541332957531752,0.0460888163474293,0.00242934650578994,0.00156108857271464,0.00329760443886525,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-30,3,"BO","Bolivia","BOL",11513102,0,1,126,117,126,NA,NA,NA,NA,NA,0,0,0,0.00793650793650794,0,0.023429927431133,0.0175202156334232,0.0143735078186361,0.0206669234482103,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-30,4,"BO","Bolivia","BOL",11513102,0,0,57,7,57,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.00231711353856339,0.000602593177141467,0.00403163389998531,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-30,5,"BO","Bolivia","BOL",11513102,0,0,27,1,27,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.000698812019566737,0,0.00206797976356562,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-30,6,"BO","Bolivia","BOL",11513102,0,1,10,35,10,NA,NA,NA,NA,NA,0,0,0,0.1,0,0.285938509691368,0.0660377358490566,0.044894526583315,0.0871809451147982,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-30,7,"BO","Bolivia","BOL",11513102,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,-99,"BO","Bolivia","BOL",11513102,0,0,3,0,3,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,-77,"BO","Bolivia","BOL",11513102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,1,"BO","Bolivia","BOL",11513102,3,9,160,50,160,NA,NA,NA,NA,NA,0.01875,0,0.0397673797161665,0.05625,0.0205492084415317,0.0919507915584683,0.00589622641509434,0.00426673115276307,0.00752572167742561,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,2,"BO","Bolivia","BOL",11513102,2,4,151,36,151,NA,NA,NA,NA,NA,0.0132450331125828,0,0.0314794047560814,0.0264900662251656,0.000876424343673046,0.0521037081066581,0.00449831313257528,0.00303219986251183,0.00596442640263874,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,3,"BO","Bolivia","BOL",11513102,1,0,86,14,86,NA,NA,NA,NA,NA,0.0116279069767442,0,0.0342852968103372,0,0,0,0.00307152259763054,0.00146506306879654,0.00467798212646454,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,4,"BO","Bolivia","BOL",11513102,1,0,44,2,44,NA,NA,NA,NA,NA,0.0227272727272727,0,0.0667628104654133,0,0,0,0.000857632933104631,0,0.0020457198957904,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,5,"BO","Bolivia","BOL",11513102,0,0,22,4,22,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.00343053173241852,7.44438473054077e-05,0.00678661961753164,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,6,"BO","Bolivia","BOL",11513102,0,0,6,1,6,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.00314465408805031,0,0.00929836431956434,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,7,"BO","Bolivia","BOL",11513102,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-02,-99,"BO","Bolivia","BOL",11513102,0,0,2,0,2,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-02,-77,"BO","Bolivia","BOL",11513102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-02,1,"BO","Bolivia","BOL",11513102,2,6,115,17,115,NA,NA,NA,NA,NA,0.0173913043478261,0,0.0412834718084511,0.0521739130434783,0.0115304968342098,0.0928173292527468,0.00278917145200984,0.00146515819181908,0.00411318471220061,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-02,2,"BO","Bolivia","BOL",11513102,2,2,127,77,127,NA,NA,NA,NA,NA,0.015748031496063,0,0.0374007541897332,0.015748031496063,0,0.0374007541897332,0.0114396077848759,0.00889912962299782,0.0139800859467541,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-02,3,"BO","Bolivia","BOL",11513102,0,2,80,4,79,NA,NA,NA,NA,NA,0,0,0,0.025,0,0.0592117594465739,0.000955337950800096,1.9571269718329e-05,0.00189110463188186,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-02,4,"BO","Bolivia","BOL",11513102,0,1,33,6,33,NA,NA,NA,NA,NA,0,0,0,0.0303030303030303,0,0.0887890640297767,0.00343053173241852,0.000690297448930701,0.00617076601590635,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-02,5,"BO","Bolivia","BOL",11513102,0,0,13,0,13,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-02,6,"BO","Bolivia","BOL",11513102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-02,7,"BO","Bolivia","BOL",11513102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-03,-99,"BO","Bolivia","BOL",11513102,0,0,3,1,3,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.00628930817610063,0,0.0185773009704059,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-03,-77,"BO","Bolivia","BOL",11513102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-03,1,"BO","Bolivia","BOL",11513102,7,17,348,120,348,NA,NA,NA,NA,NA,0.0201149425287356,0.00536448693044108,0.0348653981270302,0.0488505747126437,0.0262032095483303,0.071497939876957,0.00650618087182824,0.00534589184432253,0.00766646989933394,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-03,2,"BO","Bolivia","BOL",11513102,2,9,337,66,337,NA,NA,NA,NA,NA,0.00593471810089021,0,0.0141352239188519,0.0267062314540059,0.00949303932378,0.0439194235842319,0.00369520183640334,0.00280536496093926,0.00458503871186742,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-03,3,"BO","Bolivia","BOL",11513102,2,2,200,79,200,NA,NA,NA,NA,NA,0.01,0,0.0237895689426595,0.01,0,0.0237895689426595,0.00745283018867925,0.00581551854965313,0.00909014182770536,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-03,4,"BO","Bolivia","BOL",11513102,0,1,92,15,92,NA,NA,NA,NA,NA,0,0,0,0.0108695652173913,0,0.0320574228519612,0.00307629204265792,0.00152189849198682,0.00463068559332901,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-03,5,"BO","Bolivia","BOL",11513102,0,0,32,14,32,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.00825471698113208,0.00394859495414414,0.01256083900812,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-03,6,"BO","Bolivia","BOL",11513102,1,1,24,6,24,NA,NA,NA,NA,NA,0.0416666666666667,0,0.121612373465642,0.0416666666666667,0,0.121612373465642,0.00471698113207547,0.000951591676579243,0.0084823705875717,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-03,7,"BO","Bolivia","BOL",11513102,1,1,5,7,5,NA,NA,NA,NA,NA,0.2,0,0.550609016230633,0.2,0,0.550609016230633,0.0264150943396226,0.00710705597397153,0.0457231327052738,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-04,-99,"BO","Bolivia","BOL",11513102,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-04,-77,"BO","Bolivia","BOL",11513102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-04,1,"BO","Bolivia","BOL",11513102,7,20,376,173,375,NA,NA,NA,NA,NA,0.0186170212765957,0.00495457312867023,0.0322794694245213,0.0531914893617021,0.0305081849834014,0.0758747937400029,0.00870440251572327,0.00741298820721128,0.00999581682423526,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-04,2,"BO","Bolivia","BOL",11513102,2,15,413,82,413,NA,NA,NA,NA,NA,0.00484261501210654,0,0.0115377435959345,0.036319612590799,0.0182765531814771,0.0543626720001209,0.00374617387728996,0.00293686538587533,0.0045554823687046,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-04,3,"BO","Bolivia","BOL",11513102,2,2,182,50,182,NA,NA,NA,NA,NA,0.010989010989011,0,0.0261348124450231,0.010989010989011,0,0.0261348124450231,0.00518349574953349,0.00375045900446971,0.00661653249459726,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-04,4,"BO","Bolivia","BOL",11513102,1,3,101,4,101,NA,NA,NA,NA,NA,0.0099009900990099,0,0.0292102678820743,0.0297029702970297,0,0.0628114848061469,0.000747244535774332,1.52319964502806e-05,0.00147925707509838,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-04,5,"BO","Bolivia","BOL",11513102,0,1,51,2,51,NA,NA,NA,NA,NA,0,0,0,0.0196078431372549,0,0.0576598730120609,0.000739918608953015,0,0.00176499519160592,NA,NA,NA,NA,NA,NA,NA,NA,NA
