ISO3,country,region,count,cli,count_local_com,cli_local_com,date
GIN,Guinea,-99,31,0,30,0,2020-04-27
HTI,Haiti,-99,33,0,33,15,2020-04-27
HND,Honduras,-99,390,1,390,92,2020-04-27
HKG,Hong Kong,-99,35,0,35,2,2020-04-27
HUN,Hungary,-99,1419,5,1418,240,2020-04-27
IND,India,-99,2110,11,2109,825,2020-04-27
IDN,Indonesia,-99,2173,32,2169,813,2020-04-27
IRQ,Iraq,-99,475,8,475,371,2020-04-27
IRL,Ireland,-99,594,2,593,261,2020-04-27
ISR,Israel,-99,558,1,558,193,2020-04-27
ITA,Italy,-99,3377,14,3373,1498,2020-04-27
JPN,Japan,-99,479,8,479,71,2020-04-27
JOR,Jordan,-99,280,1,280,25,2020-04-27
KAZ,Kazakhstan,-99,187,2,187,19,2020-04-27
KEN,Kenya,-99,222,2,221,79,2020-04-27
KWT,Kuwait,-99,82,0,82,3,2020-04-27
KGZ,Kyrgyzstan,-99,89,1,89,4,2020-04-27
LAO,Laos,-99,31,0,31,1,2020-04-27
LVA,Latvia,-99,3,0,3,1,2020-04-27
LBN,Lebanon,-99,120,0,120,14,2020-04-27
LBR,Liberia,-99,1,0,1,0,2020-04-27
LBY,Libya,-99,313,1,311,27,2020-04-27
LIE,Liechtenstein,-99,1,1,1,0,2020-04-27
LTU,Lithuania,-99,2,0,2,0,2020-04-27
LUX,Luxembourg,-99,2,0,2,0,2020-04-27
MAC,Macau,-99,2,0,2,0,2020-04-27
MDG,Madagascar,-99,26,0,26,1,2020-04-27
MWI,Malawi,-99,1,0,1,0,2020-04-27
MYS,Malaysia,-99,518,3,518,65,2020-04-27
MLI,Mali,-99,44,1,44,24,2020-04-27
MRT,Mauritania,-99,14,0,14,15,2020-04-27
MEX,Mexico,-99,7001,69,6996,2607,2020-04-27
MDA,Moldova,-99,111,1,111,22,2020-04-27
MCO,Monaco,-99,2,0,2,0,2020-04-27
MNE,Montenegro,-99,2,0,2,0,2020-04-27
MAR,Morocco,-99,272,3,272,36,2020-04-27
MOZ,Mozambique,-99,131,1,131,23,2020-04-27
MMR,Myanmar,-99,85,3,85,221,2020-04-27
NPL,Nepal,-99,207,1,207,13,2020-04-27
NLD,Netherlands,-99,1291,6,1288,520,2020-04-27
NZL,New Zealand,-99,519,6,518,42,2020-04-27
NIC,Nicaragua,-99,406,6,405,155,2020-04-27
NER,Niger,-99,1,0,1,2,2020-04-27
NGA,Nigeria,-99,487,6,486,132,2020-04-27
NFK,Norfolk Island,-99,1,0,1,0,2020-04-27
NOR,Norway,-99,619,10,619,113,2020-04-27
OMN,Oman,-99,28,0,28,108,2020-04-27
PAK,Pakistan,-99,362,2,362,281,2020-04-27
PLW,Palau,-99,1,0,1,0,2020-04-27
PSE,Palestine,-99,178,6,178,140,2020-04-27
PAN,Panama,-99,169,0,169,17,2020-04-27
PRY,Paraguay,-99,279,1,279,28,2020-04-27
PER,Peru,-99,1389,34,1389,861,2020-04-27
PHL,Philippines,-99,932,7,931,85,2020-04-27
POL,Poland,-99,1365,4,1365,143,2020-04-27
PRT,Portugal,-99,1173,2,1171,517,2020-04-27
PRI,"Puerto Rico, U.S.",-99,486,5,486,172,2020-04-27
QAT,Qatar,-99,82,2,82,44,2020-04-27
REU,Réunion,-99,1,0,1,0,2020-04-27
ROU,Romania,-99,1911,3,1907,319,2020-04-27
RUS,Russia,-99,887,12,887,338,2020-04-27
SHN,Saint Helena,-99,1,0,1,0,2020-04-27
KNA,Saint Kitts and Nevis,-99,1,0,1,0,2020-04-27
VCT,Saint Vincent and the Grenadines,-99,2,0,2,2,2020-04-27
WSM,Samoa,-99,1,0,1,0,2020-04-27
SAU,Saudi Arabia,-99,262,0,261,51,2020-04-27
SEN,Senegal,-99,50,0,50,9,2020-04-27
SRB,Serbia,-99,237,2,237,106,2020-04-27
SGP,Singapore,-99,95,0,95,8,2020-04-27
SVK,Slovakia,-99,311,1,311,19,2020-04-27
SVN,Slovenia,-99,164,1,164,43,2020-04-27
SOM,Somalia,-99,2,0,2,5,2020-04-27
ZAF,South Africa,-99,681,14,681,77,2020-04-27
KOR,South Korea,-99,448,4,448,67,2020-04-27
SSD,South Sudan,-99,1,0,1,0,2020-04-27
ESP,Spain,-99,2467,22,2463,1818,2020-04-27
LKA,Sri Lanka,-99,145,1,145,14,2020-04-27
SDN,Sudan,-99,257,1,257,182,2020-04-27
SWE,Sweden,-99,1891,64,1889,1445,2020-04-27
CHE,Switzerland,-99,521,1,521,161,2020-04-27
TWN,Taiwan,-99,1530,1,1528,112,2020-04-27
TZA,Tanzania,-99,40,0,40,34,2020-04-27
THA,Thailand,-99,1541,9,1537,317,2020-04-27
TLS,Timor-Leste,-99,1,0,1,0,2020-04-27
TTO,Trinidad and Tobago,-99,1,0,1,100,2020-04-27
TUN,Tunisia,-99,265,1,265,20,2020-04-27
TUR,Turkey,-99,1348,7,1346,248,2020-04-27
TCA,Turks and Caicos Islands,-99,2,0,2,0,2020-04-27
UKR,Ukraine,-99,1906,18,1906,351,2020-04-27
ARE,United Arab Emirates,-99,212,2,212,165,2020-04-27
GBR,United Kingdom,-99,4109,47,4108,1880,2020-04-27
UMI,"United States Minor Outlying Islands, U.S.",-99,2,0,2,0,2020-04-27
URY,Uruguay,-99,426,3,426,42,2020-04-27
UZB,Uzbekistan,-99,114,1,114,2,2020-04-27
VAT,Vatican City,-99,1,0,1,0,2020-04-27
VEN,Venezuela,-99,545,2,545,34,2020-04-27
VNM,Vietnam,-99,1498,7,1498,180,2020-04-27
ESH,Western Sahara,-99,3,0,3,2,2020-04-27
YEM,Yemen,-99,73,4,73,124,2020-04-27
