ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8..77,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
GR,GRC,Greece,3,2020-12-31,2020-12-22,1005,0,0,0,0,238,1004,179,4,9242120.840502081,985,5,4,996,5,49,951,5,14,986,5,101,899,5,80,920,6,78,921,6,34,965,6,18,981,5,13,987,6,6,993,5,25,975,3,131,871,4,14,987,4,96,905,1001,0,3,1,956,1,7,41,991,0,4,10,904,1,26,74,925,1,13,66,927,0,16,62,971,0,10,24,987,0,11,7,992,0,6,7,999,0,5,1,980,0,8,17,874,3,31,97,991,0,7,7,909,2,27,67,0,1,100,904,905,13,87,0,6,425,574,580,3,179,243,826,0,4,172,3,826,0,63,116,0,942,0,26,33,4,188,3,63,751,1005,0,0,0,0,0,0,0,354,335,195,121,0,23,224,497,261,0,25,479,339,162,0,17,479,322,187,0,28,258,371,348,0,32,97,317,559,0,942,14,11,38,942,18,8,37,942,15,23,25,942,22,14,27,942,20,10,33,942,21,4,38,999,0,0,6,999,0,0,6,999,0,0,6,999,0,0,6,999,0,1,5,999,0,0,6,999,0,0,6,1004,0,0,1,1004,0,0,1,1004,0,0,1,1004,0,0,1,1004,0,0,1,0,7,261,737,0,3,760,242,0,8,69,928,0,8,507,490,0,8,39,958,0,7,49,949,0,1,476,528,529,1,346,79,23,27,0,3,9,79,349,565,0,2,1000,3,0,2,95,908,0,0,867,87,9,10,3,29,0,2,366,251,252,134,0,5,394,447,115,44,0,2,316,680,7,0,6,267,725,7,744,1,241,19,245,5,741,14,936,1,61,7,498,3,340,164,966,0,28,11,956,1,41,7,0,7,18,54,166,239,521,0,3,20,73,149,294,466,0,5,444,393,103,60,0,2,41,76,223,663,0,1,259,283,252,210,463,14,474,54,463,157,106,279,463,130,189,223,0,6,517,482,523,0,233,249,772,3,75,5,21,40,4,10,75,255,3,34,62,36,63,15,45,62,28,3,26,105,46,74,22,126,0,12,547,440,1,5,0,0,0,0,1005,0,0,0,0,13,15,693,133,151,13,8,197,468,279,31,9,6.388405797101449,8.517416087734249,2.623529411764706,1.759169653884599,14.702845100105375,4.589959037331089,2.726890756302521,1.3576869969709946
GR,GRC,Greece,4,2020-12-31,2020-12-22,1254,0,0,0,0,314,1253,219,8,11981820.927164866,1234,11,4,1239,9,59,1186,12,15,1227,13,86,1155,11,79,1164,10,69,1175,9,39,1206,12,13,1229,12,11,1231,11,4,1239,10,20,1224,11,131,1112,12,10,1232,11,77,1166,1250,0,0,4,1195,1,6,52,1239,0,2,13,1168,0,19,67,1175,0,13,66,1185,1,16,52,1215,0,10,29,1241,0,4,9,1243,0,5,6,1250,0,3,1,1234,0,14,6,1123,1,33,97,1244,0,5,5,1177,0,28,49,0,1,138,1115,1116,20,118,0,16,508,730,746,4,219,285,1035,0,8,210,1,1035,0,65,154,0,1189,0,25,40,0,239,8,96,911,1254,0,0,0,0,0,0,4,474,438,216,122,0,71,304,557,322,0,79,651,357,167,0,58,640,367,189,0,90,404,423,337,0,99,151,373,631,0,1158,39,19,38,1158,44,14,38,1158,28,51,17,1158,45,15,36,1158,42,19,35,1158,47,5,44,1248,0,0,6,1248,0,0,6,1248,0,0,6,1248,0,0,6,1248,0,0,6,1248,0,1,5,1248,0,0,6,1253,0,0,1,1253,0,0,1,1253,0,0,1,1253,0,0,1,1253,0,0,1,0,4,345,905,0,2,1030,222,0,7,81,1166,0,3,600,651,0,8,50,1196,0,6,83,1165,0,3,565,686,689,0,404,103,19,39,0,3,10,75,421,745,0,3,1248,3,0,10,153,1091,0,1,1108,75,15,7,5,43,0,0,445,330,278,201,0,8,483,574,135,54,0,1,436,811,6,0,12,294,940,8,909,7,314,24,224,8,1008,14,1173,1,74,6,654,7,442,151,1204,3,44,3,1171,4,74,5,0,6,16,67,184,282,699,0,5,23,80,181,352,613,0,13,555,478,152,56,0,3,48,100,261,842,0,1,308,387,300,258,559,35,616,44,559,320,100,275,559,272,206,217,0,5,668,581,673,1,269,311,985,4,100,6,18,53,5,9,74,317,1,31,81,40,88,19,27,100,38,3,42,106,80,74,40,167,0,30,638,582,3,1,0,0,0,0,0,1254,0,0,0,10,26,848,179,191,10,17,173,486,481,70,17,6.153846153846154,8.105840694913763,2.5836363636363635,1.6638921582428006,14.565271966527197,4.645958672016591,2.797809604043808,1.4833176618006936
GR,GRC,Greece,5,2020-12-31,2020-12-22,874,2,13221.38740546121,0,0,135,871,133,6,7875488.910612199,851,9,5,860,9,38,827,10,13,851,11,46,817,9,55,810,9,53,812,10,17,847,9,12,853,10,7,857,8,4,862,10,17,847,9,48,817,12,7,855,10,39,825,869,0,2,3,836,0,7,31,861,1,4,8,828,1,13,32,819,1,10,44,821,2,15,36,857,0,8,9,862,1,7,4,867,1,1,5,870,0,1,3,857,0,10,7,826,1,9,38,867,0,2,5,835,0,16,23,0,3,74,797,800,16,58,0,7,308,559,566,5,133,170,741,1,6,126,0,741,0,53,80,0,821,0,17,36,0,145,9,58,662,874,0,0,0,0,0,0,3,420,260,118,73,0,99,270,320,185,0,107,416,257,94,0,80,446,235,113,0,129,276,268,201,0,148,115,239,372,0,816,29,10,19,816,27,12,19,816,25,17,16,816,29,11,18,816,29,13,16,816,31,4,23,874,0,0,0,874,0,0,0,874,0,0,0,874,0,0,0,874,0,0,0,874,0,0,0,874,0,0,0,874,0,0,0,874,0,0,0,874,0,0,0,874,0,0,0,874,0,0,0,0,13,192,669,0,0,713,161,0,13,48,813,0,9,370,495,0,11,20,843,0,13,61,800,0,1,341,532,533,1,256,63,6,15,0,5,2,49,278,540,0,1,873,0,0,14,74,786,0,0,773,44,3,8,0,46,0,4,402,198,168,102,0,9,371,390,62,42,0,1,485,383,5,0,6,357,508,3,682,5,165,22,161,11,689,13,826,2,40,6,504,10,281,79,854,1,15,4,813,2,54,5,0,7,10,36,127,183,511,0,6,11,44,140,239,434,0,7,392,325,102,48,0,1,26,87,178,582,0,1,194,260,198,221,420,48,368,38,420,251,73,130,420,213,143,98,0,6,355,513,361,0,185,328,689,9,37,6,13,24,4,6,86,334,2,38,35,22,67,7,18,55,21,3,25,75,37,34,16,85,0,25,489,357,0,3,0,0,0,0,0,0,874,0,0,18,25,560,125,146,18,20,145,285,308,77,21,9.266666666666667,9.678981432167634,2.22,1.3596217961519403,14.77170263788969,4.373319218522686,2.33083645443196,1.3699125608846037
GR,GRC,Greece,6,2020-12-31,2020-12-22,372,0,0,0,0,16,370,33,1,8237228.043472343,359,10,3,359,10,11,351,8,6,358,8,24,340,9,22,341,7,28,337,9,7,356,8,4,360,8,4,360,11,2,359,9,10,353,11,27,334,11,2,359,10,10,352,369,1,1,1,361,1,3,7,366,1,1,4,348,2,6,16,350,1,2,19,344,2,4,22,365,0,3,4,368,0,1,3,368,0,3,1,370,0,0,2,362,0,6,4,345,1,5,21,370,1,0,1,362,0,5,5,0,2,11,359,361,2,9,0,14,77,281,295,0,33,44,339,0,1,30,2,339,0,10,23,0,362,0,2,8,0,47,2,26,297,372,0,0,0,0,0,0,2,222,86,34,28,0,74,130,104,64,0,74,171,91,36,0,52,194,83,43,0,77,127,96,72,0,98,55,88,131,0,346,14,4,8,346,15,7,4,346,16,6,4,346,20,0,6,346,14,7,5,346,19,1,6,369,0,0,3,369,0,0,3,369,0,0,3,369,0,0,3,369,0,0,3,369,0,0,3,369,0,0,3,372,0,0,0,372,0,0,0,372,0,0,0,372,0,0,0,372,0,0,0,0,8,49,315,0,3,295,74,0,6,24,342,0,4,144,224,0,9,9,354,0,6,18,348,0,0,136,236,236,0,109,17,6,4,0,4,4,23,148,193,0,4,368,0,0,5,18,349,0,0,325,18,3,2,1,23,0,0,187,88,65,32,0,12,189,139,21,11,0,0,279,92,1,0,8,227,134,3,323,0,42,7,77,3,286,6,348,1,20,3,228,3,109,32,363,1,7,1,354,1,15,2,0,0,2,6,36,56,272,0,3,2,11,40,94,222,0,3,189,121,37,22,0,2,7,15,67,281,0,0,38,77,106,151,257,24,79,12,257,70,17,28,257,46,52,17,0,5,68,299,73,3,51,245,321,1,2,0,2,8,0,1,37,253,1,15,8,5,8,1,7,14,3,0,6,10,7,11,3,20,0,13,245,114,0,0,0,0,0,0,0,0,0,372,0,10,8,228,44,82,10,6,74,144,106,26,6,9.304347826086957,9.65782880822613,2.25,1.8929694486000912,15.127937853107344,4.358752386222321,1.7089337175792507,1.119457839302332
GR,GRC,Greece,-99,2021-01-01,2020-12-23,741,0,0,0,0,116,630,90,8,9354552.655886065,0,17,6,718,14,42,685,15,17,709,14,73,654,16,67,658,17,49,675,19,27,695,17,17,707,15,17,709,15,5,721,14,25,702,15,86,640,17,10,714,13,71,657,735,1,3,2,699,1,10,31,724,0,8,9,668,3,23,47,674,2,14,51,692,2,12,35,714,0,4,23,724,0,10,7,724,1,8,8,736,0,0,5,716,0,11,14,655,4,19,63,731,1,3,6,670,1,22,48,107,4,62,568,688,11,42,130,10,233,368,512,5,90,134,651,0,8,80,2,651,0,39,50,1,703,0,10,28,0,248,9,47,437,741,0,0,0,0,0,202,5,195,170,107,62,288,36,136,176,105,288,45,199,135,74,288,44,210,125,74,288,48,148,134,123,288,55,61,118,219,0,704,22,4,11,704,21,6,10,704,19,13,5,704,20,9,8,704,21,10,6,704,23,2,12,684,3,0,54,684,4,0,53,684,4,7,46,684,4,5,48,684,4,8,45,684,5,10,42,684,5,1,51,724,0,0,17,724,0,2,15,724,0,3,14,724,0,6,11,724,0,2,15,337,11,96,297,337,6,305,93,337,11,32,361,337,9,192,203,337,11,25,368,337,11,35,358,378,5,134,224,607,0,97,29,5,3,404,5,3,32,120,177,404,4,329,4,441,8,30,262,441,2,252,23,2,4,4,13,441,2,127,73,56,42,451,10,94,129,39,18,485,1,78,173,4,549,7,55,128,2,648,1,84,8,444,5,281,11,711,0,25,5,554,2,120,65,717,1,11,12,707,0,31,3,569,0,6,7,25,43,91,569,1,7,9,28,51,76,605,1,64,44,16,11,605,0,12,11,33,80,605,0,39,38,24,35,679,2,50,10,679,22,17,23,679,21,22,19,637,0,34,70,671,0,38,32,732,1,0,0,2,1,0,0,5,705,0,4,2,2,2,0,0,1,5,0,1,6,3,2,0,8,741,0,0,0,0,0,741,0,0,0,0,0,0,0,0,741,0,0,0,0,741,0,0,0,0,0,0,6.798125,9.217541875319604,2.4054054054054053,2.0474843570079337,0,0,0,0
GR,GRC,Greece,1,2021-01-01,2020-12-23,359,0,0,0,0,84,359,35,2,4104452.09006839,352,1,0,358,1,30,328,1,7,351,1,53,305,1,53,305,1,34,324,1,22,336,1,9,349,1,13,345,2,2,355,2,21,336,1,66,292,1,8,350,2,61,296,359,0,0,0,329,0,6,24,352,0,2,5,306,0,12,41,306,0,9,44,325,0,9,25,337,0,3,19,350,0,2,7,346,0,6,7,357,0,2,0,338,0,6,15,293,0,15,51,351,0,5,3,298,0,18,43,0,0,41,318,318,12,29,0,0,110,249,249,0,35,75,324,0,2,32,1,324,0,18,17,0,341,0,8,9,1,35,2,27,295,359,0,0,0,0,0,0,0,95,139,86,39,0,2,98,186,73,0,1,163,140,55,0,3,168,126,62,0,2,101,147,109,0,5,27,125,202,0,332,4,4,19,332,4,6,17,332,1,13,13,332,4,6,17,332,3,6,18,332,3,5,19,320,0,0,39,320,0,0,39,320,0,3,36,320,0,0,39,320,0,2,37,320,0,4,35,320,0,0,39,351,0,0,8,351,0,1,7,351,0,0,8,351,0,1,7,351,0,0,8,0,2,48,309,0,2,220,137,0,3,23,333,0,2,241,116,0,2,24,333,0,2,50,307,0,0,232,127,127,0,165,52,11,4,0,1,3,49,164,142,0,0,359,0,0,2,14,343,0,0,276,51,8,7,2,15,0,0,79,97,124,59,0,0,86,150,83,40,0,0,58,273,28,0,0,56,267,36,311,1,41,6,139,1,216,3,336,1,18,4,118,1,116,124,335,0,9,15,309,1,49,0,0,3,18,29,68,93,148,0,0,16,41,75,110,117,0,3,119,152,69,16,0,0,18,44,88,209,0,0,83,113,99,64,163,4,163,29,163,25,31,140,163,20,72,104,0,1,91,267,92,0,99,168,260,1,27,0,7,33,2,2,27,169,1,14,24,6,19,3,5,6,9,0,10,12,1,26,1,53,0,0,154,197,1,7,0,0,359,0,0,0,0,0,0,4,4,208,79,64,4,2,40,125,140,32,16,5.119565217391305,6.5400696697620075,2.1052631578947367,1.3908868196558846,13.1671826625387,4.491701159364911,3.180722891566265,1.3939409525414905
GR,GRC,Greece,2,2021-01-01,2020-12-23,571,1,8563.15207395775,0,0,116,571,99,3,5900153.804362752,562,0,3,568,0,32,539,1,6,564,0,65,506,0,73,498,0,46,525,0,21,550,0,7,564,0,9,562,1,2,568,0,22,549,0,90,481,1,9,561,0,65,506,568,0,3,0,539,0,5,27,565,0,2,4,506,2,9,54,498,0,12,61,525,1,7,38,550,0,5,16,564,0,5,2,562,0,5,4,569,0,2,0,549,1,8,13,481,1,14,75,562,0,6,3,506,1,23,41,0,0,53,518,518,14,39,0,1,245,325,326,0,99,146,472,1,3,94,1,472,0,48,51,0,523,0,19,28,1,100,0,34,437,571,0,0,0,0,0,0,2,161,187,154,67,0,5,121,297,148,0,8,237,227,99,0,5,263,192,111,0,8,112,238,213,0,8,40,162,361,0,537,8,3,23,537,8,7,19,537,6,10,18,537,9,4,21,537,8,9,17,537,9,4,21,517,1,0,53,517,1,0,53,517,1,1,52,517,1,2,51,517,1,4,49,517,1,3,50,517,1,0,53,565,0,0,6,565,0,0,6,565,0,0,6,565,0,0,6,565,0,0,6,0,1,149,421,0,1,401,169,0,3,44,524,0,1,331,239,0,1,15,555,0,1,52,518,0,0,310,261,261,0,242,51,9,8,0,2,5,41,238,285,0,0,570,1,0,2,61,508,0,0,502,42,2,5,5,15,0,1,166,167,155,82,0,3,171,263,102,32,0,0,120,445,6,0,0,104,461,6,422,1,138,10,170,1,397,3,527,0,42,2,240,1,179,151,556,0,9,6,519,0,50,2,0,1,13,39,95,146,277,0,0,21,40,98,161,251,0,4,222,230,86,29,0,0,15,49,134,373,0,0,136,172,156,107,263,13,264,31,263,59,57,192,263,50,116,142,0,3,274,294,277,0,147,147,424,2,54,2,13,28,2,3,43,150,2,22,44,14,40,7,10,43,15,0,11,61,11,44,12,85,0,8,276,282,1,4,0,0,0,571,0,0,0,0,0,5,5,387,91,83,5,8,202,206,124,23,3,5.18552036199095,7.440489251129553,2.2857142857142856,1.632993161855452,14.378787878787879,5.184040321004059,2.4863387978142075,1.4417823652189037
GR,GRC,Greece,3,2021-01-01,2020-12-23,1003,0,0,0,0,228,1002,184,4,9327329.158567874,986,5,4,994,5,44,954,5,11,987,4,96,903,6,78,919,5,75,923,5,30,968,5,16,982,5,13,985,5,5,993,5,25,973,2,123,878,4,15,984,5,87,911,999,0,3,1,959,1,6,37,992,0,4,7,907,1,24,71,925,1,12,65,928,0,15,60,973,0,9,21,987,0,10,6,990,0,5,8,998,0,4,1,978,0,9,16,880,3,30,90,988,0,8,7,916,1,25,61,0,1,94,908,909,12,82,0,7,429,567,574,2,184,243,819,0,4,177,3,819,0,62,122,0,941,0,24,34,4,193,3,58,749,1003,0,0,0,0,0,0,0,361,340,183,119,0,23,219,502,259,0,27,488,336,152,0,19,496,309,179,0,31,278,363,331,0,35,101,319,548,0,945,14,10,34,945,17,8,33,945,14,21,23,945,21,12,25,945,19,9,30,945,21,2,35,890,0,1,112,890,0,0,113,890,2,7,104,890,2,4,107,890,1,11,101,890,2,15,96,890,3,3,107,979,2,0,22,979,3,1,20,979,1,1,22,979,1,3,20,979,2,2,20,0,7,253,743,0,3,759,241,0,9,61,933,0,8,544,451,0,7,34,962,0,7,49,947,0,1,505,497,498,1,356,97,22,29,0,5,10,75,342,571,0,2,998,3,0,2,94,907,0,0,871,85,8,10,3,26,0,2,334,266,271,130,0,6,389,454,111,43,0,2,312,683,6,0,6,266,723,8,750,1,236,16,244,5,738,16,942,1,53,7,459,4,361,179,969,0,24,10,954,2,41,6,0,6,21,51,156,229,540,0,2,20,67,148,284,482,0,5,439,400,102,57,0,1,37,77,217,671,0,1,251,279,248,224,473,13,462,55,473,145,98,287,473,121,186,223,0,6,521,476,527,0,230,246,773,3,70,6,20,41,3,10,77,252,3,33,62,34,66,13,47,63,26,2,30,105,44,75,21,127,0,11,544,444,1,3,0,0,0,0,1003,0,0,0,0,11,17,695,134,146,11,10,198,476,275,28,5,5.954268292682927,8.015335840579548,2.6341463414634148,1.7743870102856367,14.768987341772151,4.54362965726222,2.720758693361433,1.3598372070525084
GR,GRC,Greece,4,2021-01-01,2020-12-23,1232,0,0,0,0,279,1231,219,7,11897792.039758854,1210,10,4,1218,8,54,1170,11,12,1209,12,85,1135,10,67,1155,10,66,1156,8,35,1189,12,13,1207,11,10,1211,10,3,1219,9,20,1203,10,131,1091,11,11,1210,10,76,1146,1228,0,0,4,1178,1,6,47,1220,0,2,10,1147,0,17,68,1165,0,13,54,1166,1,15,50,1197,0,9,26,1219,0,4,9,1222,0,3,7,1229,0,3,0,1212,0,13,7,1101,1,31,99,1221,0,5,6,1156,0,24,52,0,1,129,1102,1103,21,108,0,13,516,703,716,4,219,293,1013,0,7,211,1,1013,0,62,157,0,1170,0,23,39,0,236,7,92,897,1232,0,0,0,0,0,0,4,478,432,206,112,0,68,304,550,310,0,79,647,348,158,0,58,616,364,194,0,86,387,432,327,0,95,144,372,621,0,1140,40,18,34,1140,42,12,38,1140,27,47,18,1140,43,12,37,1140,38,20,34,1140,43,7,42,1083,4,1,144,1083,4,1,144,1083,4,7,138,1083,3,5,141,1083,4,11,134,1083,4,14,131,1083,3,3,143,1210,1,0,21,1210,0,1,21,1210,1,1,20,1210,1,6,15,1210,0,4,18,0,4,344,884,0,5,1005,222,0,10,85,1137,0,6,599,627,0,11,46,1175,0,9,81,1142,0,3,577,652,655,0,412,104,25,36,0,3,11,77,406,735,0,2,1227,3,0,11,155,1066,0,1,1089,77,14,7,4,40,0,0,424,326,280,202,0,10,447,578,141,56,0,1,430,795,6,0,11,289,924,8,888,5,314,25,227,7,984,14,1147,2,77,6,633,6,434,159,1186,3,39,4,1151,4,72,5,0,6,16,60,184,266,700,0,4,23,75,186,354,590,0,12,546,477,145,52,0,3,46,88,262,833,0,1,294,388,304,245,550,34,603,45,550,311,107,264,550,260,203,219,0,5,662,565,667,0,256,309,976,4,96,5,19,46,9,8,69,314,1,31,79,46,87,16,31,94,42,2,30,109,81,75,34,160,0,32,641,554,4,1,0,0,0,0,0,1232,0,0,0,10,28,812,183,199,10,19,169,467,480,71,16,6.130573248407643,8.129079756621023,2.4820000000000007,1.6143535466982981,14.639197267292912,4.605349068076179,2.810418445772844,1.4969806920180524
GR,GRC,Greece,5,2021-01-01,2020-12-23,849,0,0,0,0,128,846,126,6,7399610.271841814,826,9,3,837,10,34,805,10,11,828,12,41,796,10,47,792,9,48,792,10,13,826,9,10,830,10,7,832,9,3,837,11,16,822,9,47,793,13,7,829,10,31,808,846,0,2,1,815,0,6,28,838,1,4,6,808,1,14,26,802,1,8,38,801,2,14,32,836,0,6,7,839,1,6,3,842,1,1,5,846,0,1,2,833,0,9,7,802,1,11,35,842,0,2,5,818,0,16,15,0,3,69,777,780,15,54,0,7,298,544,551,4,126,168,723,1,6,119,0,723,0,52,74,0,797,0,16,36,0,137,8,53,651,849,0,0,0,0,0,0,3,416,255,108,67,0,97,266,317,169,0,114,397,247,91,0,77,447,217,108,0,126,269,258,196,0,151,115,223,360,0,796,24,9,20,796,24,9,20,796,20,16,17,796,24,11,18,796,26,9,18,796,26,4,23,753,5,0,91,753,5,1,90,753,5,2,89,753,5,10,81,753,3,22,71,753,5,20,71,753,6,6,84,818,2,5,24,818,2,7,22,818,3,4,24,818,2,10,19,818,2,3,26,0,14,176,659,0,0,693,156,0,12,47,790,0,8,366,475,0,10,22,817,0,12,51,786,0,1,341,507,508,1,256,63,7,14,0,5,1,46,276,521,0,1,848,0,0,12,65,772,0,0,753,42,5,7,0,42,0,4,376,192,175,102,0,8,359,383,58,41,0,1,476,368,4,0,5,343,497,4,673,6,148,22,156,12,669,12,802,2,36,9,483,11,275,80,827,1,15,6,798,1,44,6,0,7,10,35,122,169,506,0,6,11,44,136,226,426,0,8,373,324,93,51,0,1,24,75,176,573,0,1,183,256,197,212,410,44,356,39,410,235,71,133,410,197,142,100,0,6,338,505,344,0,183,322,666,7,38,5,11,22,3,6,91,328,1,33,30,24,69,7,18,52,24,3,20,70,41,35,17,77,0,23,485,339,0,2,0,0,0,0,0,0,849,0,0,16,24,549,116,144,16,21,131,273,310,80,18,9.296296296296296,10.009864010151453,2.282608695652174,1.470646773486805,14.734729064039406,4.376996904199977,2.3324808184143224,1.3280944284090497
