"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"115","2020/04/24","AU",25203200,15,4,6677,79,362,262,0.000264926675977654,5.95162519045201e-07,1.43632554596242e-05,1.03955053326562e-05
"116","2020/04/25","AU",25203200,17,1,6694,80,343,254,0.000265601193499238,6.74517521584561e-07,1.36093829355003e-05,1.00780853224987e-05
"117","2020/04/26","AU",25203200,20,3,6714,83,299,252,0.000266394743524632,7.93550025393601e-07,1.18635728796343e-05,9.99873031995937e-06
"118","2020/04/27","AU",25203200,7,0,6721,83,281,199,0.00026667248603352,2.7774250888776e-07,1.11493778567801e-05,7.89582275266633e-06
"119","2020/04/28","AU",25203200,23,6,6744,89,282,176,0.000267585068562722,9.12582529202641e-07,1.11890553580498e-05,6.98324022346369e-06
"120","2020/04/29","AU",25203200,8,2,6752,91,230,142,0.00026790248857288,3.1742001015744e-07,9.12582529202641e-06,5.63420518029457e-06
"121","2020/04/30","AU",25203200,14,2,6766,93,198,143,0.000268457973590655,5.55485017775521e-07,7.85614525139665e-06,5.67388268156425e-06
"122","2020/05/01","AU",25203200,12,0,6778,93,168,133,0.000268934103605891,4.7613001523616e-07,6.66582021330625e-06,5.27710766886745e-06
"123","2020/05/02","AU",25203200,21,1,6799,94,176,147,0.000269767331132555,8.33227526663281e-07,6.98324022346369e-06,5.83259268664297e-06
"124","2020/05/03","AU",25203200,23,1,6822,95,177,160,0.000270679913661757,9.12582529202641e-07,7.02291772473337e-06,6.34840020314881e-06
"125","2020/05/04","AU",25203200,25,1,6847,96,195,170,0.000271671851193499,9.91937531742001e-07,7.73711274758761e-06,6.74517521584561e-06
"126","2020/05/05","AU",25203200,28,1,6875,97,213,181,0.00027278282122905,1.11097003555104e-06,8.45130777044185e-06,7.18162772981209e-06
"127","2020/05/06","AU",25203200,19,0,6894,97,217,180,0.000273536693753174,7.53872524123921e-07,8.61001777552057e-06,7.14195022854241e-06
"128","2020/05/07","AU",25203200,19,0,6913,97,219,192,0.000274290566277298,7.53872524123921e-07,8.68937277805993e-06,7.61808024377857e-06
"129","2020/05/08","AU",25203200,5,0,6918,97,204,174,0.000274488953783646,1.983875063484e-07,8.09421025901473e-06,6.90388522092433e-06
"130","2020/05/09","AU",25203200,21,0,6939,97,218,187,0.00027532218131031,8.33227526663281e-07,8.64969527679025e-06,7.41969273743017e-06
"131","2020/05/10","AU",25203200,9,0,6948,97,204,182,0.000275679278821737,3.5709751142712e-07,8.09421025901473e-06,7.22130523108177e-06
"132","2020/05/11","AU",25203200,22,0,6970,97,218,192,0.00027655218384967,8.72905027932961e-07,8.64969527679025e-06,7.61808024377857e-06
"133","2020/05/12","AU",25203200,10,1,6980,98,214,181,0.000276948958862367,3.967750126968e-07,8.49098527171153e-06,7.18162772981209e-06
"134","2020/05/13","AU",25203200,9,0,6989,98,211,167,0.000277306056373794,3.5709751142712e-07,8.37195276790249e-06,6.62614271203657e-06
"135","2020/05/14","AU",25203200,30,0,7019,98,220,172,0.000278496381411884,1.1903250380904e-06,8.72905027932961e-06,6.82453021838497e-06
"136","2020/05/15","AU",25203200,16,0,7035,98,213,160,0.000279131221432199,6.34840020314881e-07,8.45130777044185e-06,6.34840020314881e-06
"137","2020/05/16","AU",25203200,9,0,7044,98,197,150,0.000279488318943626,3.5709751142712e-07,7.81646775012697e-06,5.95162519045201e-06
"138","2020/05/17","AU",25203200,10,1,7054,99,179,141,0.000279885093956323,3.967750126968e-07,7.10227272727273e-06,5.59452767902489e-06
"139","2020/05/18","AU",25203200,14,0,7068,99,174,150,0.000280440578974099,5.55485017775521e-07,6.90388522092433e-06,5.95162519045201e-06
"140","2020/05/19","AU",25203200,4,1,7072,100,159,133,0.000280599288979177,1.5871000507872e-07,6.30872270187913e-06,5.27710766886745e-06
"141","2020/05/20","AU",25203200,9,0,7081,100,163,133,0.000280956386490604,3.5709751142712e-07,6.46743270695785e-06,5.27710766886745e-06
"142","2020/05/21","AU",25203200,14,1,7095,101,156,125,0.00028151187150838,5.55485017775521e-07,6.18969019807009e-06,4.95968765871001e-06
"143","2020/05/22","AU",25203200,4,0,7099,101,151,119,0.000281670581513459,1.5871000507872e-07,5.99130269172169e-06,4.72162265109193e-06
"144","2020/05/23","AU",25203200,15,1,7114,102,144,125,0.000282265744032504,5.95162519045201e-07,5.71356018283393e-06,4.95968765871001e-06
"145","2020/05/24","AU",25203200,0,0,7114,102,134,95,0.000282265744032504,0,5.31678517013713e-06,3.7693626206196e-06
"146","2020/05/25","AU",25203200,12,0,7126,102,137,91,0.00028274187404774,4.7613001523616e-07,5.43581767394617e-06,3.61065261554088e-06
"147","2020/05/26","AU",25203200,13,1,7139,103,120,95,0.000283257681564246,5.15807516505841e-07,4.7613001523616e-06,3.7693626206196e-06
"148","2020/05/27","AU",25203200,11,0,7150,103,115,96,0.000283694134078212,4.3645251396648e-07,4.5629126460132e-06,3.80904012188928e-06
"149","2020/05/28","AU",25203200,15,0,7165,103,121,97,0.000284289296597258,5.95162519045201e-07,4.80097765363128e-06,3.84871762315896e-06
"150","2020/05/29","AU",25203200,19,0,7184,103,130,112,0.000285043169121381,7.53872524123921e-07,5.15807516505841e-06,4.44388014220416e-06
"151","2020/05/30","AU",25203200,8,0,7192,103,124,111,0.000285360589131539,3.1742001015744e-07,4.92001015744032e-06,4.40420264093448e-06
"152","2020/05/31","AU",25203200,10,0,7202,103,130,107,0.000285757364144236,3.967750126968e-07,5.15807516505841e-06,4.24549263585576e-06
"153","2020/06/01","AU",25203200,19,-1,7221,102,140,122,0.00028651123666836,7.53872524123921e-07,5.55485017775521e-06,4.84065515490097e-06
"154","2020/06/02","AU",25203200,8,0,7229,102,134,115,0.000286828656678517,3.1742001015744e-07,5.31678517013713e-06,4.5629126460132e-06
"155","2020/06/03","AU",25203200,11,0,7240,102,141,126,0.000287265109192483,4.3645251396648e-07,5.59452767902489e-06,4.99936515997969e-06
"156","2020/06/04","AU",25203200,7,0,7247,102,133,121,0.000287542851701371,2.7774250888776e-07,5.27710766886745e-06,4.80097765363128e-06
"157","2020/06/05","AU",25203200,5,0,7252,102,138,113,0.00028774123920772,1.983875063484e-07,5.47549517521585e-06,4.48355764347384e-06
"158","2020/06/06","AU",25203200,7,0,7259,102,133,109,0.000288018981716607,2.7774250888776e-07,5.27710766886745e-06,4.32484763839512e-06
"159","2020/06/07","AU",25203200,6,0,7265,102,126,100,0.000288257046724225,2.3806500761808e-07,4.99936515997969e-06,3.967750126968e-06
"160","2020/06/08","AU",25203200,2,0,7267,102,117,83,0.000288336401726765,7.93550025393601e-08,4.64226764855256e-06,3.29323260538344e-06
"161","2020/06/09","AU",25203200,7,0,7274,102,109,82,0.000288614144235653,2.7774250888776e-07,4.32484763839512e-06,3.25355510411376e-06
"162","2020/06/10","AU",25203200,11,0,7285,102,101,83,0.000289050596749619,4.3645251396648e-07,4.00742762823768e-06,3.29323260538344e-06
"163","2020/06/11","AU",25203200,4,0,7289,102,97,68,0.000289209306754698,1.5871000507872e-07,3.84871762315896e-06,2.69807008633824e-06
"164","2020/06/12","AU",25203200,5,0,7294,102,92,65,0.000289407694261046,1.983875063484e-07,3.65033011681056e-06,2.5790375825292e-06
"165","2020/06/13","AU",25203200,26,0,7320,102,99,80,0.000290439309294058,1.03161503301168e-06,3.92807262569832e-06,3.1742001015744e-06
"166","2020/06/14","AU",25203200,15,0,7335,102,106,88,0.000291034471813103,5.95162519045201e-07,4.20581513458608e-06,3.49162011173184e-06
"167","2020/06/15","AU",25203200,12,0,7347,102,107,95,0.000291510601828339,4.7613001523616e-07,4.24549263585576e-06,3.7693626206196e-06
"168","2020/06/16","AU",25203200,23,0,7370,102,123,111,0.000292423184357542,9.12582529202641e-07,4.88033265617065e-06,4.40420264093448e-06
"169","2020/06/17","AU",25203200,21,0,7391,102,139,126,0.000293256411884205,8.33227526663281e-07,5.51517267648553e-06,4.99936515997969e-06
"170","2020/06/18","AU",25203200,18,0,7409,102,150,142,0.000293970606907059,7.14195022854241e-07,5.95162519045201e-06,5.63420518029457e-06
"171","2020/06/19","AU",25203200,2,0,7411,102,146,137,0.000294049961909599,7.93550025393601e-08,5.79291518537329e-06,5.43581767394617e-06
