"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"62","2020/03/02","US",329064917,23,5,54,6,41,39,1.64101358760162e-07,6.98950231756246e-08,1.24595476095679e-07,1.1851764799345e-07
"63","2020/03/03","US",329064917,19,1,73,7,60,58,2.2184072573133e-07,5.77393669711682e-08,1.82334843066847e-07,1.76257014964619e-07
"64","2020/03/04","US",329064917,33,4,106,11,91,91,3.22124889418096e-07,1.00284163686766e-07,2.76541178651384e-07,2.76541178651384e-07
"65","2020/03/05","US",329064917,77,1,183,12,168,168,5.56121271353883e-07,2.33996381935787e-07,5.10537560587171e-07,5.10537560587171e-07
"66","2020/03/06","US",329064917,53,2,236,14,221,221,7.17183716062931e-07,1.61062444709048e-07,6.71600005296219e-07,6.71600005296219e-07
"67","2020/03/07","US",329064917,166,3,402,17,387,387,1.22164344854787e-06,5.04459732484943e-07,1.17605973778116e-06,1.17605973778116e-06
"68","2020/03/08","US",329064917,116,4,518,21,503,502,1.57415747847711e-06,3.52514029929237e-07,1.5285737677104e-06,1.52553485365929e-06
"69","2020/03/09","US",329064917,75,1,593,22,578,577,1.80207603231067e-06,2.27918553833559e-07,1.75649232154396e-06,1.75345340749284e-06
"70","2020/03/10","US",329064917,188,6,781,28,765,757,2.37339187392012e-06,5.71315841609454e-07,2.3247692491023e-06,2.30045793669339e-06
"71","2020/03/11","US",329064917,365,5,1146,33,1130,1115,3.48259550257678e-06,1.10920362865665e-06,3.43397287775895e-06,3.38838916699224e-06
"72","2020/03/12","US",329064917,439,10,1585,43,1561,1531,4.81667877101587e-06,1.3340832684391e-06,4.74374483378913e-06,4.65257741225571e-06
"73","2020/03/13","US",329064917,633,8,2218,51,2187,2145,6.74031136537111e-06,1.92363259435523e-06,6.64610502978657e-06,6.51847063963978e-06
"74","2020/03/14","US",329064917,759,7,2977,58,2923,2871,9.04684713016672e-06,2.30653576479561e-06,8.88274577140656e-06,8.72472224074862e-06
"75","2020/03/15","US",329064917,234,12,3211,70,3138,3028,9.75795301812742e-06,7.11105887960703e-07,9.53611229239609e-06,9.20183174677354e-06
"76","2020/03/16","US",329064917,1467,27,4678,97,4572,4442,1.42160399311118e-05,4.45808691298441e-06,1.38939150416937e-05,1.34988562150489e-05
"77","2020/03/17","US",329064917,1833,37,6511,134,6328,6109,1.9786369386804e-05,5.57032945569217e-06,1.92302481154501e-05,1.85647259382561e-05
"78","2020/03/18","US",329064917,2657,60,9168,194,8932,8650,2.78607640206142e-05,8.0743946338102e-06,2.71435803045513e-05,2.62866065421371e-05
