"date","countrycode","cum_cases","cum_deaths","population","cases","deaths","cases_daily","cases_infected","cases_active","p_cases_infected","p_cases_daily","p_cases_active","p_cases_active_smooth"
2020-09-22,"MA",105346,1889,36471766,2227,34,2227,105346,22270,0.00288842607731142,6.10609313516653e-05,0.000610609313516653,0.000606536995596404
2020-09-23,"MA",107743,1918,36471766,2397,29,2397,107743,23970,0.00295414814846092,6.57220711495023e-05,0.000657220711495023,0.000613691491392033
2020-09-24,"MA",110099,1956,36471766,2356,38,2356,110099,23560,0.00301874606236506,6.45979139041416e-05,0.000645979139041416,0.000620946009066725
2020-09-25,"MA",112522,1998,36471766,2423,42,2423,112522,24230,0.00308518101371894,6.64349513538774e-05,0.000664349513538774,0.000628335727478008
2020-09-26,"MA",115241,2041,36471766,2719,43,2719,115241,27190,0.00315973183201493,7.45508182959937e-05,0.000745508182959937,0.00063590101033231
2020-09-27,"MA",117685,2069,36471766,2444,28,2444,117685,24440,0.00322674257122619,6.70107392112573e-05,0.000670107392112573,0.000643695644799553
2020-09-28,"MA",119107,2113,36471766,1422,44,1422,119107,14220,0.00326573163471163,3.89890634854369e-05,0.000389890634854369,0.000651751583111595
2020-09-29,"MA",121183,2152,36471766,2076,39,2076,121183,20760,0.00332265237718404,5.692074247241e-05,0.0005692074247241,0.000660104183597854
2020-09-30,"MA",123653,2194,36471766,2470,42,2470,123653,24700,0.00339037599659967,6.77236194156324e-05,0.000677236194156324,0.000668781523412346
2020-10-01,"MA",126044,2229,36471766,2391,35,2391,126044,23910,0.00345593355693278,6.55575603331081e-05,0.000655575603331081,0.00067781203661376
2020-10-02,"MA",128565,2263,36471766,2521,34,2521,128565,25210,0.00352505551828776,6.91219613549835e-05,0.000691219613549835,0.000687209705396969
2020-10-03,"MA",131228,2293,36471766,2663,30,2663,131228,26630,0.00359807090229741,7.30153840096474e-05,0.000730153840096473,0.00069698444531785
2020-10-04,"MA",133272,2330,36471766,2044,37,2044,133272,20440,0.00365411425374905,5.60433514516407e-05,0.000560433514516407,0.000707161774707142
2020-10-05,"MA",134695,2369,36471766,1423,39,1423,134695,14230,0.00369313073570389,3.9016481954836e-05,0.00039016481954836,0.00071773915181789
2020-10-06,"MA",137248,2410,36471766,2553,41,2553,137248,25530,0.00376313008807964,6.99993523757528e-05,0.000699993523757528,0.000728716177190964
2020-10-07,"MA",140024,2439,36471766,2776,29,2776,140024,27760,0.00383924375913138,7.6113671051739e-05,0.00076113671051739,0.000740093582865217
2020-10-08,"MA",142953,2486,36471766,2929,47,2929,142953,29290,0.00391955245600117,8.03086968697924e-05,0.000803086968697924,0.000751868102247941
2020-10-09,"MA",146398,2530,36471766,3445,44,3445,146398,34450,0.00401400908308087,9.44566270796978e-05,0.000944566270796978,0.000764027491124597
2020-10-10,"MA",149841,2572,36471766,3443,42,3443,149841,34430,0.00410841087322177,9.44017901408997e-05,0.000944017901408997,0.000776562306258274
2020-10-11,"MA",152404,2605,36471766,2563,33,2563,152404,25630,0.00417868441029151,7.02735370697432e-05,0.000702735370697432,0.000789474340592262
2020-10-12,"MA",153761,2636,36471766,1357,31,1357,153761,13570,0.00421589127326601,3.72068629744992e-05,0.000372068629744992,0.00080275550326005
2020-10-13,"MA",156946,2685,36471766,3185,49,3185,156946,31850,0.00430321909830196,8.7327825035947e-05,0.00087327825035947,0.00081639441638673
2020-10-14,"MA",160333,2726,36471766,3387,41,3387,160333,33870,0.00439608545415651,9.28663558545534e-05,0.000928663558545534,0.000830391174899152
2020-10-15,"MA",163650,2772,36471766,3317,46,3317,163650,33170,0.00448703251715313,9.09470629966204e-05,0.000909470629966205,0.000844739980872154
2020-10-16,"MA",167148,2818,36471766,3498,46,3498,167148,34980,0.00458294232311098,9.59098059578469e-05,0.00095909805957847,0.000859436967500241
2020-10-17,"MA",170911,2878,36471766,3763,60,3763,170911,37630,0.00468611802345957,0.000103175700348593,0.00103175700348593,0.000874473006783439
2020-10-18,"MA",173632,2928,36471766,2721,50,2721,173632,27210,0.00476072367869436,7.46056552347918e-05,0.000746056552347918,0.000889854916856399
2020-10-19,"MA",175749,2976,36471766,2117,48,2117,175749,21170,0.00481876857841213,5.80448997177707e-05,0.000580448997177707,0.000905575942871828
2020-10-20,"MA",179003,3027,36471766,3254,51,3254,179003,32540,0.00490798827783662,8.92196994244808e-05,0.000892196994244808,0.000921627654178282
2020-10-21,"MA",182580,3079,36471766,3577,52,3577,182580,35770,0.00500606414287699,9.80758650403712e-05,0.000980758650403712,0.000937992508854747
2020-10-22,"MA",186731,3132,36471766,4151,53,4151,186731,41510,0.00511987820935241,0.000113814066475421,0.00113814066475421,0.000954657420498988
2020-10-23,"MA",190416,3205,36471766,3685,73,3685,190416,36850,0.00522091526908787,0.000101037059735468,0.00101037059735468,0.00097158517842673
2020-10-24,"MA",194461,3255,36471766,4045,50,4045,194461,40450,0.005331822977807,0.000110907708719123,0.00110907708719123,0.000988737548383336
2020-10-25,"MA",197481,3301,36471766,3020,46,3020,197481,30200,0.0054146267553921,8.28037775851052e-05,0.000828037775851051,0.00100607586049138
2020-10-26,"MA",199745,3373,36471766,2264,72,2264,199745,22640,0.00547670217011153,6.20754147194298e-05,0.000620754147194298,0.00102353755056773
2020-10-27,"MA",203733,3445,36471766,3988,72,3988,203733,39880,0.00558604702607491,0.000109344855963377,0.00109344855963377,0.00104104556731071
2020-10-28,"MA",207718,3506,36471766,3985,61,3985,207718,39850,0.00569530962663009,0.00010926260055518,0.0010926260055518,0.00105851330914579
2020-10-29,"MA",212038,3572,36471766,4320,66,4320,212038,43200,0.00581375741443395,0.000118447787803859,0.00118447787803859,0.00107584416180549
2020-10-30,"MA",215294,3625,36471766,3256,53,3256,215294,32560,0.00590303195079723,8.92745363632789e-05,0.000892745363632789,0.00109291844125337
2020-10-31,"MA",219084,3695,36471766,3790,70,3790,219084,37900,0.00600694794981959,0.000103915999022367,0.00103915999022367,0.00110961693632585
2020-11-01,"MA",222544,3762,36471766,3460,67,3460,222544,34600,0.00610181585394028,9.48679041206834e-05,0.000948679041206834,0.00112581276477038
2020-11-02,"MA",225070,3826,36471766,2526,64,2526,225070,25260,0.00617107490764226,6.92590537019787e-05,0.000692590537019787,0.00114136876834366
2020-11-03,"MA",229565,3900,36471766,4495,74,4495,229565,44950,0.00629432092759095,0.000123246019948691,0.00123246019948691,0.00115614215371556
2020-11-04,"MA",235310,3982,36471766,5745,82,5745,235310,57450,0.00645184003428844,0.000157519106697493,0.00157519106697493,0.00116999385212119
2020-11-05,"MA",240951,4059,36471766,5641,77,5641,240951,56410,0.00660650762016843,0.000154667585879993,0.00154667585879993,0.00118278615259514
2020-11-06,"MA",246349,4127,36471766,5398,68,5398,246349,53980,0.00675451251798446,0.000148004897816026,0.00148004897816026,0.00119437913141792
2020-11-07,"MA",252185,4197,36471766,5836,70,5836,252185,58360,0.00691452670539727,0.000160014187412806,0.00160014187412806,0.00120465175589388
