"date","countrycode","cum_cases","cum_deaths","population","cases","deaths","cases_daily","cases_infected","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active","p_cases_active_smooth","p_cases_active_smooth_slope","p_cases_active_smooth_slope2"
2020-10-05,"SZ",5579,112,1093238,10,1,10,5579,236,180,0.00510318887561537,9.14713904931954e-06,0.000215872481563941,0.000164648502887752,0.000178018732776409,-5.20907706294069e-06,1.40130805770141e-07
2020-10-06,"SZ",5598,112,1093238,19,0,19,5598,223,179,0.00512056843980908,1.73795641937071e-05,0.000203981200799826,0.00016373378898282,0.000173652385478186,-4.98459665183923e-06,1.6132890133553e-07
2020-10-07,"SZ",5617,113,1093238,19,1,19,5617,218,186,0.00513794800400279,1.73795641937071e-05,0.000199407631275166,0.000170136786317344,0.000169524025954874,-4.74697918277319e-06,1.8388679831027e-07
2020-10-08,"SZ",5632,113,1093238,15,0,15,5632,213,180,0.00515166871257677,1.37207085739793e-05,0.000194834061750506,0.000164648502887752,0.000165608943503685,-4.50657579199515e-06,2.04051859228291e-07
2020-10-09,"SZ",5644,113,1093238,12,0,12,5644,213,182,0.00516264527943595,1.09765668591835e-05,0.000194834061750506,0.000166477930697616,0.000161878784467344,-4.27329684269594e-06,2.18751477435594e-07
2020-10-10,"SZ",5660,113,1093238,16,0,16,5660,208,178,0.00517728070191486,1.46354224789113e-05,0.000190260492225847,0.000162819075077888,0.000158304803630454,-4.05572688794942e-06,2.25947602081299e-07
2020-10-11,"SZ",5669,113,1093238,9,0,9,5669,207,169,0.00518551312705925,8.23242514438759e-06,0.000189345778320915,0.0001545866499335,0.000154860967779744,-3.85962749944425e-06,2.24908260582741e-07
2020-10-12,"SZ",5683,113,1093238,14,0,14,5683,201,162,0.0051983191217283,1.28059946690474e-05,0.000183857494891323,0.000148183652598977,0.000151525968040445,-3.68773623962363e-06,2.16143402035933e-07
2020-10-13,"SZ",5696,114,1093238,13,1,13,5696,196,166,0.00521021040249241,1.18912807641154e-05,0.000179283925366663,0.000151842508218704,0.00014828352570129,-3.54008337559738e-06,2.01149301195968e-07
2020-10-14,"SZ",5715,114,1093238,19,0,19,5715,194,146,0.00522758996668612,1.73795641937071e-05,0.000177454497556799,0.000133548230120065,0.000145120292180037,-3.41477522060804e-06,1.81966761897851e-07
2020-10-15,"SZ",5733,115,1093238,18,1,18,5733,203,154,0.00524405481697489,1.64648502887752e-05,0.000185686922701187,0.000140865941359521,0.000142025535510399,-3.3088748261575e-06,1.60737002756407e-07
2020-10-16,"SZ",5746,115,1093238,13,0,13,5746,177,148,0.00525594609773901,1.18912807641154e-05,0.000161904361172956,0.000135377657929929,0.000138990045185916,-3.21912640742303e-06,1.39433413421065e-07
2020-10-17,"SZ",5765,115,1093238,19,0,19,5765,186,148,0.00527332566193272,1.73795641937071e-05,0.000170136786317344,0.000135377657929929,0.000136005062401103,-3.14265089644009e-06,1.19496100500694e-07
2020-10-18,"SZ",5780,116,1093238,15,1,15,5780,182,148,0.0052870463705067,1.37207085739793e-05,0.000166477930697616,0.000135377657929929,0.0001330618900106,-3.07734633830744e-06,1.01731650219365e-07
2020-10-19,"SZ",5788,116,1093238,8,0,8,5788,171,144,0.00529436408174615,7.31771123945564e-06,0.000156416077743364,0.000131718802310201,0.00013015303174611,-3.02174899252989e-06,8.63890638445829e-08
2020-10-20,"SZ",5800,116,1093238,12,0,12,5800,168,140,0.00530534064860534,1.09765668591835e-05,0.000153671936028568,0.000128059946690474,0.000127273852615882,-2.97440659402576e-06,7.33947710970463e-08
2020-10-21,"SZ",5805,116,1093238,5,0,5,5805,161,136,0.00530991421813,4.57356952465977e-06,0.000147268938694045,0.000124401091070746,0.000124423423307639,-2.93368536712677e-06,6.25315765051217e-08
2020-10-22,"SZ",5814,116,1093238,9,0,9,5814,154,131,0.00531814664327438,8.23242514438759e-06,0.000140865941359521,0.000119827521546086,0.000121607202709726,-2.89714041269824e-06,5.36643324541317e-08
2020-10-23,"SZ",5831,116,1093238,17,0,17,5831,162,135,0.00533369677965823,1.55501363838432e-05,0.000148183652598977,0.000123486377165814,0.000118837011274638,-2.86134185441089e-06,4.68848403381991e-08
2020-10-24,"SZ",5847,116,1093238,16,0,16,5847,164,132,0.00534833220213714,1.46354224789113e-05,0.000150013080408841,0.000120742235451018,0.000116131449296666,-2.82174011898902e-06,4.26010365530697e-08
2020-10-25,"SZ",5854,116,1093238,7,0,7,5854,158,121,0.00535473519947166,6.40299733452368e-06,0.000144524796979249,0.000110680382496766,0.000113515911383358,-2.77285339379208e-06,4.1482599789635e-08
2020-10-26,"SZ",5863,116,1093238,9,0,9,5863,148,117,0.00536296762461605,8.23242514438759e-06,0.000135377657929929,0.000107021526877039,0.00011102067082644,-2.70886363157365e-06,4.42571604086851e-08
2020-10-27,"SZ",5875,116,1093238,12,0,12,5875,142,110,0.00537394419147523,1.09765668591835e-05,0.000129889374500338,0.000100618529542515,0.000108678307339017,-2.62418599477025e-06,5.15832287260855e-08
2020-10-28,"SZ",5886,116,1093238,11,0,11,5886,140,106,0.00538400604442948,1.00618529542515e-05,0.000128059946690474,9.69596739227872e-05,0.000106523945645645,-2.51387617734682e-06,6.387737255857e-08
2020-10-29,"SZ",5899,117,1093238,13,1,13,5899,134,111,0.0053958973251936,1.18912807641154e-05,0.000122571663260882,0.000101533243447447,0.000104592793838107,-2.37403623942183e-06,8.12176024981775e-08
2020-10-30,"SZ",5909,117,1093238,10,0,10,5909,129,109,0.00540504446424292,9.14713904931954e-06,0.000117998093736222,9.9703815637583e-05,0.000102919012477974,-2.20207280311534e-06,1.03277885978947e-07
2020-10-31,"SZ",5917,117,1093238,8,0,8,5917,129,112,0.00541236217548237,7.31771123945564e-06,0.000117998093736222,0.000102447957352379,0.0001015358088014,-1.99668376365958e-06,1.29361605022083e-07
2020-11-01,"SZ",5925,117,1093238,8,0,8,5925,125,111,0.00541967988672183,7.31771123945564e-06,0.000114339238116494,0.000101533243447447,0.000100473880428689,-1.75779839962519e-06,1.5851087199141e-07
2020-11-02,"SZ",5929,117,1093238,4,0,4,5929,124,98,0.00542333874234156,3.65885561972782e-06,0.000113424524211562,8.96419626833315e-05,9.97610890384669e-05,-1.48620305009173e-06,1.89663824113087e-07
2020-11-03,"SZ",5942,117,1093238,13,0,13,5942,128,95,0.00543523002310567,1.18912807641154e-05,0.00011708337983129,8.68978209685357e-05,9.94215202536152e-05,-1.18373756533838e-06,2.21689768668075e-07
2020-11-04,"SZ",5955,117,1093238,13,0,13,5955,124,101,0.00544712130386979,1.18912807641154e-05,0.000113424524211562,9.23861043981274e-05,9.94736247462709e-05,-8.53194848639333e-07,2.53473565130416e-07
2020-11-05,"SZ",5967,117,1093238,12,0,12,5967,120,104,0.00545809787072897,1.09765668591835e-05,0.000109765668591835,9.51302461129233e-05,9.99273368024415e-05,-4.98612612588724e-07,2.83910031754436e-07
2020-11-06,"SZ",5976,117,1093238,9,0,9,5976,122,101,0.00546633029587336,8.23242514438759e-06,0.000111595096401698,9.23861043981274e-05,0.000100784819108764,-1.25164948772684e-07,3.11919802481149e-07
2020-11-07,"SZ",5989,117,1093238,13,0,13,5989,126,103,0.00547822157663747,1.18912807641154e-05,0.000115253952021426,9.42155322079913e-05,0.000102036848680983,2.6049470871575e-07,3.3638218472349e-07
2020-11-08,"SZ",6003,117,1093238,14,0,14,6003,128,104,0.00549102757130652,1.28059946690474e-05,0.00011708337983129,9.51302461129233e-05,0.000103665680035958,6.50765166248543e-07,3.56161369390045e-07
2020-11-09,"SZ",6013,117,1093238,10,0,10,6013,127,104,0.00550017471035584,9.14713904931954e-06,0.000116168665926358,9.51302461129233e-05,0.000105646189404023,1.03744485840134e-06,3.70197070623286e-07
2020-11-10,"SZ",6024,117,1093238,11,0,11,6024,125,107,0.00551023656331009,1.00618529542515e-05,0.000114339238116494,9.78743878277191e-05,0.000107948707051012,1.41251371745692e-06,3.77618094349376e-07
2020-11-11,"SZ",6044,117,1093238,20,0,20,6044,135,119,0.00552853084140873,1.82942780986391e-05,0.000123486377165814,0.000108850954686903,0.000110543877541175,1.76942345645553e-06,3.78006011507375e-07
2020-11-12,"SZ",6060,117,1093238,16,0,16,6060,143,131,0.00554316626388764,1.46354224789113e-05,0.000130804088405269,0.000119827521546086,0.0001134068586065,2.10367324962257e-06,3.71473033065876e-07
2020-11-13,"SZ",6076,118,1093238,16,1,16,6076,151,134,0.00555780168636655,1.46354224789113e-05,0.000138121799644725,0.000122571663260882,0.000116522355467994,2.41425113116836e-06,3.58959403742102e-07
2020-11-14,"SZ",6093,119,1093238,17,1,17,6093,164,138,0.0055733518227504,1.55501363838432e-05,0.000150013080408841,0.00012623051888061,0.000119886672755922,2.70349878666064e-06,3.42122270068684e-07
2020-11-15,"SZ",6095,119,1093238,2,0,2,6095,153,128,0.00557518125056026,1.82942780986391e-06,0.000139951227454589,0.00011708337983129,0.000123510911449274,2.97745367420846e-06,3.2333480263452e-07
2020-11-16,"SZ",6105,119,1093238,10,0,10,6105,150,129,0.00558432838960958,9.14713904931954e-06,0.000137207085739793,0.000117998093736222,0.000127417483498945,3.2447960746555e-06,3.0538039286643e-07
2020-11-17,"SZ",6124,119,1093238,19,0,19,6124,157,135,0.00560170795380329,1.73795641937071e-05,0.000143610083074317,0.000123486377165814,0.000131637110761451,3.51553887004609e-06,2.91019235598428e-07
2020-11-18,"SZ",6144,119,1093238,20,0,20,6144,168,141,0.00562000223190193,1.82942780986391e-05,0.000153671936028568,0.000128974660595406,0.000136198534469152,3.7986126437753e-06,2.82489899025455e-07
2020-11-19,"SZ",6156,119,1093238,12,0,12,6156,167,143,0.00563097879876111,1.09765668591835e-05,0.000152757222123636,0.000130804088405269,0.000141121460409137,4.09985082352396e-06,2.80933282059267e-07
2020-11-20,"SZ",6185,119,1093238,29,0,29,6185,182,161,0.00565750550200414,2.65267032430267e-05,0.000166477930697616,0.000147268938694045,0.000146404406867351,4.41962235190487e-06,2.86020594207371e-07
2020-11-21,"SZ",6205,119,1093238,20,0,20,6205,192,161,0.00567579978010278,1.82942780986391e-05,0.000175625069746935,0.000147268938694045,0.000152015993485239,4.75084700599419e-06,2.95565555297623e-07
2020-11-22,"SZ",6219,120,1093238,14,1,14,6219,195,159,0.00568860577477183,1.28059946690474e-05,0.000178369211461731,0.000145439510884181,0.000157887702542407,5.07836984057686e-06,3.0559562765356e-07
2020-11-23,"SZ",6233,120,1093238,14,0,14,6233,189,157,0.00570141176944087,1.28059946690474e-05,0.000172880928032139,0.000143610083074317,0.00016391113937268,5.37900476853817e-06,3.1057764974868e-07
2020-11-24,"SZ",6247,120,1093238,14,0,14,6247,187,154,0.00571421776410992,1.28059946690474e-05,0.000171051500222275,0.000140865941359521,0.000169942707460274,5.62402883185375e-06,3.04236031346408e-07
2020-11-25,"SZ",6272,120,1093238,25,0,25,6272,196,177,0.00573708561173322,2.28678476232989e-05,0.000179283925366663,0.000161904361172956,0.00017581206259689,5.78176703129209e-06,2.80319367961354e-07
2020-11-26,"SZ",6329,120,1093238,57,0,57,6329,236,224,0.00578922430431434,5.21386925811214e-05,0.000215872481563941,0.000204895914704758,0.000181343400536975,5.82316561160392e-06,2.33923876616508e-07
2020-11-27,"SZ",6362,120,1093238,33,0,33,6362,267,238,0.00581940986317709,3.01855588627545e-05,0.000244228612616832,0.000217701909373805,0.000186377468485404,5.72691250002743e-06,1.62677582338873e-07
2020-11-28,"SZ",6406,121,1093238,44,1,44,6406,301,262,0.0058596572749941,4.0247411817006e-05,0.000275328885384518,0.000239655043092172,0.000190801470401919,5.48562797658542e-06,6.78763560014253e-08
2020-11-29,"SZ",6410,121,1093238,4,0,4,6410,286,254,0.00586331613061383,3.65885561972782e-06,0.000261608176810539,0.000232337331852716,0.000194574541469131,5.11056701607508e-06,-4.4739625410515e-08
2020-11-30,"SZ",6419,122,1093238,9,1,9,6419,275,234,0.00587154855575822,8.23242514438759e-06,0.000251546323856287,0.000214043053754077,0.000197754355083914,4.6352746039399e-06,-1.64792371318976e-07
2020-12-01,"SZ",6442,122,1093238,23,0,23,6442,286,237,0.00589258697557165,2.1038419813435e-05,0.000261608176810539,0.000216787195468873,0.000200513253421991,4.11686513751677e-06,-2.77483648962552e-07
