"date","countrycode","cum_cases","cum_deaths","population","cases","deaths","cases_daily","cases_infected","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active","p_cases_active_smooth","p_cases_active_smooth_slope","p_cases_active_smooth_slope2"
2020-08-27,"AG",94,3,99000,0,0,0,94,1,0,0.00094949494949495,0,1.01010101010101e-05,0,1.52246280936325e-05,-9.27864286076313e-07,1.97138218840285e-07
2020-08-28,"AG",94,3,99000,0,0,0,94,1,0,0.00094949494949495,0,1.01010101010101e-05,0,1.48364746065738e-05,-7.67101577878827e-07,1.8624254351584e-07
2020-08-29,"AG",94,3,99000,0,0,0,94,1,0,0.00094949494949495,0,1.01010101010101e-05,0,1.45918411539882e-05,-6.1208761842051e-07,1.76363787823467e-07
2020-08-30,"AG",94,3,99000,0,0,0,94,1,0,0.00094949494949495,0,1.01010101010101e-05,0,1.44920373056901e-05,-4.62528964216909e-07,1.67451628625505e-07
2020-08-31,"AG",94,3,99000,0,0,0,94,0,0,0.00094949494949495,0,0,0,1.45397073958264e-05,-3.16348424073263e-07,1.6007688520074e-07
2020-09-01,"AG",94,3,99000,0,0,0,94,0,0,0.00094949494949495,0,0,0,1.47439070517504e-05,-1.68897850496479e-07,1.54695010032059e-07
2020-09-02,"AG",94,3,99000,0,0,0,94,0,0,0.00094949494949495,0,0,0,1.51092530939033e-05,-1.92291666215374e-08,1.51439186575796e-07
2020-09-03,"AG",95,3,99000,1,0,1,95,1,15,0.00095959595959596,1.01010101010101e-05,1.01010101010101e-05,0.000151515151515152,1.56597283040824e-05,1.37208949584764e-07,1.50718421243932e-07
2020-09-04,"AG",95,3,99000,0,0,0,95,1,0,0.00095959595959596,0,1.01010101010101e-05,0,1.63812621456258e-05,2.98236831939614e-07,1.51720741726687e-07
2020-09-05,"AG",95,3,99000,0,0,0,95,1,0,0.00095959595959596,0,1.01010101010101e-05,0,1.72954296888146e-05,4.67232063854075e-07,1.54960171345164e-07
2020-09-06,"AG",95,3,99000,0,0,0,95,1,0,0.00095959595959596,0,1.01010101010101e-05,0,1.84134231598503e-05,6.45619294003978e-07,1.60327953012874e-07
2020-09-07,"AG",95,3,99000,0,0,0,95,1,0,0.00095959595959596,0,1.01010101010101e-05,0,1.97435013815681e-05,8.33265721636273e-07,1.67027262022125e-07
2020-09-08,"AG",95,3,99000,0,0,0,95,1,0,0.00095959595959596,0,1.01010101010101e-05,0,2.1306191555789e-05,1.03282307698095e-06,1.75342040600415e-07
2020-09-09,"AG",95,3,99000,0,0,0,95,1,0,0.00095959595959596,0,1.01010101010101e-05,0,2.31019102305878e-05,1.24036365441758e-06,1.83859117472135e-07
2020-09-10,"AG",95,3,99000,0,0,0,95,1,0,0.00095959595959596,0,1.01010101010101e-05,0,2.51356110684365e-05,1.45905815380178e-06,1.9347022031036e-07
2020-09-11,"AG",95,3,99000,0,0,0,95,1,0,0.00095959595959596,0,1.01010101010101e-05,0,2.74182883147654e-05,1.68714310432514e-06,2.03318506745178e-07
2020-09-12,"AG",95,3,99000,0,0,0,95,1,0,0.00095959595959596,0,1.01010101010101e-05,0,2.99377218809426e-05,1.92071645351538e-06,2.125161932519e-07
2020-09-13,"AG",95,3,99000,0,0,0,95,1,0,0.00095959595959596,0,1.01010101010101e-05,0,3.27085233017909e-05,2.16083698670381e-06,2.21261877511256e-07
2020-09-14,"AG",95,3,99000,0,0,0,95,1,0,0.00095959595959596,0,1.01010101010101e-05,0,3.57131975107683e-05,2.40116765916321e-06,2.2805743036371e-07
2020-09-15,"AG",95,3,99000,0,0,0,95,0,0,0.00095959595959596,0,0,0,3.89406470743282e-05,2.63978947395672e-06,2.33237636589858e-07
2020-09-16,"AG",95,3,99000,0,0,0,95,0,0,0.00095959595959596,0,0,0,4.23817653121011e-05,2.87435904061077e-06,2.35883481134832e-07
