"date","country","ISO3","ISO2","cases","deaths","cum_cases","cum_deaths","countrycode","population","cases_daily","cases_infected","cases_active","p_cases_infected","p_cases_daily","p_cases_active"
2021-07-10,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-11,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-12,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-13,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-14,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-15,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-16,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-17,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-18,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-19,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-20,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-21,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-22,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-23,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-24,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-25,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-26,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-27,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-28,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-29,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-30,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-31,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-01,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-02,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-03,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-04,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-05,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-06,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-07,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-08,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-09,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-10,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-11,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-12,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-13,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-14,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-15,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-16,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-17,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-18,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-19,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-20,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-21,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-22,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-23,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-24,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-25,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-26,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-27,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-28,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-29,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-30,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-08-31,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-09-01,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-09-02,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-09-03,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-09-04,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-09-05,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-09-06,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-09-07,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
