"ISO2","ISO_3","country_agg","age","date","count","cli","cli_weight","cliWHO","cliWHO_weight","cli_local","count_local","weight","count_7days","cli_7days","cli_weight_7days","cliWHO_7days","cliWHO_weight_7days","cli_local_7days","count_local_7days","weight_7days","p_cli","p_cli_weight","p_cliWHO","p_cliWHO_weight","p_cli_local","p_cli_7days","p_cliWHO_7days","p_cli_local_7days","p_cli_smooth","p_cli_weight_smooth","p_cliWHO_smooth","p_cliWHO_weight_smooth","p_cli_local_smooth","slope_cli_smooth_7days","slope_cliWHO_smooth_7days","slope_cli_weight_smooth_7days","slope_cliWHO_weight_smooth_7days","slope_cli_local_smooth_7days"
"IN","IND","India",6,2020-12-24,100,0,0,0,0,4,100,14672040.5030281,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.000563380281690141,NA,NA,NA,0.00333638625881922,0.00296596414343742,0.00149138811545481,0.00134041587894564,0.0028371028519186,NA,NA,NA,NA,NA
"IN","IND","India",1,2020-12-25,467,3,89337.7716016301,0,0,108,467,40920247.302297,NA,NA,NA,NA,NA,NA,NA,NA,0.00642398286937901,0.00218321680564758,0,0,0.00325723075067105,NA,NA,NA,0.00477347222191465,0.00742951472912845,0.000790229139679486,0.00132965306443975,0.00237930156864145,NA,NA,NA,NA,NA
"IN","IND","India",2,2020-12-25,903,2,329994.067993212,1,126916.168681821,139,903,69979772.3154244,NA,NA,NA,NA,NA,NA,NA,NA,0.00221483942414175,0.00471556361323681,0.00110741971207087,0.00181361219796148,0.00216804704194157,NA,NA,NA,0.00506733406516122,0.0047052993754483,0.00185669210488612,0.00181305465132953,0.00229932780727653,NA,NA,NA,NA,NA
"IN","IND","India",3,2020-12-25,464,1,13975.5547607191,0,0,122,464,31857809.4587339,NA,NA,NA,NA,NA,NA,NA,NA,0.0021551724137931,0.000438685364692822,0,0,0.00370325400679942,NA,NA,NA,0.00140941378894501,0.00135221672961325,0.000259902508076077,0.000171635360001027,0.00280626907489992,NA,NA,NA,NA,NA
"IN","IND","India",4,2020-12-25,184,1,309444.098380499,0,0,46,184,23143682.2512806,NA,NA,NA,NA,NA,NA,NA,NA,0.00543478260869565,0.0133705645895383,0,0,0.00352112676056338,NA,NA,NA,0.00188262629545502,0.00214396660170683,0.000718384825270558,0.000459829197463846,0.00310367352688261,NA,NA,NA,NA,NA
"IN","IND","India",5,2020-12-25,118,0,0,0,0,25,117,15070331.215621,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00300951005176357,NA,NA,NA,0.00138099660732005,0.00160291271091118,0.00035846231057296,0.00037730785194863,0.00267830197649463,NA,NA,NA,NA,NA
"IN","IND","India",6,2020-12-25,100,1,124757.726390481,0,0,24,100,13884434.476519,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.00898543808906787,0,0,0.00338028169014085,NA,NA,NA,0.0032946178004775,0.00291744928279087,0.00149231596164508,0.001341159429811,0.0028266795105928,NA,NA,NA,NA,NA
"IN","IND","India",1,2020-12-26,465,1,55161.1507550694,0,0,105,465,40027500.6255606,NA,NA,NA,NA,NA,NA,NA,NA,0.0021505376344086,0.00137808131641986,0,0,0.00318037255792821,NA,NA,NA,0.00480140016254264,0.00739805151596753,0.000812379967397747,0.00136426516326109,0.00237079632537312,NA,NA,NA,NA,NA
"IN","IND","India",2,2020-12-26,894,5,361727.571432395,2,87432.9254970997,156,893,70367426.9077588,NA,NA,NA,NA,NA,NA,NA,NA,0.00559284116331096,0.00514055419287345,0.00223713646532438,0.00124251986095372,0.00246045139819882,NA,NA,NA,0.00499959857483996,0.00463810564826218,0.00182887237924624,0.00178816736227456,0.00229722804517573,NA,NA,NA,NA,NA
"IN","IND","India",3,2020-12-26,459,4,392782.554284611,0,0,79,458,32099078.0911026,NA,NA,NA,NA,NA,NA,NA,NA,0.00871459694989107,0.0122365680774329,0,0,0.00242942370379482,NA,NA,NA,0.0014168313973926,0.00135968830168978,0.000263015177409171,0.000171931629957267,0.00278382680872644,NA,NA,NA,NA,NA
"IN","IND","India",4,2020-12-26,175,0,0,0,0,36,175,20299327.4559978,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00289738430583501,NA,NA,NA,0.00182538814025211,0.00208458047413023,0.000691184758584436,0.000442476033637526,0.00308746493865834,NA,NA,NA,NA,NA
"IN","IND","India",5,2020-12-26,117,1,207794.414697763,0,0,44,116,14384373.1542087,NA,NA,NA,NA,NA,NA,NA,NA,0.00854700854700855,0.0144458442832433,0,0,0.00534239922292375,NA,NA,NA,0.00144414857239457,0.00162549519284658,0.000398525691670126,0.000419151662077523,0.00265575769851219,NA,NA,NA,NA,NA
"IN","IND","India",6,2020-12-26,100,1,124757.726390481,0,0,28,99,13510125.4877572,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.00923438694211505,0,0,0.00398349694124342,NA,NA,NA,0.00324902984783706,0.00286386514716912,0.00148875723408154,0.00133787099661664,0.0028141125297303,NA,NA,NA,NA,NA
"IN","IND","India",1,2020-12-27,442,2,260202.631615251,0,0,41,442,35705529.72502,3419,13,1400764.15986511,0,0,636,3417,279459924.226838,0.00452488687782805,0.00728746033511215,0,0,0.00130648142247148,0.00380228136882129,0,0.00262152369882155,0.00482863929626089,0.00735588027906319,0.000832472073438917,0.00139502385465508,0.00236245496278588,2.82496447626201e-05,2.40869244339466e-05,-1.78698838965758e-05,3.83768722021898e-05,-8.68010187863314e-06
"IN","IND","India",2,2020-12-27,926,7,469666.102867224,2,153729.923140792,184,926,68654026.0441088,6804,23,1840445.83444728,6,379143.543252875,1183,6800,525146757.315677,0.00755939524838013,0.00684105696242014,0.00215982721382289,0.00223919749501687,0.00279864934748882,0.0033803644914756,0.000881834215167548,0.00245028997514499,0.00492271947024963,0.00456306470591923,0.00179615161833485,0.00175834876495534,0.00229518792850232,-5.45486229661242e-05,-2.105191291305e-05,-5.5673969720133e-05,-1.80686266708094e-05,-2.23311678077824e-06
"IN","IND","India",3,2020-12-27,486,1,57447.5675933438,1,57447.5675933438,88,485,32543025.6986461,3376,7,490548.724407438,1,57447.5675933438,792,3370,230203949.85916,0.00205761316872428,0.00176528046670638,0.00205761316872428,0.00176528046670638,0.00255553942209961,0.00207345971563981,0.000296208530805687,0.00331006812387679,0.00142627500491229,0.00136958309826307,0.000265841138438028,0.000171983469874378,0.00276126552262069,5.076112792341e-06,3.37751466118888e-06,5.14135380631844e-06,5.75018378085991e-07,-2.21352014136163e-05
"IN","IND","India",4,2020-12-27,177,1,53025.8500753615,1,53025.8500753615,43,177,16295684.4987924,1264,4,509064.575638074,2,132395.387752179,305,1264,146116099.412357,0.00564971751412429,0.00325398114324631,0.00564971751412429,0.00325398114324631,0.00342165990292035,0.00316455696202532,0.00158227848101266,0.00339855589231592,0.00176496570593375,0.00202116372702239,0.000662971557517222,0.000424773177951894,0.00307075457606983,-5.2295163485901e-05,-2.55872283118536e-05,-5.32290728393009e-05,-1.664535647988e-05,-1.53610144813771e-05
"IN","IND","India",5,2020-12-27,100,0,0,0,0,25,100,11319648.6067576,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00352112676056338,NA,NA,NA,0.00151256065779883,0.0016506489256653,0.000441316185001932,0.000463888258174652,0.00263358282151089,NA,NA,NA,NA,NA
"IN","IND","India",6,2020-12-27,100,0,0,0,0,33,98,12729631.3234189,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00474274216728945,NA,NA,NA,0.00319975813561157,0.00280505218593643,0.00148028877183093,0.00133017114949888,0.0027993073544155,NA,NA,NA,NA,NA
"IN","IND","India",1,2020-12-28,100,1,237168.38882538,0,0,11,100,7649819.27421859,3026,13,1486849.87410508,0,0,539,3025,247301770.241846,0.01,0.0310031361949536,0,0,0.00154929577464789,0.00429610046265697,0,0.00250960307298335,0.00485496183264393,0.00730204394338606,0.000850147985030232,0.00142124050708428,0.00235432593743158,2.79018629678945e-05,2.25960191462601e-05,-2.73329655128937e-05,3.55112781819022e-05,-8.54940210872757e-06
"IN","IND","India",2,2020-12-28,100,4,266417.54611123,2,153729.923140792,7,100,7574795.64292785,5954,23,1813916.13149009,8,532873.466393666,982,5952,460935185.603501,0.04,0.0351715820030034,0.02,0.0202949268056255,0.000985915492957746,0.00386294927779644,0.00134363453140746,0.00232375435408148,0.00483663531335529,0.00448029165637695,0.00175851409848814,0.00172350952808514,0.00229318675288043,-6.33679440855914e-05,-2.56395829123636e-05,-6.33375976970079e-05,-2.26881413252189e-05,-2.15491434384196e-06
"IN","IND","India",3,2020-12-28,100,0,0,0,0,15,100,6687242.56194111,2965,7,490548.724407438,1,57447.5675933438,655,2961,203281066.871637,0,0,0,0,0.00211267605633803,0.00236087689713322,0.000337268128161889,0.0031156204365674,0.00143816025687771,0.00138246203354323,0.000268429733226662,0.000171830450385147,0.00273864807385355,6.77552907373004e-06,3.16733263874082e-06,6.97411915367072e-06,3.70564519107764e-07,-2.23171138145646e-05
"IN","IND","India",4,2020-12-28,100,0,0,0,0,23,100,9304789.3342372,1185,4,509064.575638074,2,132395.387752179,287,1185,134448437.847118,0,0,0,0,0.00323943661971831,0.00337552742616034,0.00168776371308017,0.00341118440601414,0.00170165889675805,0.00195405307527108,0.000633818349816893,0.00040682324115064,0.00305360572589636,-5.55169854526087e-05,-2.66259774357402e-05,-5.72629258203577e-05,-1.70746191901474e-05,-1.5906400885916e-05
"IN","IND","India",5,2020-12-28,100,0,0,0,0,25,100,11277290.1139476,763,1,207794.414697763,0,0,191,761,92068187.891807,0,0,0,0,0.00352112676056338,0.00131061598951507,0,0.00353500768077585,0.00158613143316919,0.00167797655006186,0.000486795224926049,0.00051133632706126,0.0026119484852744,6.04035372841889e-05,3.8423833934239e-05,2.14691093424566e-05,4.02229776663037e-05,-2.25940517466888e-05
"IN","IND","India",6,2020-12-28,100,0,0,0,0,33,98,12557033.503223,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00474274216728945,NA,NA,NA,0.00314684323394409,0.00274084081878184,0.00146649804388049,0.00131769011259181,0.00278222020360307,NA,NA,NA,NA,NA
"IN","IND","India",1,2020-12-30,470,1,205390.315119318,0,0,85,469,42524720.7207428,2922,11,1305380.14598305,0,0,510,2920,246097285.288249,0.00212765957446809,0.00482990391560955,0,0,0.00255262920808433,0.00376454483230664,0,0.00245996527107853,0.00490361195007348,0.00715613744035538,0.000876208769919322,0.00145680416327242,0.00233868737473257,2.98476253993384e-05,2.19386357031886e-05,-4.62000687064766e-05,3.35545846137544e-05,-9.22066277912733e-06
"IN","IND","India",2,2020-12-30,936,2,16516.5627214994,0,0,158,936,75073072.3257511,5782,22,1747390.52433572,7,521808.940460504,968,5780,455414247.275194,0.00213675213675214,0.000220006484479975,0,0,0.00237751294089322,0.00380491179522657,0.00121065375302663,0.00235878941468882,0.00463796262989367,0.00429328052258986,0.00166843924597923,0.00163875925010777,0.00228911353349633,-8.34510537409445e-05,-3.54634680527267e-05,-8.14203736312085e-05,-3.22842696072425e-05,-2.31338053658607e-06
"IN","IND","India",3,2020-12-30,503,0,0,0,0,90,503,35122609.930046,2969,6,464205.676638674,1,57447.5675933438,621,2965,205178349.593674,0,0,0,0,0.00252009072326604,0.00202088245200404,0.000336813742000674,0.00294990855758497,0.00147060744178633,0.00141932336581436,0.00027290277089972,0.000170963037248683,0.00269352420367153,1.06494216671839e-05,3.1773745357256e-06,1.13879783269598e-05,1.10641153318358e-07,-2.48619838622065e-05
"IN","IND","India",4,2020-12-30,180,1,180424.000560821,0,0,67,180,22224345.4358621,1155,4,610119.038522078,1,53025.8500753615,296,1155,133167558.791597,0.00555555555555556,0.00811830436498173,0,0,0.00524256651017214,0.00346320346320346,0.000865800865800866,0.0036095360039022,0.00156738650542616,0.00180982740755005,0.000573272898459913,0.000370759519409324,0.00301828608535905,-6.59554445278758e-05,-3.09068335150908e-05,-6.91004740596047e-05,-1.93651536671673e-05,-1.83166904201519e-05
"IN","IND","India",5,2020-12-30,100,0,0,0,0,12,100,12429655.8114945,742,1,207794.414697763,0,0,188,740,90017085.3766968,0,0,0,0,0.00169014084507042,0.00134770889487871,0,0.00357822611343738,0.0017479198709199,0.00173926882831411,0.000584597976400618,0.000613019872748231,0.00257080956051276,7.45586838182017e-05,4.66040173506679e-05,2.71930707948951e-05,4.86697910355481e-05,-2.44065734772104e-05
"IN","IND","India",6,2020-12-30,100,1,113313.351836319,1,113313.351836319,19,99,12392435.9883664,700,3,362828.804617281,1,113313.351836319,151,694,93433895.225365,0.01,0.00914375123201714,0.01,0.00914375123201714,0.00270308721012946,0.00428571428571429,0.00142857142857143,0.00306449648902058,0.00303055402661336,0.00259587308673301,0.00142146000319983,0.00127704991360539,0.00274099060167649,-5.38006985063218e-05,-9.1646487894224e-06,-6.44408059520939e-05,-8.33366990098838e-06,-1.60929071134841e-05
"IN","IND","India",1,2020-12-31,380,4,452763.716566381,0,0,78,378,36557187.9307729,2786,14,1696421.02948815,0,0,526,2782,243671452.958425,0.0105263157894737,0.0123850805325553,0,0,0.00290632684998882,0.0050251256281407,0,0.00266299450187827,0.00492504111213658,0.00706304734457831,0.000883792734720387,0.00146471236539151,0.00233114595502488,3.04830035104357e-05,2.00652898860646e-05,-6.45237370795071e-05,2.96331523248021e-05,-9.57449913316148e-06
"IN","IND","India",2,2020-12-31,815,3,293289.687738155,0,0,130,815,75076746.7121622,5522,23,1737611.53886372,7,521808.940460504,926,5521,445649738.587944,0.00368098159509202,0.00390653165703361,0,0,0.00224660848526743,0.00416515755161173,0.0012676566461427,0.0023622991344189,0.00452648966401048,0.00419025193763725,0.00161626876753265,0.00158904041863966,0.00228697748091212,-0.000100713483316258,-4.41986798216778e-05,-9.66040778069929e-05,-4.09195067274566e-05,-2.43102096760741e-06
"IN","IND","India",3,2020-12-31,384,0,0,0,0,84,384,30924951.1000141,2874,6,464205.676638674,1,57447.5675933438,586,2871,202625370.046186,0,0,0,0,0.00308098591549296,0.00208768267223382,0.00034794711203897,0.0028747896644934,0.00149155094489089,0.00144433641426298,0.000274815275558331,0.000170295242422579,0.00267123156944203,1.45370887393998e-05,3.07610427659029e-06,1.60805490699117e-05,-1.44390101741966e-07,-2.65225046254255e-05
"IN","IND","India",4,2020-12-31,159,0,0,0,0,22,159,21203626.8365417,1144,4,610119.038522078,1,53025.8500753615,296,1144,134577433.813144,0,0,0,0,0.00194879971653822,0.0034965034965035,0.000874125874125874,0.0036442430808628,0.00149749960343026,0.0017338724389505,0.000542263390840081,0.000353058025028984,0.0030002643994309,-7.39709719124539e-05,-3.40744579517505e-05,-7.83880733435192e-05,-2.0887686237963e-05,-2.00662745942595e-05
"IN","IND","India",5,2020-12-31,100,0,0,0,0,11,100,13304351.3023873,735,1,207794.414697763,0,0,149,733,91253123.8452746,0,0,0,0,0.00154929577464789,0.00136054421768707,0,0.00286301712045808,0.00183515686171778,0.00177275138824561,0.000636041549657736,0.000666236635332081,0.00255155139649157,8.61020689339569e-05,5.30069565570554e-05,3.19703803288127e-05,5.52392970293761e-05,-2.52742241839998e-05
"IN","IND","India",6,2020-12-31,100,1,113313.351836319,1,113313.351836319,26,99,12841804.895405,700,4,476142.1564536,2,226626.703672638,167,693,92587506.1777177,0.01,0.00882378705791305,0.01,0.00882378705791305,0.00369896144544032,0.00571428571428571,0.00285714285714286,0.00339410198565128,0.00296759567211736,0.00251516826228463,0.00138961565196645,0.00124835652459509,0.00271682644791784,-6.20244972045293e-05,-1.67603034841645e-05,-7.56630129986199e-05,-1.51634992674179e-05,-2.01464055700771e-05
"IN","IND","India",1,2021-01-01,328,1,136178.567648592,1,136178.567648592,62,327,26643217.0014135,2652,13,1436202.54213162,1,136178.567648592,490,2648,230028222.580025,0.00304878048780488,0.0051111908761381,0.00304878048780488,0.0051111908761381,0.00267045699272085,0.00490196078431373,0.000377073906485671,0.00260627207352879,0.00494406448120926,0.00695619884793165,0.000887141630133607,0.00146506760382401,0.00232380483931154,2.97868332458681e-05,1.70464179460017e-05,-8.17749580384519e-05,2.38899403939635e-05,-9.62708988355385e-06
"IN","IND","India",2,2021-01-01,678,0,0,0,0,107,677,59340780.95907,5252,23,1737611.53886372,7,521808.940460504,881,5250,426066620.907203,0,0,0,0,0.00222605945867227,0.00437928408225438,0.00133282559025133,0.00236351441985245,0.00440801154704747,0.00408212400927469,0.00155967941265822,0.001534754473262,0.00228472561700308,-0.000114605079155578,-5.15699168738034e-05,-0.000108393489396431,-4.83122834399979e-05,-2.51364622691221e-06
"IN","IND","India",3,2021-01-01,387,0,0,0,0,59,387,26521030.8822392,2783,6,464205.676638674,1,57447.5675933438,537,2781,195755747.722723,0,0,0,0,0.00214725042763038,0.00215594681997844,0.000359324469996407,0.00271966209338013,0.00151600450464248,0.00147448003902045,0.000276610890375569,0.00016957800387443,0.0026493174016887,1.83408456772512e-05,2.88524913066039e-06,2.09223721756892e-05,-3.73759859816499e-07,-2.72781006125583e-05
"IN","IND","India",4,2021-01-01,147,0,0,0,0,28,146,18187984.6002883,1122,3,542893.949016682,1,53025.8500753615,265,1121,130659440.413,0,0,0,0,0.00270113833687054,0.00267379679144385,0.00089126559714795,0.00332952218215627,0.00142642157512112,0.00165635762460263,0.000510978441471322,0.00033585259403005,0.00298217356546973,-7.93560869697495e-05,-3.60628766408473e-05,-8.48421186122997e-05,-2.15992673593229e-05,-2.11203376215822e-05
"IN","IND","India",5,2021-01-01,105,0,0,0,0,6,105,12166851.8048346,740,1,207794.414697763,0,0,148,738,89952502.0092512,0,0,0,0,0.000804828973843058,0.00135135135135135,0,0.0028245352876064,0.00192566781382898,0.00180760450342161,0.000688392413970345,0.000720113611491216,0.00253329650687573,9.46924789747963e-05,5.74322791987879e-05,3.56145596777918e-05,5.97042442753734e-05,-2.52215097820023e-05
"IN","IND","India",6,2021-01-01,100,0,0,0,0,22,100,12880902.1462489,700,4,476142.1564536,2,226626.703672638,185,693,90796367.8209385,0,0,0,0,0.00309859154929577,0.00571428571428571,0.00285714285714286,0.00375993333739813,0.00290183908417329,0.00242921109320991,0.00135130807470824,0.00121386116988177,0.0026903999736768,-6.8228878905366e-05,-2.429055691685e-05,-8.46888370612593e-05,-2.19301771330097e-05,-2.36331259682839e-05
"IN","IND","India",7,2021-01-01,100,0,0,0,0,13,99,13758771.9961646,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00184948072272016,NA,NA,NA,0,0,0,0,0.00197517341265806,NA,NA,NA,NA,NA
"IN","IND","India",1,2021-01-02,100,1,136178.567648592,1,136178.567648592,7,100,7848308.29802217,2285,11,1483043.33817858,2,272357.135297184,389,2281,196956283.575751,0.01,0.0173513275061977,0.01,0.0173513275061977,0.000985915492957746,0.00481400437636762,0.00087527352297593,0.00240196108699545,0.00496027484662594,0.00683577948881573,0.000886095034136059,0.00145754662237436,0.00231657398961384,2.77697750585469e-05,1.3004609403374e-05,-9.73276979473647e-05,1.65501333566047e-05,-9.39811559404356e-06
"IN","IND","India",2,2021-01-02,100,0,0,0,0,12,100,7706814.78731228,4449,21,1407617.4708705,6,394892.771778683,754,4447,363793663.379091,0,0,0,0,0.00169014084507042,0.00472016183412003,0.00134861766689144,0.00238806348321546,0.00428376287251677,0.00397030164678803,0.00149913995397827,0.00147632612886305,0.00228233191648883,-0.000124538164382811,-5.7299536361166e-05,-0.000116261897016115,-5.4185049752382e-05,-2.56508146526708e-06
"IN","IND","India",3,2021-01-02,100,0,0,0,0,5,100,5976863.54832049,2419,5,450230.121877955,1,57447.5675933438,420,2417,169874801.81231,0,0,0,0,0.000704225352112676,0.0020669698222406,0.000413393964448119,0.00244745260974203,0.00154399115192512,0.0015101002442289,0.000278238274104611,0.000168761688118584,0.00262787688866979,2.19403196811107e-05,2.62836915332406e-06,2.58180032089959e-05,-5.66284481375487e-07,-2.71129466587663e-05
"IN","IND","India",4,2021-01-02,100,0,0,0,0,19,99,11874427.6260821,1038,2,233449.850636182,1,53025.8500753615,238,1036,119390185.787802,0,0,0,0,0.00270308721012946,0.00192678227360308,0.000963391136801541,0.00323562999619338,0.00135522073148553,0.00157836278841303,0.000479793442583159,0.000319457376588907,0.00296407387413476,-8.18482064733135e-05,-3.67755406811586e-05,-8.81587820825602e-05,-2.14522269682571e-05,-2.14527336155855e-05
"IN","IND","India",5,2021-01-02,100,0,0,0,0,7,100,11668965.8219251,722,1,207794.414697763,0,0,130,721,86551136.6155554,0,0,0,0,0.000985915492957746,0.00138504155124654,0,0.00253950889804849,0.00201860035784785,0.00184338712906187,0.000740893610641708,0.000773799630501708,0.00251612234564196,9.99498248917411e-05,5.96608049851164e-05,3.79414929407946e-05,6.18319614348752e-05,-2.42812777379935e-05
