ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
PRT,Portugal,-99,2021-01-03,2021-01-03,586,1,20697.1653061081,1,20697.1653061081,69,523,2856574.135168733,0,7,4,575,6,47,533,5,14,567,5,45,536,7,83,496,3,42,541,8,28,550,6,13,567,8,15,563,6,10,570,7,29,550,5,63,518,9,25,552,10,81,495,582,0,2,2,539,2,10,35,572,1,8,5,541,3,14,28,503,5,18,60,544,2,7,33,558,1,8,19,573,0,8,5,571,1,5,9,576,0,6,4,557,3,14,12,523,4,14,45,561,1,10,14,505,2,21,58,60,3,50,473,546,0,13,27,78,13,188,307,399,3,43,141,543,5,37,1,543,12,31,0,575,0,10,1,140,16,40,390,586,0,0,0,0,0,95,3,263,148,53,24,140,44,193,180,29,140,39,261,126,20,140,51,247,123,25,140,62,211,141,32,140,71,100,153,122,0,547,13,4,22,547,10,9,20,547,9,14,16,547,13,5,21,547,13,6,20,547,12,4,23,586,0,0,0,586,0,0,0,586,0,0,0,586,0,0,0,586,0,0,0,586,0,0,0,586,0,0,0,586,0,0,0,586,0,0,0,586,0,0,0,586,0,0,0,586,0,0,0,152,12,74,348,152,3,262,169,152,13,127,294,152,12,140,282,152,13,19,402,152,13,35,386,164,3,126,293,460,0,98,21,3,4,172,4,1,25,157,227,172,4,409,1,195,1,51,339,195,0,322,42,7,4,3,13,195,0,98,88,141,64,203,9,141,191,27,15,212,0,101,269,4,246,10,94,228,8,512,5,66,3,328,9,247,2,459,7,118,2,448,7,95,36,568,2,12,4,551,2,30,3,255,7,2,8,55,84,175,255,4,3,13,60,85,166,271,6,154,124,24,7,271,1,25,66,100,123,271,0,40,103,94,78,447,30,91,18,447,64,24,51,447,49,60,30,291,8,96,191,395,1,103,87,525,8,4,2,1,4,2,3,37,438,1,3,13,7,26,4,9,18,0,0,4,9,9,7,4,34,586,0,0,0,0,0,586,0,0,0,0,0,0,0,0,586,0,0,0,0,586,0,0,0,0,0,0,2.8881578947368416,2.11756871114666,1.5769230769230769,1.3014784492438412,0,0,0,0
PRT,Portugal,1,2021-01-03,2021-01-03,117,0,0,0,0,31,117,510770.8021236434,114,0,0,117,0,15,102,0,2,115,0,17,100,0,27,90,0,12,105,0,5,112,0,6,111,0,7,110,0,1,116,0,11,106,0,27,90,0,8,109,0,22,95,117,0,0,0,102,1,0,14,115,0,0,2,100,1,4,12,90,1,4,22,105,0,3,9,112,0,1,4,111,0,1,5,110,0,3,4,116,0,0,1,106,1,2,8,90,1,1,25,109,0,1,7,95,1,6,15,0,0,15,102,102,0,4,11,0,0,41,76,76,0,7,34,110,1,6,0,110,2,5,0,115,0,2,0,7,0,11,99,117,0,0,0,0,0,0,1,46,42,23,5,0,0,59,47,11,0,0,76,36,5,0,0,73,31,13,0,0,60,42,15,0,0,26,58,33,0,106,1,0,10,106,1,1,9,106,1,2,8,106,1,0,10,106,1,0,10,106,0,1,10,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,0,1,14,102,0,0,53,64,0,0,40,77,0,0,65,52,0,0,6,111,0,1,8,108,0,0,66,51,51,0,58,5,1,2,0,0,1,21,46,49,0,0,117,0,0,1,12,104,0,0,82,25,2,1,0,7,0,0,12,29,55,21,0,1,27,73,15,1,0,0,9,103,5,0,1,12,95,9,103,1,13,0,64,0,53,0,77,0,40,0,52,1,30,34,111,0,3,3,109,0,8,0,0,3,5,9,22,37,41,0,0,6,11,22,34,44,0,3,46,58,8,2,0,0,8,15,46,48,0,0,23,30,36,28,64,4,41,8,64,5,11,37,64,5,21,27,0,0,37,80,37,0,23,57,94,1,5,0,4,2,0,1,10,57,1,0,13,1,2,2,1,7,1,0,0,2,0,5,1,24,0,1,30,84,0,2,0,0,117,0,0,0,0,0,0,3,6,56,25,27,3,0,6,28,58,16,6,2.485294117647059,2.314733130285756,2.0714285714285716,1.1411388181101378,11.097938144329897,2.70670384498699,2.952830188679245,1.5515404048984174
PRT,Portugal,2,2021-01-03,2021-01-03,209,0,0,0,0,40,209,728329.3903790698,204,0,2,207,0,25,184,0,3,206,0,34,175,0,47,162,0,21,188,0,11,198,0,7,202,0,6,203,0,3,206,0,11,198,0,35,174,0,15,194,0,29,180,207,1,0,1,184,0,4,21,206,0,0,3,175,3,8,23,162,2,7,38,188,3,5,13,198,0,5,6,202,0,5,2,203,1,4,1,206,0,1,2,198,1,2,8,174,2,5,28,194,1,6,8,180,0,12,17,0,0,20,189,189,0,8,12,0,1,90,118,119,0,25,65,184,3,21,1,184,7,18,0,202,0,7,0,26,2,14,167,209,0,0,0,0,0,0,0,87,81,31,10,0,4,92,101,12,0,3,132,67,7,0,3,124,71,11,0,4,97,85,23,0,8,36,93,72,0,195,3,4,7,195,3,2,9,195,1,8,5,195,3,1,10,195,3,0,11,195,3,0,11,209,0,0,0,209,0,0,0,209,0,0,0,209,0,0,0,209,0,0,0,209,0,0,0,209,0,0,0,209,0,0,0,209,0,0,0,209,0,0,0,209,0,0,0,209,0,0,0,0,0,42,167,0,1,104,104,0,0,64,145,0,0,86,123,0,0,2,207,0,0,9,200,0,0,85,124,124,0,70,14,0,1,0,0,1,24,84,100,0,0,209,0,0,2,32,175,0,0,173,31,1,1,0,3,0,0,32,38,102,37,0,1,58,121,28,1,0,0,21,176,12,0,0,16,183,10,167,0,41,1,105,0,103,1,145,0,62,2,123,0,52,34,207,0,2,0,200,0,8,1,0,1,3,6,26,61,112,0,1,3,6,30,56,113,0,1,100,96,8,4,0,1,30,25,62,91,0,0,38,59,70,42,112,1,73,23,112,15,21,61,112,14,33,50,0,0,112,97,112,0,49,48,160,3,14,0,6,2,5,2,17,48,2,3,19,6,14,1,0,21,2,0,5,22,4,16,0,46,0,1,69,138,0,1,0,0,0,209,0,0,0,0,0,5,3,110,48,43,5,1,17,73,91,18,4,2.5544554455445545,1.452413491570169,2,1.2139539573337679,10.837349397590362,3.11847712808569,2.487562189054726,1.2128868567855717
PRT,Portugal,3,2021-01-03,2021-01-03,268,0,0,0,0,57,268,815645.2770306119,260,0,2,266,0,21,247,0,5,263,0,33,235,0,39,229,0,21,247,1,14,253,0,5,263,0,7,261,0,5,263,0,9,259,0,44,224,1,11,256,0,40,228,266,1,1,0,247,0,4,17,263,0,0,5,235,1,9,23,229,1,9,29,247,1,7,13,254,2,5,7,263,0,0,5,261,1,3,3,263,1,3,1,259,0,3,6,224,1,12,31,257,0,3,8,228,1,13,26,0,0,19,249,249,0,5,14,0,2,116,150,152,0,30,86,238,4,25,1,238,10,20,0,258,0,9,1,32,3,21,212,268,0,0,0,0,0,0,0,113,98,45,12,0,2,113,124,29,0,3,173,76,16,0,2,151,95,20,0,4,126,104,34,0,2,63,114,89,0,247,5,2,14,247,5,2,14,247,3,7,11,247,3,3,15,247,5,1,15,247,4,3,14,268,0,0,0,268,0,0,0,268,0,0,0,268,0,0,0,268,0,0,0,268,0,0,0,268,0,0,0,268,0,0,0,268,0,0,0,268,0,0,0,268,0,0,0,268,0,0,0,0,1,60,207,0,0,156,112,0,1,72,195,0,1,110,157,0,1,9,258,0,1,3,264,0,0,98,170,170,0,70,18,6,4,0,2,2,20,89,155,0,3,265,0,0,1,36,231,0,0,225,33,4,0,1,5,0,0,41,63,125,39,0,0,80,153,28,7,0,1,25,240,2,0,0,23,238,7,208,1,56,3,112,1,155,0,196,3,68,1,158,1,63,46,259,0,6,3,265,0,3,0,0,1,1,2,39,90,135,0,0,0,2,38,80,148,0,2,120,112,22,12,0,0,24,56,93,95,0,0,41,90,81,56,137,2,99,30,137,23,24,84,137,23,39,69,0,1,156,111,157,0,56,55,212,6,7,2,9,2,6,0,24,56,1,6,21,10,16,3,7,16,7,1,9,22,10,10,15,58,0,1,119,147,0,1,0,0,0,0,268,0,0,0,0,3,6,140,76,43,3,5,12,93,111,31,13,2.6772727272727272,2.3340188238083206,3.235294117647059,1.6781467369059941,10.269058295964125,3.4653084455373375,2.976470588235294,1.3189395996172943
PRT,Portugal,4,2021-01-03,2021-01-03,295,1,6136.17554213151,0,0,62,294,984497.7874324023,279,2,2,291,1,14,280,2,4,289,1,24,270,2,24,269,2,17,276,2,5,288,2,6,287,1,9,285,3,2,290,2,6,287,0,31,264,2,8,285,2,37,256,293,1,0,1,281,1,2,11,291,1,1,2,271,1,7,16,271,1,3,20,278,0,3,14,290,0,2,3,289,0,3,3,286,1,4,4,293,0,1,1,289,0,4,2,264,2,4,25,287,1,3,4,258,0,10,27,0,1,29,265,266,0,13,16,0,4,119,172,176,0,22,97,273,3,18,1,273,5,17,0,290,0,5,0,26,3,14,252,295,0,0,0,0,0,0,2,145,102,35,11,0,10,119,134,32,0,18,176,90,11,0,13,186,81,15,0,17,146,105,27,0,22,67,112,94,0,281,5,3,6,281,5,2,7,281,3,6,5,281,6,0,8,281,6,0,8,281,5,1,8,295,0,0,0,295,0,0,0,295,0,0,0,295,0,0,0,295,0,0,0,295,0,0,0,295,0,0,0,295,0,0,0,295,0,0,0,295,0,0,0,295,0,0,0,295,0,0,0,0,5,40,250,0,2,171,122,0,5,87,203,0,2,94,199,0,5,5,285,0,4,8,283,0,0,98,197,197,1,66,23,5,3,0,0,1,16,105,173,0,1,294,0,0,2,46,247,0,0,251,33,2,1,1,7,0,0,56,71,103,65,0,0,120,144,30,1,0,0,52,242,1,0,2,50,239,4,255,0,37,3,124,1,170,0,208,0,87,0,201,0,63,31,290,0,4,1,287,0,8,0,0,3,1,5,48,62,176,0,2,1,8,50,81,153,0,0,146,116,25,8,0,1,28,60,87,119,0,0,52,79,99,65,164,7,100,24,164,35,33,63,164,30,51,50,0,2,179,114,181,1,63,50,232,7,8,5,6,5,4,1,27,53,1,3,17,6,27,1,13,20,6,0,3,24,27,18,14,62,0,5,121,168,1,0,0,0,0,0,0,295,0,0,0,9,15,161,61,49,9,10,12,93,119,36,16,2.6744186046511627,2.2929142025718443,2.28,1.69607389776114,9.842553191489362,3.5931882778896655,2.859848484848485,1.2452409694564763
PRT,Portugal,5,2021-01-03,2021-01-03,193,2,9730.065596063061,1,4943.16127285617,24,193,888740.0587804157,183,0,3,190,0,10,183,0,2,191,0,13,180,0,19,174,0,9,184,0,6,187,0,1,192,0,2,191,0,0,193,0,10,183,0,13,180,0,6,187,0,17,176,190,0,1,2,183,0,1,9,191,0,2,0,180,0,6,7,174,0,0,19,184,0,5,4,187,0,2,4,192,0,0,1,191,0,0,2,193,0,0,0,183,0,3,7,180,0,4,9,187,0,3,3,176,0,6,11,0,0,7,186,186,0,2,5,0,3,67,123,126,1,17,49,176,2,14,1,176,5,11,1,188,1,4,0,21,1,7,164,193,0,0,0,0,0,0,0,121,54,13,5,0,13,87,82,11,0,19,114,53,7,0,18,110,55,10,0,20,100,60,13,0,23,40,64,66,0,186,3,1,3,186,2,1,4,186,1,2,4,186,3,1,3,186,2,2,3,186,3,1,3,193,0,0,0,193,0,0,0,193,0,0,0,193,0,0,0,193,0,0,0,193,0,0,0,193,0,0,0,193,0,0,0,193,0,0,0,193,0,0,0,193,0,0,0,193,0,0,0,0,6,29,158,0,1,120,72,0,6,59,128,0,5,59,129,0,6,4,183,0,6,13,174,0,0,57,136,136,0,43,8,3,3,0,0,0,6,66,121,0,0,193,0,0,2,27,164,0,0,160,25,4,1,0,3,0,0,35,56,67,35,0,4,68,100,17,4,0,1,59,132,1,0,4,60,129,0,164,0,25,4,73,0,118,2,134,0,57,2,134,1,43,15,189,0,3,1,180,0,10,3,0,1,0,1,28,38,125,0,1,1,3,32,42,114,0,2,86,88,10,7,0,0,18,31,53,91,0,0,24,51,59,59,118,14,51,10,118,31,12,32,118,21,32,22,0,1,92,100,93,1,50,49,143,10,4,2,3,5,2,2,22,51,1,7,17,7,18,3,9,10,1,0,7,5,18,2,4,33,0,4,95,92,0,2,0,0,0,0,0,0,193,0,0,5,7,95,46,40,5,4,12,53,72,36,11,3.4600000000000004,2.7196188208299055,4.4,2.4083189157584592,9.504580152671755,3.8501321175217202,2.3085714285714287,1.2395242479467465
PRT,Portugal,6,2021-01-03,2021-01-01,100,0,0,0,0,21,100,739651.6994138819,94,1,0,99,1,7,92,1,1,98,1,8,91,1,9,90,1,4,95,1,2,97,1,1,98,1,2,97,1,2,97,1,2,97,1,5,94,1,0,99,1,9,90,100,0,0,0,93,0,1,6,99,0,0,1,92,0,1,7,91,0,3,6,96,0,0,4,98,0,1,1,99,0,1,0,98,0,1,1,98,0,1,1,98,0,1,1,95,0,2,3,100,0,0,0,91,0,4,5,0,0,7,93,93,0,2,5,0,1,24,75,76,0,7,17,93,1,6,0,93,2,5,0,98,0,2,0,8,1,2,89,100,0,0,0,0,0,0,0,60,26,12,2,0,11,43,39,7,0,9,55,30,6,0,10,54,31,5,0,13,48,32,7,0,15,21,35,29,0,98,1,0,1,98,1,0,1,98,0,1,1,98,1,0,1,98,1,0,1,98,1,0,1,94,0,0,6,94,0,0,6,94,0,0,6,94,0,0,6,94,0,0,6,94,0,0,6,94,0,0,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,2,7,91,0,1,53,46,0,2,25,73,0,2,33,65,0,2,2,96,0,3,3,94,0,0,33,67,67,0,29,3,1,0,0,0,0,6,40,54,0,1,99,0,0,2,11,87,0,0,75,15,1,0,1,8,0,0,29,22,33,16,0,0,41,51,7,1,0,0,56,44,0,0,5,43,49,3,93,1,6,0,47,0,52,1,75,0,25,0,67,0,27,6,98,0,2,0,97,0,3,0,0,2,0,0,9,25,64,0,2,0,1,7,24,66,0,2,46,37,8,7,0,1,2,16,28,53,0,0,8,15,35,42,77,5,14,4,77,11,4,8,77,7,13,3,0,0,14,86,14,0,13,73,87,1,2,0,0,0,0,0,10,73,1,0,1,0,2,0,4,3,0,0,2,2,3,2,0,7,0,1,55,44,0,0,0,0,0,0,0,0,0,100,0,4,4,51,19,22,4,3,6,31,32,15,9,3.15,2.207046132634963,3.8,2.16794833886788,9.655737704918034,4.158867016795317,1.9662921348314606,1.0050942764718775
PRT,Portugal,-99,2021-01-04,2021-01-03,100,0,0,0,0,21,95,504983.5216865583,0,0,1,99,1,6,93,0,2,98,0,8,92,0,14,86,0,5,95,0,3,97,0,2,98,0,2,98,0,0,100,0,3,97,0,11,89,2,4,94,2,16,82,99,0,0,1,94,0,1,5,98,0,2,0,92,0,3,5,86,0,3,11,95,0,0,5,97,0,0,3,98,0,2,0,98,0,2,0,100,0,0,0,97,0,0,3,89,0,4,7,96,0,2,2,84,0,8,8,4,1,11,84,89,0,2,9,6,5,34,55,66,1,8,25,92,1,7,0,92,1,7,0,99,0,1,0,20,4,7,69,100,0,0,0,0,0,10,1,47,26,12,4,19,8,29,37,7,19,9,43,26,3,19,7,47,24,3,19,9,41,27,4,19,14,16,29,22,0,93,0,2,5,93,0,1,6,93,0,2,5,93,0,3,4,93,0,1,6,93,0,0,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20,0,12,68,20,0,43,37,20,1,28,51,20,1,22,57,20,1,3,76,20,1,8,71,21,1,22,56,78,0,17,3,1,1,22,1,0,4,27,46,22,1,77,0,26,1,11,62,26,0,64,6,1,2,0,1,26,0,14,19,28,13,27,3,29,33,4,4,27,0,17,55,1,33,1,19,45,2,88,3,9,0,57,5,38,0,72,3,25,0,78,3,13,6,97,0,3,0,92,1,6,1,36,1,0,1,12,18,32,36,1,0,3,11,17,32,38,1,30,22,6,3,38,0,3,14,21,24,38,0,6,20,15,21,78,5,14,3,78,10,6,6,78,8,13,1,48,4,16,32,68,0,15,17,88,3,0,0,0,0,0,2,7,74,0,0,0,0,3,1,1,6,0,0,2,2,3,4,0,4,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2.6363636363636362,1.9814480471706455,2.125,1.642080561796093,0,0,0,0
PRT,Portugal,1,2021-01-04,2021-01-03,100,0,0,0,0,26,100,448511.4305386444,97,0,0,100,0,14,86,0,2,98,0,15,85,0,22,78,0,12,88,0,5,95,0,4,96,0,7,93,0,1,99,0,11,89,0,24,76,0,7,93,0,19,81,100,0,0,0,86,0,0,14,98,0,0,2,85,0,4,11,78,0,3,19,88,0,3,9,95,0,1,4,96,0,1,3,93,0,3,4,99,0,0,1,89,0,3,8,76,0,1,23,93,0,1,6,81,0,6,13,0,0,13,87,87,0,4,9,0,0,34,66,66,0,6,28,94,1,5,0,94,2,4,0,98,0,2,0,6,0,10,84,100,0,0,0,0,0,0,1,41,36,18,4,0,0,53,38,9,0,0,68,28,4,0,0,65,23,12,0,0,56,32,12,0,0,24,50,26,0,90,1,0,9,90,1,1,8,90,1,2,7,90,1,0,9,90,1,0,9,90,0,1,9,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,12,88,0,0,41,59,0,0,35,65,0,0,52,48,0,0,5,95,0,0,6,94,0,0,55,45,45,0,47,5,1,2,0,0,1,16,39,44,0,0,100,0,0,1,11,88,0,0,68,22,2,1,0,7,0,0,12,24,46,18,0,0,24,60,15,1,0,0,9,88,3,0,1,12,81,6,88,1,11,0,59,0,41,0,65,0,35,0,48,1,25,26,95,0,2,3,94,0,6,0,0,2,4,8,19,34,33,0,0,5,9,20,27,39,0,1,39,52,7,1,0,0,3,11,41,45,0,0,16,27,31,26,57,2,34,7,57,3,9,31,57,3,15,25,0,0,31,69,31,0,19,50,81,1,3,0,4,2,0,1,8,50,1,0,10,1,2,1,1,7,1,0,0,1,0,4,1,20,0,0,27,71,0,2,0,0,100,0,0,0,0,0,0,3,5,48,21,23,3,0,4,24,50,14,5,2.6721311475409837,2.392497380530853,2,1.2060453783110545,11.160714285714286,2.706708215372864,2.967032967032967,1.5524214022011582
PRT,Portugal,2,2021-01-04,2021-01-03,100,0,0,0,0,18,100,366063.375445795,98,0,1,99,0,15,85,0,2,98,0,22,78,0,25,75,0,11,89,0,4,96,0,5,95,0,3,97,0,3,97,0,8,92,0,19,81,0,8,92,0,10,90,99,1,0,0,85,0,2,13,98,0,1,1,78,2,6,14,75,1,4,20,89,2,1,8,96,0,2,2,95,0,4,1,97,0,2,1,97,0,1,2,92,1,1,6,81,1,3,15,92,1,2,5,90,0,6,4,0,0,10,90,90,0,3,7,0,1,41,58,59,0,15,26,85,2,13,0,85,3,12,0,97,0,3,0,16,0,5,79,100,0,0,0,0,0,0,0,36,47,15,2,0,2,38,55,5,0,1,60,36,3,0,2,56,37,5,0,2,39,48,11,0,4,13,52,31,0,95,1,1,3,95,1,1,3,95,0,3,2,95,1,0,4,95,1,0,4,95,1,0,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,19,81,0,0,51,49,0,0,29,71,0,0,43,57,0,0,2,98,0,0,4,96,0,0,40,60,60,0,28,11,0,1,0,0,1,10,40,49,0,0,100,0,0,2,17,81,0,0,84,15,0,0,0,1,0,0,16,19,46,19,0,1,30,54,15,0,0,0,10,88,2,0,0,6,90,4,81,0,19,0,49,0,50,1,71,0,27,2,57,0,27,16,98,0,2,0,96,0,3,1,0,0,2,0,10,33,55,0,0,2,2,11,27,58,0,0,45,50,4,1,0,0,14,9,34,43,0,0,14,31,35,20,55,1,34,10,55,6,9,30,55,6,17,22,0,0,59,41,59,0,18,23,82,2,2,0,3,0,3,0,8,23,1,0,7,3,7,1,0,8,0,0,3,15,1,9,0,22,0,0,35,64,0,1,0,0,0,100,0,0,0,0,0,2,0,59,29,10,2,0,8,38,43,6,3,2.76,1.672832133520508,1.8000000000000003,0.9189365834726815,10.802469135802468,3.0676528205063383,2.520408163265306,1.1507916758344177
