ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C12..99,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AUS,Australia,3,2021-01-02,2021-01-01,100,0,0,0,0,4,100,957996.5861627768,99,0,0,100,0,5,95,0,0,100,0,19,81,0,13,87,0,12,88,0,1,99,0,0,100,0,3,97,0,0,100,0,0,100,0,13,87,0,1,99,0,5,95,100,0,0,0,95,0,4,1,100,0,0,0,81,0,3,16,87,0,2,11,88,0,1,11,99,0,1,0,100,0,0,0,97,0,2,1,100,0,0,0,100,0,0,0,87,0,5,8,99,0,1,0,95,0,2,3,0,0,3,97,97,3,0,0,2,38,60,62,0,8,30,92,1,7,0,92,0,8,0,100,0,0,0,10,0,4,86,100,0,0,0,0,0,0,0,51,30,13,6,0,1,33,57,9,0,0,57,37,6,0,1,49,43,7,0,0,49,42,9,0,0,21,58,21,0,96,2,0,2,96,1,1,2,96,2,0,2,96,2,0,2,96,2,1,1,96,2,0,2,9,1,1,89,9,2,1,88,9,2,4,85,9,2,1,88,9,2,9,80,9,2,6,83,9,2,6,83,83,0,1,16,83,0,2,15,83,0,2,15,83,0,1,16,83,0,1,16,0,1,26,73,0,0,69,31,0,1,63,36,0,0,65,35,0,0,24,76,0,1,11,88,0,0,50,50,50,0,28,13,2,7,0,0,1,8,25,66,0,1,99,0,0,0,15,85,0,0,17,13,14,5,48,3,0,0,19,29,34,18,0,0,12,42,32,14,100,100,74,0,9,17,31,0,26,43,37,1,20,42,35,0,10,55,76,0,4,20,89,0,5,6,0,0,0,1,6,17,76,0,0,1,1,8,23,67,0,1,17,33,32,17,0,0,1,4,19,76,0,0,8,18,30,44,74,0,18,8,74,3,0,23,74,2,6,18,0,0,60,40,60,0,19,21,81,0,2,1,1,2,2,1,10,21,0,1,2,9,9,1,4,11,4,1,1,8,10,3,3,12,0,0,40,60,0,0,0,0,0,0,100,0,0,0,0,1,2,53,32,12,1,0,15,30,34,14,6,4.6875,7.036483267527434,1.3333333333333333,0.5773502691896257,14.104166666666664,4.3949233073164065,2.96875,1.4899885199133864
AUS,Australia,4,2021-01-02,2021-01-01,100,0,0,0,0,1,100,965158.8870589293,99,0,0,100,0,9,91,0,0,100,1,13,86,1,8,91,0,13,87,0,3,97,0,1,99,1,1,98,0,0,100,1,1,98,0,10,90,0,0,100,0,5,95,100,0,0,0,91,0,4,5,100,0,0,0,87,0,3,10,92,0,1,7,87,0,2,11,97,0,2,1,99,0,1,0,99,0,1,0,100,0,0,0,99,0,1,0,90,0,5,5,100,0,0,0,95,0,2,3,0,0,1,99,99,1,0,0,0,36,64,64,0,6,30,94,0,6,0,94,0,6,0,100,0,0,0,6,0,4,90,100,0,0,0,0,0,0,0,48,26,16,10,0,1,22,65,12,0,1,39,50,10,0,1,42,45,12,0,2,39,47,12,0,1,14,55,30,0,96,0,1,3,96,0,2,2,96,1,0,3,96,1,2,1,96,1,1,2,96,1,0,3,10,4,1,85,10,4,1,85,10,4,1,85,10,4,0,86,10,4,7,79,10,4,5,81,10,5,2,83,90,0,0,10,90,1,0,9,90,1,0,9,90,1,0,9,90,1,1,8,0,3,21,76,0,0,80,20,0,1,62,37,0,0,67,33,0,1,19,80,0,1,9,90,0,0,57,43,43,0,35,16,5,1,0,0,0,6,25,69,0,0,100,0,0,1,18,81,0,0,11,6,12,11,59,1,0,0,17,18,45,20,0,0,12,40,29,19,100,100,79,0,6,15,20,1,24,55,38,0,16,46,33,1,6,60,81,1,4,14,91,0,3,6,0,0,0,4,5,13,78,0,0,1,1,10,16,72,0,0,9,34,38,19,0,1,1,4,17,77,0,0,8,18,30,44,74,3,18,5,74,3,4,19,74,4,5,17,0,0,51,49,51,0,31,18,69,1,2,2,5,2,0,0,19,18,0,2,3,7,9,1,3,9,3,2,3,13,4,0,4,19,0,2,42,55,0,1,0,0,0,0,0,100,0,0,0,1,1,55,25,18,1,0,20,22,35,18,4,4.3125,5.214356732045887,1,0,13.510309278350515,4.183287297291909,3.2916666666666665,1.6410309126096165
AUS,Australia,5,2021-01-02,2021-01-01,100,0,0,0,0,2,100,768240.0729783373,99,0,0,100,0,6,94,0,0,100,0,13,87,0,2,98,0,6,94,0,3,97,0,0,100,0,2,98,0,0,100,0,4,96,0,10,90,0,0,100,0,5,95,100,0,0,0,94,0,1,5,100,0,0,0,87,0,7,6,98,0,1,1,94,0,1,5,97,0,2,1,100,0,0,0,98,0,1,1,100,0,0,0,96,0,1,3,90,0,1,9,100,0,0,0,95,0,3,2,0,0,1,99,99,1,0,0,2,31,67,69,0,3,28,97,0,1,2,97,0,3,0,100,0,0,0,5,0,1,94,100,0,0,0,0,0,0,0,49,33,11,7,0,2,33,53,12,0,1,56,36,7,0,2,49,41,8,0,1,52,40,7,0,2,19,51,28,0,99,0,1,0,99,0,1,0,99,0,1,0,99,0,1,0,99,0,1,0,99,0,1,0,20,3,0,77,20,3,0,77,20,2,1,77,20,3,1,76,20,4,8,68,20,3,4,73,20,3,7,70,85,0,0,15,85,0,1,14,85,0,0,15,85,0,1,14,85,0,0,15,0,0,27,73,0,0,71,29,0,0,58,42,0,0,53,47,0,0,17,83,0,0,6,94,0,0,55,45,45,0,32,14,6,3,0,0,2,6,27,65,0,0,100,0,0,1,15,84,0,0,17,13,9,4,55,2,0,0,26,21,36,17,0,1,12,33,34,20,100,100,73,0,6,21,29,0,28,43,42,0,21,37,47,0,11,42,83,0,1,16,94,0,0,6,0,1,3,0,4,5,87,0,0,2,3,6,14,75,0,1,10,34,36,19,0,0,2,2,11,85,0,0,5,12,27,56,83,0,12,5,83,1,4,12,83,0,10,7,0,1,46,53,47,0,30,23,70,4,5,2,3,1,1,1,13,24,0,5,3,3,11,2,1,14,4,0,3,2,6,2,5,15,0,1,39,59,0,1,0,0,0,0,0,0,100,0,0,1,1,53,24,21,1,1,25,26,32,14,1,3.0833333333333335,2.5523504370723056,2,0,13.05612244897959,3.4205885526773527,2.4444444444444446,1.451404824202683
AUS,Australia,6,2021-01-02,2021-01-01,100,0,0,0,0,1,100,1067166.9630146483,95,1,0,99,0,6,94,0,0,100,0,8,92,0,8,92,0,14,86,0,2,98,0,3,97,1,0,99,0,1,99,1,3,96,0,7,93,0,0,100,0,5,95,100,0,0,0,94,0,2,4,100,0,0,0,92,0,3,5,92,0,2,6,86,0,1,13,98,0,1,1,97,0,2,1,100,0,0,0,99,0,1,0,97,0,1,2,93,0,3,4,100,0,0,0,95,0,1,4,0,0,1,99,99,0,1,0,1,31,68,69,1,6,24,94,0,6,0,94,0,6,0,100,0,0,0,8,3,0,89,100,0,0,0,0,0,0,0,54,29,12,5,0,4,29,60,7,0,5,52,39,4,0,5,48,37,10,0,4,46,41,9,0,6,14,48,32,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,9,11,0,80,9,11,0,80,9,10,1,80,9,10,3,78,9,9,10,72,9,10,7,74,9,8,11,72,83,2,1,14,83,1,0,16,83,1,0,16,83,1,0,16,83,2,0,15,0,0,19,81,0,0,66,34,0,0,55,45,0,0,61,39,0,0,18,82,0,0,12,88,0,0,50,50,50,0,30,13,3,4,0,0,0,5,32,63,0,0,100,0,0,1,17,82,0,0,18,17,6,6,49,4,0,0,26,26,30,18,0,1,13,37,29,20,100,100,81,0,6,13,34,0,30,36,45,0,20,35,39,0,12,49,82,0,5,13,88,0,7,5,0,1,0,1,5,8,85,0,0,0,2,5,12,81,0,1,12,34,31,22,0,1,1,3,7,88,0,0,3,8,22,67,89,1,8,2,89,2,2,7,89,2,2,7,0,1,24,75,25,1,15,59,85,0,1,0,0,1,0,1,12,61,0,2,2,4,3,3,0,5,4,2,1,3,0,1,2,7,0,0,44,56,0,0,0,0,0,0,0,0,0,100,0,5,2,41,31,21,5,1,24,35,24,10,1,7.740740740740741,8.938217825256771,0,0,12.936842105263157,3.530446678736244,2.118279569892473,1.1595488474776598
AUS,Australia,-99,2021-01-03,2021-01-03,327,1,16398.5287614218,1,16398.5287614218,12,268,3139356.369086458,0,7,5,315,3,43,281,6,8,313,7,63,257,4,51,272,6,56,265,5,28,294,7,9,311,4,11,312,6,5,316,8,19,300,6,47,274,6,5,316,6,42,279,322,1,1,3,284,2,18,23,319,0,3,5,264,4,7,52,276,3,13,35,271,3,8,45,299,3,10,15,318,0,3,6,316,1,2,8,322,1,0,4,308,1,9,9,280,2,13,32,322,0,3,2,285,3,12,27,56,3,10,258,320,5,2,68,7,85,167,245,2,15,65,312,0,13,2,312,0,15,0,327,0,0,0,102,6,9,210,327,0,0,0,0,0,91,2,105,79,39,11,130,6,78,92,21,130,9,103,70,15,130,11,87,78,21,130,13,83,80,21,130,15,31,83,68,0,318,4,1,4,318,4,1,4,318,5,0,4,318,4,1,4,318,4,1,4,318,4,0,5,327,0,0,0,327,0,0,0,327,0,0,0,327,0,0,0,327,0,0,0,327,0,0,0,327,0,0,0,327,0,0,0,327,0,0,0,327,0,0,0,327,0,0,0,327,0,0,0,155,4,47,121,155,3,114,55,155,2,103,67,155,3,107,62,155,4,53,115,155,4,31,137,178,1,83,65,244,0,55,13,6,9,192,1,3,13,33,85,192,0,135,0,211,3,12,101,211,1,19,12,11,11,59,3,211,0,27,27,44,18,214,2,26,41,31,13,327,327,283,0,16,28,220,1,45,61,231,1,32,63,226,1,17,83,278,0,7,42,300,0,11,16,234,1,4,3,11,17,57,234,1,3,5,13,22,49,252,3,12,27,15,18,252,0,3,5,16,51,252,0,2,18,23,32,312,0,14,1,312,0,3,12,312,1,6,8,269,0,11,47,280,0,34,13,321,0,2,0,0,1,0,0,3,314,0,0,1,1,3,0,0,2,0,0,0,0,1,0,0,5,327,0,0,0,0,0,327,0,0,0,0,0,0,0,0,327,0,0,0,0,327,0,0,0,0,0,0,4.813084112149533,7.241300364199549,1.2857142857142858,0.4879500364742666,0,0,0,0
AUS,Australia,1,2021-01-03,2021-01-03,185,0,0,0,0,20,185,1551674.0430134542,180,0,1,184,0,18,167,0,5,180,0,53,132,0,34,151,0,31,154,0,14,171,0,5,180,0,11,174,0,2,183,0,7,178,0,45,140,0,2,183,0,27,158,184,0,1,0,167,0,9,9,180,0,1,4,132,0,8,45,151,0,8,26,154,0,5,26,171,0,7,7,180,0,2,3,174,1,6,4,183,0,1,1,178,0,2,5,140,0,8,37,183,0,2,0,158,0,13,14,0,0,12,173,173,7,5,0,0,80,105,105,0,9,71,176,0,7,2,176,0,9,0,185,0,0,0,9,0,13,163,185,0,0,0,0,0,0,0,82,64,29,10,0,0,84,91,10,0,1,119,60,5,0,0,109,65,11,0,0,97,73,15,0,0,29,100,56,0,172,4,0,9,172,3,1,9,172,4,0,9,172,2,3,8,172,4,1,8,172,3,3,7,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,0,1,78,106,0,0,141,44,0,0,130,55,0,2,137,46,0,0,67,118,0,0,39,146,0,0,119,66,66,0,67,23,12,17,0,1,2,22,61,99,0,0,185,0,0,0,19,166,0,0,39,26,20,19,77,4,0,0,18,34,77,56,0,0,16,69,64,36,185,185,107,1,34,43,44,3,64,74,55,3,54,73,48,3,35,99,118,2,20,45,146,1,20,18,0,0,5,12,30,37,101,0,0,10,14,31,42,88,0,2,18,59,71,35,0,0,3,15,33,134,0,0,15,38,46,86,132,0,43,10,132,4,8,41,132,5,14,34,0,0,109,76,109,0,46,30,139,0,9,2,8,4,2,1,20,30,0,3,26,6,13,0,3,15,3,3,8,7,2,3,4,59,0,2,58,122,2,1,0,0,185,0,0,0,0,0,0,3,4,86,70,22,3,0,19,40,65,45,13,4.434579439252336,5.932038098386198,1.6666666666666667,0.7784989441615229,12.953038674033149,3.857784934914279,3.4101123595505616,1.3758650032172548
AUS,Australia,2,2021-01-03,2021-01-03,283,0,0,0,0,20,283,2208859.4951527803,278,0,0,283,0,16,267,0,3,280,0,62,221,0,35,248,0,45,238,0,21,262,0,1,282,1,13,269,0,0,283,0,9,274,0,54,229,0,0,283,0,30,253,283,0,0,0,267,0,7,9,280,0,2,1,221,0,11,51,248,0,6,29,238,0,12,33,262,0,8,13,282,0,0,1,270,0,7,6,283,0,0,0,274,0,3,6,229,0,11,43,283,0,0,0,253,0,5,25,0,0,11,272,272,7,4,0,4,121,158,162,1,16,104,267,0,14,2,267,1,15,0,282,0,0,1,21,0,11,251,283,0,0,0,0,0,0,0,138,88,36,21,0,0,97,170,16,0,1,158,108,16,0,1,149,102,31,0,1,131,123,28,0,0,41,165,77,0,272,0,1,10,272,0,1,10,272,0,1,10,272,0,4,7,272,0,2,9,272,0,1,10,283,0,0,0,283,0,0,0,283,0,0,0,283,0,0,0,283,0,0,0,283,0,0,0,283,0,0,0,283,0,0,0,283,0,0,0,283,0,0,0,283,0,0,0,283,0,0,0,0,0,94,189,0,0,206,77,0,1,172,110,0,0,181,102,0,0,64,219,0,0,35,248,0,0,164,119,119,0,101,38,10,15,0,1,3,29,84,166,0,2,281,0,0,2,43,238,0,0,44,46,30,24,132,7,0,0,44,52,130,57,0,2,33,94,105,49,283,283,189,0,39,55,77,0,91,115,111,0,63,109,102,0,33,148,219,0,10,54,248,0,18,17,0,0,2,4,38,66,173,0,0,3,14,39,52,175,0,0,38,95,101,49,0,0,6,22,43,212,0,0,22,58,74,129,203,0,62,18,203,3,9,68,203,2,32,46,0,1,165,117,166,0,76,41,207,1,5,4,4,4,4,3,51,42,0,5,10,9,38,6,8,39,16,8,9,20,9,8,2,54,0,2,92,188,1,0,0,0,0,283,0,0,0,0,0,3,3,146,97,34,3,1,91,74,64,41,9,4.621969696969697,6.768892863274951,1.8181818181818181,1.6011359603844901,13.778195488721805,5.031753336274707,2.847826086956522,1.4007902907770236
AUS,Australia,3,2021-01-03,2021-01-03,250,1,4845.43728542876,1,4845.43728542876,17,250,2210487.7837256272,247,0,1,249,0,22,228,0,7,243,0,45,205,0,30,220,0,38,212,0,12,238,0,6,244,0,11,239,0,0,250,0,10,240,0,48,202,0,1,249,0,23,227,249,0,1,0,228,2,6,14,243,1,1,5,205,2,12,31,220,1,8,21,212,1,8,29,238,0,9,3,244,1,1,4,239,0,4,7,250,0,0,0,240,1,3,6,202,1,16,31,249,0,1,0,227,1,7,15,0,0,8,242,242,6,2,0,3,109,138,141,3,17,89,233,0,17,0,233,0,17,0,250,0,0,0,23,3,6,218,250,0,0,0,0,0,0,0,124,64,42,20,0,0,67,160,23,0,1,121,111,17,0,0,111,113,26,0,0,118,107,25,0,0,31,137,82,0,244,0,2,4,244,1,0,5,244,1,0,5,244,1,0,5,244,1,0,5,244,1,1,4,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,0,1,62,187,0,0,172,78,0,1,145,104,0,0,151,99,0,0,62,188,0,0,28,222,0,0,140,110,110,0,86,34,11,9,0,0,2,18,81,149,0,1,249,0,0,1,37,212,0,0,46,27,24,19,129,5,0,0,35,66,103,46,0,0,34,100,83,33,250,250,188,0,17,45,78,0,65,107,105,0,41,104,99,0,25,126,188,0,10,52,222,0,14,14,0,0,2,6,24,38,180,0,0,1,10,31,44,164,0,3,29,93,84,41,0,0,4,11,48,187,0,0,19,38,77,116,193,1,45,11,193,6,7,44,193,4,19,34,0,0,146,104,146,0,79,25,171,0,6,5,7,1,4,7,49,25,0,5,9,8,22,2,10,35,5,7,8,32,17,3,12,50,0,5,105,138,0,2,0,0,0,0,250,0,0,0,0,2,4,151,58,35,2,1,44,62,84,48,9,4.443478260869565,6.087362959079727,2.125,0.9910312089651148,13.987603305785123,4.119059439187239,3.209016393442623,1.5347017028082615
AUS,Australia,4,2021-01-03,2021-01-03,269,0,0,0,0,17,269,2460206.0351211615,266,1,1,267,2,14,253,1,5,263,1,36,232,1,24,244,1,33,235,1,18,250,1,3,265,1,5,263,0,2,267,1,9,259,1,38,230,1,1,267,1,19,249,268,0,0,1,255,0,6,8,264,0,4,1,233,0,9,27,245,0,11,13,236,0,8,25,251,0,6,12,266,0,1,2,264,0,2,3,267,0,1,1,260,1,5,3,231,0,8,30,268,0,1,0,250,0,8,11,0,0,13,256,256,9,4,0,3,101,165,168,0,19,82,250,0,19,0,250,1,18,0,268,0,1,0,22,0,4,243,269,0,0,0,0,0,0,0,141,71,35,22,0,0,67,176,26,0,1,135,115,18,0,2,130,109,28,0,3,121,122,23,0,2,30,144,93,0,265,1,1,2,265,1,0,3,265,1,0,3,265,0,2,2,265,1,0,3,265,1,0,3,269,0,0,0,269,0,0,0,269,0,0,0,269,0,0,0,269,0,0,0,269,0,0,0,269,0,0,0,269,0,0,0,269,0,0,0,269,0,0,0,269,0,0,0,269,0,0,0,0,1,72,196,0,1,190,78,0,2,154,113,0,0,155,114,0,2,52,215,0,2,20,247,0,1,137,131,132,0,80,29,16,12,0,1,3,15,71,179,0,3,264,2,0,1,43,225,0,0,54,43,23,13,131,5,0,0,47,73,102,47,0,1,30,109,105,24,269,269,197,1,30,41,79,0,89,101,115,0,60,94,114,1,36,118,217,1,16,35,249,2,8,10,0,0,4,5,14,37,209,0,0,5,7,20,41,196,0,2,28,98,92,49,0,1,6,13,39,210,0,0,15,47,73,134,207,3,46,13,207,10,13,39,207,4,25,33,0,0,158,111,158,0,62,49,207,1,3,6,3,1,1,2,45,49,0,6,6,7,24,5,10,31,14,6,6,30,20,6,8,41,0,1,108,157,0,3,0,0,0,0,0,269,0,0,0,2,7,138,77,45,2,4,30,56,108,55,14,5.301666666666667,6.8539189560557086,1.3636363636363635,0.504524979109513,14.29607843137255,3.668280765338425,3.0387596899224807,1.4382387671610315
AUS,Australia,5,2021-01-03,2021-01-03,274,1,6034.06118689834,1,6034.06118689834,4,274,2195973.2552559874,270,0,3,271,0,24,250,0,6,268,0,33,241,0,35,239,0,35,239,0,9,265,0,6,268,0,5,269,0,2,272,0,9,265,0,30,244,0,3,271,0,18,256,271,1,1,1,250,1,7,16,268,0,1,5,241,2,5,26,239,2,12,21,239,1,11,23,265,1,4,4,268,0,4,2,269,0,5,0,272,1,1,0,265,2,4,3,244,2,5,23,271,0,2,1,256,0,5,13,0,0,3,271,271,3,0,0,1,91,182,183,3,13,75,261,0,11,2,261,0,13,0,274,0,0,0,17,5,5,247,274,0,0,0,0,0,0,0,150,77,33,14,0,6,68,178,22,0,9,141,117,7,0,6,126,116,26,0,7,134,122,11,0,10,38,151,75,0,269,2,1,2,269,2,0,3,269,2,0,3,269,0,4,1,269,2,1,2,269,2,0,3,274,0,0,0,274,0,0,0,274,0,0,0,274,0,0,0,274,0,0,0,274,0,0,0,274,0,0,0,274,0,0,0,274,0,0,0,274,0,0,0,274,0,0,0,274,0,0,0,0,2,76,196,0,1,182,91,0,3,151,120,0,2,161,111,0,2,44,228,0,4,19,251,0,0,159,115,115,0,105,27,10,17,0,3,3,19,80,169,0,1,271,2,0,5,42,227,0,0,54,38,29,16,131,6,0,0,49,76,105,44,0,1,36,113,84,40,274,274,198,1,27,48,92,1,81,100,123,1,58,92,113,1,38,122,230,0,10,34,255,0,5,14,0,0,1,2,12,35,224,0,1,0,7,21,51,194,0,3,30,101,103,37,0,0,2,8,45,219,0,0,10,56,73,135,208,4,47,15,208,15,16,35,208,13,22,31,0,0,121,153,121,0,72,81,202,2,9,2,4,3,2,2,48,81,0,2,7,11,18,3,5,28,13,4,10,10,12,7,19,44,0,2,119,153,0,0,0,0,0,0,0,0,274,0,0,3,11,130,78,52,3,6,57,75,69,56,8,4.775280898876405,6.69591600256313,1.3333333333333333,0.5773502691896257,13.276515151515152,3.681633788602789,2.4,1.3419285378783035
AUS,Australia,6,2021-01-03,2021-01-03,188,0,0,0,0,9,187,1912374.5778611172,181,1,0,187,1,12,175,1,2,185,1,19,168,1,17,170,1,19,168,1,4,183,1,5,182,1,1,186,1,1,186,1,7,180,1,9,178,1,0,187,1,12,175,188,0,0,0,176,0,4,8,186,1,0,1,169,0,1,18,171,0,4,13,169,0,4,15,184,0,3,1,183,0,2,3,187,0,1,0,187,0,1,0,181,0,1,6,179,0,1,8,188,0,0,0,176,0,4,8,0,1,4,183,184,2,2,0,5,48,135,140,0,7,41,181,0,7,0,181,0,7,0,188,0,0,0,12,5,5,166,188,0,0,0,0,0,0,2,110,42,22,12,0,11,52,111,14,0,11,93,73,11,0,8,87,73,20,0,6,99,65,18,0,10,28,100,50,0,183,0,2,3,183,0,2,3,183,0,1,4,183,0,1,4,183,0,0,5,183,0,0,5,188,0,0,0,188,0,0,0,188,0,0,0,188,0,0,0,188,0,0,0,188,0,0,0,188,0,0,0,188,0,0,0,188,0,0,0,188,0,0,0,188,0,0,0,188,0,0,0,0,2,26,160,0,2,124,62,0,2,104,82,0,2,102,84,0,2,33,153,0,3,12,173,0,0,91,97,97,0,62,13,5,11,0,0,0,6,65,117,0,0,188,0,0,3,18,167,0,0,32,24,28,11,85,8,0,0,49,37,71,31,0,2,25,64,56,41,188,188,162,2,9,15,64,2,57,65,84,3,35,66,86,3,25,74,155,1,12,20,176,1,6,5,0,1,2,1,7,13,164,0,0,3,3,10,27,145,0,0,24,49,71,44,0,1,3,3,17,164,0,0,3,27,37,121,158,3,14,13,158,4,10,16,158,4,12,14,0,1,38,149,39,0,26,123,162,0,0,3,2,0,0,0,21,124,0,3,4,3,10,1,2,9,2,0,5,8,1,1,2,13,0,4,80,104,0,0,0,0,0,0,0,0,0,188,0,5,0,80,61,42,5,0,50,54,48,26,5,6.318627450980392,7.957241738091873,2.25,0.9574271077563381,13.672043010752688,3.8617980853734615,2.143646408839779,1.2070745014523654
