ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
GBR,United Kingdom,3,2021-01-02,2021-01-01,100,0,0,0,0,16,100,1214922.5142755918,99,0,0,100,0,12,88,0,3,97,0,22,78,0,28,72,0,15,85,0,13,87,0,3,97,1,6,93,0,1,99,0,7,93,0,21,79,0,3,97,0,7,93,100,0,0,0,88,0,7,5,97,0,2,1,78,0,7,15,72,0,10,18,85,0,7,8,87,0,8,5,97,0,2,1,94,0,2,4,99,0,1,0,93,0,4,3,79,0,4,17,97,0,3,0,93,0,2,5,0,0,11,89,89,0,2,9,0,0,33,67,67,0,10,23,90,1,9,0,90,0,1,9,0,99,0,1,0,10,0,4,86,100,0,0,0,0,0,0,0,61,31,5,3,0,0,34,64,2,0,0,45,52,3,0,0,42,53,5,0,1,35,58,6,0,0,17,65,18,0,96,1,1,2,96,1,0,3,96,1,0,3,96,1,0,3,96,1,0,3,96,0,2,2,20,2,0,78,20,2,0,78,20,2,2,76,20,2,3,75,20,0,4,76,20,2,5,73,20,3,2,75,88,0,0,12,88,0,0,12,88,0,0,12,88,0,1,11,88,0,4,8,0,0,17,83,0,0,36,64,0,0,5,95,0,0,23,77,0,0,1,99,0,0,3,97,0,1,28,71,72,0,27,0,0,1,0,0,3,9,29,59,0,0,100,0,0,1,9,90,0,0,53,27,10,1,1,8,0,0,32,37,27,4,0,0,44,42,11,3,0,0,29,70,1,0,0,27,71,2,83,0,14,3,64,0,35,1,95,0,3,2,77,1,10,12,99,0,0,1,97,0,2,1,0,1,1,7,12,20,59,0,0,5,7,17,22,49,0,0,32,42,19,7,0,0,1,4,27,68,0,0,6,19,33,42,75,0,16,9,75,3,2,20,75,3,0,22,0,1,53,46,54,0,26,20,74,0,2,6,6,0,2,1,9,21,0,0,8,3,7,2,11,7,6,0,3,8,4,1,1,18,0,1,39,58,1,1,0,0,0,0,100,0,0,0,0,1,4,28,45,22,1,0,14,37,28,16,4,3.943396226415094,4.712565422274396,1.5,0.7071067811865476,14.944444444444443,4.192988023390316,3.2526315789473683,1.3125289950404708
GBR,United Kingdom,4,2021-01-02,2021-01-01,100,0,0,0,0,33,99,1411105.9026677583,98,1,0,99,1,7,92,1,1,98,0,15,85,1,29,70,0,21,79,1,3,96,1,2,97,1,7,92,1,0,99,1,6,93,1,23,76,1,3,96,0,15,85,100,0,0,0,93,0,4,3,99,0,1,0,85,2,5,8,71,0,12,17,79,2,10,9,97,0,2,1,98,0,1,1,93,0,2,5,100,0,0,0,94,0,5,1,77,1,6,16,97,0,1,2,85,2,5,8,0,1,16,83,84,0,5,11,0,0,45,55,55,1,11,33,89,0,9,2,89,0,0,11,0,100,0,0,0,12,0,5,83,100,0,0,0,0,0,0,1,68,16,9,6,0,1,30,60,9,0,0,48,45,7,0,1,48,42,9,0,1,39,47,13,0,2,18,54,26,0,95,1,1,3,95,1,2,2,95,1,1,3,95,1,0,4,95,1,0,4,95,1,1,3,21,3,0,76,21,2,1,76,21,2,7,70,21,3,3,73,21,1,10,68,21,2,7,70,21,3,6,70,80,2,0,18,80,2,1,17,80,2,1,17,80,2,1,17,80,1,4,15,0,0,23,77,0,0,45,55,0,0,10,90,0,0,29,71,0,0,1,99,0,0,5,95,0,1,28,71,72,0,22,3,1,2,0,0,0,5,25,70,0,0,100,0,0,1,10,89,0,0,67,14,11,2,1,5,0,1,38,33,20,8,0,1,52,35,9,3,0,0,35,65,0,0,1,25,73,1,77,0,21,2,55,0,44,1,90,0,9,1,71,0,14,15,99,0,1,0,95,0,4,1,0,0,1,2,9,22,66,0,0,0,8,15,26,51,0,0,41,34,19,6,0,0,2,6,20,72,0,0,7,29,22,42,64,2,27,7,64,7,2,27,64,6,2,28,0,0,64,36,64,0,23,13,77,0,4,2,4,0,1,1,11,13,0,1,2,5,10,1,5,11,5,0,2,14,3,4,5,19,0,1,44,52,0,3,0,0,0,0,0,100,0,0,0,0,4,20,41,35,0,2,16,28,32,14,8,4.862745098039215,4.955883807528733,2.3076923076923075,1.031553471276484,14.102272727272727,3.945140391212217,2.804123711340206,1.4189137222547215
GBR,United Kingdom,5,2021-01-02,2021-01-01,100,1,9699.473800759191,0,0,31,100,1194920.7004159251,97,0,2,98,0,13,87,0,4,96,0,18,82,0,27,73,0,19,81,0,5,95,0,5,95,0,3,97,0,2,98,0,2,98,0,18,82,0,7,93,0,14,86,98,0,0,2,87,1,5,7,96,1,2,1,82,1,9,8,73,2,9,16,81,2,7,10,95,2,0,3,95,0,3,2,97,0,2,1,98,0,2,0,98,0,0,2,82,2,7,9,93,2,2,3,86,2,5,7,0,0,15,85,85,0,5,10,0,1,51,48,49,0,17,34,83,1,15,1,83,0,1,16,0,99,0,1,0,18,2,3,77,100,0,0,0,0,0,0,0,73,19,7,1,0,5,27,64,4,0,5,47,46,2,0,3,47,46,4,0,3,43,46,8,0,5,12,56,27,0,97,1,0,2,97,0,1,2,97,1,0,2,97,1,1,1,97,0,0,3,97,0,0,3,13,6,1,80,13,6,2,79,13,5,3,79,13,5,2,80,13,6,14,67,13,5,10,72,13,5,8,74,81,0,1,18,81,1,0,18,81,1,1,17,81,1,2,16,81,2,2,15,0,0,21,79,0,0,49,51,0,0,9,91,0,0,26,74,0,0,2,98,0,0,6,94,0,0,25,75,75,1,20,3,0,1,0,1,0,2,22,75,0,3,97,0,0,2,9,89,0,0,63,16,9,3,0,9,0,1,51,21,20,7,0,1,49,43,5,2,0,0,66,33,1,0,2,45,52,1,79,0,20,1,51,1,48,0,91,1,8,0,74,1,13,12,98,1,1,0,94,1,5,0,0,0,0,3,5,13,79,0,0,1,3,13,24,59,0,2,23,40,25,10,0,0,0,5,16,79,0,0,3,15,28,54,82,3,13,2,82,10,1,7,82,7,2,9,0,0,40,60,40,0,25,35,75,1,2,1,9,0,0,2,10,35,0,0,9,4,10,0,3,12,3,0,1,5,1,1,4,12,0,3,32,65,0,0,0,0,0,0,0,0,100,0,0,2,4,18,41,35,2,3,22,23,32,14,4,5.816326530612245,4.956786044520831,2.142857142857143,1.7032612545052803,14.559139784946238,4.502323954483655,2.510869565217391,1.244721295583445
GBR,United Kingdom,6,2021-01-02,2021-01-01,100,0,0,0,0,17,99,2284106.917430166,95,1,1,98,0,14,86,0,3,97,0,11,89,0,22,78,0,19,81,0,3,97,1,2,97,1,4,95,0,1,99,1,3,96,1,13,86,2,3,95,2,9,89,99,0,1,0,86,0,1,13,97,1,0,2,89,0,3,8,78,1,5,16,81,1,3,15,97,0,2,1,98,1,0,1,96,0,1,3,99,0,1,0,97,0,2,1,87,0,3,10,97,0,1,2,91,1,2,6,0,1,10,89,90,0,2,8,0,2,27,71,73,1,7,19,93,2,5,0,93,0,0,7,0,100,0,0,0,10,2,3,85,100,0,0,0,0,0,0,0,85,10,3,2,0,5,35,54,6,0,4,52,39,5,0,3,52,40,5,0,3,42,50,5,0,3,13,58,26,0,97,2,0,1,97,0,2,1,97,1,1,1,97,2,0,1,97,2,0,1,97,2,0,1,8,9,1,82,8,9,1,82,8,8,5,79,8,8,4,80,8,8,9,75,8,7,9,76,8,7,8,77,84,2,0,14,84,2,0,14,84,2,0,14,84,1,3,12,84,0,6,10,0,1,9,90,0,0,43,57,0,1,8,91,0,1,26,73,0,1,2,97,0,1,5,94,0,0,21,79,79,0,19,1,1,0,0,0,2,5,30,63,0,0,100,0,0,1,8,91,0,0,70,11,9,0,1,9,0,0,49,28,20,3,0,0,49,48,1,2,0,1,80,19,0,0,1,67,31,1,91,0,6,3,57,0,42,1,92,0,8,0,74,0,13,13,98,0,2,0,95,0,5,0,0,0,0,0,8,16,76,0,0,0,4,12,16,68,0,0,28,39,24,9,0,0,1,4,13,82,0,0,0,5,31,64,95,1,3,1,95,2,0,3,95,2,1,2,0,2,16,82,18,0,22,60,78,1,3,0,3,1,0,0,14,62,0,1,2,0,3,0,2,8,1,0,1,5,1,2,2,10,0,3,42,55,0,0,0,0,0,0,0,0,0,100,0,4,5,23,36,32,4,2,31,28,24,11,0,5.2444444444444445,4.839024862114434,1.875,2.100170061141308,15.181460674157304,4.498221757378079,2.0760869565217392,1.0080303463530538
GBR,United Kingdom,-99,2021-01-03,2021-01-03,674,6,57354.35239842578,4,43074.601543853714,177,539,8557196.95869049,0,7,11,656,5,106,563,8,30,636,8,187,479,7,226,441,6,157,511,5,81,588,10,42,622,8,58,608,6,22,646,4,46,624,7,160,507,10,55,609,12,154,508,663,3,5,3,568,6,41,59,644,2,13,15,487,12,67,108,448,14,78,134,517,11,60,86,593,6,43,32,632,5,25,12,616,4,29,25,652,2,14,6,628,6,22,18,514,7,57,96,619,7,32,16,520,11,73,70,134,1,78,461,613,0,23,38,163,9,214,288,462,1,55,156,619,8,39,8,619,1,7,47,0,667,1,6,0,234,7,46,387,674,0,0,0,0,0,202,5,271,102,53,41,286,10,160,179,39,286,22,179,150,37,286,21,164,157,46,286,18,133,173,64,286,21,60,169,138,0,638,9,11,16,638,17,7,12,638,15,5,16,638,15,7,14,638,15,5,16,638,15,1,20,674,0,0,0,674,0,0,0,674,0,0,0,674,0,0,0,674,0,0,0,674,0,0,0,674,0,0,0,674,0,0,0,674,0,0,0,674,0,0,0,674,0,0,0,674,0,0,0,313,4,58,299,313,3,198,160,313,5,26,330,313,4,99,258,313,5,10,346,313,6,22,333,336,2,83,253,591,0,69,8,4,2,357,3,3,23,80,208,357,5,312,0,410,7,14,243,410,1,169,35,17,5,8,29,410,1,133,66,48,16,426,1,110,106,19,12,441,0,80,150,3,473,4,75,117,5,618,0,44,12,480,1,182,11,652,1,19,2,578,1,34,61,666,0,5,3,655,0,17,2,496,1,1,7,28,27,114,496,1,3,18,22,49,85,517,2,49,61,32,13,517,0,5,9,35,108,517,0,16,33,43,65,633,2,31,8,633,8,5,28,633,6,9,26,546,0,17,111,563,0,88,23,664,0,2,0,2,0,1,1,4,656,0,1,2,0,2,0,0,3,0,1,0,0,1,1,3,4,674,0,0,0,0,0,674,0,0,0,0,0,0,0,0,674,0,0,0,0,674,0,0,0,0,0,0,4.455128205128205,4.367142662169637,2.8333333333333335,1.8403240075677405,0,0,0,0
GBR,United Kingdom,1,2021-01-03,2021-01-03,361,3,26375.29608515573,2,20210.273478197727,143,361,3903439.21508005,351,0,8,353,0,43,318,0,17,344,0,103,258,0,138,223,0,81,280,0,48,313,0,19,342,0,36,325,0,7,354,0,31,330,0,109,252,0,22,339,0,83,278,353,0,6,2,318,1,16,26,344,1,9,7,258,2,20,81,223,3,50,85,280,2,22,57,313,2,23,23,342,0,11,8,325,1,16,19,354,1,5,1,330,1,14,16,252,2,29,78,339,2,14,6,278,2,31,50,0,0,61,300,300,0,12,49,0,0,200,161,161,2,48,150,313,5,42,1,313,0,0,47,1,361,0,0,0,50,2,27,282,361,0,0,0,0,0,0,1,202,100,41,17,0,0,161,184,16,0,0,209,132,20,0,0,192,135,34,0,0,153,150,58,0,0,59,179,123,0,334,2,7,18,334,4,4,19,334,3,6,18,334,4,2,21,334,2,6,19,334,4,1,22,361,0,0,0,361,0,0,0,361,0,0,0,361,0,0,0,361,0,0,0,361,0,0,0,361,0,0,0,361,0,0,0,361,0,0,0,361,0,0,0,361,0,0,0,361,0,0,0,0,1,65,295,0,1,185,175,0,1,28,332,0,1,93,267,0,2,6,353,0,2,23,336,0,1,81,279,280,0,72,4,3,2,0,0,6,42,155,158,0,1,359,1,0,4,25,332,0,0,191,100,30,15,5,20,0,1,141,111,89,19,0,0,123,190,39,9,0,1,59,287,14,0,1,64,272,24,296,0,53,12,176,1,177,7,333,1,26,1,268,1,36,56,355,0,2,4,338,0,22,1,0,10,7,19,83,92,150,0,0,14,59,68,111,109,0,5,89,179,62,26,0,0,14,31,94,222,0,0,37,96,100,128,228,1,97,35,228,9,6,118,228,10,16,107,0,0,152,209,152,0,117,92,244,0,23,9,40,5,3,2,35,92,0,3,27,8,24,3,9,36,14,0,17,9,7,14,2,96,0,8,105,242,6,0,0,0,361,0,0,0,0,0,0,7,7,83,180,84,7,2,55,101,121,50,25,4.279166666666667,4.448823751898167,2.35,1.6346357081334926,13.188821752265861,4.935170206908954,3.218023255813954,1.370927050958375
GBR,United Kingdom,2,2021-01-03,2021-01-03,697,1,1621.39556335056,0,0,199,697,6507273.491505805,687,1,6,690,1,96,600,1,26,670,1,191,505,1,243,453,1,149,547,1,85,611,1,29,667,1,62,634,1,11,685,1,46,650,1,193,503,1,34,662,1,164,532,691,0,3,3,601,1,43,52,671,0,15,11,506,1,56,134,454,1,93,149,548,1,59,89,612,1,49,35,668,0,18,11,635,1,30,31,686,0,9,2,651,0,26,20,504,0,61,132,663,0,19,15,533,1,69,94,0,0,85,612,612,1,21,63,0,1,376,320,321,4,116,256,581,17,89,10,581,0,2,114,0,695,0,2,0,121,4,36,536,697,0,0,0,0,0,0,1,384,174,90,48,0,0,239,415,43,0,3,336,312,46,0,3,333,299,62,0,5,244,347,101,0,6,86,369,236,0,661,8,7,21,661,5,6,25,661,7,4,25,661,9,4,23,661,7,4,25,661,9,3,24,697,0,0,0,697,0,0,0,697,0,0,0,697,0,0,0,697,0,0,0,697,0,0,0,697,0,0,0,697,0,0,0,697,0,0,0,697,0,0,0,697,0,0,0,697,0,0,0,0,0,121,576,0,0,381,316,0,2,34,661,0,0,199,498,0,1,4,692,0,1,43,653,0,0,158,539,539,0,138,10,3,7,0,2,5,68,260,362,0,2,695,0,0,6,72,619,0,0,437,145,40,10,15,50,0,2,310,193,152,40,0,1,288,320,61,27,0,0,191,496,10,0,3,197,480,17,576,2,101,18,316,2,365,14,663,1,28,5,498,3,67,129,693,0,3,1,654,0,41,2,0,4,12,47,129,161,344,0,0,17,67,148,186,279,0,4,212,319,114,48,0,0,18,66,151,462,0,0,71,170,194,262,456,1,182,58,456,15,18,208,456,13,30,198,0,0,354,343,354,0,217,126,480,4,42,8,54,4,9,4,92,126,0,5,43,18,70,9,38,80,28,0,16,53,20,13,19,159,0,7,230,455,2,3,0,0,0,697,0,0,0,0,0,8,10,210,301,168,8,1,196,234,182,52,24,4.0155543237250555,3.9075116012962257,2.357142857142857,1.3853176499973383,14.353407290015848,5.050253832113013,2.8183161004431314,1.3035300730754125
GBR,United Kingdom,3,2021-01-03,2021-01-03,630,2,8491.994884229462,1,2870.14906268677,178,630,5823992.593852527,622,0,6,624,0,86,544,0,24,606,0,165,465,1,213,416,0,141,489,1,72,557,0,28,602,0,47,583,0,12,618,0,36,594,0,150,480,1,30,599,0,121,509,624,0,3,3,544,0,34,52,606,0,16,8,465,0,56,109,417,0,80,133,489,1,40,100,558,1,38,33,602,0,14,14,583,0,26,21,618,0,11,1,594,0,22,14,480,0,48,102,600,0,15,15,509,0,45,76,0,0,79,551,551,0,19,60,0,7,265,358,365,0,73,192,557,8,58,7,557,0,1,71,1,629,0,1,0,80,4,33,513,630,0,0,0,0,0,0,2,365,157,67,39,0,5,185,399,41,0,8,281,307,34,0,6,270,304,50,0,6,207,343,74,0,6,89,347,188,0,597,5,8,20,597,7,1,25,597,6,2,25,597,6,5,22,597,7,4,22,597,6,3,24,630,0,0,0,630,0,0,0,630,0,0,0,630,0,0,0,630,0,0,0,630,0,0,0,630,0,0,0,630,0,0,0,630,0,0,0,630,0,0,0,630,0,0,0,630,0,0,0,0,1,107,522,0,1,323,306,0,1,42,587,0,1,128,501,0,1,5,624,0,0,24,606,0,3,116,511,514,0,99,10,3,4,0,0,2,32,209,387,0,1,625,4,0,2,60,568,0,0,401,120,45,15,17,32,0,1,325,156,122,26,0,1,292,274,45,18,0,0,191,432,7,0,2,193,425,10,523,0,81,26,307,0,309,14,588,0,35,7,502,0,34,94,625,0,2,3,606,0,21,3,0,6,14,26,75,138,371,0,1,16,41,98,177,297,0,5,175,312,96,42,0,0,17,40,138,435,0,0,68,138,194,230,424,3,162,41,424,25,17,164,424,25,18,163,0,2,325,303,327,0,180,123,450,6,23,10,44,4,4,8,81,125,3,3,25,19,55,11,43,77,26,0,15,46,21,11,14,136,0,5,212,407,2,4,0,0,0,0,630,0,0,0,0,6,14,166,289,155,6,7,74,206,250,62,25,4.825885558583106,4.876027028482901,2.3026315789473686,1.469872891031559,14.490434782608695,4.6124542416366845,3.1943521594684388,1.338201538125922
GBR,United Kingdom,4,2021-01-03,2021-01-03,623,1,9980.62660431924,1,9980.62660431924,242,623,6850861.3755131345,613,1,5,617,2,79,542,2,23,598,1,133,489,2,197,424,2,121,500,2,49,572,2,18,603,2,38,583,2,16,605,2,36,585,2,147,474,1,24,598,1,93,529,618,1,3,1,544,3,30,46,600,2,9,12,490,5,48,80,426,5,72,120,502,5,45,71,574,2,29,18,605,2,10,6,585,3,19,16,607,0,12,4,587,4,22,10,476,4,60,83,599,1,16,7,530,6,41,46,0,0,86,537,537,0,19,67,0,10,261,352,362,3,78,180,545,12,61,5,545,0,0,78,0,623,0,0,0,91,4,23,505,623,0,0,0,0,0,0,0,406,142,50,25,0,6,201,379,37,0,13,268,317,25,0,8,281,290,44,0,9,210,342,62,0,13,81,331,198,0,600,2,8,13,600,5,5,13,600,5,1,17,600,5,1,17,600,5,5,13,600,5,4,14,623,0,0,0,623,0,0,0,623,0,0,0,623,0,0,0,623,0,0,0,623,0,0,0,623,0,0,0,623,0,0,0,623,0,0,0,623,0,0,0,623,0,0,0,623,0,0,0,0,1,96,526,0,1,313,309,0,1,26,596,0,1,125,497,0,0,8,615,0,1,24,598,0,1,116,506,507,0,97,5,6,8,0,0,1,34,184,404,0,2,620,1,0,3,55,565,0,0,423,92,39,8,11,50,0,2,326,156,106,33,0,4,303,262,40,14,0,1,269,351,2,0,5,207,403,8,527,0,81,15,310,0,306,7,597,0,23,3,498,0,53,72,615,0,5,3,599,0,19,5,0,3,6,22,76,97,419,0,2,9,29,110,148,325,0,0,177,287,116,43,0,0,7,33,125,458,0,2,60,116,189,256,447,6,135,35,447,41,16,119,447,37,29,110,0,4,306,313,310,1,177,135,446,5,27,10,34,1,12,5,83,140,3,9,14,16,53,8,27,89,27,0,10,39,23,11,19,135,0,3,220,395,1,4,0,0,0,0,0,623,0,0,0,6,16,120,308,173,6,11,108,163,211,93,31,5.320474777448071,4.833966109246534,2.925,1.826492800250548,14.436934046345812,4.725038383547745,2.9077181208053693,1.350956397385745
GBR,United Kingdom,5,2021-01-03,2021-01-03,491,2,23340.72655261383,2,23340.72655261383,118,491,5415824.915728384,480,1,7,483,1,69,421,1,19,471,1,80,410,0,125,366,0,100,391,0,36,455,1,14,476,1,21,469,1,8,482,1,26,464,0,83,408,1,20,470,1,49,441,484,1,6,0,422,3,28,38,472,1,6,12,411,1,23,56,366,4,43,78,391,3,30,67,455,1,17,18,477,0,7,7,470,1,10,10,483,1,5,2,465,1,12,13,408,3,29,51,471,3,11,6,442,2,21,26,0,0,54,437,437,0,11,43,0,5,192,294,299,4,53,135,438,6,45,2,438,0,3,50,0,488,1,2,0,62,8,22,399,491,0,0,0,0,0,0,1,363,69,31,27,0,8,155,300,28,0,21,221,225,24,0,15,213,226,37,0,17,173,250,51,0,21,76,268,126,0,469,6,3,13,469,4,8,10,469,9,3,10,469,9,2,11,469,10,5,7,469,9,2,11,491,0,0,0,491,0,0,0,491,0,0,0,491,0,0,0,491,0,0,0,491,0,0,0,491,0,0,0,491,0,0,0,491,0,0,0,491,0,0,0,491,0,0,0,491,0,0,0,0,5,78,408,0,3,239,249,0,9,21,461,0,4,103,384,0,7,15,469,0,8,26,457,0,1,81,409,410,1,68,6,0,6,0,2,4,22,139,324,0,2,488,1,0,6,36,449,0,0,307,78,45,9,16,36,0,0,259,116,81,35,0,4,252,195,26,14,0,1,289,199,2,0,2,203,279,7,413,2,58,18,252,1,227,11,470,1,18,2,388,1,49,53,476,2,13,0,465,2,24,0,0,1,5,11,44,69,361,0,0,9,14,67,121,280,0,4,120,229,87,51,0,1,5,25,79,381,0,0,33,71,133,254,387,2,85,17,387,31,9,64,387,30,10,64,0,1,191,299,192,0,154,145,337,6,18,5,28,2,10,7,78,146,1,3,22,17,38,6,13,55,16,0,9,28,17,9,22,89,0,11,199,278,0,3,0,0,0,0,0,0,491,0,0,9,15,105,209,153,9,7,116,161,115,69,14,4.82,4.597145853679215,2.230769230769231,1.5918343668810868,14.344748858447488,4.3452130272948715,2.3191489361702127,1.1368302729322244
