ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C12..99,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
ECU,Ecuador,4,2021-01-03,2021-01-01,100,0,0,0,0,39,100,1145617.7571617863,96,3,1,96,3,4,93,3,4,93,3,11,86,3,9,88,2,14,84,2,11,87,3,2,95,3,1,96,3,2,95,3,2,95,2,16,82,3,1,96,3,13,84,99,0,1,0,96,0,1,3,96,0,3,1,89,0,4,7,91,0,3,6,86,1,7,6,89,1,7,3,98,0,2,0,99,0,1,0,98,0,1,1,98,0,2,0,84,0,15,1,99,0,1,0,87,0,9,4,0,0,15,85,85,0,4,11,0,0,49,51,51,3,10,36,90,2,8,0,90,6,4,0,94,0,3,3,0,13,2,14,71,100,0,0,0,0,0,0,45,29,15,11,0,14,43,17,26,0,12,51,23,14,0,7,56,16,21,0,13,43,22,22,0,16,5,13,66,86,10,3,1,86,10,3,1,86,7,5,2,86,8,5,1,86,12,0,2,86,12,0,2,94,0,0,6,94,0,1,5,94,0,2,4,94,0,1,5,94,1,2,3,94,1,2,3,94,0,1,5,96,0,2,2,96,0,3,1,96,0,3,1,96,0,1,3,96,0,1,3,0,7,26,67,0,5,59,36,0,4,37,59,0,5,41,54,0,7,10,83,0,4,24,72,0,0,48,52,52,0,27,13,5,3,0,1,0,10,33,56,0,0,100,0,0,4,11,85,0,0,87,6,1,1,0,5,0,0,25,26,38,11,0,1,36,42,14,7,100,100,74,1,21,4,41,1,57,1,63,2,34,1,59,2,28,11,90,0,9,1,76,1,20,3,0,0,0,3,7,25,65,0,0,0,3,6,28,63,0,0,46,35,10,9,0,0,19,32,26,23,0,0,30,34,25,11,36,7,51,6,36,18,31,15,36,17,34,13,0,0,61,39,61,0,14,25,86,1,7,0,1,1,1,0,3,25,0,2,7,3,12,1,1,7,2,2,5,3,4,4,1,21,0,0,50,50,0,0,0,0,0,0,0,100,0,0,0,3,0,77,11,9,3,0,13,18,47,14,5,2.9545454545454546,1.8795663212627984,2.9166666666666665,1.8319554050414564,13.646464646464649,6.252041513619617,3.4526315789473685,1.7731353469396038
ECU,Ecuador,5,2021-01-03,2021-01-01,100,2,22658.28785251441,1,16016.130597405801,48,100,1265784.3497918276,96,4,2,94,2,8,90,2,2,96,4,7,89,4,12,84,4,17,79,1,8,91,3,6,91,3,4,93,2,5,93,4,8,88,2,16,82,4,3,93,4,15,81,98,1,1,0,92,2,4,2,98,1,1,0,93,1,3,3,88,0,6,6,83,1,10,6,92,2,5,1,94,1,4,1,96,1,3,0,95,1,3,1,92,1,3,4,84,1,8,7,97,1,1,1,85,1,7,7,0,0,21,79,79,0,8,13,0,3,45,52,55,2,12,31,88,1,11,0,88,10,2,0,90,0,8,2,0,17,2,10,71,100,0,0,0,0,0,0,38,28,21,13,0,9,43,23,25,0,17,45,18,20,0,17,48,21,14,0,16,48,23,13,0,19,7,11,63,90,5,2,3,90,6,2,2,90,4,5,1,90,7,1,2,90,7,0,3,90,7,1,2,69,3,0,28,69,2,1,28,69,3,2,26,69,4,3,24,69,5,9,17,69,3,11,17,69,3,4,24,84,4,1,11,84,4,4,8,84,4,3,9,84,4,4,8,84,5,6,5,0,4,25,71,0,4,75,21,0,7,37,56,0,5,40,55,0,7,8,85,0,3,23,74,0,0,54,46,46,0,32,12,10,0,0,1,0,8,44,47,0,0,100,0,0,1,23,76,0,0,84,7,0,0,0,9,0,0,21,36,31,12,0,1,46,40,9,4,100,100,75,0,24,1,25,0,74,1,63,0,36,1,60,0,27,13,92,0,8,0,77,1,21,1,0,1,1,1,13,14,70,0,0,0,1,8,20,71,0,2,39,37,11,11,0,1,8,28,31,32,0,1,19,41,26,13,40,4,48,8,40,14,26,20,40,13,37,10,0,0,59,41,59,0,15,26,85,3,2,0,0,1,0,0,9,26,0,1,3,4,12,0,2,9,2,0,4,6,4,4,3,20,0,0,62,38,0,0,0,0,0,0,0,0,100,0,0,4,2,81,4,9,4,1,9,28,32,17,9,2.926829268292683,1.8356231081357497,2.4210526315789473,1.7421503147829254,14.64516129032258,6.119543108283285,3.2888888888888883,2.0069790840204043
ECU,Ecuador,-99,2021-01-04,2021-01-03,100,3,25506.306029182502,1,4334.02380074397,19,74,1260319.848772044,0,3,6,91,4,18,78,1,4,95,4,13,83,3,21,76,1,17,82,4,19,77,4,8,88,5,5,90,3,6,91,4,8,88,3,25,72,4,6,90,4,25,71,94,1,3,2,82,0,8,10,96,1,1,2,87,0,9,4,79,2,12,7,83,0,11,6,81,0,14,5,92,0,5,3,95,0,3,2,94,1,3,2,92,0,4,4,75,2,13,10,94,0,5,1,75,0,13,12,26,0,11,63,92,1,2,5,30,2,28,40,72,1,5,22,95,1,4,0,95,3,2,0,97,0,1,2,0,39,3,12,46,100,0,0,0,0,35,1,21,18,17,8,39,6,27,14,14,39,6,35,10,10,39,8,33,10,10,39,11,28,12,10,39,15,8,8,30,89,5,3,3,89,6,3,2,89,2,5,4,89,7,2,2,89,6,1,4,89,6,3,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,44,1,18,37,44,1,35,20,44,4,22,30,44,2,31,23,44,2,12,42,44,1,20,35,49,1,30,20,70,0,17,8,4,1,57,0,2,3,26,12,57,0,43,0,60,1,9,30,60,0,33,5,0,1,0,1,60,0,8,13,11,8,65,1,13,17,3,1,100,100,83,1,16,0,67,1,29,3,79,3,18,0,72,2,19,7,90,0,8,2,81,3,16,0,75,1,0,3,1,5,15,75,1,1,0,3,4,16,81,0,9,6,2,2,81,0,4,1,10,4,81,0,6,11,1,1,83,1,14,2,83,3,7,7,83,3,9,5,85,0,3,12,88,0,9,3,97,0,0,0,0,1,0,0,2,94,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2.838709677419355,2.4096579867074968,2.142857142857143,1.0690449676496976,0,0,0,0
ECU,Ecuador,1,2021-01-04,2021-01-03,100,3,16984.82108212896,1,4214.493089750999,53,99,785666.1802015774,93,1,6,93,1,14,85,1,3,96,1,26,73,1,29,70,1,10,89,1,18,81,1,8,91,1,6,93,1,7,92,1,18,81,1,35,64,1,5,94,2,27,71,94,2,4,0,86,1,10,3,97,0,2,1,74,1,9,16,71,1,17,11,90,1,3,6,82,0,8,10,92,0,4,4,94,0,4,2,93,0,7,0,82,1,11,6,65,1,17,17,95,0,4,1,73,1,13,13,0,1,20,79,80,0,8,12,0,0,22,78,78,0,6,16,94,0,6,0,94,5,1,0,95,0,3,1,1,6,1,19,74,100,0,0,0,0,0,1,31,39,20,9,0,4,37,43,16,0,4,43,43,10,0,2,53,33,12,0,5,24,51,20,0,4,5,19,72,81,4,4,11,81,5,7,7,81,2,11,6,81,5,4,10,81,5,2,12,81,4,4,11,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,3,25,72,0,3,64,33,0,3,42,55,0,4,58,38,0,3,20,77,0,3,33,64,0,1,62,37,38,1,47,7,5,2,0,3,3,24,43,27,0,2,96,2,0,1,12,87,0,1,74,14,4,1,1,5,0,1,21,31,41,6,0,1,17,56,19,7,100,100,75,0,24,1,36,0,62,2,58,0,41,1,42,0,39,19,80,0,17,3,67,0,33,0,0,0,2,5,18,30,45,0,1,3,8,20,36,32,0,2,56,30,9,3,0,1,27,27,27,18,0,1,49,26,19,5,25,2,69,4,25,7,31,37,25,7,34,34,0,0,35,65,35,0,13,52,87,1,2,0,2,3,1,0,4,52,0,7,3,2,2,1,0,4,0,0,0,0,1,3,1,24,0,2,37,60,0,1,0,0,100,0,0,0,0,0,0,6,4,58,18,14,6,2,10,17,37,20,8,2.608695652173913,1.9036913932452686,2.65,1.663066286617647,9.19767441860465,6.286904723202986,3.868131868131868,1.857171033880361
ECU,Ecuador,2,2021-01-04,2021-01-03,100,1,3174.73115692206,0,0,29,100,811081.8309011572,95,0,3,97,0,16,84,1,4,95,2,19,79,2,28,70,1,18,81,2,13,85,2,5,93,0,11,89,2,7,91,1,17,82,0,29,71,1,5,94,0,28,72,97,0,2,1,84,1,9,6,96,0,1,3,81,0,8,11,72,0,17,11,82,0,7,11,87,0,6,7,95,0,3,2,89,0,7,4,93,0,6,1,83,0,9,8,71,0,17,12,95,0,2,3,72,1,15,12,0,0,13,87,87,0,5,8,0,1,45,54,55,0,16,29,84,3,11,2,84,9,7,0,91,0,7,2,0,17,0,22,61,100,0,0,0,0,0,0,33,36,23,8,0,1,39,36,24,0,7,52,31,10,0,3,49,32,16,0,5,38,29,28,0,6,6,17,71,78,5,4,13,78,6,3,13,78,1,12,9,78,6,8,8,78,8,2,12,78,7,5,10,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,2,36,62,0,1,62,37,0,3,43,54,0,4,52,44,0,3,14,83,0,0,42,58,0,1,55,44,45,0,34,18,1,2,0,0,2,10,53,35,0,0,100,0,0,0,17,83,0,0,84,10,1,1,0,4,0,0,20,33,40,7,0,0,30,52,14,4,100,100,64,2,32,2,38,2,59,1,57,2,38,3,48,3,30,19,86,0,10,4,58,1,39,2,0,0,4,6,15,28,47,0,0,2,4,18,30,46,0,1,45,38,10,6,0,0,20,41,21,18,0,0,40,39,12,9,21,2,68,9,21,9,37,33,21,7,44,28,0,1,53,46,54,0,25,21,75,0,6,0,4,6,1,1,7,22,0,2,7,6,7,0,1,10,3,0,9,11,2,4,0,16,0,2,47,49,1,1,0,0,0,100,0,0,0,0,0,3,0,75,11,11,3,0,13,30,36,13,5,2.656716417910448,1.9349437295550873,2.4545454545454546,1.634847782739198,12.032608695652174,6.920984315049003,3.642105263157895,1.9180874199326576
ECU,Ecuador,3,2021-01-04,2021-01-03,100,1,3491.1894693607696,1,3491.1894693607696,45,100,775950.5896180121,94,0,3,97,0,20,80,0,3,97,0,18,82,0,20,80,0,17,83,0,19,81,0,6,94,0,7,93,0,2,98,0,10,90,1,18,81,0,4,96,0,23,77,97,0,3,0,80,0,11,9,97,0,2,1,82,2,11,5,80,1,10,9,83,1,9,7,81,1,10,8,94,0,3,3,93,0,5,2,98,0,2,0,90,1,5,4,82,0,10,8,96,1,1,2,77,1,14,8,0,0,18,82,82,0,5,13,0,0,55,45,45,0,11,44,89,3,7,1,89,10,1,0,90,0,5,5,0,11,2,15,72,100,0,0,0,0,0,0,30,38,17,15,0,3,45,24,28,0,6,44,26,24,0,3,43,21,33,0,5,29,31,35,0,5,6,9,80,85,7,4,4,85,7,5,3,85,3,7,5,85,7,4,4,85,8,1,6,85,8,2,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,35,65,0,0,65,35,0,0,37,63,0,0,49,51,0,1,13,86,0,0,23,77,0,0,51,49,49,0,30,12,7,2,0,0,1,17,30,52,0,0,100,0,0,0,17,83,0,0,90,4,1,0,0,5,0,0,20,30,30,20,0,1,41,49,5,4,100,100,65,0,34,1,35,0,64,1,63,0,37,0,51,0,35,14,87,0,12,1,77,0,21,2,0,1,1,1,6,19,72,0,0,2,1,7,22,68,0,0,47,34,12,7,0,0,24,31,25,20,0,0,35,40,18,7,25,2,65,8,25,12,45,18,25,12,39,24,0,1,59,40,60,0,22,18,78,0,5,0,9,2,0,1,5,19,0,7,8,6,5,0,6,5,3,0,5,4,5,1,6,20,0,0,51,48,0,1,0,0,0,0,100,0,0,0,0,5,0,77,6,12,5,0,11,26,45,9,4,2.6037735849056602,1.8743165179042798,2.588235294117647,2.0018373912924274,13.87,6.661596556897504,3.6170212765957452,1.6468045498324597
ECU,Ecuador,4,2021-01-04,2021-01-01,100,0,0,0,0,39,100,1145617.7571617863,96,3,1,96,3,4,93,3,4,93,3,11,86,3,9,88,2,14,84,2,11,87,3,2,95,3,1,96,3,2,95,3,2,95,2,16,82,3,1,96,3,13,84,99,0,1,0,96,0,1,3,96,0,3,1,89,0,4,7,91,0,3,6,86,1,7,6,89,1,7,3,98,0,2,0,99,0,1,0,98,0,1,1,98,0,2,0,84,0,15,1,99,0,1,0,87,0,9,4,0,0,15,85,85,0,4,11,0,0,49,51,51,3,10,36,90,2,8,0,90,6,4,0,94,0,3,3,0,13,2,14,71,100,0,0,0,0,0,0,45,29,15,11,0,14,43,17,26,0,12,51,23,14,0,7,56,16,21,0,13,43,22,22,0,16,5,13,66,86,10,3,1,86,10,3,1,86,7,5,2,86,8,5,1,86,12,0,2,86,12,0,2,94,0,0,6,94,0,1,5,94,0,2,4,94,0,1,5,94,1,2,3,94,1,2,3,94,0,1,5,96,0,2,2,96,0,3,1,96,0,3,1,96,0,1,3,96,0,1,3,0,7,26,67,0,5,59,36,0,4,37,59,0,5,41,54,0,7,10,83,0,4,24,72,0,0,48,52,52,0,27,13,5,3,0,1,0,10,33,56,0,0,100,0,0,4,11,85,0,0,87,6,1,1,0,5,0,0,25,26,38,11,0,1,36,42,14,7,100,100,74,1,21,4,41,1,57,1,63,2,34,1,59,2,28,11,90,0,9,1,76,1,20,3,0,0,0,3,7,25,65,0,0,0,3,6,28,63,0,0,46,35,10,9,0,0,19,32,26,23,0,0,30,34,25,11,36,7,51,6,36,18,31,15,36,17,34,13,0,0,61,39,61,0,14,25,86,1,7,0,1,1,1,0,3,25,0,2,7,3,12,1,1,7,2,2,5,3,4,4,1,21,0,0,50,50,0,0,0,0,0,0,0,100,0,0,0,3,0,77,11,9,3,0,13,18,47,14,5,2.9545454545454546,1.8795663212627984,2.9166666666666665,1.8319554050414564,13.646464646464649,6.252041513619617,3.4526315789473685,1.7731353469396038
ECU,Ecuador,5,2021-01-04,2021-01-01,100,2,22658.28785251441,1,16016.130597405801,48,100,1258595.3185545283,95,4,2,94,2,8,90,2,2,96,4,7,89,4,12,84,4,17,79,1,8,91,3,6,91,3,4,93,2,5,93,4,8,88,2,17,81,4,3,93,4,16,80,98,1,1,0,92,2,4,2,98,1,1,0,93,1,3,3,88,0,6,6,83,1,10,6,92,2,5,1,94,1,4,1,96,1,3,0,95,1,3,1,92,1,3,4,83,1,8,8,97,1,1,1,84,1,8,7,0,0,21,79,79,0,8,13,0,3,45,52,55,1,13,31,87,1,12,0,87,10,3,0,90,0,8,2,0,17,2,10,71,100,0,0,0,0,0,0,38,27,21,14,0,9,43,22,26,0,17,45,17,21,0,17,48,20,15,0,16,48,22,14,0,19,7,11,63,90,5,2,3,90,6,2,2,90,4,5,1,90,7,1,2,90,7,0,3,90,7,1,2,70,3,0,27,70,2,1,27,70,3,2,25,70,4,3,23,70,5,9,16,70,3,11,16,70,3,4,23,84,4,1,11,84,4,4,8,84,4,3,9,84,4,4,8,84,5,6,5,0,4,25,71,0,4,74,22,0,7,36,57,0,5,40,55,0,7,8,85,0,3,23,74,0,0,54,46,46,0,32,12,10,0,0,1,0,7,44,48,0,0,100,0,0,1,23,76,0,0,84,7,0,0,0,9,0,0,21,36,31,12,0,1,46,40,9,4,100,100,75,0,24,1,26,0,73,1,64,0,35,1,60,0,27,13,92,0,8,0,77,1,21,1,0,1,1,1,13,14,70,0,0,0,1,8,19,72,0,2,40,36,11,11,0,1,8,27,31,33,0,1,19,40,26,14,41,4,47,8,41,14,26,19,41,13,36,10,0,0,59,41,59,0,15,26,85,3,2,0,0,1,0,0,9,26,0,1,3,4,12,0,2,9,2,0,4,6,4,4,3,20,0,0,62,38,0,0,0,0,0,0,0,0,100,0,0,5,2,80,4,9,5,1,9,28,31,17,9,3.0238095238095237,1.9189440088692993,2.4210526315789473,1.7421503147829254,14.516129032258062,6.046222146434852,3.258426966292135,1.9973168927773195
ECU,Ecuador,-99,2021-01-13,2021-01-13,277,9,91032.7559550738,4,46529.54731719021,77,208,3147969.9838026203,0,10,19,248,8,44,225,12,23,242,12,51,214,10,59,208,9,58,210,10,50,217,12,25,240,11,25,241,11,18,248,10,37,230,11,74,192,15,19,243,15,76,186,258,1,13,5,233,4,24,16,254,3,12,8,226,5,32,14,218,7,32,20,219,5,32,21,227,5,26,19,252,5,12,8,252,2,16,7,259,3,14,1,240,3,25,9,203,7,45,22,258,1,15,3,201,5,51,20,66,3,38,170,246,0,14,17,78,4,78,117,200,5,22,50,255,9,12,1,255,18,4,0,259,1,10,7,0,112,7,44,114,93,4,3,174,3,102,1,58,56,28,32,133,11,62,39,32,133,13,60,29,42,133,13,64,34,33,133,19,48,38,39,133,18,16,17,93,239,13,11,14,239,15,7,16,239,7,23,8,239,15,4,19,239,16,5,17,239,16,11,11,277,0,0,0,277,0,0,0,277,0,0,0,277,0,0,0,277,0,0,0,277,0,0,0,277,0,0,0,277,0,0,0,277,0,0,0,277,0,0,0,277,0,0,0,277,0,0,0,150,10,50,67,150,8,77,42,150,11,36,80,150,10,36,81,150,10,17,100,150,7,42,78,166,1,46,64,231,1,32,9,1,3,176,2,4,20,28,47,176,5,93,3,191,0,22,64,191,0,72,4,0,2,1,7,191,1,27,27,16,15,194,1,34,33,6,9,277,277,231,3,42,1,204,6,64,3,244,4,26,3,244,6,19,8,262,1,10,4,238,5,32,2,208,4,0,1,10,17,37,208,0,1,3,13,16,36,220,0,29,13,8,7,220,0,15,15,14,13,220,0,24,21,3,9,239,1,32,5,239,2,27,9,239,2,24,12,234,0,20,23,254,0,13,10,273,0,0,0,0,1,1,1,1,258,0,3,1,1,0,0,1,2,1,0,1,0,1,0,0,8,277,0,0,0,0,0,277,0,0,0,0,0,0,0,0,277,0,0,0,0,277,0,0,0,0,0,0,3.2745098039215685,2.295742347399966,2.772727272727273,1.4452489711965164,0,0,0,0
ECU,Ecuador,1,2021-01-13,2021-01-13,200,2,15017.153802887713,2,15017.153802887713,75,200,1415075.7227288005,191,2,4,194,2,39,159,2,14,184,2,55,143,2,55,143,2,50,148,2,33,165,2,14,184,2,21,177,2,4,194,2,43,155,1,63,136,2,18,180,2,72,126,196,0,1,3,161,1,18,20,186,0,8,6,145,1,26,28,145,1,22,32,150,0,29,21,167,1,18,14,186,0,6,8,179,0,13,8,196,1,0,3,157,1,24,18,137,0,36,27,182,1,9,8,128,2,37,33,0,0,33,167,167,0,9,24,0,3,53,144,147,0,12,41,188,1,10,1,188,9,3,0,191,0,5,3,1,15,0,52,133,0,1,1,193,5,1,0,59,74,41,25,1,0,85,71,43,1,3,91,63,42,1,0,101,61,37,1,0,76,72,51,1,1,23,43,132,148,12,12,28,148,12,14,26,148,4,36,12,148,14,15,23,148,13,12,27,148,12,14,26,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,0,3,65,132,0,0,124,76,0,2,73,125,0,1,108,91,0,2,27,171,0,0,68,132,0,0,108,92,92,0,80,20,5,3,0,0,3,52,92,53,0,2,197,1,0,5,26,169,0,0,160,18,4,4,0,14,0,0,38,81,57,24,0,1,50,98,45,6,200,200,135,1,60,4,76,1,115,8,127,1,67,5,92,1,72,35,173,1,19,7,132,1,65,2,0,0,0,8,32,67,93,0,0,4,22,46,60,68,0,1,114,55,21,9,0,0,48,77,45,30,0,0,100,69,17,14,31,2,148,19,31,15,70,84,31,12,90,67,0,0,70,130,70,0,55,75,145,1,5,0,11,11,2,4,21,75,1,6,8,4,9,1,4,3,2,1,8,3,2,4,5,64,0,2,95,99,1,3,0,0,200,0,0,0,0,0,0,4,3,134,25,34,4,0,27,42,84,24,19,2.8931972789115648,1.875971341602289,2.3548387096774195,1.3050769350699647,10.482758620689655,5.868229477577955,3.3489583333333335,1.7777269321735603
ECU,Ecuador,2,2021-01-13,2021-01-13,230,2,7772.8932201771495,1,4346.49735070527,112,230,1731230.7699392426,224,2,9,219,4,28,198,3,6,221,3,46,181,0,54,176,2,28,200,2,47,181,1,17,212,2,19,209,1,8,221,0,26,204,1,63,166,2,6,222,2,53,175,221,1,5,3,202,1,18,9,224,0,3,3,184,0,33,13,176,1,36,17,202,0,21,7,183,2,31,14,213,0,13,4,211,0,14,5,222,0,7,1,204,3,14,9,167,1,32,30,224,0,6,0,177,1,35,17,0,0,52,178,178,0,23,29,0,0,111,119,119,1,27,83,203,6,18,3,203,19,8,0,211,0,17,2,0,28,2,49,151,0,1,1,228,0,1,0,72,87,45,25,1,6,104,75,44,1,9,115,71,34,1,11,112,65,41,1,13,87,75,54,1,12,25,34,158,181,20,13,16,181,21,13,15,181,5,34,10,181,18,11,20,181,21,7,21,181,21,9,19,230,0,0,0,230,0,0,0,230,0,0,0,230,0,0,0,230,0,0,0,230,0,0,0,230,0,0,0,230,0,0,0,230,0,0,0,230,0,0,0,230,0,0,0,230,0,0,0,0,5,96,129,0,4,138,88,0,5,81,144,0,4,115,111,0,6,21,203,0,3,83,144,0,0,121,109,109,0,87,22,8,4,0,0,3,37,97,93,0,1,229,0,0,2,24,204,0,0,188,25,3,1,1,12,0,0,48,77,65,40,0,1,75,106,44,4,230,230,134,2,92,2,92,1,133,4,149,1,78,2,115,3,79,33,209,1,18,2,147,0,83,0,0,1,7,8,35,47,132,0,0,3,13,36,66,112,0,5,135,66,16,8,0,0,77,74,59,20,0,0,118,72,30,10,40,7,167,16,40,32,97,61,40,29,104,57,0,0,132,98,132,1,44,53,186,2,13,1,10,6,1,4,7,54,0,8,9,12,16,1,4,14,9,2,7,16,4,6,8,60,0,1,96,132,0,1,0,0,0,230,0,0,0,0,0,3,3,164,38,22,3,0,53,69,76,21,8,2.7847222222222223,1.8517170049324132,2.18,1.466496588778153,10.99056603773585,6.047983931087238,3.3529411764705883,1.5961182859950263
