ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
BY,BLR,Belarus,-99,2020-12-25,2020-12-24,100,10,194538.52649912648,8,159018.7638494527,122,78,2454615.0560171604,0,7,19,74,11,26,63,10,14,76,3,54,43,6,33,61,9,25,66,8,18,74,11,14,75,9,8,83,6,14,80,10,19,71,8,28,64,9,14,77,5,39,56,81,3,12,4,74,2,16,8,86,2,9,3,46,6,31,17,67,3,18,12,75,6,14,5,82,2,9,7,86,3,8,3,92,2,5,1,86,3,11,0,81,5,7,7,72,6,15,7,86,3,10,1,61,10,14,15,20,2,45,33,58,0,12,30,25,3,39,33,62,1,16,21,84,12,4,0,84,6,10,0,94,0,2,4,0,46,1,19,34,100,33,3,12,18,15,19,44,2,13,15,26,44,7,11,19,19,44,6,14,16,20,44,7,7,14,28,44,7,5,7,37,83,9,1,7,83,7,5,5,83,9,3,5,83,6,6,5,83,8,2,7,83,9,4,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,52,2,23,23,52,1,38,9,52,4,11,33,52,1,29,18,52,2,10,36,52,2,13,33,56,1,25,18,75,0,12,6,4,3,60,0,0,1,18,21,60,0,40,0,63,0,9,28,63,0,19,13,0,1,1,3,63,0,7,6,10,14,66,2,4,15,9,4,67,0,1,31,1,74,0,1,25,0,79,3,16,2,64,3,29,4,90,1,8,1,72,3,21,4,91,1,5,3,89,2,8,1,77,0,0,2,3,5,13,77,0,1,2,8,1,11,81,0,5,10,4,0,81,0,2,2,1,14,81,0,5,11,2,1,90,1,8,1,90,5,2,3,90,5,2,3,89,1,6,4,96,2,2,100,0,0,0,0,0,0,0,0,98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,9.510204081632653,8.532102244317223,4.08,3.4751498768638265,0,0,0,0
BY,BLR,Belarus,2,2020-12-25,2020-12-22,100,7,207742.9079380435,6,192046.0868234645,158,100,2308278.156380159,99,1,14,85,2,23,75,2,7,91,1,51,48,1,41,58,2,24,74,2,23,75,2,9,89,2,9,89,0,16,84,2,14,84,2,29,69,2,7,91,1,35,64,86,0,8,6,77,0,9,14,93,0,2,5,49,1,20,30,59,0,18,23,76,0,13,11,77,0,10,13,91,0,6,3,91,0,6,3,84,0,14,2,86,0,8,6,71,1,10,18,93,0,3,4,65,0,19,16,0,0,47,53,53,0,25,22,0,0,48,52,52,0,19,29,81,10,9,0,81,6,13,0,94,0,0,5,1,19,0,33,48,100,0,0,14,42,24,20,0,3,20,41,36,0,0,30,35,35,0,2,44,33,21,0,2,8,30,60,0,2,2,16,80,67,11,5,17,67,8,6,19,67,11,8,14,67,9,12,12,67,11,7,15,67,10,15,8,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,2,38,60,0,1,67,32,0,4,20,76,0,0,42,58,0,3,17,80,0,2,26,72,0,0,53,47,47,0,33,11,4,5,0,0,1,13,35,51,0,0,100,0,0,0,24,76,0,0,70,20,5,0,0,5,0,0,41,15,30,14,0,0,22,42,26,10,0,0,8,87,5,0,1,11,86,2,62,1,34,3,33,1,66,0,80,1,16,3,58,1,30,11,83,0,10,7,74,1,25,0,0,2,2,9,25,25,37,0,0,3,14,20,30,33,0,1,29,63,4,3,0,1,4,15,29,51,0,0,21,36,24,19,43,6,38,13,43,8,29,20,43,14,19,24,0,0,79,21,79,8,13,92,0,0,0,0,0,3,1,4,13,0,1,11,3,5,6,3,3,8,2,4,19,0,1,2,19,0,0,43,55,1,1,0,0,0,100,0,0,0,0,0,1,0,68,24,7,1,0,29,46,22,1,1,6.584615384615384,6.59519784505246,3.7073170731707323,2.600422104572875,12.285714285714286,5.350567393143593,2.510204081632653,1.0178296898346706
BY,BLR,Belarus,3,2020-12-25,2020-12-24,100,8,123189.5747468574,5,84310.4802684295,164,99,1758192.8112214846,96,1,14,85,2,25,73,1,13,86,0,45,55,1,39,60,1,23,76,1,23,76,0,8,92,2,3,95,2,16,82,1,21,78,1,30,69,2,17,81,0,39,61,86,1,10,3,75,0,13,12,87,1,12,0,55,3,18,24,61,2,16,21,77,1,14,8,77,1,12,10,92,0,7,1,97,0,3,0,84,1,13,2,79,1,8,12,70,0,13,17,83,1,10,6,61,2,24,13,0,1,58,41,42,0,32,26,0,1,50,49,50,0,21,29,79,14,6,1,79,7,14,0,93,0,0,6,1,22,0,32,46,100,0,0,16,25,35,24,0,1,16,33,50,0,4,22,30,44,0,4,36,25,35,0,5,12,25,58,0,5,6,7,82,68,10,10,12,68,13,5,14,68,13,8,11,68,12,9,11,68,11,8,13,68,12,11,9,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,2,57,41,0,0,86,14,0,4,37,59,0,2,58,40,0,3,25,72,0,1,36,63,0,0,59,41,41,0,27,15,6,11,0,0,2,5,23,70,0,0,100,0,0,0,26,74,0,0,70,15,6,5,1,3,0,0,33,13,27,27,0,0,19,46,24,11,0,0,17,83,0,0,0,9,91,0,43,3,51,3,14,1,81,4,63,1,31,5,42,2,43,13,75,1,18,6,64,1,32,3,0,0,1,10,21,28,40,0,0,0,10,24,27,39,0,1,37,49,8,5,0,0,4,15,29,52,0,0,22,37,24,17,41,6,44,9,41,25,15,19,41,26,16,17,0,0,62,38,62,17,21,83,3,0,0,1,0,2,0,11,21,0,3,12,5,11,2,3,8,11,0,2,4,0,3,5,10,0,2,34,64,0,0,0,0,0,0,100,0,0,0,0,2,2,59,29,8,2,1,16,46,30,2,3,9.45945945945946,9.730884583238389,3.25531914893617,2.2886115508561744,13.200000000000001,5.863121223050951,2.6041666666666665,1.1000398716856792
BY,BLR,Belarus,4,2020-12-25,2020-12-23,100,5,153365.35724932142,3,108488.17370844571,194,100,2304477.5529960482,97,3,5,92,2,29,69,2,11,87,2,37,61,2,25,73,3,24,73,3,7,90,2,14,84,3,12,85,3,9,88,2,11,87,3,22,75,3,12,85,3,32,65,95,1,4,0,71,5,17,7,89,3,6,2,63,3,21,13,75,2,12,11,76,3,17,4,93,1,4,2,86,2,9,3,88,3,8,1,91,1,8,0,89,1,8,2,78,2,12,8,88,1,9,2,68,2,18,12,0,0,57,43,43,0,30,27,0,1,49,50,51,3,16,30,84,13,2,1,84,6,10,0,94,0,3,2,1,20,2,30,48,100,0,0,22,27,24,27,0,2,18,33,47,0,7,23,28,42,0,8,35,24,33,0,6,14,13,67,0,8,2,6,84,70,15,9,6,70,19,5,6,70,13,12,5,70,19,3,8,70,18,5,7,70,15,11,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,6,51,43,0,3,84,13,0,7,24,69,0,6,46,48,0,7,12,81,0,7,38,55,0,1,53,46,47,0,33,11,5,4,0,0,0,12,40,48,0,0,100,0,0,0,32,68,0,0,76,13,3,3,1,4,0,0,38,14,21,27,0,1,24,48,15,12,0,0,12,86,2,0,3,10,87,0,49,2,46,3,16,5,73,6,76,2,19,3,54,2,35,9,88,2,8,2,62,3,32,3,0,0,2,5,23,27,43,0,0,0,5,24,35,36,0,0,39,47,8,6,0,0,5,12,31,52,0,0,21,41,22,16,38,10,41,11,38,23,16,23,38,22,19,21,0,1,71,28,72,14,14,86,2,0,0,2,1,2,2,5,15,0,2,17,3,9,2,2,14,11,0,5,3,0,1,4,12,0,3,39,56,1,1,0,0,0,0,0,100,0,0,0,2,3,55,30,10,2,3,22,37,30,5,1,8.634615384615385,8.499201453040545,4.044444444444444,2.5401821297940925,12.359550561797754,5.62107881713441,2.1458333333333335,1.2050697002481394
BY,BLR,Belarus,5,2020-12-25,2020-12-22,100,8,208536.3994890507,7,181973.0653726704,142,100,2384858.139663816,98,4,9,87,4,16,80,4,7,89,4,39,57,4,26,70,4,21,75,4,12,84,3,11,86,5,1,94,5,8,87,5,13,82,5,19,76,6,14,80,3,31,66,91,1,8,0,84,1,9,6,93,1,4,2,61,7,16,16,74,3,13,10,79,4,11,6,88,3,5,4,89,4,5,2,99,0,0,1,92,0,8,0,87,1,9,3,81,3,8,8,86,1,10,3,69,5,16,10,0,0,48,52,52,0,16,32,0,3,39,58,61,2,14,23,86,11,3,0,86,6,8,0,94,0,3,3,0,19,1,33,47,100,0,0,24,28,16,32,0,6,25,28,41,0,12,27,23,38,0,11,33,29,27,0,14,19,24,43,0,16,5,14,65,67,19,3,11,67,18,4,11,67,18,7,8,67,17,6,10,67,15,9,9,67,15,9,9,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,7,49,44,0,2,77,21,0,6,24,70,0,5,54,41,0,6,14,80,0,3,43,54,0,0,54,46,46,0,35,7,7,5,0,0,1,8,39,52,0,0,99,1,0,1,20,79,0,0,70,17,5,3,2,3,0,0,35,13,24,28,0,2,26,48,19,5,0,0,24,76,0,0,1,22,77,0,51,2,43,4,23,3,74,0,76,2,20,2,46,3,31,20,86,0,12,2,57,2,36,5,0,1,0,8,27,29,35,0,0,1,11,23,24,41,0,3,41,43,5,8,0,0,4,11,25,60,0,0,18,30,27,25,52,9,29,10,52,22,15,11,52,14,27,7,0,2,56,42,58,15,27,85,3,0,0,3,0,3,0,6,29,0,3,9,4,12,4,2,3,8,0,2,7,2,0,2,13,0,3,39,58,0,0,0,0,0,0,0,0,100,0,0,1,3,52,37,7,1,3,31,43,19,2,1,9.639344262295081,9.304179682424536,3.9375,3.110206921858125,13.201086956521738,4.327943819718688,1.7391304347826086,1.00405294306134
BY,BLR,Belarus,-99,2020-12-26,2020-12-25,100,8,140799.4077084498,4,60684.10273172629,130,78,2494726.6820389684,0,8,13,79,11,23,66,10,14,76,6,45,49,7,36,57,9,24,67,10,19,71,11,17,72,10,6,84,8,14,78,10,17,73,8,33,59,10,12,78,8,40,52,87,3,6,4,77,4,10,9,86,3,9,2,55,5,25,15,64,6,12,18,76,5,13,6,81,3,8,8,83,4,13,0,94,1,5,0,86,3,11,0,83,4,8,5,67,9,14,10,88,3,8,1,60,10,15,15,19,3,45,33,58,0,17,25,25,7,35,33,66,0,14,20,86,10,4,0,86,4,10,0,97,0,1,2,0,47,1,20,32,100,36,1,8,16,17,22,48,3,10,15,24,48,9,9,17,17,48,9,9,21,13,48,11,4,16,21,48,11,3,6,32,84,9,2,5,84,8,4,4,84,8,4,4,84,5,7,4,84,9,1,6,84,9,3,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,53,4,21,22,53,2,40,5,53,5,14,28,53,3,32,12,53,5,11,31,53,4,16,27,58,2,23,17,77,0,14,5,1,3,61,1,0,3,20,15,61,1,38,0,63,1,10,26,63,0,23,10,1,0,1,2,63,0,9,7,9,12,66,1,5,13,10,5,70,0,3,26,1,73,0,4,22,1,80,5,12,3,62,5,29,4,88,4,7,1,69,6,22,3,89,3,5,3,85,4,10,1,75,0,0,3,3,6,13,75,0,1,2,10,3,9,79,0,5,12,4,0,79,0,2,4,3,12,79,0,8,8,4,1,89,1,8,2,89,5,3,3,89,5,3,3,86,1,6,7,93,4,3,100,0,0,0,0,0,0,0,0,98,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,8.290909090909091,8.902086162644016,4.36,3.4019602192461527,0,0,0,0
BY,BLR,Belarus,2,2020-12-26,2020-12-23,100,10,262224.7926673146,7,208908.5663031068,162,100,2281276.159736522,98,2,14,84,3,26,71,3,11,86,1,50,49,2,42,56,3,20,77,3,20,77,3,12,85,3,7,90,1,19,80,3,14,83,3,26,71,3,5,92,2,28,70,86,0,8,6,74,1,9,16,89,1,6,4,50,2,22,26,58,1,17,24,80,0,12,8,80,0,10,10,88,1,7,4,93,0,4,3,81,0,16,3,86,0,9,5,74,1,10,15,95,0,2,3,72,1,18,9,0,0,50,50,50,0,24,26,0,0,51,49,49,0,19,32,81,11,6,2,81,5,14,0,95,0,1,4,0,19,0,33,48,100,0,0,13,43,29,15,0,2,24,43,31,0,1,32,39,28,0,3,49,31,17,0,3,8,30,59,0,3,4,14,79,67,10,4,19,67,8,7,18,67,10,8,15,67,8,11,14,67,10,7,16,67,10,13,10,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,2,39,59,0,1,71,28,0,4,27,69,0,0,48,52,0,3,16,81,0,2,27,71,0,0,56,44,44,0,37,10,4,5,0,1,0,13,40,46,0,1,99,0,0,1,25,74,0,0,70,16,8,1,0,5,0,0,37,16,29,18,0,0,20,46,26,8,0,0,10,86,4,0,1,8,89,2,61,1,33,5,29,1,69,1,73,1,23,3,52,1,33,14,84,0,12,4,73,1,24,2,0,1,1,7,24,27,40,0,0,1,11,26,26,36,0,1,29,61,6,3,0,1,4,21,31,43,0,0,26,35,24,15,39,6,41,14,39,8,29,24,39,13,22,26,0,0,76,24,76,12,12,88,0,0,0,0,1,5,2,4,12,0,1,9,4,7,8,1,3,9,2,3,14,2,1,4,20,0,0,45,54,0,1,0,0,0,100,0,0,0,0,0,2,1,73,20,4,2,0,32,45,19,1,1,7.40909090909091,7.454430324882745,3.6666666666666665,2.628796132394267,12.263736263736265,5.4890500389111345,2.4536082474226806,1.0706366734788875
BY,BLR,Belarus,3,2020-12-26,2020-12-25,100,3,39118.4634924688,1,12131.831280414499,194,100,1704708.9209705477,98,0,8,92,0,28,72,0,12,88,0,39,61,0,35,65,0,25,75,0,17,83,0,10,90,0,5,95,0,15,85,0,17,83,0,30,70,0,14,86,0,33,67,92,1,6,1,72,1,14,13,88,1,10,1,61,4,20,15,65,2,21,12,75,1,15,9,83,1,11,5,90,1,6,3,95,0,4,1,85,2,12,1,83,0,10,7,70,3,16,11,86,2,8,4,67,2,19,12,0,0,61,39,39,0,30,31,0,0,48,52,52,1,25,22,75,18,6,1,75,9,16,0,91,0,1,7,1,26,0,32,42,100,0,0,19,29,22,30,0,4,18,26,52,0,7,20,25,48,0,4,40,21,35,0,7,8,20,65,0,7,3,6,84,68,15,4,13,68,15,7,10,68,12,7,13,68,15,9,8,68,15,5,12,68,14,10,8,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,4,40,56,0,1,77,22,0,3,44,53,0,2,55,43,0,3,20,77,0,2,27,71,0,0,59,41,41,0,35,15,3,6,0,0,4,4,39,53,0,0,100,0,0,1,30,69,0,0,73,18,3,1,1,4,0,0,41,13,22,24,0,0,19,47,24,10,0,0,19,81,0,0,0,12,88,0,60,5,33,2,23,3,73,1,56,5,29,10,45,5,37,13,80,3,13,4,73,1,23,3,0,1,2,10,18,26,43,0,0,3,9,18,26,44,0,1,29,56,9,5,0,0,4,16,25,55,0,0,13,38,31,18,49,6,35,10,49,23,11,17,49,18,21,12,0,0,67,33,67,17,16,83,2,0,0,0,0,4,1,10,16,0,3,15,6,11,0,4,8,13,1,3,4,2,1,5,8,0,3,33,61,0,3,0,0,0,0,100,0,0,0,0,1,6,52,34,7,1,4,25,37,28,2,3,8.642857142857142,8.432228914827306,3.66,2.623364407840918,12.473118279569892,5.993821815273555,2.659340659340659,1.1276305563218263
BY,BLR,Belarus,4,2020-12-26,2020-12-24,100,6,167216.0162621728,4,126687.84642049852,156,100,2322283.5495257457,96,3,6,91,2,20,78,3,13,84,3,30,67,3,23,74,2,23,75,3,11,86,2,16,82,3,9,88,3,9,88,2,10,88,3,22,75,3,9,88,3,29,68,94,2,4,0,80,4,10,6,87,4,6,3,70,4,17,9,77,3,9,11,77,3,15,5,89,2,7,2,84,3,10,3,91,2,7,0,91,2,7,0,90,0,8,2,78,3,11,8,91,1,7,1,71,2,12,15,0,0,61,39,39,0,31,30,0,1,52,47,48,2,18,32,82,10,7,1,82,11,7,0,89,0,2,8,1,21,2,29,48,100,0,1,22,31,20,26,0,3,24,27,46,0,6,26,30,38,0,5,39,23,33,0,5,14,16,65,0,5,4,6,85,71,19,3,7,71,17,5,7,71,12,11,6,71,17,4,8,71,17,3,9,71,18,6,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,7,53,40,0,3,86,11,0,8,34,58,0,5,51,44,0,8,17,75,0,8,40,52,0,0,59,41,41,0,31,17,1,10,0,0,0,9,48,43,0,1,99,0,0,0,32,68,0,0,73,17,2,5,0,3,0,0,35,12,20,33,0,1,21,40,29,9,0,0,17,83,0,0,1,13,86,0,47,4,45,4,14,6,76,4,66,4,26,4,49,5,39,7,83,2,14,1,60,4,32,4,0,1,0,4,31,26,38,0,1,0,1,33,37,28,0,0,36,50,8,6,0,0,3,14,29,54,0,0,25,43,17,15,32,10,49,9,32,33,12,23,32,33,16,19,0,2,71,27,73,13,14,87,1,1,1,1,1,3,1,4,16,0,0,17,5,12,2,2,9,11,0,5,2,2,1,3,13,0,3,42,53,1,1,0,0,0,0,0,100,0,0,0,1,3,59,27,10,1,4,22,43,24,4,2,7.652173913043478,7.914030835040448,3.3000000000000003,2.2616365755797285,13.106382978723405,5.748245333220386,2.2291666666666665,1.1000398716856792
BY,BLR,Belarus,5,2020-12-26,2020-12-23,100,4,127455.3797394678,4,127455.3797394678,155,100,2467060.5649526287,97,6,5,89,6,17,77,6,9,85,5,39,56,5,27,68,6,18,76,6,13,81,5,12,83,7,1,92,7,8,85,7,11,82,6,18,76,8,11,81,4,38,58,95,0,5,0,83,0,11,6,91,0,6,3,61,5,16,18,73,2,18,7,82,2,10,6,87,2,5,6,88,2,7,3,99,0,0,1,92,0,7,1,89,0,8,3,82,3,8,7,89,0,8,3,62,4,19,15,0,0,52,48,48,0,19,33,0,2,39,59,61,4,13,22,87,8,4,1,87,4,9,0,96,0,3,1,0,19,1,29,51,100,0,0,22,27,16,35,0,10,29,23,38,0,15,28,19,38,0,10,37,23,30,0,17,20,18,45,0,17,6,8,69,71,20,2,7,71,17,5,7,71,19,5,5,71,18,3,8,71,15,8,6,71,15,8,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,7,50,43,0,3,80,17,0,6,21,73,0,3,51,46,0,6,16,78,0,3,39,58,0,0,54,46,46,0,36,8,7,3,0,0,0,9,40,51,0,1,98,1,0,1,27,72,0,1,67,16,5,4,3,4,0,1,34,11,22,32,0,2,21,52,15,10,0,0,24,76,0,0,2,25,73,0,50,2,41,7,20,2,75,3,79,2,18,1,49,3,34,14,84,1,13,2,61,2,35,2,0,5,0,9,28,22,36,0,5,1,10,27,19,38,0,3,45,42,3,7,0,2,4,12,27,55,0,1,19,40,20,20,41,11,35,13,41,28,23,8,41,20,34,5,0,2,58,40,60,17,23,83,5,0,0,2,0,6,0,4,25,0,1,12,2,10,4,2,5,8,0,2,5,4,1,2,17,0,3,38,59,0,0,0,0,0,0,0,0,100,0,0,2,4,54,36,4,2,4,29,45,18,1,1,8.966666666666667,8.923339548653574,3.428571428571428,2.8809115862768593,13.515789473684208,4.45751375672329,1.7582417582417582,1.0364539904100298
