"date","population","total_responses","pct_cli","pct_cli_smooth","pct_cli_smooth_low","pct_cli_smooth_high","number_cli","batched_pct_cli","batched_pct_cli_smooth","batched_pct_cli_smooth_low","batched_pct_cli_smooth_high","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_symptom","p_symptom_high","p_symptom_low"
2020-06-28,6545503,675,6.0741,6.00792892159377,5.54581879399724,6.47003904919029,41.000175,NA,6.05162573512503,5.57157704556674,6.53167442468332,396109.344041381,22775206.6845702,393249.167800788,22852293.4135878,15000,6.05162573512503,6.53167442468332,5.57157704556674
2020-06-29,6545503,720,5.5556,5.92735496178815,5.46668021377025,6.38802970980604,40.00032,NA,5.97897118797051,5.49978108498818,6.45816129095284,391353.738477745,23166560.423048,387975.196844492,23240268.6104323,15000,5.97897118797051,6.45816129095284,5.49978108498818
2020-06-30,6545503,672,4.0179,5.84865102430369,5.39109295740952,6.30620909119787,27.000288,NA,5.90699162131582,5.42980715036831,6.38417609226333,386642.313782976,23553202.7368309,382823.628255329,23623092.2386876,15000,5.90699162131582,6.38417609226333,5.42980715036831
2020-07-01,6545503,625,6.4,5.77206385455372,5.31832898143314,6.22579872767429,40,NA,5.83601136896397,5.36177479881024,6.31024793911771,381996.299235878,23935199.0360668,377810.612761729,24000902.8514494,15000,5.83601136896397,6.31024793911771,5.36177479881024
2020-07-02,6545503,500,5.4,5.69776115319533,5.24743433248347,6.14808797390719,27,5.12954239548602,5.76616887750828,5.29499093208606,6.2373468229305,377424.756862371,24312623.7929292,372947.127215235,24373849.9786646,15000,5.76616887750828,6.2373468229305,5.29499093208606
2020-07-03,6545503,476,5.2521,5.62590115332224,5.17780585162568,6.0739964550188,24.999996,NA,5.6975910448406,5.22888706448428,6.16629502519692,372935.992767773,24685559.785697,368243.528767742,24742093.5074323,15000,5.6975910448406,6.16629502519692,5.22888706448428
2020-07-04,6545503,467,3.212,5.55663344884977,5.10937685605314,6.00389004164641,15.00004,NA,5.63039820337551,5.16323158096516,6.09756482578587,368537.88331389,25054097.6690108,363709.609093465,25105803.1165258,15000,5.63039820337551,6.09756482578587,5.16323158096516
2020-07-05,6545503,439,5.9226,5.49009986113289,5.0426384706307,5.93756125163509,26.000214,NA,5.56470444446614,5.09820285014051,6.03120603879176,364237.896353664,25418335.5653645,359354.651113449,25465157.7676392,15000,5.56470444446614,6.03120603879176,5.09820285014051
2020-07-06,6545503,507,5.3254,5.42643534000481,4.97850949717356,5.87436118283605,26.999778,NA,5.5006179660014,5.03434617049109,5.9668897615117,360043.11398316,25778378.6793477,355187.487973075,25820345.2556123,15000,5.5006179660014,5.9668897615117,5.03434617049109
2020-07-07,6545503,540,6.4815,5.3657688962678,4.91809102964593,5.81344676288968,35.0001,NA,5.43824144080969,4.97243194075535,5.90405094086402,355960.256655441,26134338.9360031,351216.564078276,26171561.8196906,15000,5.43824144080969,5.90405094086402,4.97243194075535
2020-07-08,6545503,516,5.0388,5.30820557830069,4.86222851846527,5.75418263813611,26.000208,NA,5.37767187434922,4.91322863905513,5.84211510964331,351995.673865684,26486334.6098688,347448.755373839,26519010.5750644,15000,5.37767187434922,5.84211510964331,4.91322863905513
