"","date","p_w_country","p_m_country"
"158","2020/10/03",NA,NA
"159","2020/10/04",NA,NA
"160","2020/10/06",NA,NA
"161","2020/10/09",NA,NA
"162","2020/10/10",NA,NA
"163","2020/10/11",NA,NA
"164","2020/10/16",NA,NA
"165","2020/10/19",NA,NA
"166","2020/10/20",NA,NA
"167","2020/10/21",NA,NA
"168","2020/10/25",NA,NA
"169","2020/10/27",NA,NA
"170","2020/10/31",NA,NA
"171","2020/11/01",NA,NA
"172","2020/11/03",NA,NA
"173","2020/11/04",NA,NA
"174","2020/11/06",NA,NA
"175","2020/11/07",NA,NA
"176","2020/11/10",NA,NA
"177","2020/11/11",NA,NA
"178","2020/11/13",NA,NA
"179","2020/11/15",NA,NA
"180","2020/11/17",NA,NA
"181","2020/11/20",NA,NA
"182","2020/11/22",NA,NA
"183","2020/11/24",NA,NA
"184","2020/11/27",NA,NA
"185","2020/11/29",NA,NA
"186","2020/12/01",NA,NA
"187","2020/12/02",NA,NA
"188","2020/12/04",NA,NA
"189","2020/12/05",NA,NA
"190","2020/12/06",NA,NA
"191","2020/12/08",NA,NA
"192","2020/12/15",NA,NA
"193","2020/12/17",NA,NA
"194","2020/12/18",NA,NA
"195","2020/12/19",NA,NA
"196","2020/12/20",NA,NA
"197","2020/12/21",NA,NA
"198","2020/12/22",NA,NA
"199","2020/12/26",NA,NA
"200","2020/12/27",NA,NA
"201","2020/12/29",NA,NA
"202","2021/01/01",NA,NA
"203","2021/01/02",NA,NA
"204","2021/01/04",NA,NA
"205","2021/01/05",NA,NA
"206","2021/01/09",NA,NA
"207","2021/01/10",NA,NA
"208","2021/01/12",NA,NA
"209","2021/01/14",NA,NA
"210","2021/01/15",NA,NA
"211","2021/01/16",NA,NA
"212","2021/01/18",NA,NA
"213","2021/01/19",NA,NA
"214","2021/01/23",NA,NA
"215","2021/01/24",NA,NA
"216","2021/01/26",NA,NA
"217","2021/01/30",NA,NA
"218","2021/01/31",NA,NA
"219","2021/02/02",NA,NA
"220","2021/02/06",NA,NA
"221","2021/02/08",NA,NA
"222","2021/02/10",NA,NA
"223","2021/02/12",NA,NA
"224","2021/02/13",NA,NA
"225","2021/02/20",NA,NA
"226","2021/02/24",NA,NA
"227","2021/02/26",NA,NA
"228","2021/03/02",NA,NA
"229","2021/03/06",NA,NA
"230","2021/03/08",NA,NA
"231","2021/03/13",NA,NA
"232","2021/03/16",NA,NA
"233","2021/03/19",NA,NA
