"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_active","p_cum_cases","p_cum_deaths","p_infected","p_daily","p_active"
"2021/05/30","CM",25876387,0,0,78929,1275,94927.5362318841,0,2536.23188405797,0.00305023263100834,4.92727211105631e-05,0.00366850040664039,0,9.80133696430637e-05
"2021/05/31","CM",25876387,0,0,78929,1275,94927.5362318841,0,2536.23188405797,0.00305023263100834,4.92727211105631e-05,0.00366850040664039,0,9.80133696430637e-05
"2021/06/01","CM",25876387,0,0,78929,1275,94927.5362318841,0,2536.23188405797,0.00305023263100834,4.92727211105631e-05,0.00366850040664039,0,9.80133696430637e-05
"2021/06/02","CM",25876387,0,0,78929,1275,94927.5362318841,0,2536.23188405797,0.00305023263100834,4.92727211105631e-05,0.00366850040664039,0,9.80133696430637e-05
"2021/06/03","CM",25876387,0,0,78929,1275,95144.9275362319,217.391304347824,2753.62318840579,0.00305023263100834,4.92727211105631e-05,0.00367690155260979,8.4011459694054e-06,0.000106414515612469
"2021/06/04","CM",25876387,0,0,78929,1275,95144.9275362319,0,2753.62318840579,0.00305023263100834,4.92727211105631e-05,0.00367690155260979,0,0.000106414515612469
"2021/06/05","CM",25876387,0,0,78929,1275,95144.9275362319,0,797.10144927536,0.00305023263100834,4.92727211105631e-05,0.00367690155260979,0,3.080420188782e-05
"2021/06/06","CM",25876387,0,0,78929,1275,95144.9275362319,0,797.10144927536,0.00305023263100834,4.92727211105631e-05,0.00367690155260979,0,3.080420188782e-05
"2021/06/07","CM",25876387,0,0,78929,1275,95144.9275362319,0,797.10144927536,0.00305023263100834,4.92727211105631e-05,0.00367690155260979,0,3.080420188782e-05
"2021/06/08","CM",25876387,975,27,79904,1302,95144.9275362319,0,217.391304347824,0.00308791177068112,5.03161434399632e-05,0.00367690155260979,0,8.4011459694054e-06
"2021/06/09","CM",25876387,0,0,79904,1302,95652.1739130435,507.246376811599,724.637681159424,0.00308791177068112,5.03161434399632e-05,0.00369650422653841,1.9602673928613e-05,2.80038198980184e-05
"2021/06/10","CM",25876387,0,0,79904,1302,95652.1739130435,0,724.637681159424,0.00308791177068112,5.03161434399632e-05,0.00369650422653841,0,2.80038198980184e-05
"2021/06/11","CM",25876387,186,8,80090,1310,95652.1739130435,0,724.637681159424,0.00309509979117255,5.06253056116374e-05,0.00369650422653841,0,2.80038198980184e-05
"2021/06/12","CM",25876387,0,0,80090,1310,95652.1739130435,0,724.637681159424,0.00309509979117255,5.06253056116374e-05,0.00369650422653841,0,2.80038198980184e-05
"2021/06/13","CM",25876387,0,0,80090,1310,95652.1739130435,0,507.246376811599,0.00309509979117255,5.06253056116374e-05,0.00369650422653841,0,1.9602673928613e-05
"2021/06/14","CM",25876387,0,0,80090,1310,95652.1739130435,0,507.246376811599,0.00309509979117255,5.06253056116374e-05,0.00369650422653841,0,1.9602673928613e-05
"2021/06/15","CM",25876387,0,0,80090,1310,95652.1739130435,0,507.246376811599,0.00309509979117255,5.06253056116374e-05,0.00369650422653841,0,1.9602673928613e-05
"2021/06/16","CM",25876387,238,3,80328,1313,95942.0289855072,289.855072463761,797.10144927536,0.00310429736577985,5.07412414260152e-05,0.00370770575449761,1.1201527959207e-05,3.080420188782e-05
"2021/06/17","CM",25876387,0,0,80328,1313,95942.0289855072,0,797.10144927536,0.00310429736577985,5.07412414260152e-05,0.00370770575449761,0,3.080420188782e-05
"2021/06/18","CM",25876387,0,0,80328,1313,95942.0289855072,0,797.10144927536,0.00310429736577985,5.07412414260152e-05,0.00370770575449761,0,3.080420188782e-05
