"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_active","p_cum_cases","p_cum_deaths","p_infected","p_daily","p_active"
"2021/12/31","BR",211049519,0,0,22230737,618392,44914637.6811594,0,55507.2463768125,0.105334222533812,0.00293008012020155,0.212815636320685,0,0.000263005794279078
"2022/01/01","BR",211049519,0,0,22230737,618392,44914637.6811594,0,55507.2463768125,0.105334222533812,0.00293008012020155,0.212815636320685,0,0.000263005794279078
"2022/01/02","BR",211049519,56784,664,22287521,619056,44914637.6811594,0,55507.2463768125,0.105603277873379,0.0029332263012644,0.212815636320685,0,0.000263005794279078
"2022/01/03","BR",211049519,0,0,22287521,619056,44985217.3913044,70579.7101449296,126086.956521742,0.105603277873379,0.0029332263012644,0.213150058831948,0.00033442251126348,0.000597428305542559
"2022/01/04","BR",211049519,0,0,22287521,619056,44985217.3913044,0,126086.956521742,0.105603277873379,0.0029332263012644,0.213150058831948,0,0.000597428305542559
"2022/01/05","BR",211049519,0,0,22287521,619056,44985217.3913044,0,126086.956521742,0.105603277873379,0.0029332263012644,0.213150058831948,0,0.000597428305542559
"2022/01/06","BR",211049519,0,0,22287521,619056,44985217.3913044,0,70579.7101449296,0.105603277873379,0.0029332263012644,0.213150058831948,0,0.00033442251126348
"2022/01/07","BR",211049519,0,0,22287521,619056,44985217.3913044,0,70579.7101449296,0.105603277873379,0.0029332263012644,0.213150058831948,0,0.00033442251126348
"2022/01/08","BR",211049519,0,0,22287521,619056,44985217.3913044,0,70579.7101449296,0.105603277873379,0.0029332263012644,0.213150058831948,0,0.00033442251126348
"2022/01/09","BR",211049519,162701,766,22450222,619822,44985217.3913044,0,70579.7101449296,0.10637419173649,0.00293685578122545,0.213150058831948,0,0.00033442251126348
"2022/01/10","BR",211049519,0,0,22450222,619822,45113260.8695652,128043.478260867,198623.188405797,0.10637419173649,0.00293685578122545,0.213756757576715,0.00060669874476647,0.00094112125602995
"2022/01/11","BR",211049519,0,0,22450222,619822,45113260.8695652,0,198623.188405797,0.10637419173649,0.00293685578122545,0.213756757576715,0,0.00094112125602995
"2022/01/12","BR",211049519,0,0,22450222,619822,45113260.8695652,0,198623.188405797,0.10637419173649,0.00293685578122545,0.213756757576715,0,0.00094112125602995
"2022/01/13","BR",211049519,0,0,22450222,619822,45113260.8695652,0,128043.478260867,0.10637419173649,0.00293685578122545,0.213756757576715,0,0.00060669874476647
"2022/01/14","BR",211049519,0,0,22450222,619822,45113260.8695652,0,128043.478260867,0.10637419173649,0.00293685578122545,0.213756757576715,0,0.00060669874476647
"2022/01/15","BR",211049519,0,0,22450222,619822,45113260.8695652,0,128043.478260867,0.10637419173649,0.00293685578122545,0.213756757576715,0,0.00060669874476647
"2022/01/16","BR",211049519,476981,974,22927203,620796,45113260.8695652,0,128043.478260867,0.10863423479302,0.00294147081188088,0.213756757576715,0,0.00060669874476647
"2022/01/17","BR",211049519,0,0,22927203,620796,45353913.0434783,240652.173913039,368695.652173907,0.10863423479302,0.00294147081188088,0.214897021601259,0.00114026402454411,0.00174696276931058
"2022/01/18","BR",211049519,0,0,22927203,620796,45353913.0434783,0,368695.652173907,0.10863423479302,0.00294147081188088,0.214897021601259,0,0.00174696276931058
"2022/01/19","BR",211049519,0,0,22927203,620796,45353913.0434783,0,368695.652173907,0.10863423479302,0.00294147081188088,0.214897021601259,0,0.00174696276931058
"2022/01/20","BR",211049519,0,0,22927203,620796,45353913.0434783,0,240652.173913039,0.10863423479302,0.00294147081188088,0.214897021601259,0,0.00114026402454411
"2022/01/21","BR",211049519,0,0,22927203,620796,45353913.0434783,0,240652.173913039,0.10863423479302,0.00294147081188088,0.214897021601259,0,0.00114026402454411
"2022/01/22","BR",211049519,0,0,22927203,620796,45353913.0434783,0,240652.173913039,0.10863423479302,0.00294147081188088,0.214897021601259,0,0.00114026402454411
"2022/01/23","BR",211049519,824579,1767,23751782,622563,45353913.0434783,0,240652.173913039,0.112541275206602,0.00294984325455866,0.214897021601259,0,0.00114026402454411
"2022/01/24","BR",211049519,0,0,23751782,622563,45687971.0144928,334057.9710145,574710.144927539,0.112541275206602,0.00294984325455866,0.216479863261346,0.00158284166008689,0.002723105684631
"2022/01/25","BR",211049519,0,0,23751782,622563,45687971.0144928,0,574710.144927539,0.112541275206602,0.00294984325455866,0.216479863261346,0,0.002723105684631
"2022/01/26","BR",211049519,0,0,23751782,622563,45687971.0144928,0,574710.144927539,0.112541275206602,0.00294984325455866,0.216479863261346,0,0.002723105684631
"2022/01/27","BR",211049519,0,0,23751782,622563,45687971.0144928,0,334057.9710145,0.112541275206602,0.00294984325455866,0.216479863261346,0,0.00158284166008689
"2022/01/28","BR",211049519,0,0,23751782,622563,45687971.0144928,0,334057.9710145,0.112541275206602,0.00294984325455866,0.216479863261346,0,0.00158284166008689
"2022/01/29","BR",211049519,0,0,23751782,622563,45687971.0144928,0,334057.9710145,0.112541275206602,0.00294984325455866,0.216479863261346,0,0.00158284166008689
"2022/01/30","BR",211049519,1283024,3321,25034806,625884,45687971.0144928,0,334057.9710145,0.118620530947526,0.00296557889809737,0.216479863261346,0,0.00158284166008689
"2022/01/31","BR",211049519,0,0,25034806,625884,46170434.7826087,482463.768115938,816521.739130437,0.118620530947526,0.00296557889809737,0.218765884904048,0.00228602164270243,0.00386886330278932
"2022/02/01","BR",211049519,0,0,25034806,625884,46170434.7826087,0,816521.739130437,0.118620530947526,0.00296557889809737,0.218765884904048,0,0.00386886330278932
"2022/02/02","BR",211049519,0,0,25034806,625884,46170434.7826087,0,816521.739130437,0.118620530947526,0.00296557889809737,0.218765884904048,0,0.00386886330278932
"2022/02/03","BR",211049519,0,0,25034806,625884,46170434.7826087,0,482463.768115938,0.118620530947526,0.00296557889809737,0.218765884904048,0,0.00228602164270243
"2022/02/04","BR",211049519,0,0,25034806,625884,46170434.7826087,0,482463.768115938,0.118620530947526,0.00296557889809737,0.218765884904048,0,0.00228602164270243
"2022/02/05","BR",211049519,0,0,25034806,625884,46170434.7826087,0,482463.768115938,0.118620530947526,0.00296557889809737,0.218765884904048,0,0.00228602164270243
"2022/02/06","BR",211049519,1241025,4610,26275831,630494,46170434.7826087,0,482463.768115938,0.124500785998001,0.00298742211300657,0.218765884904048,0,0.00228602164270243
"2022/02/07","BR",211049519,0,0,26275831,630494,46596304.3478261,425869.565217391,908333.333333328,0.124500785998001,0.00298742211300657,0.220783750508458,0.00201786560441008,0.00430388724711251
"2022/02/08","BR",211049519,0,0,26275831,630494,46596304.3478261,0,908333.333333328,0.124500785998001,0.00298742211300657,0.220783750508458,0,0.00430388724711251
"2022/02/09","BR",211049519,0,0,26275831,630494,46596304.3478261,0,908333.333333328,0.124500785998001,0.00298742211300657,0.220783750508458,0,0.00430388724711251
"2022/02/10","BR",211049519,0,0,26275831,630494,46596304.3478261,0,425869.565217391,0.124500785998001,0.00298742211300657,0.220783750508458,0,0.00201786560441008
"2022/02/11","BR",211049519,0,0,26275831,630494,46596304.3478261,0,425869.565217391,0.124500785998001,0.00298742211300657,0.220783750508458,0,0.00201786560441008
"2022/02/12","BR",211049519,0,0,26275831,630494,46596304.3478261,0,425869.565217391,0.124500785998001,0.00298742211300657,0.220783750508458,0,0.00201786560441008
