"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_active","p_cum_cases","p_cum_deaths","p_infected","p_daily","p_active"
"2020/11/28","IE",4904240,307,8,72572,2068,155362.31884058,507.246376811585,3985.5072463768,0.014797807611373,0.000421675937556074,0.0316791834903226,0.00010343016997773,0.000812665621253609
"2020/11/29","IE",4904240,205,1,72777,2069,155652.173913043,289.855072463775,3985.50724637683,0.0148396081757826,0.000421879842748316,0.0317382864445956,5.91029542729914e-05,0.000812665621253615
"2020/11/30","IE",4904240,243,14,73020,2083,155869.565217391,217.39130434781,3623.18840579709,0.0148891571374973,0.000424734515439701,0.0317826136603003,4.43272157047391e-05,0.000738786928412372
"2020/12/01","IE",4904240,299,6,73319,2089,156304.347826087,434.782608695648,3913.04347826086,0.0149501247899777,0.000425957946593152,0.0318712680917098,8.86544314094841e-05,0.000797889882685363
"2020/12/02","IE",4904240,303,4,73622,2093,156666.666666667,362.318840579712,3695.65217391303,0.0150119080632269,0.000426773567362119,0.031945146784551,7.38786928412378e-05,0.000753562666980618
"2020/12/03","IE",4904240,254,8,73876,2101,156666.666666667,0,3333.33333333331,0.0150636999820563,0.000428404808900054,0.031945146784551,0,0.00067968397413938
"2020/12/04","IE",4904240,268,2,74144,2103,156956.52173913,289.855072463775,3115.9420289855,0.0151183465735771,0.000428812619284537,0.032004249738824,5.91029542729914e-05,0.000635356758434641
"2020/12/05","IE",4904240,162,8,74306,2111,157173.913043478,217.391304347839,3188.40579710147,0.0151513792147203,0.000430443860822472,0.0320485769545288,4.4327215704745e-05,0.000650132497002893
"2020/12/06","IE",4904240,263,5,74569,2116,157536.231884058,362.318840579712,3260.86956521741,0.0152050062802799,0.000431463386783681,0.03212245564737,7.38786928412378e-05,0.00066490823557114
"2020/12/07","IE",4904240,457,7,75026,2123,158115.942028986,579.710144927521,3260.86956521738,0.0152981909531344,0.000432890723129374,0.032240661555916,0.000118205908545977,0.000664908235571134
"2020/12/08","IE",4904240,298,2,75324,2125,158623.188405797,507.246376811614,3260.86956521741,0.0153589547004225,0.000433298533513857,0.0323440917258937,0.000103430169977736,0.00066490823557114
"2020/12/09","IE",4904240,222,4,75546,2129,158985.507246377,362.318840579683,3333.33333333331,0.0154042216531002,0.000434114154282825,0.032417970418735,7.38786928412318e-05,0.00067968397413938
"2020/12/10","IE",4904240,214,8,75760,2137,159275.362318841,289.855072463775,3405.79710144928,0.0154478573642399,0.000435745395820759,0.032477073373008,5.91029542729914e-05,0.000694459712707633
"2020/12/11","IE",4904240,218,7,75978,2144,159565.217391304,289.855072463775,3260.86956521741,0.0154923086961486,0.000437172732166452,0.032536176327281,5.91029542729914e-05,0.00066490823557114
"2020/12/12","IE",4904240,303,4,76281,2148,160289.855072464,724.637681159424,3623.18840579712,0.0155540919693979,0.000437988352935419,0.0326839337129634,0.000147757385682476,0.000738786928412378
"2020/12/13","IE",4904240,304,3,76585,2151,161376.811594203,1086.95652173914,4710.14492753625,0.0156160791478394,0.000438600068512145,0.0329055697914871,0.000221636078523713,0.000960423006936091
"2020/12/14","IE",4904240,249,6,76834,2157,161594.202898551,217.39130434781,4637.68115942029,0.0156668515407076,0.000439823499665595,0.0329498970071919,4.43272157047391e-05,0.000945647268367838
"2020/12/15","IE",4904240,429,5,77263,2162,162101.449275362,507.246376811614,4927.53623188406,0.0157543268681794,0.000440843025626805,0.0330533271771696,0.000103430169977736,0.00100475022264083
"2020/12/16","IE",4904240,264,0,77527,2162,162608.695652174,507.246376811585,5072.46376811594,0.0158081578389312,0.000440843025626805,0.0331567573471473,0.00010343016997773,0.00103430169977732
"2020/12/17","IE",4904240,327,4,77854,2166,163260.869565217,652.173913043487,5144.9275362319,0.0158748348367943,0.000441658646395772,0.0332897389942616,0.000132981647114229,0.00104907743834557
"2020/12/18","IE",4904240,421,3,78275,2169,164057.971014493,797.10144927536,5434.78260869565,0.0159606789227281,0.000442270361972497,0.0334522721185123,0.000162533124250722,0.00110818039261856
"2020/12/19","IE",4904240,481,5,78756,2174,164492.753623188,434.782608695648,5507.24637681161,0.0160587573201964,0.000443289887933706,0.0335409265499218,8.86544314094841e-05,0.00112295613118681
"2020/12/20","IE",4904240,576,8,79332,2182,164927.536231884,434.782608695648,5652.17391304349,0.0161762067109277,0.000444921129471641,0.0336295809813313,8.86544314094841e-05,0.00115250760832331
"2020/12/21","IE",4904240,522,7,79854,2189,166231.884057971,1304.34782608695,6666.66666666666,0.0162826452212779,0.000446348465817334,0.0338955442755597,0.000265963294228452,0.00135936794827877
"2020/12/22","IE",4904240,766,5,80620,2194,166811.594202899,579.710144927551,6521.73913043478,0.0164388365985351,0.000447367991778543,0.0340137501841057,0.000118205908545983,0.00132981647114227
"2020/12/23","IE",4904240,725,4,81345,2198,167391.304347826,579.710144927521,6014.49275362317,0.0165866678629105,0.00044818361254751,0.0341319560926517,0.000118205908545977,0.00122638630116454
"2020/12/24","IE",4904240,961,4,82306,2202,168695.652173913,1304.34782608697,7101.44927536233,0.0167826207526548,0.000448999233316477,0.0343979193868801,0.000265963294228458,0.00144802237968826
"2020/12/25","IE",4904240,927,10,83233,2212,170072.463768116,1376.81159420288,7971.0144927536,0.016971640865863,0.000451038285238895,0.0346786584196768,0.000280739032796699,0.00162533124250722
"2020/12/26","IE",4904240,918,15,84151,2227,171086.956521739,1014.4927536232,8478.26086956522,0.017158825832341,0.000454096863122523,0.0348855187596323,0.000206860339955467,0.00172876141248496
"2020/12/27","IE",4904240,1025,3,85176,2230,172463.768115942,1376.81159420291,9202.89855072464,0.0173678286543889,0.000454708578699248,0.035166257792429,0.000280739032796705,0.00187651879816743
"2020/12/28","IE",4904240,1296,7,86472,2237,173840.579710145,1376.81159420288,9782.60869565216,0.0176320897835342,0.000456135915044941,0.0354469968252257,0.000280739032796699,0.00199472470671341
"2020/12/29","IE",4904240,735,7,87207,2244,175579.710144928,1739.13043478262,11086.9565217391,0.017781960099832,0.000457563251390633,0.0358016145508636,0.000354617725637942,0.00226068800094187
"2020/12/30","IE",4904240,765,9,87972,2253,177898.550724638,2318.84057971014,12971.0144927536,0.017937947571897,0.00045939839812081,0.0362744381850476,0.000472823634183919,0.0026448572037163
"2020/12/31","IE",4904240,1545,11,89517,2264,181086.956521739,3188.40579710144,14855.0724637681,0.0182529810939106,0.00046164135523547,0.0369245706820505,0.000650132497002888,0.00302902640649074
"2021/01/01","IE",4904240,1720,6,91237,2270,183550.724637681,2463.76811594202,16739.1304347826,0.0186036980245665,0.000462864786388921,0.0374269457933709,0.000502375111320412,0.00341319560926517
"2021/01/02","IE",4904240,1620,6,92857,2276,187536.231884058,3985.50724637683,20144.9275362319,0.0189340244359982,0.000464088217542372,0.0382396114146245,0.000812665621253615,0.0041076553219728
