ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B1_1.1,B1_1.2,B1_1.NA,B1_2.1,B1_2.2,B1_2.NA,B1_3.1,B1_3.2,B1_3.NA,B1_4.1,B1_4.2,B1_4.NA,B1_5.1,B1_5.2,B1_5.NA,B1_6.1,B1_6.2,B1_6.NA,B1_7.1,B1_7.2,B1_7.NA,B1_8.1,B1_8.2,B1_8.NA,B1_9.1,B1_9.2,B1_9.NA,B1_10.1,B1_10.2,B1_10.NA,B1_11.1,B1_11.2,B1_11.NA,B1_12.1,B1_12.2,B1_12.NA,B3.1,B3.2,B3.NA,B5.1,B5.2,B5.NA,B6.1,B6.2,B6.NA,B7.1,B7.2,B7.NA,B8.1,B8.2,B8.3,B8.NA,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C1_m.1,C1_m.2,C1_m.NA,C2.1,C2.2,C2.3,C2.4,C2.NA,C3.1,C3.2,C3.NA,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C5.NA,C6.1,C6.2,C6.3,C6.4,C6.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D3.1,D3.2,D3.3,D3.4,D3.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,E3.1,E3.2,E3.3,E3.4,E3.NA,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E4.NA,E2.1,E2.2,E2.3,E2.NA,B2.mean,B2.sd,B4.mean,B4.sd,E5.mean,E5.sd,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
TL,TLS,Timor-Leste,3,2020-12-17,2020-07-11,100,2,58789.6091640405,1,17385.5815828078,39,96,10,1,2375064.41060574,98,2,97,1,14,86,0,6,94,0,21,79,0,13,87,0,17,82,1,13,86,1,6,94,0,6,94,0,3,97,0,6,94,0,14,86,0,7,91,2,4,3,93,26,69,5,10,15,75,1,8,1,90,50,49,1,62,38,0,31,68,1,32,68,0,31,69,0,17,82,1,29,71,0,13,8,4,4,71,27,72,1,56,23,9,8,1,3,0,49,18,14,16,3,5,6,24,20,43,2,5,4,17,27,45,2,27,17,19,35,2,17,11,29,42,1,55,39,0,2,4,0,0,100,0,0,0,0,0,29,31,36,4,10.6508875739645,12.9352284934279,156,250.359741172578,4.89185658295834,6.82418111207647,0.02,0.0274394957835608,0.0247528483444568,0.000197596992792584,0.01,0.0195013954179879,0.00732004635544757,0.00010841064706024,0.00572183098591549,0.00179062549917127
TL,TLS,Timor-Leste,4,2020-12-17,2020-06-30,100,0,0,0,0,58,99,6,0,3746043.46902863,93,0,97,3,6,91,3,2,94,4,8,88,4,10,89,1,15,82,3,3,94,3,3,94,3,3,94,3,2,94,4,2,94,4,12,86,2,7,93,0,4,3,93,12,83,5,6,6,88,0,3,3,94,48,50,2,62,33,5,30,67,3,38,59,3,31,67,2,16,81,3,32,68,0,17,6,3,6,68,26,74,0,62,20,11,3,2,2,0,44,18,17,21,0,2,3,16,22,55,2,1,5,19,27,46,2,24,20,23,32,1,8,18,26,47,1,49,50,0,1,0,0,0,0,100,0,0,0,0,36,14,41,9,12.8472222222222,10.3469891845495,158.333333333333,208.899231422447,3.51473922902494,3.68162728796652,0,0,0,0,0,0,0,0,0.00825152937828994,0.00211480006068305
TL,TLS,Timor-Leste,2,2020-12-18,2020-06-17,100,6,325715.193298961,5,170023.818413057,157,96,14,1,3730804.69449694,94,6,88,6,21,74,5,2,92,6,24,71,5,17,78,5,15,79,6,12,82,6,5,89,6,5,89,6,2,92,6,10,84,6,19,76,5,15,85,0,5,10,85,35,65,0,14,20,66,1,12,1,86,52,44,4,60,35,5,25,69,6,26,69,5,20,75,5,22,74,4,35,64,1,21,5,0,9,65,25,75,0,54,21,13,0,3,9,0,43,21,16,19,1,7,2,14,14,62,1,6,6,10,14,64,0,37,12,17,32,2,25,14,21,37,3,68,30,0,2,0,0,100,0,0,0,0,0,0,46,18,31,5,7.79298036882808,12.6878451087021,129.752066115703,269.038413463316,5.70079271377973,5.44165650051796,0.06,0.046546565661405,0.0873042734666335,0.000286435995548745,0.05,0.042716424707947,0.0455729614213919,0.000211627365852949,0.0230340375586854,0.00356129583698998
TL,TLS,Timor-Leste,3,2020-12-18,2020-07-11,100,2,58789.6091640405,1,17385.5815828078,39,96,10,1,2375064.41060574,98,2,97,1,14,86,0,6,94,0,21,79,0,13,87,0,17,82,1,13,86,1,6,94,0,6,94,0,3,97,0,6,94,0,14,86,0,7,91,2,4,3,93,26,69,5,10,15,75,1,8,1,90,50,49,1,62,38,0,31,68,1,32,68,0,31,69,0,17,82,1,29,71,0,13,8,4,4,71,27,72,1,56,23,9,8,1,3,0,49,18,14,16,3,5,6,24,20,43,2,5,4,17,27,45,2,27,17,19,35,2,17,11,29,42,1,55,39,0,2,4,0,0,100,0,0,0,0,0,29,31,36,4,10.6508875739645,12.9352284934279,156,250.359741172578,4.89185658295834,6.82418111207647,0.02,0.0274394957835608,0.0247528483444568,0.000197596992792584,0.01,0.0195013954179879,0.00732004635544757,0.00010841064706024,0.00572183098591549,0.00179062549917127
TL,TLS,Timor-Leste,4,2020-12-18,2020-06-30,100,0,0,0,0,58,99,6,0,3746043.46902863,93,0,97,3,6,91,3,2,94,4,8,88,4,10,89,1,15,82,3,3,94,3,3,94,3,3,94,3,2,94,4,2,94,4,12,86,2,7,93,0,4,3,93,12,83,5,6,6,88,0,3,3,94,48,50,2,62,33,5,30,67,3,38,59,3,31,67,2,16,81,3,32,68,0,17,6,3,6,68,26,74,0,62,20,11,3,2,2,0,44,18,17,21,0,2,3,16,22,55,2,1,5,19,27,46,2,24,20,23,32,1,8,18,26,47,1,49,50,0,1,0,0,0,0,100,0,0,0,0,36,14,41,9,12.8472222222222,10.3469891845495,158.333333333333,208.899231422447,3.51473922902494,3.68162728796652,0,0,0,0,0,0,0,0,0.00825152937828994,0.00211480006068305
TL,TLS,Timor-Leste,2,2020-12-19,2020-06-17,100,6,325715.193298961,5,170023.818413057,157,96,14,1,3730804.69449694,94,6,88,6,21,74,5,2,92,6,24,71,5,17,78,5,15,79,6,12,82,6,5,89,6,5,89,6,2,92,6,10,84,6,19,76,5,15,85,0,5,10,85,35,65,0,14,20,66,1,12,1,86,52,44,4,60,35,5,25,69,6,26,69,5,20,75,5,22,74,4,35,64,1,21,5,0,9,65,25,75,0,54,21,13,0,3,9,0,43,21,16,19,1,7,2,14,14,62,1,6,6,10,14,64,0,37,12,17,32,2,25,14,21,37,3,68,30,0,2,0,0,100,0,0,0,0,0,0,46,18,31,5,7.79298036882808,12.6878451087021,129.752066115703,269.038413463316,5.70079271377973,5.44165650051796,0.06,0.046546565661405,0.0873042734666335,0.000286435995548745,0.05,0.042716424707947,0.0455729614213919,0.000211627365852949,0.0230340375586854,0.00356129583698998
TL,TLS,Timor-Leste,3,2020-12-19,2020-07-15,100,2,58789.6091640405,1,17385.5815828078,39,96,9,1,2387457.45129961,97,2,98,0,13,87,0,6,94,0,20,80,0,13,87,0,17,82,1,13,86,1,6,94,0,6,94,0,3,97,0,6,94,0,14,86,0,7,91,2,4,3,93,24,71,5,9,14,77,1,7,1,91,50,49,1,62,38,0,32,67,1,31,69,0,32,68,0,16,83,1,30,70,0,14,8,4,4,70,27,72,1,55,23,9,8,2,3,0,48,18,14,17,3,5,6,24,20,43,2,5,4,17,27,46,1,26,16,19,37,2,16,10,28,45,1,55,39,0,2,4,0,0,100,0,0,0,0,0,29,32,35,4,11.6143170197224,13.896449178063,156,250.359741172578,4.93753718024985,6.95137122721854,0.02,0.0274394957835608,0.0246243589103708,0.000196584236341356,0.01,0.0195013954179879,0.00728204876419641,0.000107849962855613,0.00572183098591549,0.00179062549917127
TL,TLS,Timor-Leste,4,2020-12-19,2020-06-30,100,0,0,0,0,58,99,6,0,3746043.46902863,93,0,97,3,6,91,3,2,94,4,8,88,4,10,89,1,15,82,3,3,94,3,3,94,3,3,94,3,2,94,4,2,94,4,12,86,2,7,93,0,4,3,93,12,83,5,6,6,88,0,3,3,94,48,50,2,62,33,5,30,67,3,38,59,3,31,67,2,16,81,3,32,68,0,17,6,3,6,68,26,74,0,62,20,11,3,2,2,0,44,18,17,21,0,2,3,16,22,55,2,1,5,19,27,46,2,24,20,23,32,1,8,18,26,47,1,49,50,0,1,0,0,0,0,100,0,0,0,0,36,14,41,9,12.8472222222222,10.3469891845495,158.333333333333,208.899231422447,3.51473922902494,3.68162728796652,0,0,0,0,0,0,0,0,0.00825152937828994,0.00211480006068305
TL,TLS,Timor-Leste,2,2020-12-20,2020-06-18,100,6,325715.193298961,5,170023.818413057,155,96,15,1,3655749.76327848,94,6,89,5,22,74,4,3,92,5,23,73,4,16,79,5,15,80,5,13,82,5,5,90,5,5,90,5,2,93,5,11,84,5,19,77,4,14,86,0,5,9,86,36,64,0,15,20,65,1,13,1,85,52,44,4,60,35,5,25,69,6,27,68,5,21,74,5,22,74,4,35,64,1,20,5,0,10,65,26,74,0,55,20,14,0,2,9,0,43,21,15,20,1,7,2,14,13,63,1,6,6,10,15,63,0,38,11,18,31,2,25,14,22,36,3,67,31,0,2,0,0,100,0,0,0,0,0,0,47,16,32,5,8.5,13.1899340018955,155,308.985796149632,5.70079271377973,5.44165650051796,0.06,0.046546565661405,0.0890966872434012,0.000292029536928883,0.05,0.042716424707947,0.0465086040956422,0.000215866327188982,0.0227406103286385,0.0035390710721865
TL,TLS,Timor-Leste,3,2020-12-20,2020-07-15,100,2,58789.6091640405,1,17385.5815828078,39,96,9,1,2387457.45129961,97,2,98,0,13,87,0,6,94,0,20,80,0,13,87,0,17,82,1,13,86,1,6,94,0,6,94,0,3,97,0,6,94,0,14,86,0,7,91,2,4,3,93,24,71,5,9,14,77,1,7,1,91,50,49,1,62,38,0,32,67,1,31,69,0,32,68,0,16,83,1,30,70,0,14,8,4,4,70,27,72,1,55,23,9,8,2,3,0,48,18,14,17,3,5,6,24,20,43,2,5,4,17,27,46,1,26,16,19,37,2,16,10,28,45,1,55,39,0,2,4,0,0,100,0,0,0,0,0,29,32,35,4,11.6143170197224,13.896449178063,156,250.359741172578,4.93753718024985,6.95137122721854,0.02,0.0274394957835608,0.0246243589103708,0.000196584236341356,0.01,0.0195013954179879,0.00728204876419641,0.000107849962855613,0.00572183098591549,0.00179062549917127
TL,TLS,Timor-Leste,4,2020-12-20,2020-07-03,100,0,0,0,0,57,99,6,0,3639696.30694567,91,0,98,2,6,92,2,2,95,3,8,89,3,9,90,1,15,83,2,3,95,2,3,95,2,3,95,2,2,95,3,2,95,3,12,87,1,6,94,0,4,2,94,12,83,5,6,6,88,0,3,3,94,46,52,2,60,35,5,30,67,3,38,59,3,30,68,2,16,81,3,32,68,0,17,6,3,6,68,26,74,0,62,20,10,3,2,3,0,45,17,17,21,0,2,3,15,22,55,3,1,4,19,27,47,2,24,20,23,31,2,8,17,26,48,1,48,51,0,1,0,0,0,0,100,0,0,0,0,35,14,40,11,13.6105860113422,10.9917518034833,228,260.230666909187,3.59904818560381,3.81287637765333,0,0,0,0,0,0,0,0,0.00810926163038839,0.00209664012565591
TL,TLS,Timor-Leste,2,2020-12-21,2020-06-18,100,6,325715.193298961,5,170023.818413057,155,96,15,1,3655749.76327848,94,6,89,5,22,74,4,3,92,5,23,73,4,16,79,5,15,80,5,13,82,5,5,90,5,5,90,5,2,93,5,11,84,5,19,77,4,14,86,0,5,9,86,36,64,0,15,20,65,1,13,1,85,52,44,4,60,35,5,25,69,6,27,68,5,21,74,5,22,74,4,35,64,1,20,5,0,10,65,26,74,0,55,20,14,0,2,9,0,43,21,15,20,1,7,2,14,13,63,1,6,6,10,15,63,0,38,11,18,31,2,25,14,22,36,3,67,31,0,2,0,0,100,0,0,0,0,0,0,47,16,32,5,8.5,13.1899340018955,155,308.985796149632,5.70079271377973,5.44165650051796,0.06,0.046546565661405,0.0890966872434012,0.000292029536928883,0.05,0.042716424707947,0.0465086040956422,0.000215866327188982,0.0227406103286385,0.0035390710721865
TL,TLS,Timor-Leste,3,2020-12-21,2020-07-15,100,2,58789.6091640405,1,17385.5815828078,39,96,9,1,2387457.45129961,97,2,98,0,13,87,0,6,94,0,20,80,0,13,87,0,17,82,1,13,86,1,6,94,0,6,94,0,3,97,0,6,94,0,14,86,0,7,91,2,4,3,93,24,71,5,9,14,77,1,7,1,91,50,49,1,62,38,0,32,67,1,31,69,0,32,68,0,16,83,1,30,70,0,14,8,4,4,70,27,72,1,55,23,9,8,2,3,0,48,18,14,17,3,5,6,24,20,43,2,5,4,17,27,46,1,26,16,19,37,2,16,10,28,45,1,55,39,0,2,4,0,0,100,0,0,0,0,0,29,32,35,4,11.6143170197224,13.896449178063,156,250.359741172578,4.93753718024985,6.95137122721854,0.02,0.0274394957835608,0.0246243589103708,0.000196584236341356,0.01,0.0195013954179879,0.00728204876419641,0.000107849962855613,0.00572183098591549,0.00179062549917127
TL,TLS,Timor-Leste,4,2020-12-21,2020-07-06,100,0,0,0,0,57,99,6,0,3609343.85342779,91,0,98,2,6,92,2,2,95,3,8,89,3,9,90,1,15,83,2,3,95,2,3,95,2,3,95,2,2,95,3,2,95,3,12,87,1,6,94,0,4,2,94,12,83,5,6,6,88,0,3,3,94,46,52,2,59,36,5,30,66,4,38,59,3,29,69,2,16,81,3,32,68,0,17,6,3,6,68,27,73,0,63,20,9,3,2,3,0,46,16,17,21,0,2,3,15,22,55,3,1,4,20,26,47,2,24,19,24,31,2,8,16,26,49,1,49,50,0,1,0,0,0,0,100,0,0,0,0,35,14,40,11,13.6105860113422,10.9917518034833,228,260.230666909187,3.61392028554432,3.80585230788021,0,0,0,0,0,0,0,0,0.00810926163038839,0.00209664012565591
TL,TLS,Timor-Leste,2,2020-12-22,2020-06-19,100,6,325715.193298961,5,170023.818413057,155,96,15,1,3653613.58350788,94,6,89,5,22,74,4,3,92,5,23,73,4,16,79,5,15,80,5,13,82,5,5,90,5,5,90,5,2,93,5,11,84,5,19,77,4,14,86,0,5,9,86,36,64,0,15,20,65,1,13,1,85,51,45,4,61,34,5,25,69,6,27,68,5,20,75,5,22,74,4,35,64,1,20,5,0,10,65,26,74,0,56,19,14,0,2,9,0,43,21,15,20,1,7,2,14,13,63,1,6,6,10,15,63,0,38,11,18,31,2,25,14,22,36,3,67,31,0,2,0,0,100,0,0,0,0,0,0,47,16,32,5,8.5,13.1899340018955,155,308.985796149632,5.66706021251476,5.45287336815055,0.06,0.046546565661405,0.0891487799282368,0.00029219192427243,0.05,0.042716424707947,0.0465357965550957,0.000215989459076513,0.0227406103286385,0.0035390710721865
TL,TLS,Timor-Leste,3,2020-12-22,2020-07-15,100,2,58789.6091640405,1,17385.5815828078,39,96,9,1,2387457.45129961,97,2,98,0,13,87,0,6,94,0,20,80,0,13,87,0,17,82,1,13,86,1,6,94,0,6,94,0,3,97,0,6,94,0,14,86,0,7,91,2,4,3,93,24,71,5,9,14,77,1,7,1,91,50,49,1,62,38,0,32,67,1,31,69,0,32,68,0,16,83,1,30,70,0,14,8,4,4,70,27,72,1,55,23,9,8,2,3,0,48,18,14,17,3,5,6,24,20,43,2,5,4,17,27,46,1,26,16,19,37,2,16,10,28,45,1,55,39,0,2,4,0,0,100,0,0,0,0,0,29,32,35,4,11.6143170197224,13.896449178063,156,250.359741172578,4.93753718024985,6.95137122721854,0.02,0.0274394957835608,0.0246243589103708,0.000196584236341356,0.01,0.0195013954179879,0.00728204876419641,0.000107849962855613,0.00572183098591549,0.00179062549917127
TL,TLS,Timor-Leste,4,2020-12-22,2020-07-07,100,0,0,0,0,57,99,6,0,3610045.67237521,90,0,98,2,6,92,2,2,95,3,8,89,3,9,90,1,14,84,2,3,95,2,3,95,2,3,95,2,2,95,3,2,95,3,11,88,1,6,94,0,4,2,94,11,84,5,6,5,89,0,3,3,94,46,52,2,58,37,5,30,66,4,37,60,3,28,70,2,15,82,3,31,69,0,15,6,3,7,69,27,73,0,63,21,8,3,2,3,0,46,17,16,21,0,2,2,15,21,57,3,1,4,19,26,48,2,24,18,24,32,2,8,16,25,50,1,49,50,0,1,0,0,0,0,100,0,0,0,0,36,14,38,12,14.4628099173554,11.7057895473281,228,260.230666909187,3.65625,3.92661621162773,0,0,0,0,0,0,0,0,0.00810926163038839,0.00209664012565591
TL,TLS,Timor-Leste,2,2020-12-23,2020-06-19,100,6,325715.193298961,5,170023.818413057,155,96,15,1,3653613.58350788,94,6,89,5,22,74,4,3,92,5,23,73,4,16,79,5,15,80,5,13,82,5,5,90,5,5,90,5,2,93,5,11,84,5,19,77,4,14,86,0,5,9,86,36,64,0,15,20,65,1,13,1,85,51,45,4,61,34,5,25,69,6,27,68,5,20,75,5,22,74,4,35,64,1,20,5,0,10,65,26,74,0,56,19,14,0,2,9,0,43,21,15,20,1,7,2,14,13,63,1,6,6,10,15,63,0,38,11,18,31,2,25,14,22,36,3,67,31,0,2,0,0,100,0,0,0,0,0,0,47,16,32,5,8.5,13.1899340018955,155,308.985796149632,5.66706021251476,5.45287336815055,0.06,0.046546565661405,0.0891487799282368,0.00029219192427243,0.05,0.042716424707947,0.0465357965550957,0.000215989459076513,0.0227406103286385,0.0035390710721865
