ISO2,ISO_3,country_agg,region_agg,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cli_smooth_slope,p_cli_weight_smooth_slope,p_cliWHO_smooth_slope,p_cliWHO_weight_smooth_slope,p_cli_local_smooth_slope
ZA,ZAF,South Africa,Free State,2020-09-18,2020-09-15,125,25,4,0.04,0.0343525275593694,0.0273725613656207,0.000125131090655876,0.024,0.0268301817237139,0.0175444904163219,0.00010068414300443,0.00785038097437082,0.00185854445243116,0.0428922838028226,0.036520710003249,0.0436493452696422,0.000157004441638629,0.0204068510403717,0.0252503736257493,0.0203445136626029,0.000107444477186641,0.00660954885279233,0.00175792321445497,8.99102333236426e-05,-0.000347140898884194,0.000328943627445219,0.000209883775023917,-0.000217408575526669
ZA,ZAF,South Africa,Free State,2020-09-19,2020-09-16,118,27,4,0.0254237288135593,0.0284010651185517,0.0159892705397586,9.53258180284259e-05,0.00847457627118644,0.0165393337479136,0.00344026588065845,4.44983564257083e-05,0.00662092211387986,0.00174398493763841,0.0427482789257609,0.0365388163803463,0.0433628857698918,0.000155634274717862,0.0207890981656802,0.0255272056029298,0.0208552080929653,0.000107916981012474,0.00654602943464555,0.00175082012797523,-1.46496617245822e-05,-0.000397381782240121,0.000345843942805449,0.000292929986069689,-0.000176890567984954
ZA,ZAF,South Africa,Free State,2020-09-20,2020-09-17,120,31,4,0.0416666666666667,0.0357528069823552,0.0342653314144604,0.000139004242503105,0.025,0.0279337846156495,0.0215782994050636,0.000111030762298473,0.00698307492010889,0.0017756080777511,0.042647954639566,0.0365498361392524,0.0432315725059145,0.000154447316730708,0.0211807439409788,0.0257830016018595,0.0214248082766373,0.000108449841913156,0.00652645864274974,0.00174863277900909,-7.76867151405155e-05,-0.000379078644061995,0.000359737514052409,0.000374363221335595,-0.000133329258316637
ZA,ZAF,South Africa,Free State,2020-09-21,2020-09-18,115,32,4,0.0347826086956522,0.0334882779444762,0.0355591114300372,0.000142430790728133,0.0173913043478261,0.023892167460625,0.0183366978740001,0.000103188778309388,0.00673064938302381,0.00178912916803875,0.0426092801474252,0.036560952341297,0.043245047874365,0.000153469072165947,0.0215701198017744,0.0260099762155074,0.0220170266731493,0.000108978623981083,0.0065471359082756,0.00175090440061131,-0.00010028695818017,-0.000306503490192185,0.000370458943163173,0.00044686363316394,-8.89349570982865e-05
ZA,ZAF,South Africa,Free State,2020-09-22,2020-09-19,113,23,4,0.0442477876106195,0.0379164182893793,0.0458352382930439,0.000162067523726048,0.0176991150442478,0.0243112289346397,0.018616970004692,0.000104751037807912,0.00507549803324451,0.00156888757060568,0.0426384151456403,0.0365747464770622,0.0433706964433049,0.000152690541438351,0.0219390976088562,0.0261962972409155,0.0225863204010611,0.000109418743178612,0.00660348819310952,0.00175707294097332,-8.88512214564976e-05,-0.00020067590710488,0.00037552583590111,0.00050120478165441,-4.56106904398215e-05
ZA,ZAF,South Africa,Free State,2020-09-23,2020-09-20,109,23,4,0.055045871559633,0.0428156539496603,0.0657783915698585,0.000194770555121521,0.0275229357798165,0.0307129762630489,0.0322249197377513,0.000138752195167369,0.0059233908121627,0.00172552854830262,0.042729323519533,0.0365895541373172,0.043559739529072,0.000152075157413582,0.0222621941589004,0.0263264959983779,0.0230798660234833,0.000109669863792835,0.00669037113787912,0.0017665406682053,-5.31597675657152e-05,-8.51586198786063e-05,0.0003705386770439,0.000527379994499859,-4.87963191480769e-06
ZA,ZAF,South Africa,Free State,2020-09-24,2020-09-21,104,26,4,0.0480769230769231,0.0411150366322683,0.0588445578493183,0.000179007947543317,0.0192307692307692,0.0263944833692685,0.0273959820649061,0.000124165216026904,0.00593758630212648,0.00176941874927567,0.0428692158119001,0.0366018025285466,0.0437607421515473,0.000151579101011859,0.0225108869150418,0.0263845305571128,0.0234458398429486,0.000109636065263611,0.00680218091409311,0.00177869275763109,-3.84466515374974e-06,1.85661469841852e-05,0.000350672645778352,0.000516887696724294,3.21053435501293e-05
ZA,ZAF,South Africa,Free State,2020-09-25,2020-09-21,125,21,5,0.048,0.037474183355525,0.0583605402790497,0.000161958454755949,0.024,0.0268301817237139,0.032417115071936,0.000122358154525474,0.00588778573077811,0.00161113786508854,0.0430386692356712,0.0366058280100065,0.0439258555888508,0.00015115446206467,0.0226552796841296,0.0263552101898105,0.0236376272871302,0.00010923267741294,0.00693250678637612,0.00179285909072427,4.83983849850489e-05,9.38283031598359e-05,0.000311030253074909,0.000463736532360811,6.44128919550938e-05
ZA,ZAF,South Africa,Free State,2020-09-26,2020-09-22,119,26,5,0.0420168067226891,0.0360466638652036,0.0495209141596366,0.000145798330246008,0.0252100840336134,0.028165487390933,0.0306722015259594,0.00011587633466684,0.00632609214609692,0.00169772605128165,0.0432153960268868,0.0365962908010387,0.0440199263936233,0.0001507682008866,0.0226703426253295,0.0262286088008096,0.0236230158951439,0.000108412040678679,0.00707449946357202,0.00180837947796822,9.45735645534578e-05,0.000131392314618129,0.000248266447391779,0.000366367936417758,9.13401368037137e-05
ZA,ZAF,South Africa,Free State,2020-09-27,2020-09-24,106,33,4,0.0283018867924528,0.0315695602813257,0.035512876186934,0.000133973621213704,0.0283018867924528,0.0315695602813257,0.035512876186934,0.000133973621213704,0.0050972501676727,0.00161652549009588,0.0433762854886103,0.0365680701023625,0.0440226927356336,0.000150395174257558,0.0225394542140925,0.0260025409699233,0.0233870304602613,0.000107165144757356,0.00722084358753929,0.00182454612797202,0.000127834223530848,0.000129607476878096,0.000161555735386352,0.000228333964518673,0.000112284613210614
