"","date","ccaa","reg_code","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"396",2021-01-30,"Galicia","ESGA",2699499,1082,20,99762,1791,155559.183357444,155099.361630019,156020.368314342,881.195117140771,21202.2450951194,17287.7437974759,0.0576252050315424,0.0574548690812698,0.0577960459753242,0.000326429132643046,0.00785414074801266,0.00640405638137889
"397",2021-01-31,"Galicia","ESGA",2699499,840,21,100602,1812,156178.798674106,155719.061935694,156639.892714996,619.615316661948,20263.1641191329,16248.1039931434,0.057854734776381,0.0576844303093625,0.0580255420413179,0.00022952974483856,0.00750626842948745,0.00601893314023952
"398",2021-02-01,"Galicia","ESGA",2699499,1029,27,101631,1839,157655.037727705,157193.395560058,158118.035636096,1476.23905359965,19383.5981677375,14885.7367298232,0.0584015914537125,0.058230581141189,0.0585731039856268,0.00054685667733148,0.00718044280354893,0.00551425902725771
"399",2021-02-02,"Galicia","ESGA",2699499,909,27,102540,1866,159002.038943342,158538.843685346,159466.587496479,1347.00121563635,19071.3442623795,14520.5456711548,0.0589005733817059,0.05872898774378,0.0590726603330764,0.000498981927993436,0.00706477174556444,0.0053789779774524
"400",2021-02-03,"Galicia","ESGA",2699499,843,27,103383,1893,160305.175934131,159840.527768392,160771.17480811,1303.13699078929,17535.8749362488,14341.3934199914,0.0593833062854,0.0592111824336262,0.0595559304923285,0.000482732903694091,0.00649597385894524,0.00531261297744189
"401",2021-02-04,"Galicia","ESGA",2699499,731,29,104114,1922,161664.100665367,161197.982943817,162131.56620608,1358.92473123613,17182.6073931802,14806.6056793231,0.0598867051498693,0.0597140369171527,0.0600598726675135,0.000503398864469343,0.00636510974561583,0.00548494579154248
"402",2021-02-05,"Galicia","ESGA",2699499,684,24,104798,1946,162595.800113372,162128.988623974,163063.955674356,931.699448005151,16632.0175992327,13851.990904105,0.0602318430617579,0.0600589178302987,0.0604052661898951,0.000345137911888521,0.00616114975379975,0.00513131914629531
"403",2021-02-06,"Galicia","ESGA",2699499,597,18,105395,1964,162968.755691532,162502.32962439,163436.520528873,372.955578159832,16111.2607054881,12683.3167334876,0.060370000393233,0.0601972179372504,0.060543278782053,0.000138157331475149,0.00596824103490615,0.00469839652968482
"404",2021-02-07,"Galicia","ESGA",2699499,442,16,105837,1980,163022.010847346,162556.702056736,163488.651556405,53.2551558136765,14278.2016380785,10201.4804843806,0.0603897281856173,0.0602173596125563,0.0605625901533601,1.97277923843189e-05,0.00528920427015478,0.00377902732484087
"405",2021-02-08,"Galicia","ESGA",2699499,603,23,106440,2003,163987.760001841,163521.514656999,164455.334741913,965.749154495046,13702.3210437964,9309.77176153785,0.0607474794403854,0.0605747639310106,0.0609206874097426,0.000357751254768031,0.00507587557683717,0.00344870354148598
"406",2021-02-09,"Galicia","ESGA",2699499,515,23,106955,2026,164902.669509263,164435.613254697,165371.052371493,914.909507421922,12082.1391462976,9343.486151819,0.0610863977016709,0.0609133817996218,0.0612599050310792,0.000338918261285491,0.00447569684089439,0.00346119267012842
"407",2021-02-10,"Galicia","ESGA",2699499,548,19,107503,2045,165622.06497466,165154.421473827,166091.032632859,719.395465397014,10944.0767343568,9443.26630055407,0.0613528899157436,0.0611796564747115,0.0615266138764486,0.000266492214072691,0.00405411401684416,0.00349815513936255
"408",2021-02-11,"Galicia","ESGA",2699499,478,15,107981,2060,165985.578949849,165518.032118757,166454.446483202,363.513975189504,10426.3955924055,8330.54122214392,0.0614875497082419,0.0613143520774622,0.0616612365787883,0.00013465979249835,0.00386234467669946,0.00308595825452942
"409",2021-02-12,"Galicia","ESGA",2699499,398,11,108379,2071,165976.608009209,165509.892732486,166444.639359224,0,9806.78027574357,6983.54000650757,0.0614842265209985,0.0613113369304772,0.0616576036365356,0,0.0036328149318609,0.00258697632653599
"410",2021-02-13,"Galicia","ESGA",2699499,363,14,108742,2085,166225.167290634,165758.778088742,166692.868754176,230.617400144285,8561.1586222882,5911.02041586256,0.0615763025993468,0.0614035337996948,0.0617495575120331,8.54297038614517e-05,0.00317138795839087,0.00218967312670335
"411",2021-02-14,"Galicia","ESGA",2699499,344,16,109086,2101,166672.464446535,166205.983447428,167140.254691663,456.268096541375,7670.42550319323,5008.36378116781,0.0617419989585234,0.0615691961535929,0.0619152867593813,0.000169019546420049,0.00284142557681749,0.00185529380865405
"412",2021-02-15,"Galicia","ESGA",2699499,366,14,109452,2115,167061.858900206,166595.29181781,167529.732651236,389.394453671208,6756.68296607514,4466.05878683386,0.0618862458923697,0.0617134111988226,0.0620595646270793,0.00014424693384632,0.00250293960696971,0.00165440283061185
"413",2021-02-16,"Galicia","ESGA",2699499,325,13,109777,2128,167374.318841739,166907.80059106,167842.14104153,312.459941533278,5710.21817637229,4405.56315020731,0.062001993274211,0.0618291766698414,0.0621752929123255,0.000115747381841326,0.0021152881243417,0.00163199288097803
"414",2021-02-17,"Galicia","ESGA",2699499,309,8,110086,2136,167330.782821612,166864.939533105,167797.926622797,0,4778.51872836714,4352.30799439363,0.061985865829775,0.0618132992577899,0.0621589141625159,0,0.00177015021245318,0.00161226508859371
"415",2021-02-18,"Galicia","ESGA",2699499,305,8,110391,2144,167340.376483898,166875.05722688,167806.993250649,0,4405.56315020731,3386.55883989859,0.0619894196974691,0.0618170472472411,0.0621622727960444,0,0.00163199288097803,0.00125451383382568
"416",2021-02-19,"Galicia","ESGA",2699499,249,11,110640,2155,167553.617783925,167088.465832794,168020.064655903,101.820564216556,4454.12855861019,2573.46989669322,0.0620684126143129,0.0618961021407282,0.0622412027772202,3.77183189238284e-05,0.00164998340751754,0.000953313891464016
"417",2021-02-20,"Galicia","ESGA",2699499,250,8,110890,2163,167586.556589297,167121.857119833,168052.548203311,110.417183340964,3598.79658745611,1964.49161463717,0.0620806144359738,0.0619084715792941,0.0622532359535274,4.09028428389726e-05,0.00133313499558848,0.000727724520230298
"418",2021-02-21,"Galicia","ESGA",2699499,200,6,111090,2169,167439.934998393,166976.043484434,167905.11529206,0,2683.88708003418,1600.97763944766,0.0620263000647129,0.0618544565063494,0.0621986210374815,0,0.000994216734302988,0.000593064727731948
