"","date","ccaa","reg_code","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"171",2020-06-19,"Extremadura","ESEX",1067710,2,0,3342,513,37702.9804109156,37510.6102040064,37896.3371732635,0,1.13686837721616e-13,0,0.0353120045807529,0.0351318337413777,0.0354930994120721,0,1.06477262291836e-19,0
"172",2020-06-20,"Extremadura","ESEX",1067710,1,0,3343,513,37679.4937764207,37487.2231202528,37872.750582059,0,1.13686837721616e-13,0,0.0352900073769289,0.0351099297751756,0.0354710085904028,0,1.06477262291836e-19,0
"173",2020-06-21,"Extremadura","ESEX",1067710,5,0,3348,513,37700.5889928859,37508.1904336911,37893.9744620102,0,1.13686837721616e-13,0,0.0353097648171188,0.0351295674234494,0.0354908865347428,0,1.06477262291836e-19,0
"174",2020-06-22,"Extremadura","ESEX",1067710,1,0,3349,513,37676.5310082635,37484.235016111,37869.8134884311,0,1.13686837721616e-13,0,0.0352872324959619,0.0351071311649333,0.0354682577557867,0,1.06477262291836e-19,0
"175",2020-06-23,"Extremadura","ESEX",1067710,5,0,3354,513,37697.2378391214,37504.8159788539,37890.6469371967,0,1.13686837721616e-13,0,0.0353066261804435,0.0351264069633645,0.0354877700285627,0,1.06477262291836e-19,0
"176",2020-06-24,"Extremadura","ESEX",1067710,1,0,3355,513,37672.8899521363,37480.5655365827,37866.2012439627,0,1.13686837721616e-13,0,0.0352838223414001,0.0351036943894715,0.0354648745857608,0,1.06477262291836e-19,0
"177",2020-06-25,"Extremadura","ESEX",1067710,4,0,3359,513,37682.0184449672,37489.6273375541,37875.3968744969,0,1.13686837721616e-13,0,0.0352923719408521,0.0351121815264015,0.0354734870653051,0,1.06477262291836e-19,0
"178",2020-06-26,"Extremadura","ESEX",1067710,0,0,3359,513,37646.4095031332,37454.1801678711,37839.6254336744,0,1.13686837721616e-13,0,0.0352590211790966,0.0350789822778386,0.0354399841096126,0,1.06477262291836e-19,0
"179",2020-06-27,"Extremadura","ESEX",1067710,4,0,3363,513,37656.0136549667,37463.7152757366,37849.2990870393,0,1.13686837721616e-13,0,0.0352680162731141,0.0350879127063871,0.0354490442976457,0,1.06477262291836e-19,0
"180",2020-06-28,"Extremadura","ESEX",1067710,4,0,3367,513,37666.3355153359,37473.9644525615,37859.6941070876,0,1.13686837721616e-13,0,0.0352776835613939,0.0350975119204293,0.0354587801061034,0,1.06477262291836e-19,0
"181",2020-06-29,"Extremadura","ESEX",1067710,6,0,3373,513,37698.9913782243,37506.4335800494,37892.5377669448,0,1.13686837721616e-13,0,0.0353082685169421,0.0351279219826071,0.0354895409492697,0,1.06477262291836e-19,0
"182",2020-06-30,"Extremadura","ESEX",1067710,8,0,3381,513,37752.9859382571,37560.132401675,37946.8296866462,0,1.13686837721616e-13,0,0.0353588389527654,0.0351782154345983,0.0355403898873722,0,1.06477262291836e-19,0
"183",2020-07-01,"Extremadura","ESEX",1067710,9,0,3390,513,37815.7337432074,37622.5397283349,38009.9198210202,0,1.13686837721616e-13,0,0.0354176075368849,0.0352366651322315,0.0355994790917199,0,1.06477262291836e-19,0
"184",2020-07-02,"Extremadura","ESEX",1067710,4,0,3394,513,37818.9048278398,37625.6680743727,38013.1340007057,0,1.13686837721616e-13,0,0.0354205775237094,0.0352395950907762,0.0356024894406774,0,1.06477262291836e-19,0
