"","date","ccaa","reg_code","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"204",2020-07-22,"Castilla y León","ESCL",2399548,24,0,21359,2854,209401.855830037,208882.485833935,209922.517199093,51.6234664634685,691.815325093862,691.815325093862,0.0872672085867992,0.0870507636579618,0.087484191689057,2.15138294643277e-05,0.000288310683967923,0.000288310683967923
"205",2020-07-23,"Castilla y León","ESCL",2399548,45,0,21404,2854,209651.745507211,209131.73823543,210173.045780068,249.889677174011,941.705002267873,941.705002267873,0.0873713488987138,0.0871546383883258,0.0875885982610342,0.000104140311914582,0.000392450995882505,0.000392450995882505
"206",2020-07-24,"Castilla y León","ESCL",2399548,36,1,21440,2855,209877.472857457,209356.937673515,210399.30227545,225.727350245579,1167.43235251345,1167.43235251345,0.0874654196779796,0.087248489162757,0.0876828895589709,9.4070779265753e-05,0.000486521775148258,0.000486521775148258
"207",2020-07-25,"Castilla y León","ESCL",2399548,29,0,21469,2855,209947.533889648,209426.804743896,210469.557802053,70.0610321913264,1237.49338470478,1237.49338470478,0.0874946172736065,0.0872776059257395,0.0877121682092016,2.91975956268957e-05,0.000515719370775154,0.000515719370775154
"208",2020-07-26,"Castilla y León","ESCL",2399548,31,0,21500,2855,210024.161071371,209503.220790278,210546.396696639,76.6271817235393,1314.12056642832,1314.12056642832,0.0875265512802292,0.0873094519427315,0.0877441904461336,3.1934006622722e-05,0.000547653377397876,0.000547653377397876
"209",2020-07-27,"Castilla y León","ESCL",2399548,70,0,21570,2855,210471.04259286,209948.972797282,210994.410593749,446.881521488773,1761.00208791709,1761.00208791709,0.0877127869885746,0.0874952169313895,0.0879308980665313,0.000186235708345394,0.000733889085743269,0.000733889085743269
"210",2020-07-28,"Castilla y León","ESCL",2399548,87,0,21657,2855,211068.276044291,210544.700982435,211593.15311396,597.233451431239,2358.23553934833,2358.23553934833,0.0879616811350685,0.087743483765457,0.0881804211101256,0.000248894146493939,0.000982783232237209,0.000982783232237209
"211",2020-07-29,"Castilla y León","ESCL",2399548,76,0,21733,2855,211529.006521421,211004.262910084,212055.055110459,460.730477130011,2818.96601647834,2818.96601647834,0.0881536883285608,0.0879350039716162,0.0883729165286374,0.000192007193492279,0.00117479042572949,0.00117479042572949
"212",2020-07-30,"Castilla y León","ESCL",2399548,74,0,21807,2855,211930.931068204,211405.161093254,212458.008646361,401.924546782539,3220.89056326088,3220.89056326088,0.0883211884355737,0.0881020763465677,0.088540845461879,0.000167500107012878,0.00134229053274237,0.00134229053274237
"213",2020-07-31,"Castilla y León","ESCL",2399548,149,0,21956,2855,213019.733806416,212491.229640365,213549.552458029,1088.80273821173,4309.69330147261,4309.69330147261,0.0887749417000267,0.0885546901501303,0.0889957410554108,0.000453753264453026,0.00179604379719539,0.00179604379719539
"214",2020-08-01,"Castilla y León","ESCL",2399548,90,1,22046,2856,213559.073965684,213029.246237328,214090.219435274,539.340159268555,4447.8876436878,4849.03346074116,0.0889997090975818,0.088778905959509,0.0892210613979275,0.000224767397555104,0.00185363561957827,0.0020208111947505
"215",2020-08-02,"Castilla y León","ESCL",2399548,93,0,22139,2856,213990.414798834,213459.473950521,214522.676264027,431.340833150054,4640.18243526082,5280.37429389122,0.0891794682993773,0.0889582012739571,0.089401285685482,0.000179759201795527,0.00193377354204243,0.00220057039654602
"216",2020-08-03,"Castilla y León","ESCL",2399548,124,1,22263,2857,214740.619923299,214207.820743716,215274.744334448,750.205124465021,5338.76409326238,6030.57941835624,0.089492112649257,0.0892700711732861,0.0897147064090606,0.000312644349879653,0.00222490406245775,0.00251321474642568
"217",2020-08-04,"Castilla y León","ESCL",2399548,205,0,22468,2857,216141.85804925,215605.530071505,216679.520165779,1401.23812595051,6490.11254203887,7431.81754430674,0.0900760718473853,0.0898525597618821,0.0903001399287612,0.000583959198128358,0.00270472294867153,0.00309717394455403
"218",2020-08-05,"Castilla y León","ESCL",2399548,232,0,22700,2857,217728.460976666,217188.13831471,218270.127858345,1586.60292741665,7850.98811920994,9018.4204717234,0.0907372809281858,0.0905121040773973,0.0909630179760292,0.000661209080800488,0.00327186125020626,0.00375838302535452
"219",2020-08-06,"Castilla y León","ESCL",2399548,176,1,22876,2858,218749.489704681,218206.617897365,219293.712111727,1021.02872801494,8801.95581503355,10039.4491997383,0.0911627897023445,0.0909365505075812,0.0913895917529998,0.000425508774158689,0.00366817242873806,0.00418389179951321
