"","date","ccaa","reg_code","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"327",2020-11-22,"Baleares","ESIB",1149460,266,1,23340,440,36163.5399780226,35938.2661310859,36390.2259216344,127.685132855033,1660.85679604051,2414.8768116529,0.0314613296487243,0.0312653473205557,0.0316585404638999,0.00011108271088601,0.00144490177652159,0.00210087937958076
"328",2020-11-23,"Baleares","ESIB",1149460,327,1,23667,441,36378.4417260888,36152.1592486382,36606.1405438262,214.901748066179,1818.79768632213,2206.41851836554,0.0316482885233838,0.0314514287131681,0.0318463805124373,0.000186958874659561,0.00158230620145297,0.00191952614128855
"329",2020-11-24,"Baleares","ESIB",1149460,263,4,23930,445,36733.1599929118,36506.0939253945,36961.6383999449,354.718266823038,1905.45842102684,2561.13678518857,0.0319568840959336,0.0317593425829472,0.032155654307192,0.000308595572549752,0.00165769876379069,0.0022281217138383
"330",2020-11-25,"Baleares","ESIB",1149460,280,2,24210,447,36938.2557623435,36710.6093632241,37167.313821033,205.095769431682,1752.44777496257,2435.5725803614,0.0321353120268156,0.0319372656405826,0.0323345865197858,0.000178427930882051,0.00152458352179507,0.00211888415461295
"331",2020-11-26,"Baleares","ESIB",1149460,249,4,24459,451,37251.8762345046,37023.7005135789,37481.4581941071,313.620472161121,1967.65204682342,2749.19305252253,0.0324081535977803,0.0322096467154828,0.0326078838707803,0.000272841570964732,0.00171180558420773,0.00239172572557768
"332",2020-11-27,"Baleares","ESIB",1149460,197,1,24656,452,37231.8065740328,37004.0734171109,37460.9412628935,0,1936.93323569725,2749.19305252253,0.0323906935204642,0.0321925716572224,0.03259003467967,0,0.00168508102560964,0.00239172572557768
"333",2020-11-28,"Baleares","ESIB",1149460,130,2,24786,454,37191.3779948529,36964.5624343388,37419.5853018155,0,1902.70188036757,2749.19305252253,0.0323555217187661,0.0321581981402909,0.0325540560800859,0,0.00165530064584028,0.00239172572557768
"334",2020-11-29,"Baleares","ESIB",1149460,86,0,24872,454,36927.7696611797,36702.5272425253,37154.3943864753,0,1713.74379885347,2692.23219473797,0.0321261893943066,0.0319302344079179,0.0323233469511556,0,0.00149091207945772,0.0023421712758495
"335",2020-11-30,"Baleares","ESIB",1149460,63,0,24935,454,36645.6019161852,36422.0479203292,36870.528058637,0,1661.88075117153,2424.17466261965,0.0318807108696129,0.0316862247666984,0.0320763907040149,0,0.001445792590583,0.00210896826563747
"336",2020-12-01,"Baleares","ESIB",1149460,380,0,25315,454,36846.1635811448,36621.3551465108,37072.3520529752,0,1582.20753683262,2066.06824712369,0.0320551942487297,0.0318596168170365,0.0322519722765257,0,0.00137647898737896,0.00179742509275981
