Country;Area;County;City;Gender;Age;Think of your 15 closest contacts in the last month. The rest of the questions below are with respect to this group of people. These contacts can be family, friends, or colleagues whose health status you know. From the above 15 closest contacts in the last month, how many have had COVID-19 in the last month?;From the above 15 closest contacts in the last month, how many have been hospitalized for COVID-19 in the last month?;From the above 15 closest contacts in the last month, how many died from COVID-19 in the last month?;From the above 15 closest contacts in the last month, how many have COVID-19 today?;From the above 15 closest contacts in the last month, how many started with COVID-19 in the latest 7 days?;From the above 15 closest contacts in the last month, how many have (ever) been vaccinated for COVID-19?;Education;Race
GB;Northern Ireland;Unknown;Crumlin;male;25 - 34;3;0;0;0;1;9;vocational_technical_college;white
GB;Wales;Unknown;Llangollen;female;> 54;1;0;0;0;1;15;vocational_technical_college;white
GB;England;Merseyside, North West England, England, United Kingdom;Birkenhead;female;25 - 34;2;0;0;2;2;9;postgraduate;white
GB;England;Merseyside, North West England, England, United Kingdom;Bootle;female;25 - 34;2;0;0;1;1;15;postgraduate;white
GB;England;Kent, South East England, England, United Kingdom;Maidstone;male;> 54;0;0;0;0;0;14;vocational_technical_college;white
GB;England;Surrey, South East England, England, United Kingdom;Epsom;male;> 54;0;0;0;0;0;12;high_school;white
GB;Wales;Unknown;Tonypandy;female;45 - 54;0;0;0;0;0;15;vocational_technical_college;white
GB;Unknown;Unknown;Unknown;male;45 - 54;2;0;1;0;0;6;university;white
GB;England;Tyne and Wear, North East England, England, United Kingdom;South Shields;male;35 - 44;10;8;0;2;3;2;high_school;white
GB;England;Unknown;London;male;45 - 54;11;6;0;1;1;9;vocational_technical_college;white
GB;England;West Yorkshire, Yorkshire and the Humber, England, United Kingdom;Leeds;male;45 - 54;6;1;0;0;0;0;high_school;white
GB;England;West Yorkshire, Yorkshire and the Humber, England, United Kingdom;Halifax;male;25 - 34;1;3;1;1;1;11;vocational_technical_college;white
GB;England;South Yorkshire, Yorkshire and the Humber, England, United Kingdom;Doncaster;male;18 - 24;1;0;0;0;0;15;vocational_technical_college;white
GB;England;Suffolk, East of England, England, United Kingdom;Ipswich;female;> 54;0;0;0;0;0;15;university;asian
GB;Wales;Unknown;Rhyl;male;> 54;0;0;0;0;0;15;high_school;white
GB;England;Unknown;London;female;> 54;0;0;0;0;0;0;high_school;black
GB;Wales;Unknown;Wrexham;female;35 - 44;2;0;0;0;0;15;high_school;white
GB;England;Unknown;Nottingham;male;45 - 54;0;0;0;0;0;15;middle_school;white
GB;England;West Midlands, West Midlands, England, United Kingdom;Sutton Coldfield;male;45 - 54;1;0;0;0;0;12;high_school;white
GB;Scotland;Unknown;Edinburgh;male;45 - 54;0;0;0;0;0;13;university;white
GB;England;Hampshire, South East England, England, United Kingdom;Fareham;female;> 54;2;0;0;0;1;12;high_school;white
GB;England;West Midlands, West Midlands, England, United Kingdom;Birmingham;female;45 - 54;2;0;0;0;0;15;high_school;white
GB;England;Unknown;Nottingham;male;35 - 44;13;11;11;12;12;11;university;asian
GB;England;Devon, South West England, England, United Kingdom;Tiverton;female;35 - 44;15;1;0;0;1;15;postgraduate;white
GB;England;Lincolnshire, East Midlands, England, United Kingdom;Lincoln;male;35 - 44;1;0;0;0;0;1;university;white
GB;England;Unknown;Stanford;male;> 54;0;0;0;0;0;15;vocational_technical_college;white
GB;England;Unknown;Bristol;female;25 - 34;3;0;0;0;0;0;university;white
GB;England;West Yorkshire, Yorkshire and the Humber, England, United Kingdom;Huddersfield;male;35 - 44;0;0;0;0;1;4;high_school;white
GB;England;West Yorkshire, Yorkshire and the Humber, England, United Kingdom;Leeds;female;35 - 44;1;0;0;0;0;15;university;white
GB;England;Unknown;Bedford;male;> 54;0;0;0;0;0;15;postgraduate;white
GB;England;Unknown;Edmonton;male;18 - 24;15;0;0;0;0;12;university;asian
GB;England;Unknown;London;male;25 - 34;1;0;0;0;0;10;university;white
GB;England;Essex, East of England, England, United Kingdom;Chelmsford;female;> 54;1;0;0;0;1;1;high_school;white
GB;England;Lincolnshire, East Midlands, England, United Kingdom;Boston;male;25 - 34;0;0;0;2;0;9;postgraduate;white
GB;England;Unknown;London;female;45 - 54;4;0;0;0;0;15;high_school;white
GB;England;Unknown;Dagenham;male;25 - 34;0;0;0;0;0;11;university;white
GB;England;Kent, South East England, England, United Kingdom;West Malling;female;> 54;2;0;0;0;0;15;vocational_technical_college;white
GB;England;Unknown;Bristol;female;35 - 44;2;2;1;0;1;4;university;white
GB;England;Unknown;Ruislip;male;45 - 54;0;2;10;7;5;6;postgraduate;hispanic
GB;Northern Ireland;Unknown;Belfast;female;25 - 34;1;1;0;0;0;9;vocational_technical_college;white
GB;England;Unknown;London;female;18 - 24;0;0;0;0;0;1;vocational_technical_college;white
GB;England;Tyne and Wear, North East England, England, United Kingdom;Jarrow;female;25 - 34;2;0;0;0;2;3;university;multiracial
GB;England;Unknown;Southend-on-Sea;female;25 - 34;3;0;0;2;2;9;vocational_technical_college;white
GB;Unknown;Unknown;Unknown;male;35 - 44;1;0;0;0;0;15;university;white
GB;England;Lancashire, North West England, England, United Kingdom;Burnley;male;45 - 54;1;0;0;1;0;15;high_school;white
GB;Unknown;Unknown;Unknown;male;> 54;2;0;0;0;0;15;high_school;white
GB;Scotland;Unknown;Denny;male;25 - 34;2;0;0;0;0;15;university;white
GB;England;West Sussex, South East England, England, United Kingdom;Burgess Hill;female;35 - 44;2;0;0;0;0;15;high_school;white
GB;England;Tyne and Wear, North East England, England, United Kingdom;Newcastle upon Tyne;female;35 - 44;15;2;1;0;0;6;university;white
GB;England;Devon, South West England, England, United Kingdom;Beaworthy;female;25 - 34;0;0;0;0;0;8;high_school;white
GB;England;Greater Manchester, North West England, England, United Kingdom;Salford;male;18 - 24;5;5;6;0;5;11;vocational_technical_college;white
GB;Wales;Unknown;Deeside;female;25 - 34;1;1;0;0;1;6;high_school;white
GB;England;Unknown;Southend-on-Sea;female;25 - 34;2;0;0;1;1;11;vocational_technical_college;white
GB;England;Unknown;Blackpool;female;25 - 34;15;15;15;15;15;15;middle_school;white
GB;England;West Midlands, West Midlands, England, United Kingdom;Birmingham;female;45 - 54;0;0;0;0;0;0;high_school;white
GB;England;Norfolk, East of England, England, United Kingdom;Norwich;male;25 - 34;0;0;0;0;0;3;vocational_technical_college;white
GB;England;West Yorkshire, Yorkshire and the Humber, England, United Kingdom;Bradford;male;25 - 34;3;0;0;0;0;0;middle_school;white
GB;England;Unknown;Bristol;female;35 - 44;2;0;0;0;0;12;university;white
GB;Scotland;Unknown;Paisley;male;25 - 34;4;1;1;0;0;13;vocational_technical_college;white
GB;England;Tyne and Wear, North East England, England, United Kingdom;Sunderland;male;25 - 34;0;0;0;0;0;12;university;black
GB;England;Norfolk, East of England, England, United Kingdom;Dereham;female;35 - 44;1;0;1;0;0;4;middle_school;white
GB;England;Unknown;Leicester;male;25 - 34;0;0;0;0;0;15;university;asian
GB;Wales;Unknown;Pontardawe;male;> 54;2;0;0;1;0;15;vocational_technical_college;white
GB;England;Leicestershire, East Midlands, England, United Kingdom;Loughborough;male;45 - 54;2;0;0;0;0;15;vocational_technical_college;white
GB;Wales;Unknown;Port Talbot;male;> 54;0;0;0;0;1;0;high_school;white
GB;England;Surrey, South East England, England, United Kingdom;Reigate;male;45 - 54;0;0;0;0;0;12;university;white
GB;England;West Midlands, West Midlands, England, United Kingdom;Birmingham;male;35 - 44;7;6;4;6;6;5;vocational_technical_college;asian
GB;Unknown;Unknown;Unknown;female;25 - 34;2;0;1;0;1;2;postgraduate;other
GB;England;South Yorkshire, Yorkshire and the Humber, England, United Kingdom;Sheffield;male;45 - 54;4;0;0;2;1;12;vocational_technical_college;white
GB;England;Greater Manchester, North West England, England, United Kingdom;Wigan;female;18 - 24;3;1;0;0;0;0;vocational_technical_college;other
GB;England;West Yorkshire, Yorkshire and the Humber, England, United Kingdom;Bradford;male;45 - 54;0;0;0;0;0;15;postgraduate;black
GB;England;South Yorkshire, Yorkshire and the Humber, England, United Kingdom;Barnsley;female;45 - 54;2;1;0;2;2;2;vocational_technical_college;white
GB;England;Staffordshire, West Midlands, England, United Kingdom;Burntwood;male;45 - 54;2;0;0;2;1;15;vocational_technical_college;white
GB;England;Unknown;Runcorn;female;35 - 44;0;0;0;0;0;15;university;other
GB;England;Unknown;Peterborough;male;45 - 54;1;0;0;0;1;0;vocational_technical_college;white
GB;England;West Midlands, West Midlands, England, United Kingdom;Solihull;female;18 - 24;3;2;0;1;1;1;university;other
GB;Unknown;Unknown;Unknown;male;35 - 44;5;9;10;11;9;10;vocational_technical_college;white
GB;England;Gloucestershire, South West England, England, United Kingdom;Gloucester;female;35 - 44;0;0;0;0;0;14;middle_school;white
GB;England;Unknown;Bristol;male;25 - 34;0;0;0;0;0;15;middle_school;white
GB;Scotland;Unknown;Dundee;female;35 - 44;0;0;0;0;0;15;postgraduate;other
GB;England;Unknown;Brighton;female;35 - 44;1;0;0;0;0;11;university;hispanic
GB;Unknown;Unknown;Unknown;female;18 - 24;3;0;0;0;1;13;postgraduate;other
GB;England;Unknown;High Wycombe;female;25 - 34;1;0;0;0;0;15;vocational_technical_college;other
GB;England;South Yorkshire, Yorkshire and the Humber, England, United Kingdom;Sheffield;male;25 - 34;10;12;12;12;4;8;vocational_technical_college;white
GB;England;East Sussex, South East England, England, United Kingdom;Uckfield;female;> 54;2;0;1;1;1;1;high_school;other
GB;England;Unknown;Bournemouth;female;25 - 34;1;1;0;1;0;15;postgraduate;multiracial
GB;England;Unknown;Hampshire;female;35 - 44;5;0;0;2;2;4;vocational_technical_college;other
GB;England;Unknown;Swindon;male;45 - 54;0;0;0;0;0;15;university;asian
GB;England;Unknown;Bracknell;male;35 - 44;1;0;0;0;0;10;vocational_technical_college;other
GB;England;Tyne and Wear, North East England, England, United Kingdom;Gateshead;female;35 - 44;0;0;0;0;0;10;postgraduate;asian
GB;England;Norfolk, East of England, England, United Kingdom;Great Yarmouth;male;25 - 34;5;6;8;2;4;3;vocational_technical_college;white
GB;Unknown;Unknown;Unknown;male;> 54;8;2;0;1;0;15;vocational_technical_college;white
GB;Scotland;Unknown;Edinburgh;female;45 - 54;2;1;0;1;2;2;high_school;white
GB;England;Unknown;Weymouth;female;35 - 44;2;0;0;0;0;15;postgraduate;white
GB;England;Tyne and Wear, North East England, England, United Kingdom;Newcastle upon Tyne;male;45 - 54;2;0;1;2;0;15;university;other
GB;England;Unknown;London;female;35 - 44;0;0;0;0;0;7;vocational_technical_college;other
GB;England;Greater Manchester, North West England, England, United Kingdom;Manchester;male;> 54;1;0;0;1;0;9;vocational_technical_college;other
GB;England;East Sussex, South East England, England, United Kingdom;Uckfield;female;> 54;1;0;0;0;0;15;middle_school;white
GB;England;Unknown;Leighton Buzzard;female;25 - 34;15;15;15;15;15;15;high_school;black
GB;England;West Midlands, West Midlands, England, United Kingdom;Walsall;male;45 - 54;4;0;0;0;0;15;vocational_technical_college;white
GB;Unknown;Unknown;Unknown;male;35 - 44;0;0;0;0;0;8;vocational_technical_college;white
GB;Northern Ireland;Unknown;Newtownabbey;female;> 54;0;0;0;0;0;0;vocational_technical_college;other
GB;England;Unknown;Dagenham;female;35 - 44;2;1;0;1;0;7;university;asian
GB;England;Unknown;Bracknell;male;45 - 54;0;0;0;0;0;15;high_school;white
GB;England;Unknown;Luton;female;35 - 44;2;0;0;1;1;13;vocational_technical_college;white
GB;England;South Yorkshire, Yorkshire and the Humber, England, United Kingdom;Sheffield;male;25 - 34;4;5;7;5;12;5;university;white
GB;England;Unknown;Derby;female;> 54;15;0;1;1;1;3;postgraduate;white
GB;England;Cumbria, North West England, England, United Kingdom;Barrow in Furness;male;45 - 54;2;0;0;0;0;13;high_school;white
GB;England;West Midlands, West Midlands, England, United Kingdom;Coventry;male;> 54;4;1;0;3;2;15;high_school;white
GB;England;Unknown;Linslade;female;25 - 34;0;0;0;0;0;15;high_school;white
GB;Scotland;Unknown;Hamilton;male;45 - 54;1;1;0;1;0;1;vocational_technical_college;white
GB;England;Devon, South West England, England, United Kingdom;Exeter;male;45 - 54;2;2;1;2;1;7;university;white
GB;England;Worcestershire, West Midlands, England, United Kingdom;Kidderminster;male;35 - 44;0;0;0;0;0;10;university;white
GB;England;Unknown;Hereford;female;35 - 44;0;0;0;0;0;5;vocational_technical_college;other
GB;Scotland;Unknown;Edinburgh;female;25 - 34;0;0;0;0;0;15;vocational_technical_college;white
GB;England;Unknown;Aylesbury;female;25 - 34;0;0;0;0;0;15;vocational_technical_college;white
GB;England;South Yorkshire, Yorkshire and the Humber, England, United Kingdom;Doncaster;female;35 - 44;0;0;0;1;2;1;vocational_technical_college;white
GB;Scotland;Unknown;Dumfries;female;25 - 34;1;0;0;0;1;9;high_school;white
GB;England;Unknown;Telford;female;> 54;1;1;1;2;1;15;middle_school;white
GB;England;Tyne and Wear, North East England, England, United Kingdom;Houghton-Le-Spring;male;35 - 44;1;0;1;1;1;4;postgraduate;white
GB;England;Greater Manchester, North West England, England, United Kingdom;Rochdale;male;18 - 24;0;1;2;3;2;4;university;white
GB;England;Worcestershire, West Midlands, England, United Kingdom;Worcester;female;35 - 44;4;0;0;0;0;15;postgraduate;white
GB;Unknown;Unknown;Unknown;male;25 - 34;3;2;3;3;3;3;university;white
GB;England;Unknown;Camborne;female;45 - 54;4;0;0;0;0;13;middle_school;white
GB;England;Greater Manchester, North West England, England, United Kingdom;Bolton;female;25 - 34;0;0;0;0;0;13;university;white
GB;England;Unknown;London;female;35 - 44;0;0;0;0;0;0;vocational_technical_college;black
GB;England;West Yorkshire, Yorkshire and the Humber, England, United Kingdom;Halifax;male;25 - 34;7;0;0;0;0;6;vocational_technical_college;white
GB;England;Unknown;High Wycombe;female;25 - 34;5;0;0;2;1;5;university;white
GB;England;Unknown;Hull;male;> 54;3;1;0;0;0;13;postgraduate;white
GB;England;Greater Manchester, North West England, England, United Kingdom;Salford;female;25 - 34;1;0;0;0;0;15;university;white
GB;England;Greater Manchester, North West England, England, United Kingdom;Sale;male;> 54;5;0;0;0;0;4;vocational_technical_college;white
GB;Unknown;Unknown;Unknown;female;25 - 34;1;0;0;0;0;1;postgraduate;white
GB;Scotland;Unknown;Cumnock;male;45 - 54;13;0;0;0;0;3;vocational_technical_college;white
GB;England;Lancashire, North West England, England, United Kingdom;Lancaster;male;18 - 24;1;0;0;0;0;12;high_school;white
GB;Wales;Unknown;Swansea;female;45 - 54;2;0;0;0;0;15;high_school;white
GB;England;Gloucestershire, South West England, England, United Kingdom;Cheltenham;female;25 - 34;2;0;0;1;1;1;high_school;other
GB;England;Unknown;Slough;female;25 - 34;1;0;0;0;0;11;university;asian
GB;Scotland;Unknown;Elgin;female;35 - 44;0;0;0;0;0;0;vocational_technical_college;other
GB;England;Unknown;Southampton;male;45 - 54;0;0;1;0;0;0;high_school;white
GB;Scotland;Unknown;Glasgow;female;> 54;6;0;0;2;0;15;high_school;white
GB;England;Unknown;Peterborough;female;35 - 44;1;0;0;0;0;1;vocational_technical_college;white
GB;England;North Yorkshire, Yorkshire and the Humber, England, United Kingdom;Selby;female;45 - 54;1;0;0;0;0;14;university;white
GB;England;Unknown;Chester;female;> 54;2;0;0;0;0;15;postgraduate;white
GB;England;Hampshire, South East England, England, United Kingdom;Farnborough;female;45 - 54;0;0;0;0;0;15;vocational_technical_college;white
GB;England;Warwickshire, West Midlands, England, United Kingdom;Royal Leamington Spa;female;35 - 44;2;0;0;0;0;15;postgraduate;white
GB;England;Unknown;Truro;female;18 - 24;3;0;0;0;1;3;vocational_technical_college;white
GB;England;Unknown;Nottingham;male;> 54;8;1;0;1;3;8;high_school;white
GB;England;Hertfordshire, East of England, England, United Kingdom;St Albans;female;45 - 54;1;0;0;0;0;15;high_school;white
GB;England;Unknown;Bristol;female;35 - 44;2;0;0;1;1;15;vocational_technical_college;other
GB;England;Unknown;Bristol;female;45 - 54;3;0;0;0;0;2;vocational_technical_college;white
GB;England;Unknown;Nottingham;female;25 - 34;5;2;2;3;4;10;university;white
GB;England;West Midlands, West Midlands, England, United Kingdom;Birmingham;female;45 - 54;0;0;0;0;0;15;vocational_technical_college;other
GB;England;Unknown;London;male;25 - 34;0;0;0;0;0;0;vocational_technical_college;white
GB;England;Unknown;Stockton-on-Tees;male;35 - 44;1;0;0;0;0;10;university;white
GB;England;Tyne and Wear, North East England, England, United Kingdom;Wallsend;female;35 - 44;1;0;0;0;0;15;university;white
GB;England;Greater Manchester, North West England, England, United Kingdom;Bolton;female;25 - 34;0;0;0;0;0;14;high_school;white
GB;England;Unknown;London;female;35 - 44;6;2;0;0;0;4;university;white
GB;England;Devon, South West England, England, United Kingdom;Exeter;female;35 - 44;1;0;0;0;0;1;high_school;white
GB;England;Kent, South East England, England, United Kingdom;Dartford;male;> 54;2;0;0;0;0;2;high_school;white
GB;England;Unknown;Ilford;male;25 - 34;3;7;2;1;1;12;university;asian
GB;England;West Midlands, West Midlands, England, United Kingdom;Wednesbury;female;> 54;1;0;0;0;0;15;university;other
GB;England;West Yorkshire, Yorkshire and the Humber, England, United Kingdom;Halifax;female;25 - 34;2;0;0;0;1;3;vocational_technical_college;white
GB;England;East Sussex, South East England, England, United Kingdom;Bexhill-on-Sea;female;25 - 34;12;10;10;8;9;9;vocational_technical_college;white
GB;England;West Midlands, West Midlands, England, United Kingdom;Birmingham;female;45 - 54;0;0;0;0;0;2;high_school;other
GB;Scotland;Unknown;Edinburgh;female;35 - 44;2;0;0;0;1;1;high_school;other
GB;England;Unknown;Uxbridge;female;18 - 24;2;0;0;0;0;14;university;asian
GB;England;Hampshire, South East England, England, United Kingdom;Fareham;female;25 - 34;1;0;0;0;0;15;postgraduate;other
GB;England;Unknown;Newquay;female;35 - 44;2;0;0;0;0;13;university;white
GB;Scotland;Unknown;Aberdeen;male;> 54;1;0;2;2;1;2;university;white
GB;England;Unknown;Stoke-on-Trent;female;25 - 34;7;8;6;1;1;1;postgraduate;other
GB;England;Unknown;Northwich;female;45 - 54;2;0;0;0;0;15;vocational_technical_college;other
GB;England;Unknown;Stockton-on-Tees;female;> 54;0;0;0;0;0;15;high_school;other
GB;England;Hertfordshire, East of England, England, United Kingdom;Hemel Hempstead;male;25 - 34;3;0;0;1;1;14;university;asian
GB;England;West Midlands, West Midlands, England, United Kingdom;Wolverhampton;female;18 - 24;15;0;0;0;0;5;university;white
GB;Wales;Unknown;Prestatyn;female;35 - 44;0;0;0;0;0;15;vocational_technical_college;other
GB;England;West Midlands, West Midlands, England, United Kingdom;Coventry;female;25 - 34;5;4;3;3;3;4;university;white
