ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B1_1.1,B1_1.2,B1_1.NA,B1_2.1,B1_2.2,B1_2.NA,B1_3.1,B1_3.2,B1_3.NA,B1_4.1,B1_4.2,B1_4.NA,B1_5.1,B1_5.2,B1_5.NA,B1_6.1,B1_6.2,B1_6.NA,B1_7.1,B1_7.2,B1_7.NA,B1_8.1,B1_8.2,B1_8.NA,B1_9.1,B1_9.2,B1_9.NA,B1_10.1,B1_10.2,B1_10.NA,B1_11.1,B1_11.2,B1_11.NA,B1_12.1,B1_12.2,B1_12.NA,B3.1,B3.2,B3.NA,B5.1,B5.2,B5.NA,B6.1,B6.2,B6.NA,B7.1,B7.2,B7.NA,B8.1,B8.2,B8.3,B8.NA,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C1_m.1,C1_m.2,C1_m.NA,C2.1,C2.2,C2.3,C2.4,C2.NA,C3.1,C3.2,C3.NA,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C5.NA,C6.1,C6.2,C6.3,C6.4,C6.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D3.1,D3.2,D3.3,D3.4,D3.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,E3.1,E3.2,E3.3,E3.4,E3.NA,E4.1,E4.2,E4.3,E4.4,E4.5,E4.7,E4.NA,E2.1,E2.2,E2.3,E2.NA,B2.mean,B2.sd,B4.mean,B4.sd,E5.mean,E5.sd,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
TJ,TJK,Tajikistan,2021-04-20,2021-01-13,100,8,942414.715887366,4,82622.4404428899,181,74,8,2,5021141.51579334,40,11,84,5,15,80,5,10,86,4,27,69,4,22,75,3,18,77,5,11,83,6,8,85,7,12,84,4,9,88,3,10,84,6,18,78,4,17,64,19,8,8,84,36,44,20,8,26,66,2,5,1,92,30,25,45,34,17,49,22,31,47,28,25,47,18,35,47,24,31,45,27,29,44,11,4,6,6,73,11,44,45,32,4,3,3,6,7,45,21,9,11,13,46,2,4,5,13,26,50,3,4,6,14,22,51,15,18,5,9,53,8,7,12,20,53,29,10,0,4,57,8,14,11,6,2,1,58,22,11,6,61,31.6290130796671,60.9718930247031,180,308.616986642739,9.64207450693937,13.9208946459305,0.08,0.0531724899927667,0.187689335766205,0.000341529117753123,0.04,0.0384072934108425,0.0164549117333204,0.00011127350693177,0.0344499429006471,0.00493156437847584
TJ,TJK,Tajikistan,2021-04-23,2021-01-13,100,8,942414.715887366,4,82622.4404428899,181,74,9,2,5132139.94445551,39,11,84,5,15,80,5,10,86,4,26,70,4,22,75,3,18,77,5,11,83,6,8,85,7,11,85,4,9,88,3,10,84,6,18,78,4,17,64,19,8,8,84,36,44,20,9,25,66,2,6,1,91,30,25,45,34,17,49,21,32,47,27,26,47,17,36,47,23,32,45,26,29,45,10,4,6,6,74,10,44,46,32,4,3,2,6,7,46,21,8,11,13,47,2,4,5,13,25,51,3,4,6,13,22,52,15,17,5,9,54,8,6,12,20,54,29,9,0,4,58,7,14,11,6,2,1,59,21,11,6,62,29.6666666666667,58.1275516475311,180,308.616986642739,9.9537037037037,14.5080255111715,0.08,0.0531724899927667,0.183629972309212,0.000334976357686358,0.04,0.0384072934108425,0.016099023280172,0.00010888656710557,0.0344499429006471,0.00493156437847584
TJ,TJK,Tajikistan,2021-04-24,2021-01-16,100,9,1075340.19076796,5,215547.915323481,171,75,9,2,5191049.07009257,40,12,83,5,15,80,5,11,85,4,27,69,4,23,74,3,19,76,5,12,82,6,10,83,7,12,84,4,10,87,3,10,84,6,20,76,4,17,65,18,9,7,84,36,45,19,9,25,66,2,6,1,91,30,25,45,34,17,49,21,32,47,28,25,47,17,36,47,23,32,45,26,30,44,10,4,6,6,74,11,44,45,31,4,3,2,7,7,46,20,9,11,14,46,3,5,5,13,24,50,4,4,6,13,21,52,16,17,5,9,53,10,6,12,19,53,28,10,0,4,58,8,14,11,5,2,1,59,22,10,6,62,28.5119667013528,55.3179362556813,170,311.305494829614,10.0308641975309,14.5369106589728,0.09,0.0560905943465434,0.207152769362818,0.000348626706015224,0.05,0.042716424707947,0.0415229970691911,0.000171615187381972,0.032112676056338,0.00473520663126272
TJ,TJK,Tajikistan,2021-04-27,2021-01-18,100,9,1075340.19076796,5,215547.915323481,171,75,9,2,5273205.92562847,39,12,83,5,15,80,5,11,85,4,27,69,4,23,74,3,19,76,5,12,82,6,10,83,7,12,84,4,10,87,3,10,84,6,20,76,4,17,65,18,9,7,84,36,45,19,9,25,66,2,6,1,91,30,24,46,34,16,50,20,32,48,29,23,48,16,36,48,22,32,46,27,28,45,10,4,6,7,73,12,42,46,32,4,3,2,7,5,47,19,8,11,15,47,3,5,6,14,22,50,4,4,6,14,20,52,15,18,5,9,53,10,5,13,19,53,27,9,0,4,60,8,14,10,5,2,1,60,21,10,6,63,28.5119667013528,55.3179362556813,170,311.305494829614,10.530612244898,15.1149485735956,0.09,0.0560905943465434,0.203925317147518,0.000343892896251306,0.05,0.042716424707947,0.0408760663557419,0.000168998417237316,0.032112676056338,0.00473520663126272
TJ,TJK,Tajikistan,2021-05-01,2021-01-19,100,10,1094016.56672474,6,234224.291280265,140,74,8,2,5136917.05667385,39,13,82,5,17,78,5,13,83,4,29,67,4,25,72,3,21,74,5,13,81,6,12,81,7,13,83,4,12,85,3,12,82,6,22,75,3,17,64,19,9,7,84,35,45,20,8,25,67,2,5,1,92,28,24,48,32,16,52,20,30,50,27,23,50,15,35,50,21,31,48,27,27,46,10,4,6,7,73,12,41,47,30,4,4,2,7,5,48,19,7,10,16,48,3,5,6,15,20,51,4,4,6,15,19,52,15,19,5,8,53,10,6,13,18,53,27,9,0,4,60,9,14,9,5,2,1,60,20,11,6,63,27.05078125,52.8164031233299,139,307.912325183647,10.6401384083045,15.7476746051412,0.1,0.0587989195362016,0.212971429099366,0.00035404032938574,0.06,0.046546565661405,0.0455962766570197,0.000180396275524192,0.0266463646745337,0.00435469124309428
TJ,TJK,Tajikistan,2021-05-03,2021-01-19,100,10,1094016.56672474,6,234224.291280265,140,75,8,2,5121883.55630728,40,13,82,5,16,79,5,13,83,4,29,67,4,25,72,3,21,74,5,13,81,6,11,82,7,13,83,4,13,84,3,12,82,6,21,76,3,17,65,18,9,7,84,35,46,19,8,25,67,2,5,1,92,29,24,47,33,16,51,20,31,49,27,24,49,15,36,49,21,32,47,27,28,45,10,4,6,7,73,12,42,46,31,4,4,2,7,5,47,19,8,10,16,47,3,5,6,15,21,50,5,4,6,15,19,51,15,19,6,8,52,10,6,14,18,52,28,9,0,4,59,9,14,10,5,2,1,59,20,12,6,62,25.6198347107438,50.5314439758685,139,307.912325183647,10.6401384083045,15.7476746051412,0.1,0.0587989195362016,0.213596532349418,0.000354938450860265,0.06,0.046546565661405,0.0457301086026901,0.000180913080120491,0.0262910798122066,0.00429741278018409
TJ,TJK,Tajikistan,2021-05-04,2021-01-20,100,10,1094016.56672474,6,234224.291280265,140,75,8,2,5027059.31540225,41,13,82,5,16,79,5,13,83,4,29,67,4,25,72,3,22,73,5,13,81,6,11,82,7,13,83,4,13,84,3,12,82,6,21,76,3,17,65,18,9,7,84,34,47,19,8,24,68,2,5,1,92,30,24,46,33,17,50,20,32,48,27,25,48,15,37,48,20,33,47,28,27,45,11,4,6,7,72,11,43,46,30,5,4,2,7,5,47,19,8,10,16,47,4,5,6,15,20,50,5,4,7,15,18,51,16,19,6,7,52,11,6,13,18,52,29,9,0,3,59,9,14,11,5,2,0,59,19,13,6,62,25.8034894398531,50.4577372507189,139,307.912325183647,10.1224489795918,15.1240228066118,0.1,0.0587989195362016,0.21762555364581,0.000360705994085243,0.06,0.046546565661405,0.046592704916497,0.000184242273264859,0.0262910798122066,0.00429741278018409
TJ,TJK,Tajikistan,2021-05-06,2021-01-21,100,10,1094016.56672474,6,234224.291280265,140,76,8,2,5027602.80366177,41,12,83,5,16,79,5,13,83,4,29,67,4,25,72,3,22,73,5,13,81,6,11,82,7,13,83,4,13,84,3,12,82,6,21,76,3,17,66,17,9,7,84,35,47,18,8,24,68,2,5,1,92,30,25,45,34,17,49,20,33,47,27,26,47,15,38,47,20,34,46,28,28,44,11,4,6,7,72,11,44,45,31,5,4,2,7,5,46,20,8,10,16,46,4,5,6,15,20,50,5,4,7,15,18,51,16,19,6,7,52,11,6,13,18,52,29,9,0,3,59,9,14,11,5,2,0,59,19,13,6,62,25.8034894398531,50.4577372507189,139,307.912325183647,10.1224489795918,15.1240228066118,0.1,0.0587989195362016,0.217602028133156,0.000360672423927225,0.06,0.046546565661405,0.046587668204352,0.000184222843123328,0.0259451445515197,0.00424162114724451
TJ,TJK,Tajikistan,2021-05-08,2021-01-24,100,9,1080156.46516395,5,220364.189719473,140,77,8,2,5026980.99711669,42,12,83,5,15,80,5,12,84,4,29,67,4,24,73,3,21,74,5,13,81,6,10,83,7,13,83,4,12,85,3,13,81,6,22,75,3,17,67,16,9,7,84,35,48,17,8,24,68,2,5,1,92,30,25,45,35,17,48,20,33,47,27,26,47,15,38,47,20,34,46,29,28,43,12,4,6,7,71,11,45,44,32,5,4,2,7,5,45,20,9,10,16,45,4,6,6,15,20,49,5,5,7,15,18,50,16,19,6,8,51,11,6,13,19,51,30,9,0,3,58,10,14,11,5,2,0,58,19,14,6,61,24.5674740484429,48.306121388552,139,307.912325183647,9.5679012345679,14.5848554677208,0.09,0.0560905943465434,0.214871801939074,0.000359049618750761,0.05,0.042716424707947,0.0438362885886909,0.000178968866109419,0.0256081946222791,0.0041872592093024
TJ,TJK,Tajikistan,2021-05-09,2021-01-24,100,9,1080156.46516395,5,220364.189719473,140,77,7,2,5020826.24686741,41,12,83,5,15,80,5,12,84,4,29,67,4,24,73,3,21,74,5,13,81,6,10,83,7,13,83,4,12,85,3,12,82,6,22,75,3,17,67,16,9,7,84,34,49,17,7,24,69,2,4,1,93,29,26,45,35,17,48,19,34,47,27,26,47,15,38,47,20,34,46,28,29,43,11,4,6,7,72,11,45,44,33,4,4,2,7,5,45,20,10,10,15,45,4,6,6,14,20,50,5,5,7,15,17,51,16,18,6,8,52,11,6,12,19,52,30,8,0,3,59,9,14,11,5,2,0,59,18,14,6,62,25.8034894398531,50.4577372507189,139,307.912325183647,10.0408163265306,15.1720256346682,0.09,0.0560905943465434,0.215135201270484,0.000359429450702766,0.05,0.042716424707947,0.0438900250445755,0.000179183218772777,0.0256081946222791,0.0041872592093024
TJ,TJK,Tajikistan,2021-05-11,2021-01-25,100,8,1060666.38390068,4,200874.108456209,140,78,7,2,5032055.06167707,41,11,84,5,14,81,5,11,85,4,28,68,4,23,74,3,21,74,5,12,82,6,9,84,7,12,84,4,11,86,3,11,83,6,21,76,3,17,68,15,9,7,84,34,50,16,7,24,69,2,4,1,93,29,26,45,35,17,48,19,34,47,27,26,47,15,38,47,20,34,46,28,29,43,11,4,6,7,72,11,45,44,33,4,4,2,7,5,45,20,10,10,15,45,4,6,6,14,20,50,5,5,7,15,17,51,16,18,6,8,52,11,6,12,19,52,30,8,0,3,59,9,14,11,5,2,0,59,18,14,6,62,25.8034894398531,50.4577372507189,139,307.912325183647,10.0408163265306,15.1720256346682,0.08,0.0531724899927667,0.210781951091606,0.000356361364521054,0.04,0.0384072934108425,0.0399189011237215,0.000171048254801246,0.025279884434814,0.00413427272095025
TJ,TJK,Tajikistan,2021-05-12,2021-01-25,100,8,1060666.38390068,4,200874.108456209,140,77,7,2,5014518.23047214,40,11,84,5,14,81,5,11,85,4,29,67,4,23,74,3,21,74,5,12,82,6,9,84,7,12,84,4,11,86,3,11,83,6,21,76,3,17,67,16,9,7,84,33,50,17,7,23,70,2,4,1,93,28,26,46,34,17,49,19,33,48,26,26,48,15,37,48,19,34,47,28,28,44,11,4,6,7,72,11,44,45,33,4,4,2,7,4,46,19,10,10,15,46,4,6,6,14,19,51,5,5,7,15,16,52,16,18,5,8,53,11,6,11,19,53,29,8,0,3,60,9,13,11,5,2,0,60,18,14,5,63,25.8034894398531,50.4577372507189,139,307.912325183647,9.60207612456747,15.2279664882963,0.08,0.0531724899927667,0.211519100171028,0.000357440589428977,0.04,0.0384072934108425,0.0400585059668426,0.000171633966778549,0.0256081946222791,0.0041872592093024
TJ,TJK,Tajikistan,2021-05-15,2021-01-27,100,8,1060666.38390068,4,200874.108456209,140,77,7,2,5033843.45760072,40,11,85,4,13,82,5,11,86,3,30,67,3,23,75,2,21,75,4,12,83,5,9,85,6,12,85,3,11,87,2,11,84,5,21,77,2,17,67,16,9,7,84,33,50,17,7,23,70,2,4,1,93,28,26,46,34,17,49,19,33,48,26,26,48,15,37,48,19,34,47,28,28,44,11,4,6,7,72,11,44,45,33,4,4,2,7,4,46,19,10,10,15,46,4,6,6,14,19,51,5,5,7,15,16,52,16,18,5,8,53,11,6,11,19,53,29,8,0,3,60,9,13,11,5,2,0,60,18,14,5,63,25.8034894398531,50.4577372507189,139,307.912325183647,9.60207612456747,15.2279664882963,0.08,0.0531724899927667,0.210707065651626,0.000356251658812443,0.04,0.0384072934108425,0.0399047189584143,0.000170988748623339,0.0256081946222791,0.0041872592093024
TJ,TJK,Tajikistan,2021-05-16,2021-01-31,100,8,1060666.38390068,4,200874.108456209,140,77,7,2,5010516.77623586,40,11,85,4,13,82,5,11,86,3,29,68,3,22,76,2,22,75,3,12,83,5,9,85,6,12,85,3,11,87,2,11,84,5,21,77,2,17,67,16,9,7,84,32,51,17,7,22,71,2,4,1,93,29,25,46,33,18,49,19,33,48,26,26,48,14,38,48,18,35,47,27,29,44,11,4,6,6,73,11,44,45,33,4,3,2,7,5,46,20,9,10,15,46,4,6,5,14,20,51,5,4,7,16,16,52,15,18,5,8,54,11,6,11,19,53,28,9,0,3,60,8,13,12,5,2,0,60,18,14,5,63,26.953125,52.8291692055782,139,307.912325183647,9.60207612456747,15.2279664882963,0.08,0.0531724899927667,0.211688021668996,0.000357687724380324,0.04,0.0384072934108425,0.0400904971337339,0.000171768173308256,0.0256081946222791,0.0041872592093024
TJ,TJK,Tajikistan,2021-05-17,2021-01-31,100,8,1060666.38390068,4,200874.108456209,140,77,7,2,4991463.57761983,41,11,86,3,13,83,4,11,87,2,29,69,2,21,77,2,22,76,2,12,84,4,9,86,5,12,86,2,11,88,1,11,85,4,20,78,2,17,67,16,9,7,84,33,50,17,7,23,70,2,4,1,93,29,25,46,32,19,49,19,33,48,25,27,48,14,38,48,18,35,47,28,28,44,12,4,6,6,72,11,44,45,33,4,3,2,7,5,46,20,10,10,14,46,4,6,5,15,20,50,5,4,7,16,17,51,15,18,6,8,53,11,6,12,19,52,29,9,0,3,59,8,14,12,5,2,0,59,19,14,5,62,26.953125,52.8291692055782,139,307.912325183647,9.22448979591837,14.5865091559593,0.08,0.0531724899927667,0.212496068018283,0.000358869006539378,0.04,0.0384072934108425,0.0402435288432969,0.000172410094625279,0.0256081946222791,0.0041872592093024
TJ,TJK,Tajikistan,2021-05-18,2021-01-31,100,8,1060666.38390068,4,200874.108456209,140,76,7,2,5063164.08419038,40,11,86,3,13,83,4,12,86,2,30,68,2,22,76,2,21,77,2,12,84,4,9,86,5,12,86,2,11,88,1,11,85,4,20,78,2,17,66,17,9,7,84,33,49,18,7,23,70,2,4,1,93,29,24,47,31,19,50,18,33,49,25,26,49,13,38,49,18,34,48,27,28,45,11,4,6,6,73,11,43,46,32,4,3,2,7,5,47,19,10,10,14,47,4,6,5,14,20,51,5,4,6,16,17,52,14,18,6,8,54,11,6,12,18,53,28,9,0,3,60,8,14,12,5,1,0,60,18,14,5,63,27.2632674297607,55.3413943976175,139,307.912325183647,9.68858131487889,15.1973045063088,0.08,0.0531724899927667,0.209486867552366,0.000354462287603936,0.04,0.0384072934108425,0.0396736319653227,0.000170019015461876,0.0259451445515197,0.00424162114724451
