ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B1_1.1,B1_1.2,B1_1.NA,B1_2.1,B1_2.2,B1_2.NA,B1_3.1,B1_3.2,B1_3.NA,B1_4.1,B1_4.2,B1_4.NA,B1_5.1,B1_5.2,B1_5.NA,B1_6.1,B1_6.2,B1_6.NA,B1_7.1,B1_7.2,B1_7.NA,B1_8.1,B1_8.2,B1_8.NA,B1_9.1,B1_9.2,B1_9.NA,B1_10.1,B1_10.2,B1_10.NA,B1_11.1,B1_11.2,B1_11.NA,B1_12.1,B1_12.2,B1_12.NA,B3.1,B3.2,B3.NA,B5.1,B5.2,B5.NA,B6.1,B6.2,B6.NA,B7.1,B7.2,B7.NA,B8.1,B8.2,B8.NA,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C1_m.1,C1_m.2,C1_m.NA,C2.1,C2.3,C2.4,C2.NA,C3.1,C3.2,C3.NA,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C5.NA,C6.1,C6.2,C6.3,C6.4,C6.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D3.1,D3.2,D3.3,D3.4,D3.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,E3.1,E3.2,E3.3,E3.4,E3.NA,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E4.NA,E2.1,E2.2,E2.3,E2.NA,B2.mean,B2.sd,B4.mean,B4.sd,E5.mean,E5.sd,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
MS,MSR,Montserrat,2020-12-05,2020-05-24,100,4,105514.594274089,1,4496.25997497661,20,84,5,0,3295433.94134873,56,6,87,7,12,81,7,9,86,5,14,78,8,15,76,9,12,80,8,8,84,8,7,84,9,5,87,8,6,87,7,15,78,7,19,75,6,13,79,8,3,6,91,17,68,15,5,7,88,0,3,97,27,48,25,48,30,22,23,54,23,27,48,25,11,64,25,19,57,24,23,56,21,14,1,7,78,20,76,4,40,14,2,2,5,12,25,36,14,9,14,27,6,5,6,10,44,29,7,4,6,13,42,28,22,23,7,15,33,10,8,13,35,34,18,35,2,2,43,7,5,12,14,9,7,5,41,29,18,6,47,34.8214285714286,49.7786578467311,76,79.2464510246358,10.3024574669187,30.0822745743088,0.04,0.0384072934108425,0.0320184218989093,0.000190075128771356,0.01,0.0195013954179879,0.00136439086778854,3.98533388490138e-05,0.00335345405767941,0.00146722269841961
MS,MSR,Montserrat,2020-12-07,2020-05-27,100,4,105514.594274089,1,4496.25997497661,20,84,5,0,3285609.54427596,56,6,87,7,12,81,7,9,86,5,14,78,8,15,76,9,12,80,8,8,84,8,7,84,9,5,87,8,6,87,7,15,78,7,19,75,6,13,79,8,3,6,91,17,68,15,5,7,88,0,3,97,27,48,25,47,31,22,24,53,23,26,49,25,11,64,25,19,57,24,23,56,21,14,1,7,78,20,76,4,40,14,2,2,5,12,25,36,14,9,14,27,6,5,6,10,44,29,7,4,6,13,42,28,22,24,6,15,33,10,8,12,36,34,17,36,2,2,43,8,5,11,14,9,7,5,41,30,17,6,47,34.8214285714286,49.7786578467311,76,79.2464510246358,9.91398822996831,29.1435560770366,0.04,0.0384072934108425,0.0321141611175047,0.000190634049837833,0.01,0.0195013954179879,0.00136847057277691,3.99724238321437e-05,0.00335345405767941,0.00146722269841961
MS,MSR,Montserrat,2020-12-11,2020-05-30,100,4,105514.594274089,1,4496.25997497661,20,83,5,0,3228213.56275199,55,6,87,7,12,81,7,9,86,5,14,78,8,15,76,9,12,80,8,9,83,8,7,84,9,5,87,8,6,87,7,14,79,7,18,76,6,13,78,9,3,6,91,17,67,16,5,7,88,0,3,97,27,47,26,47,30,23,24,52,24,25,49,26,11,63,26,19,56,25,23,55,22,14,1,7,78,20,75,5,40,14,2,2,5,11,26,35,14,9,14,28,6,5,5,10,44,30,7,3,6,13,42,29,22,23,6,15,34,10,8,12,35,35,17,35,2,2,44,8,4,11,14,9,7,5,42,30,17,5,48,36.7626886145405,52.4882187892299,76,79.2464510246358,10.2079395085066,30.1012419145949,0.04,0.0384072934108425,0.0326851344321037,0.00019396618807358,0.01,0.0195013954179879,0.001392801277727,4.0682617421974e-05,0.00339385711861531,0.00148486998183613
MS,MSR,Montserrat,2020-12-13,2020-05-30,100,4,105514.594274089,1,4496.25997497661,20,83,5,0,3237833.84384899,55,6,87,7,12,81,7,9,86,5,13,79,8,15,76,9,11,81,8,9,83,8,7,84,9,5,87,8,6,87,7,13,80,7,18,76,6,13,78,9,3,6,91,18,66,16,5,8,87,0,3,97,26,48,26,46,31,23,24,52,24,24,50,26,10,64,26,18,57,25,23,55,22,15,1,6,78,20,75,5,40,14,2,2,5,11,26,35,14,9,14,28,6,5,5,10,44,30,7,4,5,13,42,29,23,22,6,15,34,10,8,13,34,35,17,35,2,2,44,7,4,11,15,9,7,5,42,29,18,5,48,35.9396433470508,52.8377458561913,76,79.2464510246358,9.64083175803403,29.9149960529769,0.04,0.0384072934108425,0.0325880200661126,0.000193399581511038,0.01,0.0195013954179879,0.00138866297401835,4.05618249078209e-05,0.00339385711861531,0.00148486998183613
MS,MSR,Montserrat,2020-12-15,2020-06-01,100,4,105514.594274089,1,4496.25997497661,20,83,6,0,3157414.30721594,55,6,87,7,12,81,7,9,86,5,13,79,8,15,76,9,11,81,8,9,83,8,7,84,9,5,87,8,6,87,7,13,80,7,18,76,6,13,78,9,3,6,91,18,66,16,6,8,86,0,4,96,26,48,26,47,30,23,25,51,24,25,49,26,10,64,26,19,56,25,24,54,22,16,1,6,77,21,74,5,41,14,2,2,5,10,26,34,14,9,15,28,6,5,5,9,45,30,7,4,5,12,43,29,23,21,6,16,34,10,8,13,34,35,18,34,2,2,44,7,4,12,14,9,7,5,42,28,18,6,48,35.9396433470508,52.8377458561913,76,79.2464510246358,9.54631379962193,29.9249157040214,0.04,0.0384072934108425,0.0334180389418477,0.000198240382972793,0.01,0.0195013954179879,0.00142403230539017,4.1594200461393e-05,0.00339385711861531,0.00148486998183613
MS,MSR,Montserrat,2020-12-16,2020-06-02,100,4,105514.594274089,1,4496.25997497661,20,83,6,0,3213768.09738491,55,6,87,7,11,82,7,9,86,5,13,79,8,15,76,9,11,81,8,8,84,8,7,84,9,5,87,8,6,87,7,13,80,7,18,76,6,13,78,9,3,6,91,18,66,16,6,8,86,0,4,96,26,48,26,46,31,23,25,51,24,25,49,26,10,64,26,18,57,25,25,53,22,17,1,6,76,21,74,5,41,14,2,2,5,10,26,33,15,9,15,28,6,5,5,9,45,30,7,4,5,12,43,29,22,22,6,16,34,10,8,12,35,35,18,34,2,2,44,7,4,11,15,9,7,5,42,28,18,6,48,38.3136094674556,55.7093128440049,76,79.2464510246358,9.87654320987654,30.9249682304989,0.04,0.0384072934108425,0.032832049817144,0.000194823244082651,0.01,0.0195013954179879,0.00139906173648164,4.08653523453884e-05,0.00339385711861531,0.00148486998183613
MS,MSR,Montserrat,2020-12-17,2020-06-07,100,4,105514.594274089,1,4496.25997497661,20,83,6,0,3209658.32328287,54,6,86,8,11,81,8,8,86,6,12,79,9,16,75,9,11,80,9,9,82,9,6,84,10,5,86,9,6,86,8,12,80,8,18,75,7,13,78,9,3,6,91,17,67,16,6,8,86,0,4,96,26,48,26,45,32,23,24,52,24,24,50,26,10,64,26,19,56,25,24,54,22,16,1,6,77,20,75,5,41,14,2,2,4,11,26,31,16,10,15,28,6,6,5,9,44,30,6,4,7,11,43,29,22,23,5,16,34,10,9,10,36,35,18,34,2,2,44,6,4,12,15,9,7,5,42,28,18,5,49,36.2139917695473,52.7529889637188,76,79.2464510246358,10.3305785123967,31.9780585628341,0.04,0.0384072934108425,0.032874089278814,0.00019506846389311,0.01,0.0195013954179879,0.00140085315074216,4.09176412653217e-05,0.00339385711861531,0.00148486998183613
MS,MSR,Montserrat,2020-12-18,2020-06-08,100,4,105514.594274089,1,4496.25997497661,19,82,6,0,3279037.6058435,52,6,84,10,10,81,9,8,84,8,12,78,10,16,74,10,12,78,10,9,80,11,6,83,11,5,84,11,6,85,9,12,79,9,17,74,9,12,78,10,3,5,92,16,66,18,6,8,86,0,4,96,25,47,28,43,32,25,24,50,26,23,49,28,9,63,28,18,55,27,23,53,24,16,1,5,78,20,73,7,41,12,2,2,4,11,28,30,16,10,14,30,5,6,5,8,44,32,6,4,7,10,42,31,20,23,5,16,36,9,8,10,36,37,18,33,1,2,46,5,4,12,15,8,7,5,44,28,16,5,51,38.905325443787,55.4414977456452,118.75,96.5552518854706,11.1111111111111,34.2808208320168,0.04,0.0384072934108425,0.0321785252130241,0.000191009772545433,0.01,0.0195013954179879,0.00137121329958642,4.0052482674618e-05,0.00326348333905874,0.00146501771133035
MS,MSR,Montserrat,2020-12-19,2020-06-11,100,4,105514.594274089,1,4496.25997497661,19,82,7,0,3245160.09886028,51,6,84,10,10,81,9,8,84,8,12,78,10,16,74,10,11,79,10,9,80,11,6,83,11,5,84,11,6,85,9,11,80,9,16,75,9,12,78,10,3,5,92,18,64,18,7,9,84,0,5,95,26,46,28,43,32,25,24,50,26,23,49,28,9,63,28,17,56,27,23,53,24,16,1,5,78,20,73,7,43,12,2,2,4,9,28,29,16,10,15,30,5,6,5,8,44,32,6,4,8,10,41,31,19,24,5,16,36,9,7,10,37,37,18,34,1,2,45,5,4,12,17,8,6,4,44,29,16,5,50,41.6,58.5491246732178,118.75,96.5552518854706,10.7625743645214,33.0878567972085,0.04,0.0384072934108425,0.032514449537065,0.000192970300876362,0.01,0.0195013954179879,0.00138552793637384,4.04703162882919e-05,0.00326348333905874,0.00146501771133035
MS,MSR,Montserrat,2020-12-22,2020-06-13,100,5,125864.088823202,2,24845.7545240895,19,80,7,0,3186950.04648623,49,7,83,10,11,80,9,9,83,8,14,76,10,17,73,10,12,78,10,10,79,11,6,83,11,6,83,11,7,84,9,11,80,9,17,74,9,12,76,12,3,5,92,18,62,20,7,9,84,0,5,95,26,44,30,41,32,27,23,49,28,23,47,30,9,61,30,17,54,29,23,51,26,16,1,5,78,19,72,9,41,12,2,2,4,9,30,28,15,10,15,32,4,6,5,8,43,34,6,4,7,10,40,33,19,24,5,14,38,9,7,10,35,39,18,32,1,2,47,5,4,12,17,7,6,3,46,27,16,5,52,43.2,57.9079729686106,118.75,96.5552518854706,11.481261154075,35.5430543957048,0.05,0.042716424707947,0.0394935869678829,0.000213832585577952,0.02,0.0274394957835608,0.00779609161162823,9.6560475684309e-05,0.00334507042253521,0.00150158169494636
MS,MSR,Montserrat,2020-12-23,2020-06-20,100,4,122944.43372078,2,24845.7545240895,18,81,8,0,3141366.70227215,49,6,83,11,10,81,9,8,83,9,14,75,11,16,73,11,12,78,10,9,79,12,6,83,11,6,82,12,6,84,10,11,79,10,17,73,10,10,78,12,2,5,93,19,61,20,8,9,83,0,6,94,25,45,30,40,33,27,22,50,28,22,48,30,9,61,30,16,55,29,21,53,26,14,1,5,80,20,70,10,42,11,2,2,4,9,30,29,15,10,14,32,3,6,6,8,43,34,5,4,8,10,40,33,18,24,5,15,38,8,7,11,35,39,16,34,1,2,47,5,4,12,18,7,6,2,46,26,17,5,52,45.4861111111111,61.5681335141178,200,120.185042515466,11.0648423557406,35.5549928093802,0.04,0.0384072934108425,0.0391372435544866,0.000214444331382262,0.02,0.0274394957835608,0.00790921814575757,9.79560484208343e-05,0.00312989045383412,0.00144364450812458
MS,MSR,Montserrat,2020-12-27,2020-06-20,100,4,122944.43372078,2,24845.7545240895,18,81,8,0,3117310.00198382,49,6,83,11,10,81,9,8,83,9,14,75,11,16,73,11,12,78,10,9,79,12,6,83,11,6,82,12,6,84,10,11,79,10,17,73,10,10,78,12,2,5,93,19,61,20,8,9,83,0,6,94,25,44,31,41,32,27,23,49,28,23,47,30,9,61,30,17,54,29,22,52,26,14,1,6,79,19,71,10,43,11,2,2,4,8,30,28,15,10,15,32,3,6,7,8,42,34,5,4,8,11,39,33,19,23,5,15,38,9,6,11,35,39,17,33,1,2,47,5,4,13,17,7,6,2,46,27,17,4,52,45.4861111111111,61.5681335141178,200,120.185042515466,11.0053539559786,35.5634595105088,0.04,0.0384072934108425,0.0394392709235011,0.000216065261276875,0.02,0.0274394957835608,0.00797025464528006,9.87089518325096e-05,0.00312989045383412,0.00144364450812458
MS,MSR,Montserrat,2020-12-28,2020-06-24,100,4,122944.43372078,2,24845.7545240895,18,81,8,0,3106534.9942111,49,6,83,11,10,81,9,9,82,9,15,74,11,17,72,11,13,77,10,9,79,12,6,83,11,7,81,12,6,84,10,11,79,10,18,72,10,10,78,12,2,5,93,19,61,20,8,9,83,0,6,94,25,44,31,41,32,27,24,48,28,24,46,30,9,61,30,18,53,29,22,52,26,15,1,5,79,18,72,10,43,10,2,2,5,8,30,28,15,9,16,32,3,6,7,8,41,35,5,4,8,11,38,34,19,24,4,15,38,9,5,11,36,39,17,33,1,2,47,5,5,13,16,7,6,2,46,28,16,4,52,42.72,58.0542275233538,200,120.185042515466,11.1838191552647,35.5377471467361,0.04,0.0384072934108425,0.0395760659222837,0.000216799244006149,0.02,0.0274394957835608,0.00799789945079922,9.90499434137171e-05,0.00312989045383412,0.00144364450812458
MS,MSR,Montserrat,2020-12-29,2020-06-26,100,5,210520.667725667,3,112421.988528977,19,81,8,0,3150509.10361703,50,7,83,10,11,81,8,10,82,8,16,74,10,18,72,10,14,77,9,10,79,11,7,83,10,7,82,11,7,84,9,12,79,9,19,72,9,11,77,12,2,6,92,19,61,20,8,9,83,0,6,94,25,45,30,42,32,26,23,50,27,23,48,29,8,63,29,18,54,28,22,53,25,15,1,6,78,18,72,10,44,10,2,3,5,8,28,29,15,9,17,30,3,6,7,9,42,33,5,4,8,12,39,32,20,24,4,16,36,9,6,11,37,37,19,33,1,2,45,6,5,13,16,7,6,3,44,28,16,5,51,40.0887573964497,54.9251570056774,118.75,96.5552518854706,10.9410430839002,34.2662688590273,0.05,0.042716424707947,0.066821158359445,0.000275738344116697,0.03,0.0334344809563718,0.035683752952787,0.000204834320507108,0.0033037732568249,0.00148307437454019
MS,MSR,Montserrat,2020-12-30,2020-06-26,100,5,210520.667725667,3,112421.988528977,14,81,8,0,3134061.8729117,49,7,83,10,11,81,8,10,82,8,16,74,10,18,72,10,14,77,9,10,79,11,7,83,10,7,82,11,7,84,9,12,79,9,19,72,9,10,78,12,1,6,93,18,62,20,8,9,83,0,6,94,24,46,30,42,32,26,23,50,27,23,48,29,8,63,29,18,54,28,22,53,25,15,1,6,78,17,73,10,44,10,2,3,5,8,28,28,15,10,17,30,3,6,7,9,41,34,5,4,8,11,39,33,19,24,4,16,37,9,6,10,37,38,18,33,1,2,46,5,5,13,16,7,6,3,45,27,16,5,52,40.0887573964497,54.9251570056774,155.555555555556,157.527187541754,11.3622843545509,35.5236586801733,0.05,0.042716424707947,0.0671718288478084,0.00027713330492716,0.03,0.0334344809563718,0.0358710175764753,0.000205889275550503,0.00243435924187098,0.00127361886247538
