ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B1_1.1,B1_1.2,B1_1.NA,B1_2.1,B1_2.2,B1_2.NA,B1_3.1,B1_3.2,B1_3.NA,B1_4.1,B1_4.2,B1_4.NA,B1_5.1,B1_5.2,B1_5.NA,B1_6.1,B1_6.2,B1_6.NA,B1_7.1,B1_7.2,B1_7.NA,B1_8.1,B1_8.2,B1_8.NA,B1_9.1,B1_9.2,B1_9.NA,B1_10.1,B1_10.2,B1_10.NA,B1_11.1,B1_11.2,B1_11.NA,B1_12.1,B1_12.2,B1_12.NA,B3.1,B3.2,B5.1,B5.2,B5.NA,B6.1,B6.2,B6.NA,B7.1,B7.2,B7.NA,B8.1,B8.2,B8.3,B8.NA,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C1_m.1,C1_m.2,C1_m.NA,C2.1,C2.2,C2.3,C2.4,C2.NA,C3.1,C3.2,C3.NA,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C5.NA,C6.1,C6.2,C6.3,C6.4,C6.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D3.1,D3.2,D3.3,D3.4,D3.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,E3.1,E3.2,E3.3,E3.4,E3.NA,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E4.NA,E2.1,E2.2,E2.3,E2.NA,B2.mean,B2.sd,B4.mean,B4.sd,E5.mean,E5.sd,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
LC,LCA,Saint Lucia,2020-11-10,2020-05-07,100,2,74725.1243413602,1,5714.37835066305,108,85,10,4,2366816.41446206,69,2,91,7,7,85,8,7,86,7,15,79,6,10,81,9,14,79,7,12,80,8,6,87,7,3,90,7,9,85,6,11,82,7,21,73,6,25,75,9,10,81,21,67,12,10,9,81,4,6,1,89,25,63,12,54,36,10,22,62,16,31,55,14,12,73,15,14,74,12,34,55,11,20,7,0,5,68,16,84,0,44,14,10,1,6,8,17,47,13,9,15,16,4,5,15,10,46,20,3,3,18,14,41,21,23,23,9,22,23,10,11,20,38,21,30,35,1,3,31,14,18,14,9,4,7,2,32,25,23,21,31,17.6085663295657,39.3942541004882,108,181.279403745219,4.2578125,2.66244317697767,0.02,0.0274394957835608,0.0315719985228951,0.000222766822802797,0.01,0.0195013954179879,0.00241437329728924,6.25234747412978e-05,0.0178956089478045,0.00334473350576748
LC,LCA,Saint Lucia,2020-11-11,2020-05-08,100,2,74725.1243413602,1,5714.37835066305,111,86,10,4,2387583.51194493,69,2,91,7,7,85,8,7,86,7,16,79,5,10,81,9,14,79,7,12,80,8,6,87,7,2,90,8,9,85,6,10,82,8,20,73,7,25,75,10,9,81,21,67,12,10,9,81,4,6,1,89,25,64,11,54,36,10,23,62,15,32,55,13,13,73,14,14,74,12,34,55,11,20,7,0,5,68,15,85,0,43,14,10,1,6,8,18,47,12,9,15,17,4,5,15,10,46,20,4,3,17,14,41,21,23,23,9,22,23,9,12,20,38,21,31,34,1,3,31,14,18,14,9,4,7,2,32,25,22,22,31,17.7275431290898,39.3697537518717,91.7355371900827,157.79757644362,4.2822265625,2.64443842559125,0.02,0.0274394957835608,0.0312973866537087,0.000220860514122715,0.01,0.0195013954179879,0.00239337318341929,6.19803006403801e-05,0.0181788404847691,0.00335095792011735
LC,LCA,Saint Lucia,2020-11-18,2020-05-09,100,2,74725.1243413602,1,5714.37835066305,114,86,11,5,2391813.0721169,69,2,91,7,7,85,8,7,86,7,17,78,5,11,80,9,14,79,7,13,79,8,6,87,7,2,90,8,9,85,6,11,81,8,21,72,7,26,74,11,9,80,22,66,12,11,9,80,5,6,1,88,24,65,11,54,36,10,23,62,15,32,55,13,13,73,14,14,74,12,35,54,11,21,7,0,5,67,15,85,0,43,15,10,1,6,8,17,48,12,9,15,16,5,5,15,10,46,19,5,3,17,14,41,20,24,23,9,22,22,10,12,20,38,20,32,34,1,3,30,14,18,15,9,4,7,2,31,25,22,22,31,17.0634920634921,37.9931728934627,79.1666666666667,138.967149668073,4.2822265625,2.64443842559125,0.02,0.0274394957835608,0.0312420419523939,0.000220476253604998,0.01,0.0195013954179879,0.00238914086442612,6.18708290820932e-05,0.0186701604978709,0.00339508943452208
LC,LCA,Saint Lucia,2020-11-21,2020-05-09,100,2,74725.1243413602,1,5714.37835066305,114,86,12,5,2644599.09185037,69,2,91,7,7,85,8,7,86,7,17,78,5,11,80,9,14,79,7,12,80,8,6,87,7,2,90,8,9,85,6,10,82,8,20,73,7,26,74,11,9,80,22,66,12,12,8,80,5,6,1,88,24,65,11,53,37,10,23,62,15,31,56,13,13,73,14,14,74,12,34,55,11,20,7,0,5,68,15,85,0,42,15,10,1,6,9,17,49,11,9,15,16,5,5,15,10,46,19,5,3,16,14,42,20,23,23,10,22,22,10,12,20,38,20,31,35,1,3,30,14,17,15,9,5,7,2,31,24,23,22,31,17.6680547293278,39.3839400219084,79.1666666666667,138.967149668073,4.2333984375,2.66560251710638,0.02,0.0274394957835608,0.028255747561751,0.000199708964591184,0.01,0.0195013954179879,0.0021607730140544,5.59632630393707e-05,0.0186701604978709,0.00339508943452208
LC,LCA,Saint Lucia,2020-11-23,2020-05-10,100,2,74725.1243413602,1,5714.37835066305,114,86,12,5,2650945.71880069,69,2,91,7,7,85,8,6,87,7,17,78,5,10,81,9,13,80,7,12,80,8,6,87,7,2,90,8,9,85,6,9,83,8,19,74,7,26,74,11,9,80,22,66,12,12,8,80,5,6,1,88,24,65,11,53,37,10,23,62,15,31,56,13,13,73,14,14,74,12,34,55,11,20,7,0,5,68,15,85,0,43,15,10,1,6,8,17,50,11,9,14,16,5,5,14,10,47,19,5,3,16,14,42,20,22,24,10,22,22,10,12,19,39,20,32,34,1,3,30,13,17,15,9,6,7,2,31,24,24,21,31,18.5,40.8044115262063,79.1666666666667,138.967149668073,4.1357421875,2.52697634738742,0.02,0.0274394957835608,0.02818810049991,0.000199237776037529,0.01,0.0195013954179879,0.00215559990917063,5.58294261555469e-05,0.0186701604978709,0.00339508943452208
LC,LCA,Saint Lucia,2020-11-25,2020-05-10,100,2,74725.1243413602,1,5714.37835066305,114,86,12,5,2658406.49759573,69,2,90,8,7,84,9,6,86,8,17,77,6,10,80,10,13,79,8,11,80,9,6,86,8,2,89,9,9,84,7,9,82,9,18,74,8,26,74,11,9,80,23,65,12,12,9,79,5,6,1,88,24,64,12,53,37,10,23,61,16,31,55,14,13,72,15,14,73,13,35,54,11,21,7,0,5,67,16,84,0,43,15,10,1,6,8,17,50,11,9,14,16,5,5,14,11,46,19,5,3,17,14,41,20,22,25,10,21,22,10,12,18,40,20,32,34,1,3,30,13,17,14,10,6,7,2,31,25,23,21,31,19.3293885601578,42.3367019254403,79.1666666666667,138.967149668073,4.1357421875,2.52697634738742,0.02,0.0274394957835608,0.028108991009818,0.000198686704609246,0.01,0.0195013954179879,0.00214955024968196,5.56729104550312e-05,0.0186701604978709,0.00339508943452208
LC,LCA,Saint Lucia,2020-11-27,2020-05-11,100,2,74725.1243413602,1,5714.37835066305,114,86,12,5,2652515.36045612,68,2,90,8,7,84,9,6,86,8,17,77,6,10,80,10,13,79,8,11,80,9,6,86,8,2,89,9,9,84,7,9,82,9,18,74,8,26,74,11,9,80,23,65,12,12,9,79,5,6,1,88,24,64,12,52,38,10,23,61,16,31,55,14,13,72,15,14,73,13,35,54,11,21,7,0,5,67,16,84,0,43,14,10,1,6,8,18,49,11,9,15,16,5,5,14,11,46,19,5,3,17,14,41,20,22,25,10,21,22,10,12,18,40,20,32,33,1,4,30,13,17,14,10,6,6,3,31,25,23,20,32,19.3293885601578,42.3367019254403,79.1666666666667,138.967149668073,4.19249181153943,2.58671172751999,0.02,0.0274394957835608,0.0281714200246933,0.000199121584774717,0.01,0.0195013954179879,0.00215432432017299,5.57964244258567e-05,0.0186701604978709,0.00339508943452208
LC,LCA,Saint Lucia,2020-11-30,2020-05-11,100,2,74725.1243413602,1,5714.37835066305,114,86,12,5,2659441.2768614,68,2,90,8,7,84,9,6,86,8,17,77,6,10,80,10,13,79,8,11,80,9,6,86,8,2,89,9,9,84,7,9,82,9,18,74,8,26,74,11,9,80,23,65,12,12,9,79,5,6,1,88,25,63,12,53,37,10,24,61,15,32,55,13,13,73,14,15,72,13,36,53,11,22,7,0,5,66,17,83,0,43,14,10,1,6,8,18,50,11,8,15,16,5,5,14,12,45,19,5,3,16,15,41,20,23,24,10,21,22,11,11,18,40,20,32,33,1,4,30,13,17,14,10,6,6,3,31,25,23,20,32,19.3293885601578,42.3367019254403,79.1666666666667,138.967149668073,4.19249181153943,2.58671172751999,0.02,0.0274394957835608,0.0280980539000842,0.000198610513825472,0.01,0.0195013954179879,0.00214871386722515,5.5651271643989e-05,0.0186701604978709,0.00339508943452208
LC,LCA,Saint Lucia,2020-12-02,2020-05-11,100,2,74725.1243413602,1,5714.37835066305,114,86,12,5,2682391.65837056,68,2,90,8,7,84,9,6,86,8,17,77,6,10,80,10,13,79,8,11,80,9,6,86,8,2,89,9,9,84,7,9,82,9,19,73,8,26,74,11,9,80,23,65,12,12,9,79,5,6,1,88,25,64,11,54,36,10,25,61,14,32,55,13,13,74,13,15,72,13,37,52,11,23,7,0,5,65,17,83,0,44,14,9,1,6,8,18,50,11,8,15,16,5,5,14,12,45,19,5,3,16,15,41,20,23,23,10,22,22,11,10,18,41,20,32,33,1,4,30,13,16,14,10,6,6,4,31,24,24,20,32,19.3293885601578,42.3367019254403,79.1666666666667,138.967149668073,4.16729654824893,2.58880556119467,0.02,0.0274394957835608,0.0278576486428356,0.0001969355662551,0.01,0.0195013954179879,0.00213032960076169,5.51756309816999e-05,0.0186701604978709,0.00339508943452208
LC,LCA,Saint Lucia,2020-12-05,2020-05-11,100,2,74725.1243413602,1,5714.37835066305,114,86,12,5,2686223.16379565,69,2,90,8,7,84,9,6,86,8,17,77,6,10,80,10,13,79,8,11,80,9,6,86,8,2,89,9,9,84,7,9,82,9,19,73,8,26,74,11,9,80,23,66,11,12,9,79,5,6,1,88,25,63,12,54,36,10,24,61,15,32,54,14,13,73,14,14,72,14,37,52,11,23,7,0,5,65,17,83,0,44,13,9,1,6,9,18,50,11,8,15,16,5,5,13,12,46,19,5,3,16,15,41,20,23,23,10,22,22,11,10,18,41,20,32,33,1,4,30,13,16,14,10,6,6,5,30,24,24,20,32,19.3293885601578,42.3367019254403,79.1666666666667,138.967149668073,4.0869140625,2.53099871835977,0.02,0.0274394957835608,0.0278179137714579,0.000196658685344895,0.01,0.0195013954179879,0.00212729099639979,5.5097014881722e-05,0.0186701604978709,0.00339508943452208
LC,LCA,Saint Lucia,2020-12-07,2020-05-15,100,2,74725.1243413602,1,5714.37835066305,115,86,12,5,2679336.57022195,69,2,90,8,7,84,9,6,86,8,17,77,6,11,79,10,13,79,8,11,80,9,6,86,8,2,89,9,9,84,7,9,82,9,19,73,8,27,73,11,10,79,23,66,11,12,9,79,5,6,1,88,26,62,12,54,36,10,24,61,15,33,53,14,13,73,14,14,72,14,38,51,11,23,8,0,5,64,17,83,0,44,13,9,1,6,9,18,49,12,8,15,16,5,5,13,13,45,19,5,3,16,15,41,20,23,24,9,22,22,11,10,17,42,20,32,33,1,4,30,13,16,14,10,6,6,5,30,24,24,20,32,18.375,40.854455552137,68.0473372781065,124.147831084477,4.0869140625,2.53099871835977,0.02,0.0274394957835608,0.0278894130628651,0.000197156899073196,0.01,0.0195013954179879,0.00213275868891294,5.52384772394508e-05,0.0188339338355716,0.0034096631113943
LC,LCA,Saint Lucia,2020-12-10,2020-05-17,100,2,74725.1243413602,1,5714.37835066305,115,86,12,5,2672889.04995307,69,2,90,8,6,85,9,6,86,8,16,78,6,12,78,10,12,80,8,11,80,9,5,87,8,2,89,9,9,84,7,9,82,9,19,73,8,27,73,11,10,79,24,65,11,12,10,78,5,6,1,88,26,62,12,54,36,10,24,61,15,34,52,14,12,74,14,14,72,14,37,52,11,23,7,0,5,65,17,83,0,44,13,9,1,6,9,18,48,12,9,15,16,5,5,13,13,45,19,5,3,15,16,41,20,23,24,9,22,22,11,10,16,43,20,32,34,1,3,30,12,16,14,10,7,6,5,30,24,25,19,32,18.4375,40.8314527301109,68.0473372781065,124.147831084477,4.013671875,2.4889505011097,0.02,0.0274394957835608,0.0279566876682263,0.000197625640606046,0.01,0.0195013954179879,0.00213790331131155,5.5371580287266e-05,0.0188339338355716,0.0034096631113943
LC,LCA,Saint Lucia,2020-12-12,2020-05-18,100,2,74725.1243413602,1,5714.37835066305,114,86,12,5,2675043.6775611,69,2,90,8,6,85,9,6,86,8,16,78,6,12,78,10,11,81,8,11,80,9,5,87,8,2,89,9,9,84,7,9,82,9,19,73,8,26,74,11,9,80,24,66,10,12,10,78,5,6,1,88,26,62,12,55,35,10,24,61,15,34,52,14,12,74,14,14,72,14,36,53,11,22,7,0,5,66,17,83,0,44,13,9,1,6,9,18,48,12,9,15,16,5,5,13,14,44,19,5,3,15,17,40,20,23,24,9,22,22,11,10,15,44,20,31,35,1,3,30,12,16,14,10,7,6,5,30,24,25,19,32,18.4375,40.8314527301109,79.1666666666667,138.967149668073,4.013671875,2.4889505011097,0.02,0.0274394957835608,0.0279341698111968,0.000197468749213494,0.01,0.0195013954179879,0.002136181326158,5.53270287029586e-05,0.0186701604978709,0.00339508943452208
LC,LCA,Saint Lucia,2020-12-16,2020-05-19,100,2,74725.1243413602,1,5714.37835066305,116,86,12,5,2713362.84495866,68,2,90,8,6,85,9,6,86,8,16,78,6,12,78,10,11,81,8,11,80,9,5,87,8,2,89,9,9,84,7,9,82,9,18,74,8,27,73,11,10,79,25,66,9,12,11,77,5,6,1,88,25,63,12,55,35,10,24,61,15,35,51,14,11,75,14,14,72,14,37,52,11,23,7,0,5,65,18,82,0,44,13,9,1,6,9,18,48,11,9,16,16,4,5,14,14,44,19,5,4,15,17,39,20,24,24,9,21,22,11,10,15,44,20,30,35,1,3,31,11,16,14,10,7,6,5,31,24,24,19,33,19.197896120973,42.3858183284712,68.6390532544379,123.854177891896,4.11690602166793,2.49641083979905,0.02,0.0274394957835608,0.02753967258017,0.000194719518455363,0.01,0.0195013954179879,0.00210601334107607,5.45465033663612e-05,0.0189977071732722,0.0034241698336095
LC,LCA,Saint Lucia,2020-12-19,2020-05-22,100,2,74725.1243413602,1,5714.37835066305,116,86,13,5,2713165.47429129,67,2,90,8,6,85,9,6,86,8,16,78,6,11,79,10,11,81,8,10,81,9,5,87,8,2,89,9,8,85,7,9,82,9,17,75,8,27,73,11,10,79,26,65,9,13,11,76,5,7,1,87,25,63,12,56,34,10,25,60,15,35,51,14,12,74,14,15,71,14,37,52,11,23,7,0,5,65,17,83,0,44,13,9,1,6,9,18,48,10,10,16,16,4,5,14,14,44,19,5,4,14,17,40,20,23,24,9,22,22,11,10,15,44,20,30,34,1,3,32,11,15,14,10,7,6,5,32,23,24,19,34,20.0138504155125,44.0412812197852,68.6390532544379,123.854177891896,4.19875130072841,2.55439580761858,0.02,0.0274394957835608,0.0275416759683186,0.000194733482842634,0.01,0.0195013954179879,0.00210616654413816,5.45504671933295e-05,0.0189977071732722,0.0034241698336095
LC,LCA,Saint Lucia,2020-12-20,2020-05-26,100,2,74725.1243413602,1,5714.37835066305,116,86,13,5,2713414.88051677,66,2,90,8,6,85,9,6,86,8,16,78,6,11,79,10,11,81,8,11,80,9,5,87,8,3,88,9,8,85,7,9,82,9,18,74,8,27,73,11,10,79,26,65,9,13,11,76,5,7,1,87,25,63,12,56,34,10,25,60,15,36,50,14,12,74,14,16,70,14,37,52,11,23,7,0,5,65,17,83,0,45,12,9,1,6,9,18,48,10,10,16,16,4,5,14,14,44,19,5,4,15,16,40,20,24,23,9,22,22,11,9,16,44,20,29,35,1,3,32,11,15,15,9,7,6,5,32,23,24,19,34,19.2636423405654,42.3694874223819,68.6390532544379,123.854177891896,4.34443288241415,2.60545827599432,0.02,0.0274394957835608,0.0275391444477996,0.000194715837164364,0.01,0.0195013954179879,0.00210597295374703,5.45454584238033e-05,0.0189977071732722,0.0034241698336095
