,,,,,Ronda 1,,Ronda 2,,Ronda 3,,Ronda 1,,Ronda 2,,Ronda 3,
ES,ESCL,ESAV,157640,Provincia:Ávila,4.8,4,0,0,1.3,1.1,7566.72,6305.6,0,0,2049.32,1734.04
ES,ESCL,ESBU,356958,Provincia:Burgos,5.4,2.3,0.2,0.1,0.5,1.1,19275.732,8210.034,713.916,356.958,1784.79,3926.538
ES,ESCL,ESLE,460001,Provincia:León,4.8,4.2,0.8,0,0.8,0.4,22080.048,19320.042,3680.008,0,3680.008,1840.004
ES,ESCL,ESP,160980,Provincia:Palencia,6.8,3.4,1,0,0.4,0.5,10946.64,5473.32,1609.8,0,643.92,804.9
ES,ESCL,ESSA,330119,Provincia:Salamanca,4.9,3.3,0,0.3,0.6,2,16175.831,10893.927,0,990.357,1980.714,6602.38
ES,ESCL,ESSG,153129,Provincia:Segovia,6.3,2.8,0.5,0,0.4,0.7,9647.127,4287.612,765.645,0,612.516,1071.903
ES,ESCL,ESSO,88636,Provincia:Soria,8,5.7,0,0,1.9,0.8,7090.88,5052.252,0,0,1684.084,709.088
ES,ESCL,ESVA,519546,Provincia:Valladolid,4.1,3,0,0,1.2,1.4,21301.386,15586.38,0,0,6234.552,7273.644
ES,ESCL,ESZA,172539,Provincia:Zamora,2.7,1.1,0,0,0.6,0.6,4658.553,1897.929,0,0,1035.234,1035.234
ES,ESCM,ESAB,388167,Provincia:Albacete,5,3.1,0.7,0.4,1.1,1.1,19408.35,12033.177,2717.169,1552.668,4269.837,4269.837
ES,ESCM,ESCR,495761,Provincia:Ciudad Real,6.2,5,0.5,0,1.2,1.2,30737.182,24788.05,2478.805,0,5949.132,5949.132
ES,ESCM,ESCU,196329,Provincia:Cuenca,2.2,5,0,0,0.2,1.9,4319.238,9816.45,0,0,392.658,3730.251
ES,ESCM,ESGU,257762,Provincia:Guadalajara,3.6,5.9,0.7,0.5,1.8,1.7,9279.432,15207.958,1804.334,1288.81,4639.716,4381.954
ES,ESCM,ESTO,694844,Provincia:Toledo,6.7,4.9,0.8,1,1.8,0.8,46554.548,34047.356,5558.752,6948.44,12507.192,5558.752
ES,ESCN,ESGC,1120406,Provincia:Las Palmas,8.1,6.1,0.9,1,1.2,2.1,90752.886,68344.766,10083.654,11204.06,13444.872,23528.526
ES,ESCN,ESTF,1032983,Provincia:Santa Cruz de Tenerife,6.8,4.3,1.3,0.9,0.5,1.4,70242.844,44418.269,13428.779,9296.847,5164.915,14461.762
ES,ESCT,ESB,5664579,Provincia:Barcelona,5.7,5.4,0.5,0.1,1.1,1.5,322881.003,305887.266,28322.895,5664.579,62310.369,84968.685
ES,ESCT,ESGI,771044,Provincia:Girona,3.5,4.4,0.3,0,1.6,1.7,26986.54,33925.936,2313.132,0,12336.704,13107.748
ES,ESCT,ESL,434930,Provincia:Lleida,4,2.3,0.9,0,0.2,0.2,17397.2,10003.39,3914.37,0,869.86,869.86
ES,ESCT,EST,804664,Provincia:Tarragona,2.7,4.4,0.2,0,1.2,0.4,21725.928,35405.216,1609.328,0,9655.968,3218.656
ES,ESEX,ESBA,673559,Provincia:Badajoz,3.2,3.3,0,0,1.1,0.8,21553.888,22227.447,0,0,7409.149,5388.472
ES,ESEX,ESCC,394151,Provincia:Cáceres,4.3,4.4,0,0,0.4,0.4,16948.493,17342.644,0,0,1576.604,1576.604
ES,ESGA,ESC,1119596,Provincia:A Coruña,3.4,3.7,0.4,0,1.5,1.3,38066.264,41425.052,4478.384,0,16793.94,14554.748
ES,ESGA,ESLU,329587,Provincia:Lugo,2.4,2.3,0.2,0,0,1.6,7910.088,7580.501,659.174,0,0,5273.392
ES,ESGA,ESOR,307651,Provincia:Ourense,5.1,3.6,0,0.1,1.4,1.2,15690.201,11075.436,0,307.651,4307.114,3691.812
ES,ESGA,ESPO,942665,Provincia:Pontevedra,3.2,3.5,0.2,0,1.8,1.3,30165.28,32993.275,1885.33,0,16967.97,12254.645
ES,ESIB,ESPM,1149460,Provincia:Balears,2.2,1.4,0,0,0.7,0.3,25288.12,16092.44,0,0,8046.22,3448.38
ES,ESMC,ESMU,1493898,Provincia:Murcia,3.7,1.7,0.9,0.5,0.9,0,55274.226,25396.266,13445.082,7469.49,13445.082,0
ES,ESMD,ESM,6663394,Provincia:Madrid,4.2,4.1,1,0.8,1.1,0.9,279862.548,273199.154,66633.94,53307.152,73297.334,59970.546
ES,ESML,ESML,86487,Ciudad Autónoma:Melilla,4.4,2.8,0.2,0,1.5,2.5,3805.428,2421.636,172.974,0,1297.305,2162.175
ES,ESNC,ESNA,654214,Provincia:Navarra / Nafarroa,6.2,4.5,0.5,0.2,2.2,2.2,40561.268,29439.63,3271.07,1308.428,14392.708,14392.708
ES,ESPV,ESVI,331549,Provincia:Álava,3.4,4.8,0.5,0,1.6,2.5,11272.666,15914.352,1657.745,0,5304.784,8288.725
ES,ESPV,ESBI,1152651,Provincia:Bizkaia,5.7,2.7,0.2,0.2,1.6,1.3,65701.107,31121.577,2305.302,2305.302,18442.416,14984.463
ES,ESPV,ESSS,723576,Provincia:Gipuzkoa,1.6,3.2,0.1,0.7,0.4,0.9,11577.216,23154.432,723.576,5065.032,2894.304,6512.184
ES,ESRI,ESLO,316798,Provincia:La Rioja,4.7,2.7,0.2,0,1.4,0.8,14889.506,8553.546,633.596,0,4435.172,2534.384
ES,ESVC,ESA,1858683,Provincia:Alicante,4.4,2.1,0.3,0,1.6,0.9,81782.052,39032.343,5576.049,0,29738.928,16728.147
ES,ESVC,ESCS,579962,Provincia:Castellón,5.5,1.6,0.4,0,0.6,0.9,31897.91,9279.392,2319.848,0,3479.772,5219.658
ES,ESVC,ESV,2565124,Provincia:Valencia / València,4.5,3.4,0.3,0.2,1.6,1.3,115430.58,87214.216,7695.372,5130.248,41041.984,33346.612
,,,47026208,,,,,,,,2039416.308,1728384.012,222290.737,135961.263,530966.51,500669.998
,,,,,,,,,,,4.34%,3.68%,0.47%,0.29%,1.13%,1.06%
