ISO2,ISO_3,country,region,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cli_smooth_slope,p_cli_weight_smooth_slope,p_cliWHO_smooth_slope,p_cliWHO_weight_smooth_slope,p_cli_local_smooth_slope,p_cases_infected,p_cases_infected_smooth,p_cases_active
PL,POL,Poland,Lubelskie,2020-11-15,2020-11-11,133,19,5,0.0451127819548872,0.0352734643219424,0.0414835558323742,0.000148260423317392,0.037593984962406,0.0323266437036276,0.0335740918343438,0.000133928770854742,0.0154475238527942,0.00257606576304261,12,8,,,0.0395318168872251,0.0340344520033633,0.0396017809695336,0.000168915722035991,0.0356486997419922,0.0323855892994993,0.0359463821159775,0.000161733618387998,0.0140067044645022,0.00256224675110938,0.00076513392510229,0.00128350900464144,0.000493660241858716,0.000943297587595887,-1.27452612219151e-05,,,0.0395318168872251
PL,POL,Poland,Lubelskie,2020-11-16,2020-11-12,114,23,5,0.0614035087719298,0.0440688505430878,0.057274287806367,0.000173006934589947,0.0526315789473684,0.0409900376242963,0.0493428102789763,0.000161255633284121,0.0169014084507042,0.00292606690920773,10,6,,,0.0395136529808413,0.0340801391337882,0.0401218622609183,0.000171480170254621,0.0353331646034166,0.0322899645772642,0.0361596008805482,0.000163586633698406,0.0139104712042063,0.00255609290726943,0.000583728698677162,0.00112941533154056,0.000292992977191579,0.000784341988262026,-2.89551569609657e-05,,,0.0395136529808413
PL,POL,Poland,Lubelskie,2020-11-17,2020-11-13,119,26,5,0.0588235294117647,0.0422752009142892,0.0585662942689466,0.000176788395531846,0.0504201680672269,0.0393135711490441,0.0504558966603872,0.000164796712946673,0.0162612035851472,0.00280503844070969,10,6,,,0.039200550019345,0.0339706132462489,0.0402894867528626,0.00017367936179633,0.0347646640792754,0.0320503339809895,0.0360806336419531,0.000165138237530618,0.0137713162099784,0.00254411147536652,0.000360398804277336,0.000908475900424557,6.51267094162571e-05,0.000575606481747081,-5.35425104353643e-05,,,0.039200550019345
PL,POL,Poland,Lubelskie,2020-11-18,2020-11-15,110,42,4,0.0363636363636364,0.0349817870394518,0.0409522780375815,0.000164241235685851,0.0272727272727273,0.0304376822863091,0.0311253392680507,0.000143917600038452,0.0104915205518827,0.00239405904220969,9,6,,,0.0386117859043126,0.0337122739027668,0.0401065603226448,0.00017544074170761,0.0339782935057638,0.0316803721512948,0.0357247644017163,0.000166346565139867,0.0135866937976645,0.00252589111015708,0.000108330408910084,0.000635113485695246,-0.000174626105782131,0.000332219783192433,-8.53494846817906e-05,,,0.0386117859043126
PL,POL,Poland,Lubelskie,2020-11-19,2020-11-17,122,54,3,0.040983606557377,0.0351792258384126,0.0486678216146235,0.000202400868998716,0.0327868852459016,0.0315994369537229,0.0408433138802368,0.000186178956084024,0.0172566933130313,0.00287512191504737,8,6,,,0.0377889416497757,0.0333234779632601,0.0396021491591175,0.000176726299723055,0.0330264565538034,0.0312042171548391,0.0351285369380494,0.000167197661905556,0.013356651535717,0.00250138443058748,-0.000155294533088119,0.000328918963563313,-0.000408946583913042,7.25814116317898e-05,-0.000122694299606474,,,0.0377889416497757
PL,POL,Poland,Lubelskie,2020-11-20,2020-11-19,113,59,2,0.0442477876106195,0.0379164182893793,0.0637556684378921,0.00026303756524347,0.0353982300884956,0.0340701205655689,0.0535054311300979,0.000242282346193861,0.020160176746755,0.00323700627731774,11,7,,,0.0367918957264817,0.0328330516095033,0.0388298174885609,0.000177540082909896,0.031974519680968,0.0306546802124459,0.034346889703823,0.000167712065317828,0.0130835852886119,0.00247089445094237,-0.000411124305878114,1.26507577628149e-05,-0.000620205448308799,-0.000183461786565929,-0.000163583064023684,,,0.0367918957264817
PL,POL,Poland,Lubelskie,2020-11-21,2020-11-20,112,53,2,0.0267857142857143,0.0299016348251109,0.0287345990512602,0.000182759302538667,0.0267857142857143,0.0299016348251109,0.0287345990512602,0.000182759302538667,0.0103924517981676,0.00232429267394027,13,8,,,0.035691360867696,0.0322765843509579,0.0378609851531655,0.000177927784003172,0.030893477375606,0.0300694346788889,0.0334471079085601,0.000167944566848879,0.0127724537375036,0.00243510363491482,-0.000640076003254845,-0.000290132636061359,-0.000792537061064363,-0.000416545701236232,-0.000205708454499764,,,0.035691360867696
PL,POL,Poland,Lubelskie,2020-11-22,2020-11-21,104,51,2,0.0288461538461538,0.0321676545583471,0.0321422750171971,0.000204074041019546,0.0288461538461538,0.0321676545583471,0.0321422750171971,0.000204074041019546,0.00865610328638498,0.00219915927101148,10,6,,,0.0345619225038022,0.0316930061048567,0.0367778616666823,0.000177972860206256,0.0298541244350527,0.029487998628805,0.0325031132700258,0.000167981708471779,0.0124289733193319,0.00239484981101448,-0.000825288412839843,-0.000557333432372671,-0.00091317336139398,-0.000609414601753736,-0.000246916314145732,,,0.0345619225038022
PL,POL,Poland,Lubelskie,2020-11-23,2020-11-21,152,48,3,0.0328947368421053,0.0283547863087942,0.0331988202231702,0.000171298186510082,0.0263157894736842,0.0254474085583724,0.0285886897500292,0.000159338805737828,0.0113288426209431,0.00209555024128277,15,7,,,0.0334736659696109,0.03112000003716,0.0356636739784415,0.0001777835379735,0.0289196615798943,0.0289473041450767,0.0315872304111614,0.000167929837050403,0.0120596825360109,0.00235110409336921,-0.000954480674955687,-0.000770968795736849,-0.000974167083230175,-0.00074890053846528,-0.000285272278994582,,,0.0334736659696109
PL,POL,Poland,Lubelskie,2020-11-24,2020-11-22,150,51,3,0.0266666666666667,0.0257820606669192,0.0253410128111181,0.00015194464488015,0.02,0.0224042544896581,0.0206273159958819,0.000137417620036827,0.0113966240189227,0.00215716032417535,14,6,,,0.0324845646319084,0.0305900711732455,0.0345945085946675,0.000177483659424496,0.0281388076413527,0.0284777325410353,0.0307633837601029,0.000167905918517223,0.0116705399997711,0.00230481532285686,-0.0010212035454007,-0.000918675287996214,-0.000973247644068515,-0.000826896773602233,-0.000319358966315565,,,0.0324845646319084
PL,POL,Poland,Lubelskie,2020-11-25,2020-11-23,144,45,3,0.0277777777777778,0.0268409798716222,0.0269854163271568,0.000161667931484347,0.0208333333333333,0.0233278404639451,0.0219658430390941,0.00014623475258391,0.0116824980893111,0.0022005952134154,14,5,,,0.031634727715421,0.0301268239965284,0.0336311009168398,0.000177190785877822,0.027541082811254,0.0280994847588445,0.0300802273011865,0.000168016097616904,0.0112669831298464,0.00225685290374786,-0.00102570232239245,-0.000995174707046285,-0.000914228957091556,-0.000841384939477151,-0.000348278067645099,,,0.031634727715421
PL,POL,Poland,Lubelskie,2020-11-26,2020-11-24,133,37,3,0.0150375939849624,0.0206833687719074,0.0142516058341047,0.00011628764251851,0.0150375939849624,0.0206833687719074,0.0142516058341047,0.00011628764251851,0.00828500414250207,0.00193279254165765,11,5,,,0.0309422028894427,0.0297426415661139,0.032812815759661,0.000177002264748585,0.027132608137176,0.0278203487478257,0.0295653938955284,0.000168341166948008,0.0108537725193699,0.002207981544496,-0.000974948806173166,-0.00100283362148332,-0.000806985257298668,-0.000796915968049094,-0.000371635461540334,,,0.0309422028894427
PL,POL,Poland,Lubelskie,2020-11-27,2020-11-25,134,52,3,0.0149253731343284,0.020530184718213,0.0144937032100538,0.000117728631107062,0.00746268656716418,0.0145719178412448,0.00840842857942885,8.99469711629177e-05,0.0131902526268723,0.00236416027803563,14,7,,,0.0304042310575882,0.0294385846723775,0.0321558571043276,0.000176978002525591,0.0268971798894875,0.0276352442704803,0.0292241341928682,0.000168920292957685,0.0104350705459233,0.00215882069218331,-0.000881188301684633,-0.00095085467480631,-0.000666049581019756,-0.000703828952615327,-0.000389563865263386,,,0.0304042310575882
PL,POL,Poland,Lubelskie,2020-11-28,2020-11-27,105,53,2,0.0476190476190476,0.0407332576804628,0.0539679110001479,0.000262949161033462,0.0380952380952381,0.0366146447649092,0.0454749942822402,0.000242454937858129,0.0142267747901551,0.00276849062195486,12,7,,,0.0299966533691773,0.0292041035511275,0.0316516653596477,0.000177129750426905,0.0267964976305546,0.0275258178130789,0.0290377590866541,0.000169736627081796,0.0100149009654372,0.00210990717861772,-0.000760878189104153,-0.000854366051172435,-0.000509604467416359,-0.000577559030561948,-0.000402345392315793,,,0.0299966533691773
PL,POL,Poland,Lubelskie,2020-11-29,2020-11-28,123,70,2,0.024390243902439,0.027260993187646,0.0320654495292193,0.000199866654981226,0.024390243902439,0.027260993187646,0.0320654495292193,0.000199866654981226,0.00728935013590314,0.00185319976861996,10,6,,,0.0296812327951426,0.0290206442760727,0.0312718491237699,0.000177424342159682,0.0267769761728502,0.0274642537877132,0.0289677708087392,0.000170720315648339,0.00959739131163628,0.00206170884701783,-0.00063207219574471,-0.000731970809111945,-0.000357114234507357,-0.000436576600403707,-0.000410381870729099,,,0.0296812327951426
PL,POL,Poland,Lubelskie,2020-11-30,2020-11-29,118,48,2,0.0254237288135593,0.0284010651185517,0.0236932222326564,0.000166422812276449,0.0254237288135593,0.0284010651185517,0.0236932222326564,0.000166422812276449,0.0106585458698135,0.00226714611023231,11,8,,,0.0294097407382192,0.0288641891231042,0.0309715841435403,0.000177783684217844,0.026775400560739,0.0274165735100398,0.0289598250924125,0.000171751396714686,0.0091869831483623,0.00201466237208692,-0.000512470648948205,-0.000603820741854548,-0.00022723451343563,-0.000300593111281744,-0.000413926141901475,,,0.0294097407382192
PL,POL,Poland,Lubelskie,2020-12-01,2020-11-29,163,45,3,0.0245398773006135,0.0237517296994915,0.0242126210802794,0.00013704312240522,0.0245398773006135,0.0237517296994915,0.0242126210802794,0.00013704312240522,0.00868849460398756,0.00173954591946949,14,10,,,0.029133504668756,0.0287100208509943,0.0306976930217784,0.000178100630500345,0.026729037087085,0.0273479317375956,0.0289516921554824,0.000172676285798037,0.00878856237296655,0.00196919098484834,-0.000416870507777503,-0.000488901315843572,-0.000135340954028171,-0.000188089190950693,-0.000413070126146649,,,0.029133504668756
PL,POL,Poland,Lubelskie,2020-12-02,2020-11-30,143,50,3,0.041958041958042,0.0328609370606275,0.0373585476706487,0.000170684349219554,0.041958041958042,0.0328609370606275,0.0373585476706487,0.000170684349219554,0.0072992700729927,0.00169163834191881,11,8,,,0.0288069130216607,0.0285347619144539,0.030392982922598,0.000178241494000361,0.0265804279331118,0.0272255338062384,0.0288778499916441,0.000173312188003807,0.0084072826673955,0.00192570810717334,-0.000355881644630336,-0.000403305472843848,-9.20300340107143e-05,-0.000114590650647375,-0.000407748308662406,,,0.0288069130216607
