ISO2,ISO_3,country,region,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
AL,ALB,Albania,Durrës,2021-06-13,2021-05-27,2,18,104,3408451.36226213,38,46,4,2,27830.537707663,1,15512.9149597257,125,5112.23497176968,0,6,0.437386569872958,0.408098209262862,0.466674930483055,0.0322354590049054,0.0230713997964422,0.0413995182133686,0.0203223545900491,0.0130014505213782,0.0276432586587199,0.00969556831290335,0.0096678874131899,0.0097232492126168,0.00840925017519271,0.00367140380329063,0.0131470965470948,0.00386720225540494,0.00384966885025782,0.00388473566055207,0.0360470552429752,0.0346641561813381,0.0374299543046123,0,0,0
AL,ALB,Albania,Durrës,2021-06-14,2021-05-27,2,19,106,3463214.56442399,40,46,5,2,27830.537707663,1,15512.9149597257,125,5216.56629772416,1,7,0.439434129089302,0.410508886701585,0.468359371477018,0.0335664335664336,0.0242313400053278,0.0429015271275393,0.0202797202797203,0.0129740157888133,0.0275854247706273,0.00957228011311275,0.00954478173855665,0.00959977848766885,0.00909090909090909,0.00417163936144788,0.0140101788203703,0.00418712997971151,0.00416889375146711,0.00420536620795591,0.0358843041841414,0.0345069851149129,0.0372616232533698,0.0144927536231884,0,0.0426914422005333
AL,ALB,Albania,Durrës,2021-06-15,2021-05-29,9,18,103,3411672.91861056,39,47,5,2,27830.537707663,1,15512.9149597257,119,5164.40063474692,1,8,0.440207972270364,0.411567017402371,0.468848927138357,0.0356394129979036,0.0260340612880257,0.0452447647077814,0.0202655485674354,0.0129648965890277,0.027566200545843,0.009468380499451,0.00944101012767692,0.00949575087122508,0.00978336827393431,0.00468375100228639,0.0148829855455822,0.00451588228350801,0.00449693281001766,0.00453483175699836,0.0349263932055874,0.0335694306365389,0.0362833557746358,0.0273972602739726,0,0.0648434792857505
AL,ALB,Albania,Durrës,2021-06-16,2021-05-30,4,18,101,3355047.44175968,38,45,5,2,27830.537707663,1,15512.9149597257,106,5060.06930879244,1,8,0.441680960548885,0.413177711061067,0.470184210036703,0.0370111731843575,0.0272330921531839,0.0467892542155312,0.0195530726256983,0.0123818016426854,0.0267243436087113,0.00902162365099515,0.00899490987601087,0.00904833742597944,0.00977653631284916,0.00468046264645688,0.0148726099792414,0.00451280853760282,0.00449387193288109,0.00453174514232454,0.0335186137828249,0.0321902802036245,0.0348469473620253,0.038961038961039,0,0.0821814099587004
AL,ALB,Albania,Durrës,2021-06-17,2021-05-30,4,19,105,3523532.77877725,39,47,5,2,27830.537707663,1,15512.9149597257,112,5268.73196070141,1,9,0.441801189464741,0.413430639588102,0.47017173934138,0.0383810188415911,0.0284341873889789,0.0483278502942033,0.0188415910676902,0.0118019041006923,0.025881278034688,0.00859699067953316,0.00857088376419391,0.00862309759487241,0.00976971388695045,0.00467717890467745,0.0148622488692235,0.00452105404117997,0.00450208291532201,0.00454002516703792,0.0321191398433826,0.0308198118815674,0.0334184678051978,0.0487804878048781,0.00215701606035456,0.0954039595494015
AL,ALB,Albania,Durrës,2021-06-19,2021-05-30,3,20,108,3777600.85513531,40,49,6,2,27830.537707663,1,15512.9149597257,117,5425.22894963313,2,10,0.443133951137321,0.414874376900831,0.471393525373811,0.0403057678943711,0.0301440359105753,0.0504674998781669,0.0187630298818624,0.0117524146749876,0.0257736450887372,0.00830400600534802,0.00827841399488009,0.00832959801581596,0.00972897845726199,0.004657572807508,0.014800384107016,0.00449643025468525,0.00447756222114866,0.00451529828822184,0.0306658950268866,0.0293990802832945,0.0319327097704787,0.0689655172413793,0.0157194732392794,0.122211561243479
AL,ALB,Albania,Durrës,2021-06-20,2021-05-31,2,20,101,3749029.66593784,37,46,6,2,27830.537707663,1,15512.9149597257,117,5060.06930879244,2,10,0.444818871103623,0.416548488825463,0.473089253381782,0.0423905489923558,0.0319806521368668,0.0528004458478448,0.0187630298818624,0.0117524146749876,0.0257736450887372,0.00801221733935271,0.00798714656559491,0.0080372881131105,0.00972897845726199,0.004657572807508,0.014800384107016,0.0044709693851452,0.00445220795123329,0.00448973081905712,0.0293720188167052,0.0281322986154577,0.0306117390179526,0.0860215053763441,0.0290341996671038,0.143008811085584
AL,ALB,Albania,Durrës,2021-06-21,2021-05-31,4,21,105,3952084.85668532,40,47,6,2,27830.537707663,1,15512.9149597257,138,5268.73196070141,2,10,0.448101265822785,0.419786909040226,0.476415622605343,0.0437196391394865,0.0331624815772309,0.054276796701742,0.0187369882026371,0.0117360103043591,0.025737966100915,0.00768207307396353,0.00765765548153208,0.00770649066639497,0.00971547536433033,0.00465107391741143,0.0147798768112492,0.00442182626413301,0.00440327059048393,0.00444038193778209,0.0283274644635905,0.0271106683419651,0.0295442605852159,0.101010101010101,0.0416505916705228,0.160369610349679
AL,ALB,Albania,Durrës,2021-06-22,2021-06-01,2,21,100,3804974.8878834,37,46,6,2,27830.537707663,1,15512.9149597257,139,5007.9036458152,2,9,0.450465707027942,0.422089691759478,0.478841722296407,0.0458651841556637,0.0350567162701419,0.0566736520411854,0.019457956914524,0.012321224350638,0.02659468947841,0.00786559688338786,0.00784099659411187,0.00789019717266385,0.00972897845726199,0.004657572807508,0.014800384107016,0.00438433266511707,0.00436593398250623,0.00440273134772791,0.0273952919543059,0.0261976725416766,0.0285929113669353,0.115384615384615,0.0539826010401836,0.176786629729047
AL,ALB,Albania,Durrës,2021-06-23,2021-06-01,4,22,104,4081848.76762865,40,47,6,3,151609.260504462,1,15512.9149597257,141,5216.56629772416,2,9,0.452702702702703,0.424350263018065,0.481055142387341,0.0478170478170478,0.0368075754408688,0.0588265201932268,0.0200970200970201,0.012856457740876,0.0273375824531642,0.0102029676509601,0.0101752014093456,0.0102307338925746,0.0097020097020097,0.00464459313806969,0.0147594262659497,0.0043160533593964,0.00429794058719873,0.00433416613159408,0.0266842194760812,0.0255048265714022,0.0278636123807603,0.12962962962963,0.0662805364587365,0.192978722800523
