ISO2,ISO_3,country,region,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
EE,EST,Estonia,Harju,2021-07-05,2021-01-25,101,2,75,0.0297029702970297,0.0331085145091172,0.0738476031693973,0.000388187109048499,0,0,0,0,0.0115158106369466,0.00314226191310031,31,3,2,24,0.0232524358728187,0.0282200982446551,0.0658165380583202,0.000353856314757557,0,0,0,0,0.0116539396993836,0.0031654673643533,0.0769230769230769,0.113388526701678,0.0232524358728187
EE,EST,Estonia,Harju,2021-07-06,2021-01-26,100,1,75,0.03,0.0334344809563718,0.0745289985487614,0.000391624786118921,0,0,0,0,0.0111794624096011,0.00311264584712425,30,3,2,25,0.0226049191366467,0.0276281441221481,0.0646041344320971,0.000347978511426564,0,0,0,0,0.0116525982355475,0.00316378612971385,0.0740740740740741,0.1162071292565,0.0226049191366467
EE,EST,Estonia,Harju,2021-07-07,2021-01-29,100,1,75,0.02,0.0274394957835608,0.0683066443398045,0.000375859751336587,0,0,0,0,0.0119674110540817,0.00320255059264425,31,4,3,25,0.0219206166613263,0.0269870510306636,0.0632761474800395,0.000341468826862933,0,0,0,0,0.0116521496649625,0.00316221879931611,0.107142857142857,0.119074035622077,0.0219206166613263
EE,EST,Estonia,Harju,2021-07-09,2021-01-29,101,1,76,0.0198019801980198,0.0271705622473482,0.0664469638458794,0.000365991510632695,0,0,0,0,0.0118452946147544,0.00317006738993076,31,4,4,25,0.0204442779462054,0.0255526616719965,0.0602540556530918,0.000326423856867435,0,0,0,0,0.0116537167895434,0.00315940233963047,0.137931034482759,0.124945458345913,0.0204442779462054
EE,EST,Estonia,Harju,2021-07-11,2021-01-30,101,2,76,0.0198019801980198,0.0271705622473482,0.0658724739984666,0.000362938827557387,0,0,0,0,0.011398302365141,0.00311038287641145,31,4,4,27,0.0188330957383603,0.0239134501585936,0.0567253706545116,0.000308536939489682,0,0,0,0,0.011658064703023,0.00315693839844958,0.129032258064516,0.130970046519122,0.0188330957383603
EE,EST,Estonia,Harju,2021-07-13,2021-02-07,101,3,75,0.0198019801980198,0.0271705622473482,0.0659654651186247,0.000363433091522607,0,0,0,0,0.011398302365141,0.00311038287641145,33,4,5,28,0.0171061068857755,0.0220783607929169,0.0526950500720526,0.000287784940649547,0,0,0,0,0.0116642777440093,0.00315469671778676,0.151515151515152,0.137112130274084,0.0171061068857755
EE,EST,Estonia,Harju,2021-07-14,2021-02-08,100,1,75,0.02,0.0274394957835608,0.0663708371713274,0.000365587108044346,0,0,0,0,0.0115158106369466,0.00314226191310031,33,4,6,28,0.016208242479701,0.0210945666740363,0.0505042604311435,0.000276387498600966,0,0,0,0,0.0116676857345095,0.00315360369823551,0.176470588235294,0.140215006568717,0.016208242479701
EE,EST,Estonia,Harju,2021-07-20,2021-02-08,101,1,76,0.0198019801980198,0.0271705622473482,0.06616638306727,0.000364500828099138,0,0,0,0,0.0116217984899477,0.00314037375679441,33,4,6,29,0.0106921180006943,0.0146442478922978,0.0357249557028522,0.00019791947900834,0,0,0,0,0.0116789463505013,0.00314570734342918,0.171428571428571,0.158918320118814,0.0106921180006943
EE,EST,Estonia,Harju,2021-07-21,2021-02-12,100,1,76,0.01,0.0195013954179879,0.0529345049806022,0.000314550678619485,0,0,0,0,0.0119674110540817,0.00320255059264425,33,4,6,30,0.00981059947265002,0.0135515729695591,0.0331605025970568,0.000184078147435048,0,0,0,0,0.0116771831246704,0.00314391355145903,0.166666666666667,0.162010440660425,0.00981059947265002
EE,EST,Estonia,Harju,2021-07-22,2021-02-12,101,1,77,0.0099009900990099,0.0193092777830645,0.0526208209130479,0.000312738465081618,0,0,0,0,0.012068790739561,0.00319947205190042,33,4,6,31,0.00895643498237419,0.0124765736384264,0.0306221418027454,0.000170321284725543,0,0,0,0,0.0116737317527387,0.00314191003639007,0.162162162162162,0.16508754571168,0.00895643498237419
EE,EST,Estonia,Harju,2021-07-24,2021-02-13,100,1,77,0,0,0,0,0,0,0,0,0.0116217984899477,0.00314037375679441,32,4,6,32,0.00735119374175206,0.0104123332486351,0.0257064784542569,0.000143528589768275,0,0,0,0,0.0116612469371751,0.00313723811489608,0.157894736842105,0.171186756156718,0.00735119374175206
EE,EST,Estonia,Harju,2021-07-26,2021-02-14,100,1,77,0,0,0,0,0,0,0,0,0.0116217984899477,0.00314037375679441,31,4,6,33,0.00591123649876239,0.00850935316101408,0.0211271191106949,0.000118393907756097,0,0,0,0,0.0116404826520606,0.00313162881654459,0.153846153846154,0.177190229164533,0.00591123649876239
EE,EST,Estonia,Harju,2021-07-27,2021-02-22,100,2,76,0,0,0,0,0,0,0,0,0.0119468837623938,0.00316734955378431,31,4,6,35,0.00525987663338354,0.00763169949611581,0.0189997148663204,0.000106660811345302,0,0,0,0,0.0116268858477514,0.00312848180219967,0.146341463414634,0.180148519237895,0.00525987663338354
EE,EST,Estonia,Harju,2021-07-28,2021-02-23,100,1,76,0,0,0,0,0,0,0,0,0.0119468837623938,0.00316734955378431,31,4,7,35,0.00465676521930096,0.0068088791782873,0.0169960715909864,9.55766743931488e-05,0,0,0,0,0.0116110827530059,0.00312511227434621,0.166666666666667,0.183068508523659,0.00465676521930096
