ISO2,ISO_3,country,region,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,pos_RF_symp,pos_XGB,pos_XGB_symp,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_rf_symp,p_rf_symp_low,p_rf_symp_high,p_xgb,p_xgb_low,p_xgb_high,p_xgb_symp,p_xgb_symp_low,p_xgb_symp_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
GE,GEO,Georgia,Tbilisi,2021-12-31,2021-10-25,1,56,100,7644729.17122849,33,63,3,2,4,5,3,123885.062989328,3,123885.062989328,39,1401.1914893617,3,40,0.387573964497041,0.361604447908635,0.413543481085448,0.0284292821606254,0.0197452545059285,0.0371133098153224,0.0199004975124378,0.012603098499013,0.0271978965258626,0.0483297796730633,0.0371237520228961,0.0595358073232304,0.0575692963752665,0.0453984377897055,0.0697401549608276,0.0447761194029851,0.0339698235364368,0.0555824152695334,0.0222181946720335,0.0221891749159722,0.0222472144280948,0.0362473347547974,0.0264812187718978,0.046013450737697,0.0206537082458408,0.0206257064710507,0.0206817100206309,0.0184380895215229,0.0165666219066307,0.0203095571364151,0.071301247771836,0.0500074729849695,0.0925950225587025
GE,GEO,Georgia,Tbilisi,2022-03-10,2021-12-10,2,56,100,17110566.1955542,41,54,8,5,9,7,5,339652.850996827,5,339652.850996827,73,1464.47616227421,8,40,0.388888888888889,0.362884056180844,0.414893721596934,0.0326936744847193,0.0234015520542713,0.0419857969151672,0.0220326936744847,0.014362664626149,0.0297027227228204,0.0511727078891258,0.0396590366111934,0.0626863791670582,0.0589907604832978,0.0466798553806655,0.0713016655859301,0.0454868514570007,0.0345991817313949,0.0563745211826065,0.021939279103,0.0219118343731715,0.0219667238328286,0.0376687988628287,0.0277203765739944,0.047617221151663,0.0206406767315427,0.0206140389611328,0.0206673145019526,0.0211221855601345,0.0191235825265951,0.023120788593674,0.0821428571428571,0.0594009686466808,0.104884745639033
GE,GEO,Georgia,Tbilisi,2022-03-12,2021-12-11,2,56,101,17734660.8411915,43,53,8,5,9,7,5,339652.850996827,5,339652.850996827,73,1479.7311222979,8,39,0.391111111111111,0.365079544317033,0.417142677905189,0.0369318181818182,0.0270809246467979,0.0467827117168385,0.0241477272727273,0.0161295263694143,0.0321659281760402,0.0539772727272727,0.0421739843647695,0.065780561089776,0.0596590909090909,0.047287437510871,0.0720307443073108,0.0454545454545455,0.0345744243318614,0.0563346665772296,0.0213408317681804,0.0213150181770659,0.0213666453592949,0.0383522727272727,0.0283211320529368,0.0483834134016087,0.0202678118105486,0.0202426417569216,0.0202929818641756,0.0237614830300893,0.0216479432209644,0.0258750228392141,0.0931899641577061,0.0690701630184578,0.117309765296954
GE,GEO,Georgia,Tbilisi,2022-03-13,2021-12-13,2,55,100,17875432.4134639,42,53,8,5,9,7,5,339652.850996827,5,339652.850996827,73,1464.47616227421,8,39,0.393466963622866,0.367378670798512,0.41955525644722,0.0405405405405405,0.0302316123922464,0.0508494686888347,0.0263157894736842,0.0179487330806,0.0346828458667684,0.0568990042674253,0.0447906013087138,0.0690074072261369,0.0604551920341394,0.0479976895725614,0.0729126944957174,0.0455192034139403,0.0346239746131144,0.0564144322147661,0.020826362086732,0.020801952040621,0.020850772132843,0.0391180654338549,0.0289841067520367,0.0492520241156731,0.0199419384526504,0.0199180415494372,0.0199658353558636,0.0264426423614581,0.0242171979402384,0.0286680867826779,0.102702702702703,0.0774469267887173,0.127958478616688
GE,GEO,Georgia,Tbilisi,2022-03-14,2021-12-15,2,55,100,18212668.2568058,44,52,8,5,9,7,4,308969.664733722,4,308969.664733722,77,1479.7311222979,8,38,0.397921306607275,0.371782273466103,0.424060339748448,0.0440967283072546,0.0333651008217541,0.0548283557927552,0.0284495021337127,0.0197593885015722,0.0371396157658531,0.0597439544807966,0.0473552617767269,0.0721326471848663,0.0611664295874822,0.0486406057008159,0.0736922534741485,0.0448079658605974,0.0339941644171944,0.0556217673040004,0.0201610056569974,0.0201379409627237,0.0201840703512712,0.0391180654338549,0.0289841067520367,0.0492520241156731,0.0194364491867751,0.0194137943684584,0.0194591040050917,0.0292536458942183,0.0269200149918249,0.0315872767966117,0.112115732368897,0.0858192907345063,0.138412174003288
GE,GEO,Georgia,Tbilisi,2022-03-15,2021-12-16,2,55,100,18664493.0812396,45,51,7,5,9,7,4,308969.664733722,4,308969.664733722,77,1479.7311222979,7,37,0.403118040089087,0.376922664085931,0.429313416092243,0.0469416785206259,0.0358857689724264,0.0579975880688254,0.0305832147937411,0.0215830126098543,0.0395834169776279,0.0625889046941679,0.0499278713893969,0.0752499379989388,0.061877667140825,0.0492840022137855,0.0744713320678646,0.0440967283072546,0.0333651008217541,0.0548283557927552,0.0195036217996139,0.0194818181693598,0.019525425429868,0.0391180654338549,0.0289841067520367,0.0492520241156731,0.0189183627274357,0.018896882319443,0.0189398431354283,0.0320467603186911,0.0296116621255402,0.034481858511842,0.120218579234973,0.0930144325755587,0.147422725894387
GE,GEO,Georgia,Tbilisi,2022-03-16,2021-12-16,1,56,101,18737558.1427997,45,52,7,5,9,7,4,308969.664733722,4,308969.664733722,77,1494.98608232159,7,37,0.408314773570898,0.382066109617895,0.434563437523902,0.0497866287339972,0.0384176263102266,0.0611556311577677,0.0327169274537696,0.0234183078831541,0.042015547024385,0.0654338549075391,0.0525079276875489,0.0783597821275294,0.0625889046941679,0.0499278713893969,0.0752499379989388,0.0433854907539118,0.0327368011109104,0.0540341803969132,0.0189340413075455,0.0189133365463115,0.0189547460687794,0.0391180654338549,0.0289841067520367,0.0492520241156731,0.0184683437776348,0.0184478903737786,0.018488797181491,0.0348210172192446,0.0322904089836811,0.0373516254548081,0.128676470588235,0.100538813519305,0.156814127657166
GE,GEO,Georgia,Tbilisi,2022-03-17,2021-12-18,2,56,101,21715219.2131265,46,51,7,5,9,7,4,308969.664733722,4,308969.664733722,77,1494.98608232159,7,37,0.414253897550111,0.387948050025229,0.440559745074993,0.0526315789473684,0.0409597723601794,0.0643033855345574,0.034850640113798,0.025264184322209,0.044437095905387,0.0682788051209104,0.0550949817994393,0.0814626284423815,0.0633001422475107,0.0505722057223036,0.0760280787727178,0.042674253200569,0.032109283274744,0.053239223126394,0.0181561506102876,0.0181367092811531,0.0181755919394221,0.0391180654338549,0.0289841067520367,0.0492520241156731,0.0177996096194377,0.0177803566313363,0.0178188626075392,0.0375775508058154,0.0349566376073288,0.040198464004302,0.137037037037037,0.108032477844993,0.166041596229082
GE,GEO,Georgia,Tbilisi,2022-03-18,2021-12-19,1,56,100,22278464.5330614,46,50,7,5,9,7,4,308969.664733722,4,308969.664733722,77,1479.7311222979,7,36,0.420505200594354,0.394133628629368,0.446876772559339,0.0555160142348754,0.0435426452219816,0.0674893832477693,0.0370106761565836,0.0271391528601788,0.0468821994529885,0.0711743772241993,0.0577300566189036,0.084618697829495,0.0640569395017794,0.051253762906525,0.0768601160970337,0.0419928825622776,0.0315051370529946,0.0524806280715606,0.0174301256467972,0.0174118341979049,0.0174484170956895,0.0391459074733096,0.0290048829333588,0.0492869320132604,0.0171673131557471,0.0171491577028396,0.0171854686086546,0.0403468658452031,0.0376383063071135,0.0430554253832926,0.145522388059702,0.115669871575405,0.175374904543998
GE,GEO,Georgia,Tbilisi,2022-03-20,2021-12-22,2,56,101,22399173.623022,48,49,7,5,9,7,4,308969.664733722,4,308969.664733722,78,1494.98608232159,7,37,0.427616926503341,0.401196785678,0.454037067328682,0.058321479374111,0.0460719041580968,0.0705710545901251,0.0391180654338549,0.0289841067520367,0.0492520241156731,0.0739687055476529,0.0602885110573589,0.0876489000379469,0.0647226173541963,0.0518622408719279,0.0775829938364647,0.0412517780938834,0.0308566689669694,0.0516468872207973,0.0168020548030021,0.0167847612083593,0.0168193483976449,0.0391180654338549,0.0289841067520367,0.0492520241156731,0.0166193953287138,0.0166021943949329,0.0166365962624948,0.0430577714581156,0.0402700928494001,0.0458454500668312,0.153558052434457,0.122979822004184,0.18413628286473
