ISO2,ISO_3,country,region,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
NI,NIC,Nicaragua,Matagalpa,2021-05-31,2021-05-21,111,7,11,0.0900900900900901,0.0532628388008675,0.0907953592092923,0.000392386227371078,0.0630630630630631,0.0452198703137972,0.0671163355468524,0.000341726745386577,0.0508128512902444,0.00703915909082981,16,7,27,73,0.0749954500704665,0.0498137217025779,0.0731060426013206,0.000359182951292639,0.0489082007007565,0.0402353218207433,0.0487713157193644,0.000293811708925751,0.0468783314984759,0.0071075438192279,0.27,,0.0749954500704665
NI,NIC,Nicaragua,Matagalpa,2021-06-01,2021-05-23,100,9,10,0.08,0.0531724899927667,0.0847958830577594,0.000405192244686385,0.05,0.042716424707947,0.0579368055627341,0.000339806787601443,0.0485396447851545,0.00722433807466969,13,6,24,67,0.0744979049540935,0.0496710457833151,0.0729374893818384,0.000357804017845792,0.0479187752490147,0.0397725459174077,0.0479389587534489,0.000290045999441343,0.0469360020011732,0.00709510267708648,0.263736263736264,,0.0744979049540935
NI,NIC,Nicaragua,Matagalpa,2021-06-02,2021-05-23,105,5,11,0.0761904761904762,0.0507452040346687,0.0808468452726708,0.000387154573209106,0.0476190476190476,0.0407332576804628,0.0552386246362058,0.000324445239950939,0.0465084042385896,0.00690850251942724,13,6,25,69,0.0739348484551033,0.0495065164006582,0.0726998863506714,0.000356202288336601,0.0468409296021606,0.0392665703548087,0.0469917279040056,0.000285873381836871,0.0469607489716965,0.00708118197326247,0.265957446808511,,0.0739348484551033
NI,NIC,Nicaragua,Matagalpa,2021-06-03,2021-05-24,101,9,11,0.0792079207920792,0.0526686877686011,0.0866789089303195,0.000404530838596287,0.0594059405940594,0.0461002688546413,0.0667946011331511,0.000358957039828055,0.0509717241968319,0.00735695275836733,13,6,26,64,0.0733225051223848,0.049325318050457,0.072407078473569,0.000354404977333083,0.0456832753235648,0.0387209494243825,0.0459362293841526,0.000281311183264933,0.0469498554289085,0.00706564887279094,0.288888888888889,,0.0733225051223848
NI,NIC,Nicaragua,Matagalpa,2021-06-04,2021-05-25,102,11,11,0.0784313725490196,0.0521743147331624,0.0850141628253936,0.000396893445096812,0.0686274509803922,0.0490635147054161,0.0754487865744535,0.000375848408370063,0.0522024700303801,0.00740385053025247,14,7,26,64,0.0726779260592621,0.0491330302899285,0.0720742561590948,0.000352444089640244,0.0444554635480206,0.0381398667008357,0.0447809191906457,0.000276384149411529,0.0468999947671938,0.00704832803845721,0.288888888888889,,0.0726779260592621
NI,NIC,Nicaragua,Matagalpa,2021-06-05,2021-05-25,110,8,12,0.0727272727272727,0.0485293129267023,0.0750725833972476,0.000352379508551017,0.0636363636363636,0.0456169973867073,0.0666257848585192,0.000333476478834848,0.0545569561221571,0.00727948783514646,16,7,28,69,0.0720190399655106,0.0489355414939378,0.0717179330128725,0.000350356046683914,0.0431684428524323,0.037528208667551,0.0435364565782773,0.000271125370962394,0.0468084280744741,0.00702904616115879,0.288659793814433,,0.0720190399655106
NI,NIC,Nicaragua,Matagalpa,2021-06-06,2021-05-26,108,11,12,0.0648148148148148,0.0464325104010514,0.0657296122342915,0.000333704630208059,0.0462962962962963,0.0396292699929665,0.0486304941994899,0.000289650552031452,0.0531157729130479,0.0072544206044544,16,7,31,66,0.0713633049688248,0.0487385461520836,0.0713541807810891,0.000348176812394242,0.0418335136191743,0.0368909743718659,0.0422142307205462,0.000265569853805736,0.046672997552363,0.00700764771739316,0.319587628865979,,0.0713633049688248
NI,NIC,Nicaragua,Matagalpa,2021-06-07,2021-05-26,113,5,13,0.0619469026548673,0.0444459689401226,0.0631671256417249,0.000321134560416126,0.0442477876106195,0.0379164182893793,0.0467346213175399,0.000278635663377815,0.0533688773449004,0.00710803597321779,19,9,33,68,0.0707274453132237,0.0485475995966372,0.0709993631509269,0.00034594508063101,0.0404632572141485,0.0362339939029522,0.0408283273721345,0.000259764042289558,0.0464919726680564,0.00698398407377816,0.326732673267327,,0.0707274453132237
NI,NIC,Nicaragua,Matagalpa,2021-06-08,2021-05-27,106,7,13,0.0660377358490566,0.0472776531807017,0.06705548247168,0.000340194329688191,0.0471698113207547,0.040358496811933,0.0496114481819775,0.000295340881422968,0.0538404293214407,0.00736949848148271,19,9,30,65,0.0701272767540088,0.0483679675707444,0.0706689828691385,0.000343698931421145,0.0390705146342784,0.0355632537215068,0.0393936174652818,0.000253757814496471,0.0462644474179266,0.00695795843232962,0.315789473684211,,0.0701272767540088
NI,NIC,Nicaragua,Matagalpa,2021-06-09,2021-05-28,102,12,13,0.0588235294117647,0.0456624358497672,0.0583000951689588,0.000323685029212594,0.0392156862745098,0.0376695877073438,0.0403053237056924,0.000271693637157977,0.04980665621519,0.00727684985230128,16,9,26,63,0.0695765594326037,0.0482042066071967,0.0703768157707285,0.0003414737850713,0.0376683682302,0.0348849066699805,0.0379258998348213,0.000247605119266673,0.0459903397049862,0.00692950077191372,0.292134831460674,,0.0695765594326037
