ISO2,ISO_3,country,region,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
HR,HRV,Croatia,Medimurska,2021-02-02,2021-01-22,101,3,12,0.0198019801980198,0.0271705622473482,0.0380433494856648,0.000353827430980149,0.0198019801980198,0.0271705622473482,0.0380433494856648,0.000353827430980149,0.0236562196699242,0.00577197634598599,6,2,0,0,0.0154085862660886,,,0.0154085862660886
HR,HRV,Croatia,Medimurska,2021-02-03,2021-01-23,103,11,12,0.00970873786407767,0.018936178546626,0.0033955645909337,0.00010838307854574,0.00970873786407767,0.018936178546626,0.0033955645909337,0.00010838307854574,0.0174477421050361,0.00494442990376898,7,2,0,0,0.0146509095434073,,,0.0146509095434073
HR,HRV,Croatia,Medimurska,2021-02-04,2021-01-23,104,1,13,0.00961538461538462,0.0187549838461375,0.003339208684062,0.000106587267001423,0.00961538461538462,0.0187549838461375,0.003339208684062,0.000106587267001423,0.0174477421050361,0.00494442990376898,7,2,0,0,0.0139435075721899,,,0.0139435075721899
HR,HRV,Croatia,Medimurska,2021-02-05,2021-01-23,109,5,14,0.0091743119266055,0.0178986477811282,0.00317995390764299,0.000101511976858564,0.0091743119266055,0.0178986477811282,0.00317995390764299,0.000101511976858564,0.0168609614851687,0.00472952232024894,7,2,0,0,0.0132866179967533,,,0.0132866179967533
HR,HRV,Croatia,Medimurska,2021-02-06,2021-01-24,100,5,14,0,0,0,0,0,0,0,0,0.0175007747558113,0.00506833389239799,5,0,0,0,0.0126800203697122,,,0.0126800203697122
HR,HRV,Croatia,Medimurska,2021-02-07,2021-01-24,106,6,15,0,0,0,0,0,0,0,0,0.0170600145027019,0.00483550747774817,5,0,0,0,0.0121235025286153,,,0.0121235025286153
HR,HRV,Croatia,Medimurska,2021-02-08,2021-01-25,101,9,15,0,0,0,0,0,0,0,0,0.0176482908648641,0.00500075200146677,4,0,0,0,0.0116158775719722,,,0.0116158775719722
HR,HRV,Croatia,Medimurska,2021-02-09,2021-01-25,109,8,16,0,0,0,0,0,0,0,0,0.0165096914542277,0.00468083315519825,5,0,0,0,0.0111557283400077,,,0.0111557283400077
HR,HRV,Croatia,Medimurska,2021-02-10,2021-01-27,102,12,15,0.00980392156862745,0.0191209083686488,0.0192994554810121,0.000245273335391015,0.00980392156862745,0.0191209083686488,0.0192994554810121,0.000245273335391015,0.00750991100632514,0.00327892114983943,4,0,0,0,0.0107415166240076,,,0.0107415166240076
HR,HRV,Croatia,Medimurska,2021-02-11,2021-01-28,103,7,15,0.00970873786407767,0.018936178546626,0.0196034672519603,0.000249098348194583,0.00970873786407767,0.018936178546626,0.0196034672519603,0.000249098348194583,0.00725958063944763,0.0031700234814428,4,0,0,0,0.0103712413166837,,,0.0103712413166837
HR,HRV,Croatia,Medimurska,2021-02-12,2021-01-31,100,12,13,0.01,0.0195013954179879,0.0230796057229585,0.000292748747866936,0.01,0.0195013954179879,0.0230796057229585,0.000292748747866936,0.00660703406511526,0.00304213809604693,3,0,0,0,0.0100427785481589,,,0.0100427785481589
HR,HRV,Croatia,Medimurska,2021-02-13,2021-01-31,107,7,14,0.00934579439252336,0.0182316240644272,0.0216724659905413,0.000275098068503387,0.00934579439252336,0.0182316240644272,0.0216724659905413,0.000275098068503387,0.00660312919864652,0.00295925560758347,4,0,0,0,0.00975411274146764,,,0.00975411274146764
HR,HRV,Croatia,Medimurska,2021-02-14,2021-01-31,110,3,15,0.00909090909090909,0.0177366792474103,0.0201277208054237,0.000255691569068394,0.00909090909090909,0.0177366792474103,0.0201277208054237,0.000255691569068394,0.00639890870796673,0.0028680269943838,5,1,0,0,0.00950288092814537,,,0.00950288092814537
HR,HRV,Croatia,Medimurska,2021-02-15,2021-02-01,109,10,15,0.0091743119266055,0.0178986477811282,0.0199275223728384,0.000253174216695564,0.0091743119266055,0.0178986477811282,0.0199275223728384,0.000253174216695564,0.00370463135724389,0.00218519804146934,5,1,0,0,0.00928695722872037,,,0.00928695722872037
HR,HRV,Croatia,Medimurska,2021-02-16,2021-02-02,102,3,15,0.00980392156862745,0.0191209083686488,0.0204123682410884,0.00025926990814613,0.00980392156862745,0.0191209083686488,0.0204123682410884,0.00025926990814613,0.0025129317598088,0.00185923121943022,4,1,0,0,0.00910389031399893,,,0.00910389031399893
HR,HRV,Croatia,Medimurska,2021-02-17,2021-02-03,104,5,15,0.00961538461538462,0.0187549838461375,0.0209745433643777,0.000266333980364633,0.00961538461538462,0.0187549838461375,0.0209745433643777,0.000266333980364633,0.0024588902165871,0.00181929703299684,4,1,0,0,0.00895145820881827,,,0.00895145820881827
HR,HRV,Croatia,Medimurska,2021-02-18,2021-02-05,101,9,14,0.0099009900990099,0.0193092777830645,0.0221316445622302,0.000280860688224914,0.0099009900990099,0.0193092777830645,0.0221316445622302,0.000280860688224914,0.00254085322380667,0.001879863033158,3,1,0,0,0.00882744270681633,,,0.00882744270681633
HR,HRV,Croatia,Medimurska,2021-02-19,2021-02-06,103,7,14,0.00970873786407767,0.018936178546626,0.0216254634395654,0.000274508038576374,0.00970873786407767,0.018936178546626,0.0216254634395654,0.000274508038576374,0.00213052910070746,0.00170293003121852,4,1,0,0,0.00872967773427581,,,0.00872967773427581
HR,HRV,Croatia,Medimurska,2021-02-20,2021-02-07,102,4,14,0.00980392156862745,0.0191209083686488,0.0217939575435907,0.00027662303627846,0.00980392156862745,0.0191209083686488,0.0217939575435907,0.00027662303627846,0.00390597001796367,0.00230372599240017,4,1,0,0,0.0086564767297095,,,0.0086564767297095
HR,HRV,Croatia,Medimurska,2021-02-21,2021-02-08,103,7,14,0.00970873786407767,0.018936178546626,0.0207787101842469,0.00026387368503978,0.00970873786407767,0.018936178546626,0.0207787101842469,0.00026387368503978,0.00316143027846913,0.0020621623877883,4,1,0,0,0.00860617064356639,,,0.00860617064356639
