ISO2,ISO_3,country,region,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
BJ,BEN,Benin,Atlantique,2021-02-10,2021-01-22,101,7,20,0.0297029702970297,0.0331085145091172,0.0348402365232811,0.00010622641703276,0.0297029702970297,0.0331085145091172,0.0348402365232811,0.00010622641703276,0.010463368667011,0.00721257866686883,9,2,0,0,0.0449414363828309,,,0.0449414363828309
BJ,BEN,Benin,Atlantique,2021-02-11,2021-01-24,100,7,19,0.04,0.0384072934108425,0.0408904832880095,0.000112511393492351,0.03,0.0334344809563718,0.0335118879091446,0.000102246626360919,0.0162182214338671,0.00910143938166074,8,2,0,0,0.044569769341642,,,0.044569769341642
BJ,BEN,Benin,Atlantique,2021-02-12,2021-01-24,106,6,20,0.0377358490566038,0.0362759984499167,0.0398858867947601,0.000109804677069256,0.0283018867924528,0.0315695602813257,0.0326885685847294,9.97771047736154e-05,0.019005728242813,0.00952621134418885,9,3,0,0,0.0441787563457661,,,0.0441787563457661
BJ,BEN,Benin,Atlantique,2021-02-13,2021-01-25,102,4,20,0.0490196078431373,0.0419004514931721,0.0469465345344598,0.000122949688012712,0.0392156862745098,0.0376695877073438,0.0392231938929579,0.000112836540244594,0.0280699986355392,0.0118358193854124,10,4,0,0,0.0437732797607897,,,0.0437732797607897
BJ,BEN,Benin,Atlantique,2021-02-14,2021-01-26,102,5,20,0.0490196078431373,0.0419004514931721,0.0469458933620297,0.000122948050183993,0.0392156862745098,0.0376695877073438,0.0392226582020748,0.000112835030635368,0.0280699986355392,0.0118358193854124,11,4,0,0,0.0433580020241148,,,0.0433580020241148
BJ,BEN,Benin,Atlantique,2021-02-15,2021-01-27,103,8,20,0.0485436893203884,0.0415040324517794,0.0365706283214772,0.000108778792391825,0.0388349514563107,0.0373112541172863,0.0288933498421827,9.70734563393296e-05,0.0277648899547182,0.011709006590284,11,4,0,0,0.0429372332948719,,,0.0429372332948719
BJ,BEN,Benin,Atlantique,2021-02-16,2021-01-28,105,6,20,0.0476190476190476,0.0407332576804628,0.0352297694069861,0.000104863323421695,0.0380952380952381,0.0366146447649092,0.0278339776770441,9.35652595493213e-05,0.0268881039561481,0.0113443603444869,12,5,0,0,0.0425150210253483,,,0.0425150210253483
BJ,BEN,Benin,Atlantique,2021-02-17,2021-01-30,102,5,19,0.0392156862745098,0.0376695877073438,0.0223348340439619,8.49064655259218e-05,0.0294117647058824,0.032788840416564,0.0147877395840433,6.93537785848482e-05,0.0277648899547182,0.011709006590284,11,5,0,0,0.0420958144076161,,,0.0420958144076161
BJ,BEN,Benin,Atlantique,2021-02-18,2021-01-31,103,5,19,0.0388349514563107,0.0373112541172863,0.0219433065366575,8.34347649223863e-05,0.029126213592233,0.0324752782875229,0.0145285119217016,6.81469770706083e-05,0.0280699986355392,0.0118358193854124,12,5,0,0,0.0416838799175997,,,0.0416838799175997
BJ,BEN,Benin,Atlantique,2021-02-19,2021-02-02,101,10,18,0.0396039603960396,0.0380348662281565,0.0232827178249839,8.84669536667493e-05,0.0297029702970297,0.0331085145091172,0.0154153268981958,7.22741019632882e-05,0.0304091651885008,0.0125122524780175,12,5,0,0,0.0412838060895061,,,0.0412838060895061
BJ,BEN,Benin,Atlantique,2021-02-20,2021-02-04,103,8,17,0.0485436893203884,0.0415040324517794,0.0315512363783882,0.000101364651428,0.0388349514563107,0.0373112541172863,0.023864337582256,8.85054057370541e-05,0.0294066652372316,0.0121060142428022,14,6,0,0,0.0409001554858873,,,0.0409001554858873
BJ,BEN,Benin,Atlantique,2021-02-21,2021-02-04,108,5,18,0.0462962962962963,0.0396292699929665,0.0308650358184083,9.91952190513354e-05,0.037037037037037,0.0356171465392445,0.0233453176105471,8.66035368451721e-05,0.0281684898588218,0.0116036815987846,14,6,0,0,0.0405378510696138,,,0.0405378510696138
BJ,BEN,Benin,Atlantique,2021-02-22,2021-02-05,103,5,18,0.0485436893203884,0.0415040324517794,0.0339939185497409,0.000109074438043041,0.0388349514563107,0.0373112541172863,0.0257119035934329,9.52671675062344e-05,0.0270303690564452,0.0116851612812695,14,5,0,0,0.0402019027041443,,,0.0402019027041443
BJ,BEN,Benin,Atlantique,2021-02-23,2021-02-05,107,4,19,0.0467289719626168,0.0399905624684511,0.0333558306546583,0.000107062382219138,0.0373831775700935,0.035943555304845,0.0252292744896863,9.35020912680653e-05,0.0271741476152561,0.0114633598453763,14,5,0,0,0.0398974288766127,,,0.0398974288766127
BJ,BEN,Benin,Atlantique,2021-02-24,2021-02-08,100,8,17,0.05,0.042716424707947,0.0343050086457243,0.000110054890741409,0.04,0.0384072934108425,0.0259472021085216,9.6127380401894e-05,0.0317913999697963,0.0127843394625094,16,5,0,0,0.0396294287032383,,,0.0396294287032383
BJ,BEN,Benin,Atlantique,2021-02-25,2021-02-10,102,9,16,0.0392156862745098,0.0376695877073438,0.0292462530016188,0.000103260634089045,0.0294117647058824,0.032788840416564,0.0206608359009774,8.71737319741388e-05,0.0293605732854491,0.0123717728874096,17,5,0,0,0.039402965957313,,,0.039402965957313
BJ,BEN,Benin,Atlantique,2021-02-26,2021-02-11,104,9,16,0.0384615384615385,0.0369596693901953,0.0300910269121949,0.000106197065166692,0.0288461538461538,0.0321676545583471,0.0212576212443469,8.96644008402879e-05,0.0304091651885008,0.0125122524780175,17,5,0,0,0.0392226448037511,,,0.0392226448037511
BJ,BEN,Benin,Atlantique,2021-02-27,2021-02-12,100,3,16,0.03,0.0334344809563718,0.0227127347876872,9.57308111674007e-05,0.03,0.0334344809563718,0.0227127347876872,9.57308111674007e-05,0.0254588359717681,0.0116104880424998,18,5,0,0,0.0390926875501503,,,0.0390926875501503
