ISO2,ISO_3,country,region,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,p_cli_smooth,p_cases_active
AR,ARG,Argentina,Córdoba,2020-11-24,2020-11-24,278,278,1,0.00719424460431655,0.00993460115173277,0.00717571425591141,0.000126582151212557,0.00719424460431655,0.00993460115173277,0.00717571425591141,0.000126582151212557,0.0232474217482439,0.00228612148875851,32,14,0.0106858908172968,0.0106858908172968
AR,ARG,Argentina,Córdoba,2020-11-25,2020-11-25,240,240,1,0.0166666666666667,0.0161963526994503,0.0143051976364923,0.000167577174297861,0.00833333333333333,0.0115009762023089,0.00859548298790666,0.000130273861924652,0.014127734277049,0.00192493402801601,16,4,0.0105849243165381,0.0105849243165381
AR,ARG,Argentina,Córdoba,2020-11-26,2020-11-26,240,240,1,0.0125,0.0140561385341576,0.0167977647354268,0.000167885847873211,0.0125,0.0140561385341576,0.0167977647354268,0.000167885847873211,0.0145692259732068,0.00198464368714917,26,6,0.0104794392910962,0.0104794392910962
AR,ARG,Argentina,Córdoba,2020-11-27,2020-11-27,233,233,1,0.00858369098712446,0.0118450036056498,0.0117281457700262,0.000142780023672252,0.00429184549356223,0.00839379197738522,0.00486620582382634,9.22891259873271e-05,0.00969989102146604,0.0016343533600927,23,11,0.0103694487650709,0.0103694487650709
AR,ARG,Argentina,Córdoba,2020-11-28,2020-11-28,255,255,1,0.0117647058823529,0.0132342312209537,0.00900981921235363,0.000125243461305855,0.0117647058823529,0.0132342312209537,0.00900981921235363,0.000125243461305855,0.0159975814607761,0.00198304674068147,17,6,0.010254320850691,0.010254320850691
AR,ARG,Argentina,Córdoba,2020-11-29,2020-11-29,262,262,1,0.00763358778625954,0.0105389616909665,0.012615677892689,0.000146265930069368,0.00381679389312977,0.00746648862349365,0.00237896230138966,6.3844184944645e-05,0.0181305923222129,0.00207127625599306,22,8,0.0101345696466552,0.0101345696466552
AR,ARG,Argentina,Córdoba,2020-11-30,2020-11-30,274,274,1,0.0109489051094891,0.0123216117327566,0.0120172043612095,0.000142146132498828,0.0109489051094891,0.0123216117327566,0.0120172043612095,0.000142146132498828,0.0126647519897811,0.00170609793902743,24,5,0.0100105165280867,0.0100105165280867
AR,ARG,Argentina,Córdoba,2020-12-01,2020-12-01,271,271,1,0.025830258302583,0.0188862240792142,0.0229059107340007,0.000200390980740168,0.022140221402214,0.0175183305567031,0.0203289133125403,0.000189031170316903,0.0107446442647004,0.00156119835475123,22,10,0.00988274413618023,0.00988274413618023
AR,ARG,Argentina,Córdoba,2020-12-02,2020-12-02,271,271,1,0.003690036900369,0.00721898329412487,0.00341619779938948,8.09043117914202e-05,0,0,0,0,0.00957431011667659,0.00148572347782878,20,6,0.00975226881279712,0.00975226881279712
AR,ARG,Argentina,Córdoba,2020-12-03,2020-12-03,277,277,1,0.0036101083032491,0.00706289871710739,0.0022065773847289,6.36051913683458e-05,0.0036101083032491,0.00706289871710739,0.0022065773847289,6.36051913683458e-05,0.0092774078359891,0.00144906702522788,24,7,0.00961942229149441,0.00961942229149441
AR,ARG,Argentina,Córdoba,2020-12-04,2020-12-04,241,241,1,0,0,0,0,0,0,0,0,0.0180662342358764,0.00216773494781798,25,6,0.00948530054385121,0.00948530054385121
AR,ARG,Argentina,Córdoba,2020-12-05,2020-12-05,267,267,1,0.0112359550561798,0.0126428151960676,0.0122349512775674,0.00014476192943349,0.00749063670411985,0.0103423476885756,0.00883529409479063,0.000123228122854082,0.0143791490950945,0.00184090013329209,21,5,0.00935088896265742,0.00935088896265742
AR,ARG,Argentina,Córdoba,2020-12-06,2020-12-06,271,271,1,0.014760147601476,0.0143575316081468,0.0166507141091209,0.00017128417381322,0.014760147601476,0.0143575316081468,0.0166507141091209,0.00017128417381322,0.00911560302104599,0.0014472931811121,13,3,0.00921730056062708,0.00921730056062708
AR,ARG,Argentina,Córdoba,2020-12-07,2020-12-07,256,256,1,0.015625,0.0151921209425866,0.0118612233719931,0.000145815829115985,0.01171875,0.0131828415152392,0.00851505200406733,0.0001237564016267,0.0170941898673615,0.00204046724984949,15,5,0.00908530526263261,0.00908530526263261
AR,ARG,Argentina,Córdoba,2020-12-08,2020-12-08,255,255,1,0.00784313725490196,0.0108271232054475,0.00864636821216876,0.000124558112037307,0.00392156862745098,0.0076710476187666,0.00430618698044991,8.8094784756417e-05,0.0117910460965879,0.00168903619504655,18,5,0.00895596537597299,0.00895596537597299
AR,ARG,Argentina,Córdoba,2020-12-09,2020-12-09,249,249,1,0.0160642570281124,0.015615723416317,0.0115885189836949,0.000142911150824831,0.00803212851405622,0.0110869616382454,0.00692119863353337,0.000110704626216269,0.0128516135584477,0.00180611897245515,16,7,0.00883023274686588,0.00883023274686588
AR,ARG,Argentina,Córdoba,2020-12-10,2020-12-10,224,224,1,0.00446428571428571,0.00873028647892629,0.00553421823031931,9.8382298434021e-05,0.00446428571428571,0.00873028647892629,0.00553421823031931,9.8382298434021e-05,0.00716633739645625,0.00140658503264888,17,8,0.00870880761633843,0.00870880761633843
AR,ARG,Argentina,Córdoba,2020-12-11,2020-12-11,233,233,1,0.00429184549356223,0.00839379197738522,0.00509422096647948,9.24013029269277e-05,0.00429184549356223,0.00839379197738522,0.00509422096647948,9.24013029269277e-05,0.0114471582897109,0.0017580563277605,19,6,0.00859241944292545,0.00859241944292545
AR,ARG,Argentina,Córdoba,2020-12-12,2020-12-12,256,256,1,0,0,0,0,0,0,0,0,0.00908662626972081,0.00148773105900612,15,3,0.00848165713345086,0.00848165713345086
AR,ARG,Argentina,Córdoba,2020-12-13,2020-12-13,240,240,1,0.00416666666666667,0.00814948526650202,0.00634767978453542,0.000108853091297225,0.00416666666666667,0.00814948526650202,0.00634767978453542,0.000108853091297225,0.00785846106845141,0.00144965080877291,20,7,0.00837692629968958,0.00837692629968958
AR,ARG,Argentina,Córdoba,2020-12-14,2020-12-14,375,375,1,0.00266666666666667,0.00521959721256087,0.00317143420111929,7.65481246149314e-05,0,0,0,0,0.00922937391967851,0.00124250242840304,17,2,0.00827830044111303,0.00827830044111303
AR,ARG,Argentina,Córdoba,2020-12-15,2020-12-15,306,306,1,0.00980392156862745,0.0110394615937896,0.0154071355562783,0.000171744822610891,0.00980392156862745,0.0110394615937896,0.0154071355562783,0.000171744822610891,0.0117961964306733,0.00155307092727767,20,6,0.00818643932084705,0.00818643932084705
AR,ARG,Argentina,Córdoba,2020-12-16,2020-12-16,299,299,1,0.0100334448160535,0.0112966010476868,0.0114120738597508,0.000144320454382594,0.0100334448160535,0.0112966010476868,0.0114120738597508,0.000144320454382594,0.0100192465204169,0.00145230302420638,25,6,0.00810104696947775,0.00810104696947775
AR,ARG,Argentina,Córdoba,2020-12-17,2020-12-17,291,291,1,0.0171821305841924,0.0149305781924614,0.0164481740244992,0.000169747593391072,0.00687285223367698,0.00949232341528681,0.00512500717828702,9.52966538277904e-05,0.00777504833233523,0.00128750481054155,27,6,0.00802189245635182,0.00802189245635182
AR,ARG,Argentina,Córdoba,2020-12-18,2020-12-18,270,270,1,0.00740740740740741,0.0102278615284431,0.0053588666899898,9.96895142332254e-05,0.0037037037037037,0.00724567057281972,0.00228111098592142,6.51414018787721e-05,0.0144768988124133,0.00182586454622057,11,4,0.00794903180118582,0.00794903180118582
AR,ARG,Argentina,Córdoba,2020-12-19,2020-12-19,245,245,1,0.00408163265306122,0.00798351007400947,0.00682425803592069,0.000111699365658595,0,0,0,0,0.00903629078328356,0.00151740069872162,14,3,0.00788221881357829,0.00788221881357829
AR,ARG,Argentina,Córdoba,2020-12-20,2020-12-20,264,264,1,0.00378787878787879,0.00741003185478766,0.0106735906284307,0.000137298452221311,0.00378787878787879,0.00741003185478766,0.0106735906284307,0.000137298452221311,0.0152506126766153,0.00189502611734736,22,7,0.00782089089402768,0.00782089089402768
AR,ARG,Argentina,Córdoba,2020-12-21,2020-12-21,301,301,1,0.00664451827242525,0.00917801872956766,0.00907928794939795,0.000125875617017147,0.00664451827242525,0.00917801872956766,0.00907928794939795,0.000125875617017147,0.0130732923765482,0.00168580793003829,16,2,0.00776503508293993,0.00776503508293993
AR,ARG,Argentina,Córdoba,2020-12-22,2020-12-22,294,294,1,0.00680272108843537,0.00939579470368775,0.0159582865591557,0.000164543071700112,0.00340136054421769,0.00665519684765905,0.00538327331972493,9.60795169720368e-05,0.00829286391900525,0.00136312220609557,14,4,0.00771404825917585,0.00771404825917585
AR,ARG,Argentina,Córdoba,2020-12-23,2020-12-23,319,319,1,0.00626959247648903,0.00866177095436851,0.00549887873799462,9.37822511450629e-05,0,0,0,0,0.00897161663002983,0.00135865064964681,24,4,0.00766741049898949,0.00766741049898949
AR,ARG,Argentina,Córdoba,2020-12-24,2020-12-24,198,198,1,0.0151515151515152,0.0170148544618386,0.0163460409669999,0.000168968705108622,0.0101010101010101,0.0139281469162244,0.0115417995603065,0.000142329436705278,0.017942038875898,0.00244590973578016,22,1,0.00762444937656742,0.00762444937656742
AR,ARG,Argentina,Córdoba,2020-12-25,2020-12-25,225,225,1,0.00888888888888889,0.0122642711349567,0.0169442243253727,0.00017014784736202,0.00888888888888889,0.0122642711349567,0.0169442243253727,0.00017014784736202,0.0123725137406002,0.00192332551782083,15,0,0.00758512352368556,0.00758512352368556
AR,ARG,Argentina,Córdoba,2020-12-26,2020-12-26,323,323,1,0.00619195046439629,0.00855483862417612,0.0111033647512001,0.000138998761247586,0.00619195046439629,0.00855483862417612,0.0111033647512001,0.000138998761247586,0.00699894188908953,0.00121778343366715,17,2,0.00754868229630184,0.00754868229630184
AR,ARG,Argentina,Córdoba,2020-12-27,2020-12-27,364,364,1,0.010989010989011,0.0107096989160513,0.0110078803712324,0.000133432536758089,0.00824175824175824,0.00928774416064901,0.00856748154284023,0.000117861413438584,0.00594600372878403,0.00103512544290616,27,4,0.00751503528373437,0.00751503528373437
AR,ARG,Argentina,Córdoba,2020-12-28,2020-12-28,338,338,1,0,0,0,0,0,0,0,0,0.0109756869569079,0.00146931650237381,25,3,0.00748392784638243,0.00748392784638243
AR,ARG,Argentina,Córdoba,2020-12-29,2020-12-29,313,313,1,0.00958466453674121,0.0107937674985356,0.0084281807072006,0.000120209437792636,0.00638977635782748,0.00882727744881905,0.00575836763825551,9.94959093220395e-05,0.00951058966568475,0.0014104490487271,19,3,0.0074548731983787,0.0074548731983787
AR,ARG,Argentina,Córdoba,2020-12-30,2020-12-30,287,287,1,0.00348432055749129,0.00681723496020889,0.00575918611017748,9.60652935282036e-05,0.00348432055749129,0.00681723496020889,0.00575918611017748,9.60652935282036e-05,0.00579991997183515,0.00118819109414817,19,3,0.00742717169370729,0.00742717169370729
AR,ARG,Argentina,Córdoba,2020-12-31,2020-12-31,247,247,1,0.00809716599190283,0.0111763682047138,0.0106826792314048,0.000136532865149307,0,0,0,0,0.010122363490668,0.00165064149024037,14,4,0.00740103072248615,0.00740103072248615
AR,ARG,Argentina,Entre Ríos,2020-05-02,2020-05-01,165,83,2,0,0,0,0,0,0,0,0,0.00166845941615456,0.000792458765697932,0,0,0.00192743995551659,0.00192743995551659
AR,ARG,Argentina,Entre Ríos,2020-05-03,2020-05-03,212,212,1,0,0,0,0,0,0,0,0,0.00251390565812196,0.000856630476961809,0,0,0.00199820165012593,0.00199820165012593
AR,ARG,Argentina,Entre Ríos,2020-05-04,2020-05-04,222,222,1,0.00450450450450451,0.00880875976989955,0.00195563519439081,8.81839875826373e-05,0.00450450450450451,0.00880875976989955,0.00195563519439081,8.81839875826373e-05,0.00245008004354228,0.000822538480353049,0,0,0.00207134145867928,0.00207134145867928
AR,ARG,Argentina,Entre Ríos,2020-05-05,2020-05-05,217,217,1,0,0,0,0,0,0,0,0,0.000971815696215369,0.000528018567356042,0,0,0.00214678371063048,0.00214678371063048
AR,ARG,Argentina,Entre Ríos,2020-05-06,2020-05-06,203,203,1,0,0,0,0,0,0,0,0,0.00118793921738436,0.000600811961413503,0,0,0.00222408512235803,0.00222408512235803
AR,ARG,Argentina,Entre Ríos,2020-05-07,2020-05-07,210,210,1,0,0,0,0,0,0,0,0,0.000999848841298505,0.000543242250221819,0,0,0.00230305002825941,0.00230305002825941
AR,ARG,Argentina,Entre Ríos,2020-05-08,2020-05-08,230,230,1,0,0,0,0,0,0,0,0,0.000768442777591864,0.00045393780383034,0,0,0.00238334531864529,0.00238334531864529
AR,ARG,Argentina,Entre Ríos,2020-05-09,2020-05-09,215,215,1,0,0,0,0,0,0,0,0,0.000818480911946683,0.000483484438458068,0,0,0.00246458995076004,0.00246458995076004
AR,ARG,Argentina,Entre Ríos,2020-05-10,2020-05-10,223,223,1,0,0,0,0,0,0,0,0,0.00152013217500587,0.000649664971730222,0,0,0.00254635546860925,0.00254635546860925
AR,ARG,Argentina,Entre Ríos,2020-05-11,2020-05-11,191,191,1,0.00523560209424084,0.0102346934839247,0.00762052804820614,0.000184618893450691,0,0,0,0,0.000931076169674798,0.000549964535549312,1,0,0.00262816764832815,0.00262816764832815
AR,ARG,Argentina,Entre Ríos,2020-05-12,2020-05-12,168,168,1,0,0,0,0,0,0,0,0,0.000191587801925462,0.000265496830755065,0,0,0.00270960365840154,0.00270960365840154
AR,ARG,Argentina,Entre Ríos,2020-05-13,2020-05-13,174,174,1,0.00574712643678161,0.0112317459121736,0.0083990182054414,0.000192819188461583,0,0,0,0,0.000554829414824604,0.000443824661256159,0,0,0.00278995526393531,0.00278995526393531
AR,ARG,Argentina,Entre Ríos,2020-05-14,2020-05-14,201,201,1,0,0,0,0,0,0,0,0,0.000879866980342684,0.00051972980545489,0,0,0.0028687041556847,0.0028687041556847
AR,ARG,Argentina,Entre Ríos,2020-05-15,2020-05-15,198,198,1,0.0101010101010101,0.0139281469162244,0.0107047094456264,0.000208598377085372,0,0,0,0,0.000571342195027717,0.000423127516682097,0,0,0.0029452383535121,0.0029452383535121
AR,ARG,Argentina,Entre Ríos,2020-05-16,2020-05-16,225,225,1,0,0,0,0,0,0,0,0,0.00014347606691279,0.000198829764645724,0,0,0.00301900838069014,0.00301900838069014
AR,ARG,Argentina,Entre Ríos,2020-05-17,2020-05-17,226,226,1,0.00442477876106195,0.00865319899870604,0.00400581372184038,0.000127795848439291,0,0,0,0,0.000214253323135394,0.000242420030116093,0,0,0.0030892457091003,0.0030892457091003
AR,ARG,Argentina,Entre Ríos,2020-05-18,2020-05-18,204,204,1,0.00490196078431373,0.00958408945941471,0.00398957655621955,0.000130205508158449,0,0,0,0,0.000875489532679288,0.00051714521791087,0,0,0.00315537103910864,0.00315537103910864
