"date","ISO2","country","ISO3","population","count_14days","count_local_14days","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cliWHO_14days","p_cliWHO_14days_low","p_cliWHO_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high","p_cases_active"
2020-08-14,"PT","Portugal","PRT",10276617,22953,22827,0.00217836448394545,0.00157522175769737,0.00278150721019354,0.001437720559404,0.000947543273761978,0.00192789784504602,0.0155535224153705,0.0139527160701131,0.017154328760628,0.00278964582656586,0.0026956618837106,0.00288362976942111,0.001437720559404
2020-08-15,"PT","Portugal","PRT",10276617,22851,22723,0.00205680276574329,0.00146938818722946,0.00264421734425712,0.00140037635114437,0.000915519464036659,0.00188523323825208,0.0155354251455079,0.0139319689362519,0.0171388813547638,0.00278082468183264,0.00268677454382823,0.00287487481983705,0.00140037635114437
2020-08-16,"PT","Portugal","PRT",10276617,22706,22580,0.00220206112921695,0.00159236454641521,0.00281175771201869,0.0015854840130362,0.00106797948848504,0.00210298853758736,0.0155465515722716,0.0139374168638856,0.0171556862806577,0.0028544211775323,0.00275883689187291,0.00295000546319169,0.0015854840130362
2020-08-17,"PT","Portugal","PRT",10276617,22726,22601,0.00220012320689959,0.00159096259558349,0.00280928381821568,0.0015840887089677,0.00106703925260915,0.00210113816532626,0.0154448649124351,0.0138416244399415,0.0170481053849287,0.0027123528513098,0.00261921426502553,0.00280549143759408,0.0015840887089677
2020-08-18,"PT","Portugal","PRT",10276617,22720,22600,0.00215669014084507,0.00155347952095923,0.00275990076073091,0.00154049295774648,0.00103052955014444,0.00205045636534852,0.0150088028169014,0.0134277982366738,0.016589807397129,0.00264735348138253,0.00255533262397545,0.00273937433878962,0.00154049295774648
2020-08-19,"PT","Portugal","PRT",10276617,22812,22697,0.00206031913028231,0.00147190132891203,0.00264873693165258,0.00149044362616167,0.000989832728423524,0.00199105452389981,0.0149921094160968,0.0134151604603218,0.0165690583718718,0.00241740866759051,0.00232965295528082,0.00250516437990021,0.00149044362616167
2020-08-20,"PT","Portugal","PRT",10276617,22892,22781,0.00200943561069369,0.00142933077297065,0.00258954044841674,0.00157260178228202,0.00105929872704623,0.00208590483751781,0.0145028831032675,0.0129542052968284,0.0160515609097066,0.00244245245748485,0.00235440723341031,0.00253049768155938,0.00157260178228202
2020-08-21,"PT","Portugal","PRT",10276617,22960,22846,0.00200348432055749,0.00142509583882781,0.00258187280228718,0.00161149825783972,0.00109266613783856,0.00213033037784088,0.0143728222996516,0.0128332874921908,0.0159123571071124,0.00258333484743624,0.00249292125380843,0.00267374844106404,0.00161149825783972
2020-08-22,"PT","Portugal","PRT",10276617,22908,22798,0.00213899074559106,0.00154072521258828,0.00273725627859384,0.00178976776671905,0.00124241936583602,0.00233711616760208,0.0139252662825214,0.0124078275206887,0.0154427050443541,0.00257304927443155,0.00248272044494771,0.0026633781039154,0.00178976776671905
2020-08-23,"PT","Portugal","PRT",10276617,22794,22678,0.00219355970869527,0.00158621437287459,0.00280090504451595,0.00184259015530403,0.00128585107223751,0.00239932923837054,0.0141703957181714,0.0126360269986714,0.0157047644376715,0.00258583249995424,0.00249504088484845,0.00267662411506003,0.00184259015530403
