ISO2,ISO_3,country_agg,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
ID,IDN,Indonesia,2021-06-28,2021-06-28,2005,2005,1,0.0478802992518703,0.00934577037654138,0.0384996515222769,2.93014975726736e-05,0.0374064837905237,0.0083058830500104,0.0317643746979217,2.6708369707852e-05,0.0498978945029058,0.00215817579326901,492,32,184,1719,0.0534101206877575,0.0966894377299002,,0.0534101206877575
ID,IDN,Indonesia,2021-06-29,2021-06-29,2050,2050,1,0.0551219512195122,0.00987918985268947,0.0483166247634716,3.22753888228636e-05,0.0404878048780488,0.00853215085653101,0.0361509969041879,2.80958119620288e-05,0.041071071264744,0.00195546771191446,537,56,185,1766,0.0539729455757939,0.0948231676063557,,0.0539729455757939
ID,IDN,Indonesia,2021-06-30,2021-06-30,2032,2032,1,0.0570866141732284,0.0100876332062769,0.0595347207312604,3.62058051101345e-05,0.0403543307086614,0.00855631505452762,0.0424109165111538,3.08354355917171e-05,0.0562061664818051,0.00227293898491514,501,49,165,1761,0.0545329611954105,0.0856697819314642,,0.0545329611954105
ID,IDN,Indonesia,2021-07-01,2021-07-01,2018,2018,1,0.0594648166501487,0.0103182269325041,0.0543310404157404,3.46218225053173e-05,0.0441030723488603,0.00895833843053647,0.0420860283295075,3.06682202193701e-05,0.0559846662966812,0.00226118959246299,537,55,206,1735,0.055085229388861,0.106130860381247,,0.055085229388861
ID,IDN,Indonesia,2021-07-02,2021-07-02,2088,2088,1,0.053639846743295,0.00966395348656741,0.0541353848195042,3.39499537675722e-05,0.0421455938697318,0.0086180435307808,0.043730468219335,3.06807736526658e-05,0.0632946042000297,0.00235738928146291,572,48,175,1834,0.0556256349248954,0.0871080139372822,,0.0556256349248954
ID,IDN,Indonesia,2021-07-03,2021-07-03,2119,2119,1,0.0613496932515337,0.0102174077120445,0.0532367966677374,3.43545212730835e-05,0.047192071731949,0.00902858758495793,0.0407500248192022,3.02542990394668e-05,0.0645154805454432,0.00236333367756184,594,63,223,1813,0.0561502343431949,0.109528487229862,0.104330346951788,0.0561502343431949
ID,IDN,Indonesia,2021-07-04,2021-07-04,2165,2165,1,0.0554272517321016,0.00963825737251648,0.0509345884660079,3.35631488328015e-05,0.0392609699769053,0.00818092422978976,0.0377917484899651,2.91099363820093e-05,0.0612448305028912,0.00229328598389089,625,61,212,1858,0.056655586210754,0.102415458937198,0.106391695088297,0.056655586210754
ID,IDN,Indonesia,2021-07-05,2021-07-05,2275,2275,1,0.0575824175824176,0.00957247030682211,0.055136088715931,3.47439271020824e-05,0.0364835164835165,0.00770433769821925,0.0353742930994344,2.8118982261634e-05,0.0594313790347258,0.00220610528517505,617,59,241,1907,0.0571390339513029,0.11219739292365,0.108499050261409,0.0571390339513029
ID,IDN,Indonesia,2021-07-06,2021-07-06,2285,2285,1,0.0656455142231947,0.0101546124588373,0.0615523984288126,3.63565639522594e-05,0.04945295404814,0.00888971661074943,0.0440526646341169,3.10426223826549e-05,0.0672625184012503,0.00231600412610044,623,69,234,1956,0.0575979741112484,0.106849315068493,0.110646802559387,0.0575979741112484
ID,IDN,Indonesia,2021-07-07,2021-07-07,2208,2208,1,0.0615942028985507,0.0100279882671191,0.0663742538606549,3.7706758155827e-05,0.0421195652173913,0.00837811172571112,0.0492280244045782,3.27700685168294e-05,0.0562223518822736,0.00217702690078824,594,72,222,1886,0.0580306489629954,0.105313092979127,0.112828619380299,0.0580306489629954
ID,IDN,Indonesia,2021-07-08,2021-07-08,2285,2285,1,0.0577680525164114,0.00956594247547079,0.0521636270704323,3.33053633681291e-05,0.0415754923413567,0.00818469771888943,0.0387716766894882,2.89157306818229e-05,0.0670563305483353,0.00231846087894962,637,70,224,1973,0.0584353356567189,0.10195721438325,0.115037846562901,0.0584353356567189
ID,IDN,Indonesia,2021-07-09,2021-07-09,2136,2136,1,0.0589887640449438,0.00999147301463389,0.0575035175135627,3.51466587787464e-05,0.0444756554307116,0.00874237685358167,0.0443286365591522,3.10737339799769e-05,0.0708837041491863,0.00246099272702793,622,81,254,1798,0.0588101669145889,0.123781676413255,0.117267658477651,0.0588101669145889
ID,IDN,Indonesia,2021-07-10,2021-07-10,2162,2162,1,0.0656799259944496,0.0104420174228281,0.0602070872761583,3.6194754288496e-05,0.0494912118408881,0.00914244504621644,0.0466847654410718,3.21004853290551e-05,0.0618877583503165,0.0023045020838917,581,75,237,1812,0.0591538018247756,0.115666178623719,0.119511071323263,0.0591538018247756
ID,IDN,Indonesia,2021-07-11,2021-07-11,2262,2262,1,0.0570291777188329,0.0095565133980405,0.0661287889739341,3.78922063839013e-05,0.0424403183023873,0.00830757044851965,0.0475517711154926,3.24500338065616e-05,0.0659544258111726,0.00231754546784461,647,84,268,1880,0.0594651378611141,0.124767225325885,0.121760721780232,0.0594651378611141
ID,IDN,Indonesia,2021-07-12,2021-07-12,2181,2181,1,0.0678587803759743,0.010555143442523,0.0699382439057681,3.86954473291147e-05,0.0481430536451169,0.00898406564906021,0.0512661129707685,3.34606226481109e-05,0.0853379767017263,0.002656115638634,627,73,277,1807,0.0597428688119701,0.132917466410749,0.124009818190687,0.0597428688119701
ID,IDN,Indonesia,2021-07-13,2021-07-13,2170,2170,1,0.0594470046082949,0.00994889500873557,0.0694889762420987,3.85327073076411e-05,0.0456221198156682,0.00877942629085082,0.0561445957957883,3.48832964518912e-05,0.0721601712753056,0.00246114823191051,630,69,246,1845,0.0599862507019502,0.117647058823529,0.126251376169323,0.0599862507019502
ID,IDN,Indonesia,2021-07-14,2021-07-14,2261,2261,1,0.0597080937638213,0.00976665308826856,0.0549193238896295,3.48715725519473e-05,0.0420168067226891,0.00826967184422115,0.0406074438569785,3.02117232951142e-05,0.0694091188812348,0.00237470410068803,628,76,266,1906,0.0601941324288974,0.122467771639042,0.128478102926417,0.0601941324288974
ID,IDN,Indonesia,2021-07-15,2021-07-15,2126,2126,1,0.0653809971777987,0.0105077452312294,0.0727621828006528,4.00950047815523e-05,0.0456255879586077,0.00887013217561638,0.0462439920030402,3.2418143787068e-05,0.0722244971474351,0.00250307806205937,600,90,278,1750,0.0603653882082226,0.137080867850099,0.130683418833979,0.0603653882082226
ID,IDN,Indonesia,2021-07-16,2021-07-16,2076,2076,1,0.063102119460501,0.0104592975444489,0.0663228994448259,3.74584669694389e-05,0.0505780346820809,0.00942638186014107,0.056347594381281,3.47107189548404e-05,0.0784240917555888,0.00262162493315146,573,80,247,1730,0.0604987704673388,0.124936772888214,0.13286097661867,0.0604987704673388
ID,IDN,Indonesia,2021-07-17,2021-07-17,2019,2019,1,0.053987122337791,0.00985765342546382,0.0560828339280069,3.50139462972477e-05,0.0391282813273898,0.00845781191785514,0.039249406337899,2.95516014248524e-05,0.0813706720556966,0.00270089485683521,584,80,289,1642,0.0605935818825361,0.149663386846194,0.135004595939881,0.0605935818825361
ID,IDN,Indonesia,2021-07-18,2021-07-18,2233,2233,1,0.0680698611733094,0.0104465488751157,0.0682112177148897,3.83952884959058e-05,0.0532915360501567,0.00931624666122357,0.0543224496504929,3.45185470895889e-05,0.0768411624592798,0.00250421736978922,619,75,281,1862,0.0606486360410623,0.131124591693887,0.13710893347737,0.0606486360410623
ID,IDN,Indonesia,2021-07-19,2021-07-19,2093,2093,1,0.0602006688963211,0.0101901763760351,0.0618776364174192,3.64276243701523e-05,0.0410893454371715,0.0085038807291524,0.0395195475677611,2.94567273002984e-05,0.072157202268071,0.00252576602408596,587,82,269,1725,0.0606629358247006,0.134904714142427,0.139168474275282,0.0606629358247006
ID,IDN,Indonesia,2021-07-20,2021-07-20,1941,1941,1,0.0669757856774858,0.0111209192996481,0.0693304672373694,3.86650742055782e-05,0.0515198351365276,0.00983414669180771,0.0519086101406623,3.3767883263403e-05,0.0869560680128091,0.00284265748023864,582,92,317,1548,0.0606352454111523,0.169973190348526,0.141178677407301,0.0606352454111523
ID,IDN,Indonesia,2021-07-21,2021-07-21,2183,2183,1,0.0581768208886853,0.00981930846211031,0.0554661769541321,3.46553343314143e-05,0.0412276683463124,0.00834014029677372,0.0381333082839773,2.89972561253359e-05,0.0738388963255758,0.00248973403669872,611,87,339,1746,0.0605648414335248,0.162589928057554,0.1431357393691,0.0605648414335248
ID,IDN,Indonesia,2021-07-22,2021-07-22,2004,2004,1,0.0583832335329341,0.0102655068276521,0.0605796807360064,3.60613968712155e-05,0.0424151696606786,0.00882365391019807,0.0454909880961257,3.14993637927778e-05,0.0756665413609344,0.00261190982546541,534,93,286,1638,0.060450683588021,0.148648648648649,0.145036581275577,0.060450683588021
ID,IDN,Indonesia,2021-07-23,2021-07-23,2009,2009,1,0.0637132901941264,0.0106801553169191,0.0609057541503385,3.62793576600316e-05,0.04629168740667,0.00918792438871115,0.042608280967756,3.06385125117803e-05,0.0849373924799566,0.00276836937520541,572,72,306,1614,0.0602920695770616,0.159375,0.146878192830867,0.0602920695770616
ID,IDN,Indonesia,2021-07-24,2021-07-24,2102,2102,1,0.0680304471931494,0.0107642620086718,0.0661128281928872,3.77482739277763e-05,0.0509039010466223,0.00939641873983414,0.0483600635841415,3.25901820386597e-05,0.0780417715044263,0.00260404807597071,597,94,322,1674,0.0600881994774085,0.161322645290581,0.148658153149824,0.0600881994774085
ID,IDN,Indonesia,2021-07-25,2021-07-25,2020,2020,1,0.0678217821782178,0.0109649455764648,0.0661626727001014,3.7728213508364e-05,0.048019801980198,0.00932387722331589,0.040739133439737,3.0005326946768e-05,0.0926153715007388,0.00286599996816971,587,82,282,1647,0.0598380493949839,0.146189735614308,0.150375037204644,0.0598380493949839
ID,IDN,Indonesia,2021-07-26,2021-07-26,2000,2000,1,0.067,0.0109574958895819,0.0661625364666638,3.76671639486852e-05,0.0505,0.00959679608222396,0.051085221063254,3.33643329585205e-05,0.0754094092901594,0.00264270824848635,492,66,286,1608,0.0595415607345399,0.151003167898627,0.152028222739047,0.0595415607345399
ID,IDN,Indonesia,2021-07-27,2021-07-27,2112,2112,1,0.0653409090909091,0.0105395079942069,0.06358989280789,3.73368474279522e-05,0.0459280303030303,0.0089275154940241,0.0447797428100706,3.16448551233724e-05,0.0763785966115914,0.00256765408967701,610,73,281,1735,0.059198144344072,0.139384920634921,0.153617000037899,0.059198144344072
ID,IDN,Indonesia,2021-07-28,2021-07-28,1921,1921,1,0.0593440916189485,0.0105654632969616,0.0574952334942921,3.52582675778083e-05,0.0458094742321707,0.00934931112230204,0.0474535228528994,3.2201832588098e-05,0.0806187729118441,0.00276520126189238,518,75,265,1563,0.0588078155950327,0.144967177242888,0.15514155365724,0.0588078155950327
