ISO2,ISO_3,country,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
GP,GLP,Guadeloupe,2021-03-30,2021-02-14,3,40,100,1442342.47860798,0,0,1,0,0,0,0,7,753.888888888889,1,16,,,,0.00352858151023289,0.000441161844163691,0.00661600117630208,0.0091743119266055,0.00421012020842647,0.0141385036447845,0.0347624236289348,0.034683637604405,0.0348412096534647,0.0091743119266055,0.00421012020842647,0.0141385036447845,0.0347624236289348,0.034683637604405,0.0348412096534647,0.00545718280778328,0.00405658210770444,0.00685778350786212,0.0208333333333333,0.00276366580936476,0.0389030008573019
GP,GLP,Guadeloupe,2021-03-31,2021-02-15,3,40,100,1436045.77015613,0,0,1,0,0,0,0,7,762.083333333333,1,16,,,,0.00423728813559322,0.000854004621743638,0.0076205716494428,0.00847457627118644,0.00370008187539896,0.0132490706669739,0.0321362223940492,0.0320603113395099,0.0322121334485886,0.00847457627118644,0.00370008187539896,0.0132490706669739,0.0321362223940492,0.0320603113395099,0.0322121334485886,0.0058290459899193,0.00438234005417145,0.00727575192566716,0.025531914893617,0.00536499078515676,0.0456988390020773
GP,GLP,Guadeloupe,2021-04-28,2021-03-10,1,43,100,1419623.87499425,0,0,1,1,3933.8387483749,1,3933.8387483749,8,1016.75675675676,1,12,,,,0.00494350282485876,0.00129043506800492,0.0085965705817126,0.00847457627118644,0.00370008187539896,0.0132490706669739,0.0297094114355179,0.0296362557166779,0.0297825671543579,0.00847457627118644,0.00370008187539896,0.0132490706669739,0.0297094114355179,0.0296362557166779,0.0297825671543579,0.00614258993820862,0.00467628514666269,0.00760889472975454,0.0308370044052863,0.00834802919880023,0.0533259796117725
GP,GLP,Guadeloupe,2021-04-29,2021-03-11,2,43,101,1423572.41623998,0,0,1,1,3933.8387483749,1,3933.8387483749,8,1016.75675675676,1,12,,,,0.00564971751412429,0.00174580989694118,0.00955362513130741,0.00847457627118644,0.00370008187539896,0.0132490706669739,0.027303332211838,0.0272330018394802,0.0273736625841957,0.00847457627118644,0.00370008187539896,0.0132490706669739,0.027303332211838,0.0272330018394802,0.0273736625841957,0.00644565294462985,0.00496161647165546,0.00792968941760423,0.036697247706422,0.0117387758272841,0.06165571958556
GP,GLP,Guadeloupe,2021-05-01,2021-03-13,4,42,100,1466944.70543983,0,0,1,1,3933.8387483749,1,3933.8387483749,7,1006.05405405405,1,11,,,,0.00636492220650637,0.00221983765551511,0.0105100067574976,0.00848656294200849,0.0037053442723142,0.0132677816117028,0.0248530097757137,0.0247857557664989,0.0249202637849286,0.00848656294200849,0.0037053442723142,0.0132677816117028,0.0248530097757137,0.0247857557664989,0.0249202637849286,0.00666310404208698,0.00517008215949257,0.00815612592468138,0.0430622009569378,0.0155411563398092,0.0705832455740664
GP,GLP,Guadeloupe,2021-05-03,2021-03-14,3,42,102,1501879.33938613,0,0,1,1,3933.8387483749,1,3933.8387483749,7,1027.45945945946,1,11,,,,0.0070871722182849,0.00271017129693236,0.0114641731396374,0.00850460666194189,0.0037132659935965,0.0132959473302873,0.0223926951706396,0.0223287101191115,0.0224566802221676,0.00850460666194189,0.0037132659935965,0.0132959473302873,0.0223926951706396,0.0223287101191115,0.0224566802221676,0.00678770333502336,0.00529601380339134,0.00827939286665537,0.05,0.0197949264209661,0.0802050735790339
GP,GLP,Guadeloupe,2021-05-06,2021-03-16,2,42,100,1496276.44009172,0,0,1,1,3933.8387483749,1,3933.8387483749,5,1006.05405405405,1,10,,,,0.00779588944011339,0.00320689078088127,0.0123848880993455,0.00850460666194189,0.0037132659935965,0.0132959473302873,0.0198580393713007,0.0197977409222952,0.0199183378203061,0.00850460666194189,0.0037132659935965,0.0132959473302873,0.0198580393713007,0.0197977409222952,0.0199183378203061,0.0067278571673903,0.00525854529413991,0.00819716904064069,0.0567010309278351,0.024157296772833,0.0892447650828371
GP,GLP,Guadeloupe,2021-05-07,2021-03-18,5,41,103,1547049.42436435,0,0,1,1,3933.8387483749,1,3933.8387483749,5,1038.16216216216,1,9,,,,0.00848656294200849,0.0037053442723142,0.0132677816117028,0.00848656294200849,0.0037053442723142,0.0132677816117028,0.0172776461977915,0.0172214438039003,0.0173338485916827,0.00848656294200849,0.0037053442723142,0.0132677816117028,0.0172776461977915,0.0172214438039003,0.0173338485916827,0.00665290521046815,0.00520890442227931,0.00809690599865699,0.0641711229946524,0.0290478217481687,0.0992944242411362
GP,GLP,Guadeloupe,2021-05-08,2021-03-18,1,42,104,1558024.64980584,0,0,1,1,3933.8387483749,1,3933.8387483749,5,1048.86486486487,1,9,,,,0.00918079096045198,0.00421310969913662,0.0141484722217673,0.00847457627118644,0.00370008187539896,0.0132490706669739,0.0147563168390712,0.0147043503272086,0.0148082833509337,0.00847457627118644,0.00370008187539896,0.0132490706669739,0.0147563168390712,0.0147043503272086,0.0148082833509337,0.00658437841391617,0.00516394316896827,0.00800481365886407,0.0718232044198895,0.0342085959395021,0.109437812900277
GP,GLP,Guadeloupe,2021-05-10,2021-03-18,1,43,105,1566004.18925026,0,0,1,1,3933.8387483749,1,3933.8387483749,6,1059.56756756757,1,9,,,,0.00985915492957747,0.00472023024666716,0.0149980796124878,0.00845070422535211,0.0036896017962452,0.013211806654459,0.0122182528555066,0.0121709889825703,0.0122655167284428,0.00845070422535211,0.0036896017962452,0.013211806654459,0.0122182528555066,0.0121709889825703,0.0122655167284428,0.00658761349912035,0.00518350281434204,0.00799172418389866,0.0795454545454545,0.0395693369100746,0.119521572180835
GP,GLP,Guadeloupe,2021-05-12,2021-03-20,2,43,100,1542271.26465852,0,0,1,1,3933.8387483749,1,3933.8387483749,6,995.351351351352,1,8,,,,0.00985915492957747,0.00472023024666716,0.0149980796124878,0.00845070422535211,0.0036896017962452,0.013211806654459,0.0096908979332596,0.00964884120682155,0.00973295465969764,0.00845070422535211,0.0036896017962452,0.013211806654459,0.0096908979332596,0.00964884120682155,0.00973295465969764,0.00661911885955989,0.00522481655950741,0.00801342115961237,0.0828402366863906,0.0412828814194314,0.12439759195335
