"date","ISO2","country","ISO3","population","cli","count","cli_local","count_local","cli_7days","count_7days","cli_local_7days","count_local_7days","cli_14days","count_14days","cli_local_14days","count_local_14days","p_cli","p_cli_low","p_cli_high","p_cli_7days","p_cli_7days_low","p_cli_7days_high","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cli_local","p_cli_local_low","p_cli_local_high","p_cli_local_7days","p_cli_local_7days_low","p_cli_local_7days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-10-13,"SA","Saudi Arabia","SAU",34268529,3,224,203,224,31,1482,1595,1480,56,3062,3191,3056,0.0133928571428571,0,0.0284461956472837,0.0209176788124157,0.0136316591537752,0.0282036984710561,0.0182887001959504,0.0135426884021016,0.0230347119897992,0.0170990566037736,0.0147670643794741,0.0194310488280731,0.0203340132585416,0.019346302317181,0.0213217241999021,0.0197014225032105,0.0190246207737074,0.0203782242327137
2020-10-14,"SA","Saudi Arabia","SAU",34268529,5,224,119,224,30,1448,1589,1446,60,3063,2971,3058,0.0223214285714286,0.0029757876220514,0.0416670695208057,0.0207182320441989,0.0133816464112325,0.0280548176771653,0.019588638589618,0.0146809060446447,0.0244963711345914,0.0100235849056604,0.00823170001326993,0.0118154697980508,0.0207338396095932,0.019725013646504,0.0217426655726823,0.0183311326924738,0.0176780493974669,0.0189842159874807
2020-10-15,"SA","Saudi Arabia","SAU",34268529,4,157,89,157,27,1413,1270,1411,58,3025,2885,3020,0.0254777070063694,0.000830124816981779,0.0501252891957571,0.0191082802547771,0.0119699219138756,0.0262466385956785,0.0191735537190083,0.014286661142619,0.0240604462953975,0.0106958298281457,0.00848562515816296,0.0129060344981283,0.016982469277777,0.0160564336418976,0.0179085049136565,0.018024490815944,0.0173727295971413,0.0186762520347468
2020-10-16,"SA","Saudi Arabia","SAU",34268529,6,238,224,237,29,1462,1378,1459,60,3028,2835,3023,0.0252100840336134,0.00529407690406051,0.0451260911631664,0.0198358413132695,0.012688424223435,0.026983258403104,0.0198150594451783,0.0148511727675502,0.0247789461228065,0.0178329750816018,0.0155185636852977,0.0201473864779059,0.0178204249485949,0.0168879503983642,0.0187528994988257,0.0176945306112259,0.017048974663266,0.0183400865591858
2020-10-17,"SA","Saudi Arabia","SAU",34268529,1,200,72,198,26,1433,1224,1428,56,2994,2776,2988,0.005,0,0.0147752896716551,0.0181437543614794,0.011233205721168,0.0250543030017909,0.0187040748162993,0.0138512981332969,0.0235568514993016,0.00686106346483705,0.00528171383171219,0.00844041309796191,0.0161725067385445,0.0152738492445117,0.0170711642325773,0.0175292364426258,0.0168828962298134,0.0181755766554383
2020-10-18,"SA","Saudi Arabia","SAU",34268529,3,192,172,192,26,1448,1232,1444,54,2951,2618,2945,0.015625,0,0.0331673502315274,0.0179558011049724,0.0111161850920643,0.0247954171178805,0.0182988817350051,0.0134631143225338,0.0231346491474764,0.0169025157232704,0.014397943795399,0.0194070876511419,0.0160978414258088,0.0152062080046933,0.0169894748469243,0.0167729121952782,0.0161358253161852,0.0174099990743712
2020-10-19,"SA","Saudi Arabia","SAU",34268529,3,192,118,192,25,1427,997,1424,57,2895,2603,2890,0.015625,0,0.0331673502315274,0.0175192711983181,0.0107122650558735,0.0243262773407628,0.0196891191709845,0.014628322809605,0.0247499155323639,0.0115959119496855,0.00951583566358614,0.0136759882357849,0.0132101971592114,0.0123956389258803,0.0140247553925424,0.0169941894626885,0.0163469134614241,0.0176414654639529
2020-10-20,"SA","Saudi Arabia","SAU",34268529,4,205,143,203,26,1408,937,1403,57,2890,2532,2883,0.0195121951219512,0.000578066465055281,0.0384463237788472,0.0184659090909091,0.0114338128746594,0.0254980053071588,0.0197231833910035,0.0146537194067155,0.0247926473752914,0.0132911980667348,0.0111272905106629,0.0154551056228068,0.0126010301375758,0.0117992954376467,0.0134027648375049,0.0165707890758447,0.0159307139036392,0.0172108642480503
2020-10-21,"SA","Saudi Arabia","SAU",34268529,1,205,90,205,22,1389,908,1384,52,2837,2497,2830,0.0048780487804878,0,0.01441550117346,0.0158387329013679,0.00927289252774317,0.0224045732749926,0.0183292210081072,0.013393241376587,0.0232652006396273,0.00828347906120571,0.00657922872176062,0.0099877294006508,0.0123786672483368,0.011578511947558,0.0131788225491156,0.0166477765184346,0.0160002618529829,0.0172952911838862
2020-10-22,"SA","Saudi Arabia","SAU",34268529,6,208,188,207,24,1440,1007,1434,51,2853,2277,2845,0.0288461538461538,0.00610018717308028,0.0515921205192274,0.0166666666666667,0.0100545333653663,0.023278799967967,0.017875920084122,0.0130139241977732,0.0227379159704707,0.0171360860450278,0.0147076453855571,0.0195645267044985,0.0132496513249651,0.0124367432275001,0.0140625594224301,0.0151009715820539,0.0144854159340573,0.0157165272300505
2020-10-23,"SA","Saudi Arabia","SAU",34268529,1,208,211,207,19,1410,994,1404,48,2872,2372,2863,0.00480769230769231,0,0.0142079175778743,0.0134751773049645,0.00745707193427925,0.0194932826756498,0.0167130919220056,0.0120246946719271,0.0214014891720841,0.019232522103728,0.0166625634770961,0.02180248073036,0.0133580605278718,0.012533204615016,0.0141829164407277,0.0156321051278841,0.0150079580578471,0.016256252197921
2020-10-24,"SA","Saudi Arabia","SAU",34268529,4,231,184,230,22,1441,1106,1436,48,2874,2330,2864,0.0173160173160173,0.000494194841031501,0.0341378397910031,0.0152671755725191,0.00893643294447588,0.0215979182005623,0.0167014613778706,0.0120162990480146,0.0213866237077266,0.0150943396226415,0.0129298743930665,0.0172588048522166,0.014531980869291,0.0136817896555576,0.0153821720830244,0.0153499525666702,0.0147314833027264,0.015968421830614
2020-10-25,"SA","Saudi Arabia","SAU",34268529,0,162,49,161,19,1411,983,1405,45,2859,2215,2849,0,0,0,0.0134656272147413,0.00745175787044347,0.0194794965590392,0.0157397691500525,0.0111773502105795,0.0203021880895255,0.00574241181296144,0.00413918915316388,0.00734563447275901,0.0132008326059222,0.0123810720017343,0.0140205932101102,0.0146691656125618,0.0140627677326534,0.0152755634924702
2020-10-26,"SA","Saudi Arabia","SAU",34268529,1,74,93,74,17,1293,958,1287,42,2720,1955,2711,0.0135135135135135,0,0.0398199451338654,0.0131477184841454,0.00693902668963515,0.0193564102786557,0.0154411764705882,0.0108075111067861,0.0200748418343904,0.0237123916369199,0.0189505947750439,0.0284741884987959,0.0140446555540895,0.013161565381473,0.0149277457267061,0.0136063417384103,0.0130073218796241,0.0142053615971964
2020-10-27,"SA","Saudi Arabia","SAU",34268529,6,192,95,192,19,1280,910,1276,45,2688,1847,2679,0.03125,0.00663905186064001,0.05586094813936,0.01484375,0.00821903071422383,0.0214684692857762,0.0167410714285714,0.011890878289993,0.0215912645671499,0.00933569182389937,0.00746717912583842,0.0112042045219603,0.0134559649849175,0.012587603643791,0.014324326326044,0.0130082331481051,0.0124188608481247,0.0135976054480856
2020-10-28,"SA","Saudi Arabia","SAU",34268529,4,175,119,175,22,1250,939,1246,44,2639,1847,2630,0.0228571428571429,0.000715029549379378,0.0449992561649063,0.0176,0.0103105695717749,0.0248894304282252,0.0166729821902236,0.0117877633308217,0.0215582010496254,0.0128301886792453,0.0105398295444315,0.0151205478140591,0.0142190859807989,0.0133161079629928,0.015122063998605,0.0132505918645527,0.0126503125776697,0.0138508711514357
2020-10-29,"SA","Saudi Arabia","SAU",34268529,3,165,100,165,19,1207,851,1204,43,2647,1858,2638,0.0181818181818182,0,0.0385682072966655,0.0157415078707539,0.0087193238429778,0.0227636918985301,0.0162448054401209,0.0114289671346791,0.0210606437455627,0.0114351057747284,0.00920671747707292,0.0136634940723839,0.0133360496458346,0.0124460391159464,0.0142260601757229,0.0132890840688343,0.0126888574502147,0.0138893106874539
2020-10-30,"SA","Saudi Arabia","SAU",34268529,3,152,79,152,21,1151,719,1149,40,2561,1713,2553,0.0197368421052632,0,0.0418492720833242,0.0182450043440487,0.0105131444689871,0.0259768642191102,0.0156188988676298,0.0108165894149851,0.0204212083202746,0.00980635551142006,0.00765455381099198,0.0119581572118481,0.0118068213540897,0.0109489195842546,0.0126647231239248,0.0126599117575328,0.0120642037012919,0.0132556198137736
2020-10-31,"SA","Saudi Arabia","SAU",34268529,7,174,86,173,24,1094,621,1092,46,2535,1727,2528,0.0402298850574713,0.0110333392288887,0.0694264308860538,0.0219378427787934,0.0132578449264172,0.0306178406311696,0.0181459566074951,0.0129499163206562,0.0233419968943339,0.00937943069036972,0.00740642192513281,0.0113524394556066,0.0107298362015343,0.00989046736954913,0.0115692050335195,0.0128895987580607,0.0122856164955276,0.0134935810205937
2020-11-01,"SA","Saudi Arabia","SAU",34268529,0,166,124,165,24,1098,696,1096,43,2509,1679,2501,0,0,0,0.0218579234972678,0.0132091934361219,0.0305066535584136,0.0171383021123954,0.0120598909113096,0.0222167133134812,0.0141795311606632,0.0117015497992603,0.0166575125220662,0.0119818206858559,0.0110970132681056,0.0128666281036063,0.0126666314606233,0.0120646047155646,0.013268658205682
2020-11-02,"SA","Saudi Arabia","SAU",34268529,3,179,196,179,26,1203,799,1201,43,2496,1757,2488,0.0167597765363128,0,0.0355653034220103,0.0216126350789692,0.0133954218733947,0.0298298482845438,0.0172275641025641,0.012122934656233,0.0223321935488952,0.0206598503214926,0.0177975578658646,0.0235221427771206,0.01255243272116,0.0116875452104678,0.0134173202318523,0.0133243341624704,0.0127054705688456,0.0139431977560952
2020-11-03,"SA","Saudi Arabia","SAU",34268529,0,149,57,149,20,1160,761,1158,39,2440,1671,2434,0,0,0,0.0172413793103448,0.00975057363802799,0.0247321849826617,0.015983606557377,0.011007476357993,0.0209597367567611,0.00721793085982018,0.00535090495762069,0.00908495676201968,0.0123993873627269,0.0115239064827971,0.0132748682426566,0.0129532875459295,0.0123362540711557,0.0135703210207034
2020-11-04,"SA","Saudi Arabia","SAU",34268529,5,141,69,141,21,1126,711,1124,43,2376,1650,2370,0.0354609929078014,0.00493471326253665,0.0659872725530662,0.0186500888099467,0.0107481931344644,0.0265519844854291,0.0180976430976431,0.0127375783759381,0.023457707819348,0.00923323966278603,0.00706471998187283,0.0114017593436992,0.0119351373128315,0.0110631032724769,0.0128071713531862,0.0131358968235013,0.0125062536147263,0.0137655400322763
2020-11-05,"SA","Saudi Arabia","SAU",34268529,8,148,123,148,26,1109,734,1107,45,2316,1585,2311,0.0540540540540541,0.0176236046034792,0.0904845035046289,0.0234445446348061,0.0145391806660807,0.0323499086035316,0.0194300518134715,0.0138085146973277,0.0250515889296153,0.0156807751147374,0.0129314186878947,0.0184301315415801,0.0125104395698045,0.0116110685547297,0.0134098105848793,0.0129405713445948,0.0123076371491142,0.0135735055400754
2020-11-06,"SA","Saudi Arabia","SAU",34268529,1,138,111,138,24,1095,766,1093,45,2246,1485,2242,0.0072463768115942,0,0.0213974619871312,0.0219178082191781,0.0132456484868753,0.0305899679514809,0.0200356188780053,0.0142406682353739,0.0258305695206368,0.0151763740771124,0.0123745952191967,0.017978152935028,0.0132230834297157,0.012292884286661,0.0141532825727704,0.0124972649083534,0.0118656258265109,0.0131289039901959
2020-11-07,"SA","Saudi Arabia","SAU",34268529,7,145,312,145,24,1066,992,1065,48,2160,1613,2157,0.0482758620689655,0.013387173032674,0.083164551105257,0.0225140712945591,0.0136087054756884,0.0314194371134298,0.0222222222222222,0.0160058782155002,0.0284385662289443,0.0405985686402082,0.0361860993356481,0.0450110379447683,0.0175746301709629,0.0164906327866975,0.0186586275552282,0.0141093937246875,0.0134257125458374,0.0147930749035376
2020-11-08,"SA","Saudi Arabia","SAU",34268529,5,141,78,141,29,1041,946,1041,53,2139,1642,2137,0.0354609929078014,0.00493471326253665,0.0659872725530662,0.0278578290105668,0.0178610232920712,0.0378546347290623,0.0247779336138382,0.0181903369489024,0.0313655302787741,0.0104375752709755,0.00813336553059215,0.0127417850113589,0.0171460678230294,0.0160628605936135,0.0182292750524453,0.0144974881027008,0.0138013696544176,0.0151936065509841
2020-11-09,"SA","Saudi Arabia","SAU",34268529,3,160,198,160,29,1022,948,1022,55,2225,1747,2223,0.01875,0,0.0397673797161665,0.0283757338551859,0.0181957902871566,0.0385556774232152,0.0247191011235955,0.0182675479701501,0.0311706542770409,0.0233490566037736,0.0201349926004182,0.0265631206071289,0.0175017538677399,0.0163974428982449,0.0186060648372349,0.0148278291277298,0.0141376921797757,0.0155179660756839
2020-11-10,"SA","Saudi Arabia","SAU",34268529,6,156,144,156,35,1029,1035,1029,55,2189,1796,2187,0.0384615384615385,0.00828409477222489,0.068638982150852,0.0340136054421769,0.0229383884673809,0.0450888224169728,0.0251256281407035,0.0185693404688982,0.0316819158125089,0.0174165457184325,0.0145967763235083,0.0202363151133568,0.018977941580945,0.0178327809533537,0.0201231022085364,0.0154946467548378,0.0147836204868083,0.0162056730228673
2020-11-11,"SA","Saudi Arabia","SAU",34268529,2,154,104,154,32,1042,1070,1042,53,2168,1781,2166,0.012987012987013,0,0.0308685069977792,0.0307101727447217,0.0202344935880179,0.0411858519014255,0.0244464944649446,0.0179459116579415,0.0309470772719478,0.0127419750061259,0.0103087430778204,0.0151752069344315,0.0193749320972006,0.0182253291015969,0.0205245350928043,0.0155142075645917,0.0147992990733636,0.0162291160558198
