"date","ISO2","country","ISO3","population","cli","anosmia","count","cli_local","count_local","cli_14days","anosmia_14days","count_14days","cli_local_14days","count_local_14days","p_cli","p_cli_low","p_cli_high","p_anosmia","p_anosmia_low","p_anosmia_high","p_cli_local","p_cli_local_low","p_cli_local_high","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high","p_cases_active"
2020-05-18,"AT","Austria","AUT",8858775,4,11,921,78,917,48,145,12619,2301.3,12605,0.00434310532030402,9.61928594358126e-05,0.00859001778117222,0.011943539630836,0.0049277641145283,0.0189593151471438,0.00160490524886319,0.00124902703156186,0.00196078346616452,0.00380378793882241,0.00272975843331042,0.0048778174443344,0.011490609398526,0.00963110353790826,0.0133501152591438,0.0034447246899628,0.00330422780790917,0.00358522157201644,0.00380378793882241
2020-05-19,"AT","Austria","AUT",8858775,6,14,981,232,981,52,145,12600,2382.3,12586,0.00611620795107034,0.00123730125250387,0.0109951146496368,0.0142711518858308,0.00684913676446344,0.0216931670071981,0.00446213913411421,0.00388924272904541,0.00503503553918301,0.00412698412698413,0.00300759470091801,0.00524637355305024,0.0115079365079365,0.00964564295238691,0.0133702300634861,0.00357135361542774,0.0034281988460422,0.00371450838481328,0.00412698412698413
2020-05-20,"AT","Austria","AUT",8858775,3,11,963,195,963,51,145,12641,2352.3,12628,0.00311526479750779,0,0.0066349587682093,0.0114226375908619,0.00471107758996359,0.0181341975917602,0.00382060777052842,0.00328538816126917,0.00435582737978767,0.0040344909421723,0.00292946137861857,0.00513952050572603,0.0114706115022546,0.00961432309092348,0.0133268999135857,0.00351465147829621,0.00337287001272141,0.003656432943871,0.0040344909421723
2020-05-21,"AT","Austria","AUT",8858775,1,3,723,79,723,48,140,12511,2330.3,12498,0.00138312586445367,0,0.00409212735420463,0.004149377593361,0,0.00883500251205059,0.00206164043946867,0.00160749042942976,0.00251579044950758,0.00383662377108145,0.00275334066312536,0.00491990687903754,0.0111901526656542,0.00934693562784273,0.0130333697034657,0.00351799684175883,0.00337541233143745,0.00366058135208022,0.00383662377108145
2020-05-22,"AT","Austria","AUT",8858775,4,13,865,135,864,44,134,12531,2242.3,12517,0.0046242774566474,0.000103058902225638,0.00914549601106916,0.015028901734104,0.00692087068057547,0.0231369327876326,0.00294811320754717,0.00245153890301954,0.0034446875120748,0.00351129199585029,0.00247561366404484,0.00454697032765574,0.0106934801691804,0.0088926191572999,0.012494341181061,0.00338000696411371,0.00324034323774681,0.00351967069048062,0.00351129199585029
2020-05-23,"AT","Austria","AUT",8858775,4,15,1055,187,1051,44,140,12746,2333.3,12729,0.0037914691943128,8.29480863616385e-05,0.00749999030226395,0.014218009478673,0.00707416978108735,0.0213618491762586,0.00335709028239054,0.00287673773366156,0.00383744283111951,0.00345206339243684,0.00243382466175054,0.00447030212312314,0.0109838380668445,0.00917441597259414,0.0127932601610949,0.00345860069933905,0.00331850948556509,0.00359869191311301,0.00345206339243684
2020-05-24,"AT","Austria","AUT",8858775,5,11,1030,184,1028,48,139,12903,2417.3,12884,0.00485436893203883,0.000609745288831748,0.00909899257524592,0.0106796116504854,0.00440227112240571,0.0169569521785652,0.00337713824241979,0.00288999863597251,0.00386427784886707,0.00372006510113927,0.00266963126096997,0.00477049894130857,0.0107726885220491,0.00899148788002919,0.0125538891640691,0.00354000574062901,0.00339913632435928,0.00368087515689874,0.00372006510113927
2020-05-25,"AT","Austria","AUT",8858775,8,19,1045,251,1042,54,149,12982,2559.3,12960,0.0076555023923445,0.00237095220145702,0.012940052583232,0.0181818181818182,0.010081088573918,0.0262825477897183,0.00454496070691341,0.00398397449401478,0.00510594691981204,0.0041596056077646,0.00305247658563205,0.00526673462989715,0.0114774302880912,0.00964514575681204,0.0133097148193704,0.00372597833682739,0.00358189385093827,0.00387006282271651,0.0041596056077646
2020-05-26,"AT","Austria","AUT",8858775,4,6,940,97,940,54,141,12995,2334.3,12974,0.00425531914893617,9.40651008009621e-05,0.00841657319707138,0.00638297872340425,0.00129195203257934,0.0114740054142292,0.00194700923323966,0.00155992361563607,0.00233409485084326,0.00415544440169296,0.00304942062376399,0.00526146817962192,0.0108503270488649,0.00906912834932399,0.0126315257484059,0.00339474304196201,0.00325726344518834,0.00353222263873567,0.00415544440169296
2020-05-27,"AT","Austria","AUT",8858775,0,7,907,107,907,53,142,13021,2342.3,13000,0,0,0,0.00771775082690187,0.00202257108451769,0.0134129305692861,0.00222587422770485,0.00180459219037513,0.00264715626503458,0.00407034789954689,0.00297675415242302,0.00516394164667075,0.0109054604101068,0.00912157552199507,0.0126893452982184,0.00339956458635704,0.00326212537178963,0.00353700380092445,0.00407034789954689
