ISO2,ISO_3,country_agg,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cli_smooth_slope,p_cli_weight_smooth_slope,p_cliWHO_smooth_slope,p_cliWHO_weight_smooth_slope,p_cli_local_smooth_slope,p_cli_smooth_slope2,p_cliWHO_smooth_slope2,p_cases_infected,p_cases_infected_smooth,p_cases_active
HK,HKG,Hong Kong,2021-07-07,2021-07-07,156,156,1,0,0,0,0,0,0,0,0,0.00176056338028169,0.000790934130030265,34,0,3,147,0.00430091140532492,0.00657157296038221,0.00686984289620039,4.75321546387867e-05,0.0026144462948023,0.00455788854314264,0.00319969060709157,2.93070887013567e-05,0.00201445585573534,0.000747079351462121,-5.84610094112764e-05,-2.79737131723506e-05,6.49019815451191e-05,0.000146559619368962,3.30633618195776e-05,-2.38433554795877e-05,-2.37646306210076e-06,0.02,0.015486723191936,0.00430091140532492
HK,HKG,Hong Kong,2021-07-08,2021-07-08,163,163,1,0,0,0,0,0,0,0,0,0.00158450704225352,0.000731411303808729,30,0,2,152,0.00418859311987322,0.00637383998423886,0.00667294453042154,4.62070039432487e-05,0.00260429687411988,0.00456421691013099,0.00323999694778437,2.96564103017148e-05,0.00196115210994828,0.00073758058111854,-7.62825578982256e-05,-8.05515732658732e-05,4.62390939937035e-05,0.000122632365322272,9.23935505724956e-06,-2.25930329781645e-05,-6.82238243008952e-06,0.012987012987013,0.0157600922379497,0.00418859311987322
HK,HKG,Hong Kong,2021-07-09,2021-07-09,152,152,1,0,0,0,0,0,0,0,0,0.000880281690140845,0.000574853619250584,25,0,3,135,0.00407142021972939,0.00618582064516667,0.0064426863845649,4.4825568269349e-05,0.00257476411929686,0.00454735546511948,0.0032395370841237,2.97623156978864e-05,0.00189032531196189,0.0007248406442421,-9.08824352545688e-05,-0.000127968838742606,2.55243414550512e-05,9.239042038774e-05,-1.4543973172765e-05,-2.07790305028312e-05,-1.11667904626616e-05,0.0217391304347826,0.0159086693028426,0.00407142021972939
HK,HKG,Hong Kong,2021-07-10,2021-07-10,157,157,1,0.0127388535031847,0.0175420142442679,0.0251396766129083,0.000144300740823463,0.00636942675159236,0.0124440260501474,0.0148099409343991,0.00011134076310007,0.00176056338028169,0.000790934130030265,31,0,5,146,0.00395436628091362,0.00601725869091321,0.0061848474101791,4.34543069146784e-05,0.00253111988017026,0.00451379420390974,0.00320077365311025,2.96502936915602e-05,0.00180867982292255,0.000710008703772342,-0.000101734794511095,-0.000169829131085105,4.77675056417508e-06,5.77716309383236e-05,-3.63065815200183e-05,-1.84102101787443e-05,-1.48082743578808e-05,0.033112582781457,0.0159268113722184,0.00395436628091362
HK,HKG,Hong Kong,2021-07-11,2021-07-11,182,182,1,0.010989010989011,0.0151458014560121,0.0198347228743257,0.000121593171268037,0.0054945054945055,0.0107394068758001,0.00554280481136301,6.47447115103211e-05,0.000885311871227364,0.000522944630398759,38,0,3,171,0.00384220759904627,0.00587645541056019,0.00590600060260637,4.21512494927305e-05,0.00247872072364669,0.00446987227280798,0.00312849285540177,2.93541922171573e-05,0.00172354340223911,0.000694334431855062,-0.000108440753803776,-0.000205844304447842,-1.41533732875563e-05,2.11491221149175e-05,-5.42957390176883e-05,-1.55185767325221e-05,-1.72705165116734e-05,0.0172413793103448,0.0158220265753493,0.00384220759904627
HK,HKG,Hong Kong,2021-07-12,2021-07-12,182,182,1,0,0,0,0,0,0,0,0,0.000704225352112676,0.000459923411932452,46,0,2,173,0.00373968635907225,0.00576992104177432,0.00561403930918331,4.0965532212626e-05,0.00242260524833897,0.00442088919804195,0.00302908082901768,2.89103957222629e-05,0.00164212748443794,0.000679038329499193,-0.000110661738633677,-0.000235618519143976,-2.97861981403409e-05,-1.49786966173252e-05,-6.71346186538983e-05,-1.21169110675123e-05,-1.82500449329787e-05,0.0114285714285714,0.0156123724080766,0.00373968635907225
HK,HKG,Hong Kong,2021-07-13,2021-07-13,173,173,1,0,0,0,0,0,0,0,0,0.00100008334027836,0.00056555700600711,35,0,3,163,0.00365045587598776,0.00570098778779838,0.00531786923310159,3.99325350959579e-05,0.00236609113268036,0.00436926362809763,0.00290921846875217,2.83476790398492e-05,0.00157083587476953,0.000665200534362025,-0.000108409254889526,-0.000258662277183133,-4.13925270203226e-05,-4.84120230565661e-05,-7.39366634943012e-05,-8.32470757970826e-06,-1.77157514275736e-05,0.0180722891566265,0.0153224480993402,0.00365045587598776
HK,HKG,Hong Kong,2021-07-14,2021-07-14,137,137,1,0,0,0,0,0,0,0,0,0.00114762649973918,0.000677802192541532,34,0,0,129,0.00357608542131667,0.00566827208267599,0.00502630462806255,3.90651319263354e-05,0.00230979675968713,0.00431289936538738,0.0027743486320983,2.76753659584248e-05,0.00151478033129043,0.000653720709173149,-0.000102084616426092,-0.000274439983726498,-4.90833524054596e-05,-7.76080526143436e-05,-7.4395296442975e-05,-4.30034308797771e-06,-1.58870743998605e-05,0,0.0149805758925784,0.00357608542131667
HK,HKG,Hong Kong,2021-07-15,2021-07-15,143,143,1,0,0,0,0,0,0,0,0,0.000492465281197676,0.000431550618309032,29,0,3,138,0.00351696320516989,0.0056680924143883,0.00474838693345948,3.8365635254952e-05,0.0022529609315222,0.00424793558862928,0.00262929729312495,2.68953620512735e-05,0.00147745168516287,0.000645234274195218,-9.2409502426582e-05,-0.000282383241850904,-5.36338646291108e-05,-0.000101706631833125,-6.88122711331693e-05,-2.54511195335532e-07,-1.31930343473603e-05,0.0212765957446809,0.0146131730426545,0.00351696320516989
HK,HKG,Hong Kong,2021-07-16,2021-07-16,169,169,1,0,0,0,0,0,0,0,0,0.00256081946222791,0.000915186567783572,36,0,2,160,0.00347104377672381,0.00569216412859041,0.00449162920507536,3.78144770013753e-05,0.00219249096623668,0.00416687789894977,0.00247703057040375,2.59925208375136e-05,0.00146067634757403,0.000640121562100495,-8.05537506983023e-05,-0.000282203034183956,-5.64381523222631e-05,-0.000120623847117751,-5.80005792247525e-05,3.53017396879884e-06,-1.02024838144064e-05,0.0123456790123457,0.0142427390091829,0.00347104377672381
HK,HKG,Hong Kong,2021-07-17,2021-07-17,167,167,1,0.00598802395209581,0.0117011198672655,0.00526880543583215,6.83661221507088e-05,0.00598802395209581,0.0117011198672655,0.00526880543583215,6.83661221507088e-05,0.000339385711861531,0.000332535442801624,30,0,3,160,0.00343515034175963,0.0057311139969202,0.00426192214896894,3.73848127845144e-05,0.00212508790516826,0.00406259072707821,0.00231985246332385,2.49525781707694e-05,0.00146466674190249,0.000638519696210389,-6.784287621444e-05,-0.000274013075606237,-5.89388030797388e-05,-0.000134773398679653,-4.31461100561031e-05,6.76631293155595e-06,-7.46423829869708e-06,0.0184049079754601,0.0138857357205226,0.00343515034175963
HK,HKG,Hong Kong,2021-07-18,2021-07-18,186,186,1,0.00537634408602151,0.0105090761475122,0.00985984694025795,8.71570576879722e-05,0.00537634408602151,0.0105090761475122,0.00985984694025795,8.71570576879722e-05,0.00121811952797868,0.000596503962113006,35,0,1,181,0.00340579185740478,0.00577544787492431,0.00406323773934624,3.7046204270188e-05,0.00204855681893552,0.00393062457414968,0.00216026630786601,2.37734984785124e-05,0.00148829037150017,0.000640372152088424,-5.56490836112448e-05,-0.000258466928306178,-6.2341404900574e-05,-0.000144802420191944,-2.56395188229613e-05,9.16877583707196e-06,-5.42586779337218e-06,0.0054945054945055,0.0135517678249861,0.00340579185740478
HK,HKG,Hong Kong,2021-07-19,2021-07-19,199,199,1,0.0100502512562814,0.0138585115245467,0.00810554056170252,8.13683357501838e-05,0.0050251256281407,0.00982428768705325,0.0019037539963633,3.95569988349618e-05,0.00206288234457249,0.000750023962899079,44,0,0,191,0.00337965409614005,0.00581718251061106,0.00389738025256942,3.677036227482e-05,0.00196242459248771,0.0037701827253871,0.00200122151709339,2.24697338740099e-05,0.0015292382260224,0.000645438001952085,-4.51336299746183e-05,-0.000236748163422029,-6.72777566987755e-05,-0.000151332825276464,-6.93294145785544e-06,1.05459374858179e-05,-4.31420494640881e-06,0,0.0132456834060899,0.00337965409614005
HK,HKG,Hong Kong,2021-07-20,2021-07-20,192,192,1,0.00520833333333333,0.0101815273352697,0.00281231454126495,4.66239216210408e-05,0.00520833333333333,0.0101815273352697,0.00281231454126495,4.66239216210408e-05,0.00121811952797868,0.000596503962113006,33,1,4,180,0.00335504008396114,0.00585160869716106,0.00376461711813811,3.65403526524227e-05,0.00186942930004772,0.00358684682435618,0.00184748644489409,2.10872505827664e-05,0.00158428618960914,0.000653340904670398,-3.68408895592552e-05,-0.000210281251654073,-7.33945766065675e-05,-0.000154477031200703,1.15843097197858e-05,1.08739544778061e-05,-4.05187070018465e-06,0.0217391304347826,0.0129685049033145,0.00335504008396114
HK,HKG,Hong Kong,2021-07-21,2021-07-21,177,177,1,0,0,0,0,0,0,0,0,0.000804828973843058,0.00049862822342087,24,0,4,170,0.00333183507145558,0.00587750236813651,0.00366372686630227,3.63501218985893e-05,0.00177518802931856,0.00339184053740217,0.0017052580030127,1.969850332245e-05,0.00164947860976304,0.000663582447352613,-3.08546889523858e-05,-0.000180776677859535,-7.96288170339386e-05,-0.000154006548352042,2.86711541000284e-05,1.02591355790327e-05,-4.3324920674713e-06,0.0229885057471264,0.0127208800309609,0.00333183507145558
