ISO2,ISO_3,country,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,pos_RF_symp,pos_XGB,pos_XGB_symp,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_rf_symp,p_rf_symp_low,p_rf_symp_high,p_xgb,p_xgb_low,p_xgb_high,p_xgb_symp,p_xgb_symp_low,p_xgb_symp_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
NI,NIC,Nicaragua,2021-07-31,2021-07-31,208,1,208,3582180.92510346,55,147,19,16,56,17,15,237055.441312536,9,137410.44915056,309,8103.38536312554,3,11,0.340221402214022,0.322383516690599,0.358059287737445,0.147488421802636,0.134370773225561,0.160606070379712,0.109013181332383,0.0974839054580699,0.120542457206697,0.318489490559316,0.301254513229939,0.335724467888693,0.131813323833274,0.119298835473232,0.144327812193316,0.0594941218382615,0.0507433840405191,0.0682448596360039,0.0594145614708089,0.0593479680000648,0.0594811549415531,0.035981474884218,0.0290916361769636,0.0428713135914724,0.0338032048854752,0.033752295505025,0.0338541142659254,0.0453209584676236,0.0440881209541713,0.0465537959810759,0.378698224852071,0.305567029758267,0.451829419945875
NI,NIC,Nicaragua,2021-08-01,2021-08-01,194,1,194,3239799.247082,67,121,26,19,64,21,9,146834.602477093,5,76510.4539421128,355,7581.88036450855,3,20,0.344840249724569,0.326987428741884,0.362693070707253,0.147267565649397,0.134183655844417,0.160351475454376,0.107877927608233,0.0964239577386311,0.119331897477834,0.323278921220724,0.306009764020979,0.340548078420469,0.132718239886444,0.12019193408694,0.145244545685948,0.0592618878637332,0.0505442322731164,0.0679795434543499,0.0593609770574476,0.0592941540588441,0.0594278000560512,0.0358410220014195,0.0289775776946706,0.0427044663081683,0.0336017750805548,0.0335508158201777,0.0336527343409319,0.0451877632204102,0.0439595778395871,0.0464159486012332,0.348314606741573,0.278323489359296,0.41830572412385
NI,NIC,Nicaragua,2021-08-02,2021-08-02,218,1,218,3421573.98342658,77,130,35,19,69,27,12,185694.582657844,7,105225.993236436,556,8464.42728524499,6,16,0.348751835535977,0.330855008266003,0.36664866280595,0.14943342776204,0.136284395847609,0.162582459676471,0.108356940509915,0.0968928494091135,0.119821031610717,0.32542492917847,0.308144429425285,0.342705428931655,0.13314447592068,0.120614487153764,0.145674464687596,0.0619688385269122,0.0530766009793192,0.0708610760745052,0.061953193504835,0.0618850849527852,0.0620213020568848,0.0368271954674221,0.0298809172481888,0.0437734736866554,0.0345701211268358,0.0345185070264281,0.0346217352272436,0.0467747253902014,0.0455268816578861,0.0480225691225166,0.355555555555556,0.285626394990028,0.425484716121083
NI,NIC,Nicaragua,2021-08-03,2021-08-03,204,1,204,3346005.55192621,73,127,31,19,68,32,9,151011.835994745,5,80419.4909707048,380,7983.03805575239,4,13,0.347969264544457,0.33011126729241,0.365827261796504,0.149628581535196,0.136479458361012,0.16277770470938,0.108949416342412,0.0974639450595191,0.120434887625306,0.324018394057305,0.306766473141114,0.341270314973495,0.134418111071808,0.121844264368034,0.146991957775581,0.0601344181110718,0.0513708772454209,0.0688979589767227,0.0603281315843074,0.0602611076422731,0.0603951555263416,0.0357269189954015,0.0288849202387697,0.0425689177520333,0.0336133342728436,0.0335625986286614,0.0336640699170258,0.0474700008689914,0.0462145198514633,0.0487254818865194,0.353932584269663,0.283684047523533,0.424181121015792
NI,NIC,Nicaragua,2021-08-04,2021-08-04,203,1,203,3558511.17730536,66,125,29,19,61,22,13,250069.803428155,7,111848.758724442,455,7862.69074837924,1,8,0.346280688897032,0.328429953321758,0.364131424472306,0.147859922178988,0.134775157420726,0.160944686937251,0.106473293243721,0.0951033237568048,0.117843262730638,0.319773611602405,0.302581341102536,0.336965882102274,0.130880792359392,0.118448167813045,0.143313416905738,0.0583657587548638,0.0497239355752992,0.0670075819344285,0.0587486035864476,0.0586826258121521,0.0588145813607431,0.0339582596391935,0.0272816521559615,0.0406348671224255,0.0317585765872816,0.031709376212158,0.0318077769624053,0.0481938493398642,0.0469288525706545,0.049458846109074,0.341040462427746,0.270399376334426,0.411681548521066
NI,NIC,Nicaragua,2021-08-05,2021-08-05,185,1,185,3517403.04662181,68,112,32,21,65,34,16,326721.327385941,12,243256.281209373,242,7301.06998063786,6,13,0.351282051282051,0.333375056599873,0.36918904596423,0.148161244695898,0.135067785629997,0.161254703761799,0.106789250353607,0.095406449758162,0.118172050949052,0.322135785007072,0.304913164656442,0.339358405357702,0.133309759547383,0.120782060434559,0.145837458660207,0.0601131541725601,0.0513526130549422,0.0688736952901781,0.0614183920535306,0.061351047721652,0.0614857363854091,0.0360678925035361,0.0291957525580588,0.0429400324490133,0.0344650599020539,0.0344138929763649,0.0345162268277429,0.0472513036502529,0.0459985742244048,0.048504033076101,0.353591160220994,0.283942439068559,0.42323988137343
NI,NIC,Nicaragua,2021-08-06,2021-08-06,221,1,221,3337018.73369487,82,133,33,25,76,31,16,267080.044128687,13,213344.204356472,368,8624.89036174253,4,22,0.352194414218353,0.334364745081704,0.370024083355002,0.147161878065872,0.134164610187418,0.160159145944327,0.105466012613875,0.094197261342855,0.116734763884896,0.323055360896987,0.305898566002049,0.340212155791925,0.132095304835319,0.119673039074997,0.14451757059564,0.062718990889979,0.0538237943862862,0.0716141873936717,0.0650603962087145,0.0649910116334701,0.065129780783959,0.0381920112123336,0.0311604532477548,0.0452235691769123,0.0371513462955926,0.037098138030853,0.0372045545603322,0.047422187412518,0.0461738792202633,0.0486704956047726,0.316062176165803,0.250468192007329,0.381656160324277
NI,NIC,Nicaragua,2021-08-07,2021-08-07,200,1,200,3042747.14769203,62,131,31,28,61,32,15,230308.957315028,9,138971.358481337,492,7742.34344100608,6,13,0.347622478386167,0.32990745295317,0.365337503819164,0.146884789418726,0.133940669339036,0.159828909498416,0.106856943961016,0.0955604892428764,0.118153398679156,0.320570831883049,0.30350551434127,0.337636149424828,0.132613992342499,0.120212294129821,0.145015690555177,0.0630003480682214,0.0541160838245019,0.0718846123119408,0.0654695658618381,0.0653996184800037,0.0655395132436724,0.0382875043508528,0.031270828125727,0.0453041805759785,0.0375178298747219,0.0374640932716274,0.0375715664778165,0.048847167939012,0.0475850500892246,0.0501092857887994,0.318181818181818,0.253305310358477,0.38305832600516
NI,NIC,Nicaragua,2021-08-08,2021-08-08,199,1,199,3288912.26656764,72,121,35,32,64,33,9,156231.058309701,9,156231.058309701,394,7822.57497925485,8,18,0.355339105339105,0.337521938627858,0.373156272050353,0.152075340076735,0.138930894407485,0.165219785745985,0.112661318451343,0.101087774473171,0.124234862429515,0.324729682595047,0.307588764939735,0.341870600250359,0.138123474014649,0.125493847222413,0.150753100806886,0.0620858039762818,0.0532527282461125,0.0709188797064512,0.0634359017467255,0.06336680579436,0.063504997699091,0.0401116149284967,0.0329290479166589,0.0472941819403345,0.039178965377479,0.0391239652079547,0.0392339655470033,0.0496501341012622,0.048377310428192,0.0509229577743324,0.338308457711443,0.272899943845195,0.403716971577691
NI,NIC,Nicaragua,2021-08-09,2021-08-09,221,1,221,3236457.92692805,72,140,34,27,69,34,11,156706.303896086,4,60267.9496117114,328,8705.1218999913,5,23,0.35565154787617,0.3378501250147,0.37345297073764,0.153150017403411,0.139981343457599,0.166318691349223,0.114166376609816,0.102537829216507,0.125794924003124,0.324399582318134,0.307281095375662,0.341518069260607,0.140619561434041,0.127908088427414,0.153331034440669,0.0616080751827358,0.0528160033205569,0.0704001470449148,0.062016573738704,0.061947957817034,0.062085189660374,0.0400278454577097,0.0328599658358203,0.0471957250795992,0.0391099879397382,0.0390548368478457,0.0391651390316307,0.0489995080389638,0.047735977177422,0.0502630389005057,0.31924882629108,0.256642655257712,0.381854997324448
NI,NIC,Nicaragua,2021-08-10,2021-08-10,212,1,212,3706015.43593024,81,126,36,22,75,30,8,147960.967077836,4,77333.7336211016,335,8303.96420874746,6,13,0.358203549438609,0.340318980146991,0.376088118730228,0.154303708887334,0.141059916187732,0.167547501586935,0.113016095171449,0.101408426654881,0.124623763688016,0.327501749475158,0.310296167371284,0.344707331579031,0.139958012596221,0.127238347130476,0.152677678061966,0.0605318404478656,0.0517890523790445,0.0692746285166868,0.0614826808079803,0.0614145033846267,0.0615508582313339,0.0384884534639608,0.0314356876871854,0.0455412192407362,0.0381886329909997,0.0381342384834558,0.0382430274985436,0.0484020301145505,0.0471419941216053,0.0496620661074957,0.331797235023041,0.269149014515472,0.394445455530611
NI,NIC,Nicaragua,2021-08-11,2021-08-11,219,1,219,3668904.34166961,66,147,29,23,64,25,11,196852.799391698,6,99374.4292482014,470,8584.77459261815,7,17,0.356884057971014,0.339010880739916,0.374757235202113,0.154870357393132,0.14159742371703,0.168143291069235,0.112473721093203,0.100882284899147,0.124065157287259,0.326208829712684,0.309008704025299,0.343408955400069,0.139803784162579,0.127081082778514,0.152526485546644,0.0585143658023826,0.0499032544220973,0.0671254771826679,0.0599569405418293,0.0598896359074286,0.06002424517623,0.035739313244569,0.0289286181411808,0.0425500083479573,0.0354872897298488,0.0354348401809071,0.0355397392787904,0.0487964744287749,0.0475313491377576,0.0500615997197922,0.342592592592593,0.279303700036999,0.405881485148186
NI,NIC,Nicaragua,2021-08-12,2021-08-12,214,1,214,3501777.8934752,74,125,39,31,68,35,23,383118.622742119,13,216805.195893587,574,8384.19574699623,14,27,0.354617604617605,0.336808578069879,0.372426631165331,0.156228253305498,0.142954400809404,0.169502105801591,0.114126652748782,0.102501890836342,0.125751414661222,0.321155184411969,0.304084637691754,0.338225731132185,0.138830897703549,0.126189590229031,0.151472205178067,0.0615866388308977,0.0527975257584823,0.0703757519033131,0.0629358384703826,0.0628670020264085,0.0630046749143567,0.0375782881002088,0.0306255493513539,0.0445310268490636,0.0376628848498767,0.0376089207222553,0.0377168489774981,0.0498111603717891,0.048538434224801,0.0510838865187773,0.356223175965665,0.294733969953019,0.417712381978311
NI,NIC,Nicaragua,2021-08-13,2021-08-13,205,1,205,3559639.84534703,71,128,28,19,68,28,6,75392.3714862924,4,51926.2391451399,472,7942.922286628,6,15,0.352268667381208,0.334572423176727,0.369964911585688,0.15053393041681,0.137525802711592,0.163542058122028,0.110230795728557,0.0988384087293717,0.121623182727742,0.319669307612814,0.302705041543408,0.336633573682221,0.138132965897348,0.125581531044448,0.150684400750247,0.0595935239407509,0.050981962343945,0.0682050855375569,0.0606378632222562,0.0605703506718246,0.0607053757726877,0.0368584223217361,0.0300045184399166,0.0437123262035557,0.0368472833033565,0.036793993225049,0.036900573381664,0.0505258571991917,0.049251104203206,0.0518006101951773,0.344978165938865,0.28341030817752,0.406546023700209
NI,NIC,Nicaragua,2021-08-14,2021-08-14,182,1,182,3525223.20844011,59,112,35,26,59,34,14,303030.030755187,7,195810.414596623,322,7100.49113501594,8,13,0.357658959537572,0.339803031048619,0.375514888026526,0.157455683003128,0.144146429201732,0.170764936804524,0.114702815432742,0.103058613170859,0.126347017694626,0.32360097323601,0.306505365012203,0.340696581459817,0.145290232881474,0.132413499502502,0.158166966260445,0.0597844977407021,0.0511211418345438,0.0684478536468605,0.0620857964534389,0.0620174947529731,0.0621540981539047,0.0364963503649635,0.0296441577781256,0.0433485429518014,0.0381089874833346,0.0380547960709704,0.0381631788956988,0.0510923127739128,0.0498051121917994,0.0523795133560262,0.363636363636364,0.301602557057032,0.425670170215695
NI,NIC,Nicaragua,2021-08-15,2021-08-15,216,1,216,3488936.7787024,72,133,22,19,62,25,16,297555.650254763,10,176961.79737498,594,8464.42728524499,5,12,0.357271095152603,0.339474031750538,0.375068158554668,0.154880993446016,0.141711108507537,0.168050878384494,0.113832355984822,0.102270839837883,0.125393872131762,0.320455329423939,0.30346832741821,0.337442331429668,0.145567437047258,0.132729507241248,0.158405366853267,0.0617454294584339,0.0529837626130233,0.0705070963038446,0.0648919291195527,0.0648223859070658,0.0649614723320395,0.0379441186616074,0.0309891309387495,0.0448991063844654,0.0399960955988278,0.0399407766649148,0.0400514145327408,0.0528039721264289,0.0515016710069728,0.054106273245885,0.385650224215247,0.321765017315135,0.449535431115358
NI,NIC,Nicaragua,2021-08-16,2021-08-16,242,1,242,3743577.76222987,76,158,36,26,72,31,19,252038.591238087,11,138584.020777718,449,9427.20574423021,9,22,0.35348506401138,0.335815930671985,0.371154197350775,0.153951419774205,0.14086794253994,0.167034897008469,0.115292507697571,0.103714493475848,0.126870521919294,0.318850496065686,0.301955875043945,0.335745117087427,0.145740677386247,0.132949252093629,0.158532102678865,0.0636332535066712,0.0547841609257727,0.0724823460875698,0.0658286047729038,0.0657588292274157,0.0658983803183919,0.0390010263427985,0.031982706386692,0.046019346298905,0.0404181618852031,0.0403627488521548,0.0404735749182514,0.0514224497902404,0.0501417912812903,0.0527031082991906,0.388646288209607,0.3255136571943,0.451778919224914
NI,NIC,Nicaragua,2021-08-17,2021-08-17,225,1,225,3497454.01366698,67,153,36,28,69,34,19,340013.685162399,11,211656.654237687,393,8905.70074561322,6,14,0.348870056497175,0.331316418081926,0.366423694912424,0.154551630434783,0.141494145628757,0.167609115240809,0.117527173913043,0.105893978984704,0.129160368841383,0.316915760869565,0.300108836735125,0.333722685004006,0.145380434782609,0.13264779110862,0.158113078456597,0.0665760869565218,0.05757121001165,0.0755809639013935,0.069506901871342,0.0694354561125988,0.0695783476300851,0.0407608695652174,0.0336181376257438,0.047903601504691,0.04298872411772,0.0429317415894871,0.0430457066459529,0.0511233713315895,0.0498513671150752,0.0523953755481038,0.395652173913043,0.332456924345324,0.458847423480763
NI,NIC,Nicaragua,2021-08-18,2021-08-18,253,1,253,3513553.9276362,93,149,38,24,84,36,14,212017.631298296,9,128649.702907222,684,9868.47920459843,8,19,0.352063822407215,0.334629599897284,0.369498044917145,0.15497661990648,0.142014093686297,0.167939146126662,0.117234468937876,0.10571128387292,0.128757654002831,0.319305277221109,0.302605855476219,0.336004698965999,0.147628590514362,0.134922209712649,0.160334971316075,0.0657982631930528,0.0569175111733511,0.0746790152127544,0.0687886406996837,0.0687175047604816,0.0688597766388857,0.040748162992652,0.0336663813761208,0.0478299446091831,0.0433739701587316,0.0433167179483351,0.0434312223691281,0.0522025598953977,0.0509289734836556,0.0534761463071397,0.406639004149378,0.344623028039051,0.468654980259704
NI,NIC,Nicaragua,2021-08-19,2021-08-19,225,1,225,3209898.55054069,80,137,40,27,72,28,18,244426.198362893,12,163529.630630097,499,8865.58497648883,3,12,0.351712328767123,0.334392868945906,0.369031788588341,0.155570204350692,0.142673305658845,0.16846710304254,0.11766644693474,0.106201210371532,0.129131683497947,0.317402768622281,0.300840191278393,0.333965345966169,0.143704680290046,0.131222583544981,0.156186777035111,0.0655899802241266,0.0567809561643022,0.0743990042839509,0.0675232813530756,0.0674525307954794,0.0675940319106717,0.040210942649967,0.0332205700189496,0.0472013152809845,0.0420000298059228,0.041943472118187,0.0420565874936586,0.0536790998996321,0.0523971634318103,0.054961036367454,0.395833333333333,0.333963772653583,0.457702894013083
NI,NIC,Nicaragua,2021-08-20,2021-08-20,229,1,229,3401638.76042852,78,146,40,29,78,38,23,318176.463936628,14,181438.438503901,749,8985.93228386198,10,16,0.349265961078866,0.332000892867818,0.366531029289915,0.157462195923734,0.144518707600768,0.170405684246701,0.118671926364234,0.107179511785619,0.130164340942849,0.317225509533202,0.30068719750947,0.333763821556934,0.145627876397107,0.133093166725338,0.158162586068877,0.0677186061801446,0.05878974646008,0.0766474659002093,0.0684891450867533,0.0684179747980695,0.0685603153754372,0.0404339250493097,0.0334342338709461,0.0474336162276732,0.0412845188734848,0.041228461547323,0.0413405761996465,0.0567152737408595,0.0554016927709865,0.0580288547107326,0.431623931623932,0.368162361593895,0.495085501653968
NI,NIC,Nicaragua,2021-08-21,2021-08-21,239,1,239,3344393.84224162,79,149,39,28,72,32,18,254267.87940978,11,148811.831757519,690,9387.08997510582,6,16,0.350877192982456,0.333696131357573,0.36805825460734,0.158065563128854,0.145184253781592,0.170946872476116,0.117169750081142,0.105813143096637,0.128526357065648,0.316780266147355,0.300353143393974,0.333207388900736,0.143784485556637,0.131395099032966,0.156173872080309,0.0678351184680299,0.0589558762283595,0.0767143607077003,0.068556913476151,0.06848593149466,0.0686278954576419,0.0405712431028887,0.0336046929993635,0.0475377932064138,0.041230851602809,0.0411750029750889,0.041286700230529,0.0575825125088915,0.0562685763781255,0.0588964486396576,0.426160337552743,0.36320164318493,0.489119031920555
