"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","stillsick_p_w_country","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"PT",2020-07-21,10561097,0.0411111111111111,NA,NA,900,8,0.0202827293841536,2651,0.00210177455084256,0.00313970703464918,2651,0.0255616771606283,0.00156908035321983,0.00156908035321983,"PT11",2250533,0.0260145681581686,0.0347812971342383,0.00847457627118644,0.0153333333333333,0.00847457627118644,0.0153333333333333,961,13,0.0260145681581686,0.0347812971342383,0.00847457627118644,0.0153333333333333,0.00847457627118644,0.0153333333333333
"PT",2020-07-21,10561097,0.0411111111111111,NA,NA,900,8,0.0202827293841536,2651,0.00210177455084256,0.00313970703464918,2651,0.0255616771606283,0.00156908035321983,0.00156908035321983,"PT12",118506,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PT",2020-07-21,10561097,0.0411111111111111,NA,NA,900,8,0.0202827293841536,2651,0.00210177455084256,0.00313970703464918,2651,0.0255616771606283,0.00156908035321983,0.00156908035321983,"PT13",1817117,0.0346534653465347,0.0424242424242424,0,0,0,0,1010,11,0.0346534653465347,0.0424242424242424,0,0,0,0
"PT",2020-07-21,10561097,0.0411111111111111,NA,NA,900,8,0.0202827293841536,2651,0.00210177455084256,0.00313970703464918,2651,0.0255616771606283,0.00156908035321983,0.00156908035321983,"PT14",453638,0.0491803278688525,0.0477272727272727,NA,NA,NA,NA,122,2,0.0491803278688525,0.0477272727272727,NA,NA,NA,NA
"PT",2020-07-21,10561097,0.0411111111111111,NA,NA,900,8,0.0202827293841536,2651,0.00210177455084256,0.00313970703464918,2651,0.0255616771606283,0.00156908035321983,0.00156908035321983,"PT15",851258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PT",2020-07-21,10561097,0.0411111111111111,NA,NA,900,8,0.0202827293841536,2651,0.00210177455084256,0.00313970703464918,2651,0.0255616771606283,0.00156908035321983,0.00156908035321983,"PT16",244836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PT",2020-07-21,10561097,0.0411111111111111,NA,NA,900,8,0.0202827293841536,2651,0.00210177455084256,0.00313970703464918,2651,0.0255616771606283,0.00156908035321983,0.00156908035321983,"PT17",206661,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PT",2020-07-21,10561097,0.0411111111111111,NA,NA,900,8,0.0202827293841536,2651,0.00210177455084256,0.00313970703464918,2651,0.0255616771606283,0.00156908035321983,0.00156908035321983,"PT18",377653,0.025,0.0333333333333333,0,0,0,0,80,2,0.025,0.0333333333333333,0,0,0,0
"PT",2020-07-21,10561097,0.0411111111111111,NA,NA,900,8,0.0202827293841536,2651,0.00210177455084256,0.00313970703464918,2651,0.0255616771606283,0.00156908035321983,0.00156908035321983,"PT20",245766,0.1,0.1,NA,NA,NA,NA,100,1,0.1,0.1,NA,NA,NA,NA
"PT",2020-07-21,10561097,0.0411111111111111,NA,NA,900,8,0.0202827293841536,2651,0.00210177455084256,0.00313970703464918,2651,0.0255616771606283,0.00156908035321983,0.00156908035321983,"PT30",267785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
