ISO2,ISO_3,country_agg,region_agg,date,first_date,day_count,weight,Finished,B2,B4,E5,E6,pos_RF,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,stringent_cli,stringent_cli_vaccinated,stringent_cli_unvaccinated,stringent_cli_vac1dose,stringent_cli_vac2doses,classic_cli,classic_cli_vaccinated,classic_cli_unvaccinated,classic_cli_vac1dose,classic_cli_vac2doses,broad_cli,broad_cli_vaccinated,broad_cli_unvaccinated,broad_cli_vac1dose,broad_cli_vac2doses,test_recent,tested_vaccinated,tested_unvaccinated,tested_vac1dose,tested_vac2doses,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,days_aggregated,p_rf,p_rf_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
ZA,ZAF,South Africa,Eastern Cape,2021-07-11,2021-07-10,63,7994905.75058675,98,436,232,311,0,11,135,81,30,101,44,89,35,7,5,231675.307006059,0,5,0,0,2,77743.9336198542,232,133,3115.47301522843,4,1,3,1,0,15,1,14,1,0,16,3,13,3,0,15,3,0,0,0,6,1,5,0,0,5,2,9,1,0,10,2,3,0,2,3,3,0,0,2,2,3,4,0,1,0,0,1,0,0,0,0,0,0,1,2,7,3,7,6,7,2,4,5,4,6,5,0,1,0,1,1,1,0,0,0,1,0,1,2,0.0814814814814815,0.0461481848369585,0.037037037037037,0.0318569443305289,0.0289778659353246,0.000116275758458407,0.0148148148148148,0.0203792527964805,0.00972418387973473,6.80214812018667e-05,0.0744670227814474,0.00921858019879625
ZA,ZAF,South Africa,Eastern Cape,2021-07-12,2021-07-11,67,7746061.97715918,101,639,258,298,0,11,130,78,24,97,40,88,34,5,6,370410.325740944,0,6,0,0,3,151740.584047941,258,129,3021.7745786802,7,2,5,2,0,14,1,13,1,0,13,3,10,3,0,18,3,0,0,0,6,0,6,0,0,5,0,11,0,0,10,1,4,0,4,2,3,1,1,2,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,2,9,4,7,6,6,4,4,5,5,10,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0846153846153846,0.0478412904751058,0.0461538461538462,0.0360677898293676,0.0478191791949475,0.000150268648578854,0.0230769230769231,0.0258104484518851,0.0195893841923003,9.759374906138e-05,0.0853802933614872,0.00996359711004348
ZA,ZAF,South Africa,Eastern Cape,2021-07-13,2021-07-12,60,7990794.46582488,103,568,155,317,0,8,127,77,20,98,45,79,38,7,7,610834.93600456,2,5,2,0,2,103768.872738183,155,127,2974.92536040609,8,4,4,4,0,14,2,12,2,0,11,4,7,4,0,21,7,0,0,0,4,1,3,1,0,4,2,6,2,0,8,1,4,0,4,3,2,1,1,0,3,3,1,1,1,0,1,1,1,0,0,0,1,1,1,3,7,1,4,6,4,3,2,1,7,7,3,2,2,0,1,1,2,0,0,0,2,2,1,2,0.062992125984252,0.0422533341097069,0.0551181102362205,0.0396900962982527,0.0764423285590671,0.000184226488816692,0.015748031496063,0.0216527226936702,0.0129860520354995,7.8497048097601e-05,0.0521021475237422,0.00798580379734101
ZA,ZAF,South Africa,Eastern Cape,2021-07-14,2021-07-13,64,8477767.69845959,105,502,164,341,0,9,124,69,21,101,42,80,35,7,6,446257.747581745,3,3,3,0,3,112734.466019252,164,124,2904.65153299492,5,2,3,2,0,13,4,9,4,0,13,4,9,4,0,23,5,0,0,0,5,1,4,1,0,5,2,7,2,0,9,3,4,1,4,4,3,2,2,1,2,4,3,1,1,0,1,1,1,0,0,0,1,1,1,5,6,2,6,6,5,3,4,1,5,7,4,2,2,0,1,1,2,0,0,0,2,2,1,2,0.0725806451612903,0.045665239336354,0.0483870967741936,0.0377687135204149,0.0526385911308741,0.000150320187282854,0.0241935483870968,0.0270438722530324,0.0132976592458102,7.71059716202823e-05,0.056461161739048,0.00839374686137058
ZA,ZAF,South Africa,Eastern Cape,2021-07-15,2021-07-14,65,8197785.34584804,101,439,124,333,0,11,129,65,19,105,47,78,36,8,8,438205.793742308,3,5,2,0,5,244044.008959732,124,128,2998.34996954315,5,0,5,0,0,15,4,9,3,0,15,3,10,3,0,18,4,0,0,0,4,0,4,0,0,4,1,9,1,0,11,2,3,1,3,3,2,3,2,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,7,9,5,5,6,3,4,9,6,1,1,0,1,1,1,1,0,1,0,1,1,2,0.0852713178294574,0.0481948765088879,0.062015503875969,0.0416199164667195,0.0534541678337854,0.000153978977034512,0.0387596899224806,0.0333088294103217,0.0297695046483906,0.000116338399384312,0.0413560795969703,0.00712697560348106
ZA,ZAF,South Africa,Eastern Cape,2021-07-16,2021-07-15,59,8036233.41935944,89,311,91,322,0,9,124,70,22,98,52,68,38,11,7,486447.518263077,2,5,1,0,5,337412.69346962,92,123,2881.22692385787,6,0,6,0,0,13,2,9,1,0,13,1,10,1,0,14,6,0,0,0,2,0,2,0,0,2,1,7,1,0,9,1,2,0,2,2,1,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,6,8,4,3,3,4,6,7,4,1,1,0,1,1,1,1,0,1,0,1,1,2,0.0725806451612903,0.045665239336354,0.0564516129032258,0.0406216457196461,0.0605317806089623,0.000164874917391806,0.0403225806451613,0.0346237454439829,0.0419864227259485,0.000138663477871443,0.0319308414197432,0.00641974433040385
ZA,ZAF,South Africa,Eastern Cape,2021-07-17,2021-07-16,66,7699312.76765741,94,478,114,347,0,13,125,70,28,94,49,71,35,13,7,510978.172905634,2,5,2,0,5,434376.606013948,115,121,2834.37770558376,8,2,6,2,0,12,3,9,3,0,14,2,12,2,0,20,8,0,0,0,6,2,4,2,0,5,4,9,4,0,11,3,4,1,3,4,3,2,2,2,2,4,3,1,1,0,0,1,0,0,0,0,1,1,0,5,7,2,7,8,7,3,3,3,7,8,4,2,3,0,0,3,1,0,0,0,2,2,1,2,0.104,0.0535135495924209,0.056,0.0403063150483568,0.0663667249695461,0.00017582695872225,0.04,0.0343525275593694,0.0564175815585306,0.000162974351911136,0.0405732799031861,0.00726348748556214
ZA,ZAF,South Africa,Eastern Cape,2021-07-18,2021-07-17,57,7339251.98660308,96,423,111,352,0,12,123,60,29,91,49,70,37,10,7,461975.251632053,2,5,2,0,3,258045.677794904,111,119,2787.52848730964,7,2,5,2,0,13,3,10,3,0,11,2,9,2,0,21,8,0,0,0,6,2,4,2,0,5,4,8,4,0,10,2,3,1,2,4,2,1,2,1,2,3,2,1,1,0,0,1,0,0,0,0,1,1,0,5,7,2,4,7,5,2,3,2,6,7,4,2,3,0,0,3,1,0,0,0,2,2,1,2,0.0975609756097561,0.0524375673866977,0.0569105691056911,0.0409419419780562,0.0629458223365723,0.000175706568794881,0.024390243902439,0.027260993187646,0.0351596699862514,0.000133251562670174,0.0398202208534667,0.00725882863693209
ZA,ZAF,South Africa,Eastern Cape,2021-07-19,2021-07-18,74,7923310.47108705,102,449,95,357,0,10,131,64,31,97,52,77,43,7,4,269465.130379952,1,3,1,0,2,142137.12343449,95,129,3021.7745786802,5,2,3,2,0,12,2,10,2,0,12,2,10,2,0,17,7,0,0,0,2,1,1,1,0,2,2,8,2,0,10,0,1,0,0,2,1,0,0,0,2,1,0,0,1,0,0,1,1,0,0,0,1,1,0,3,6,0,6,6,6,2,1,1,6,4,4,1,2,0,1,2,2,0,0,0,2,1,1,2,0.0763358778625954,0.0454709295744381,0.0305343511450382,0.0294627312092411,0.0340091596010604,0.00012620576928544,0.0152671755725191,0.0209966979415278,0.017939108148439,9.24196642540031e-05,0.0314384801137259,0.00622173394572802
ZA,ZAF,South Africa,Eastern Cape,2021-07-20,2021-07-19,70,7898320.73494314,113,594,124,373,0,13,144,79,27,110,60,79,47,12,4,258743.092036139,1,3,1,0,3,192725.95914137,124,139,3256.02067005076,4,2,2,2,0,12,3,9,3,0,13,3,10,3,0,17,9,0,0,0,2,1,1,1,0,2,2,11,2,0,13,0,2,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,3,10,1,9,6,8,4,3,0,5,6,5,1,2,0,1,2,2,0,0,0,2,1,1,2,0.0902777777777778,0.046807093773243,0.0277777777777778,0.0268409798716222,0.032759253608356,0.000124140931285228,0.0208333333333333,0.0233278404639451,0.0244008778079531,0.000107601700228407,0.0380832963195123,0.00657416369230809
ZA,ZAF,South Africa,Eastern Cape,2021-07-21,2021-07-20,88,7892162.34157009,121,531,132,431,0,11,158,83,23,129,64,87,47,17,7,273916.571609983,1,6,1,0,5,199556.479011936,132,154,3607.3898071066,5,1,4,1,0,15,3,12,3,0,14,4,10,4,0,13,8,0,0,0,2,0,2,0,0,2,2,9,1,1,11,0,2,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,8,6,7,6,4,1,5,7,6,0,0,0,1,2,2,1,1,0,1,1,1,2,0.069620253164557,0.0396841854549371,0.0443037974683544,0.0320848456398617,0.0347074172774162,0.000127699947622224,0.0316455696202532,0.0272956334959191,0.0252853996630074,0.000109527640745974,0.0365915542977802,0.00612699050656847
ZA,ZAF,South Africa,Eastern Cape,2021-07-22,2021-07-21,37,7581538.21974097,86,339,71,318,0,6,125,58,21,101,49,71,35,14,6,276530.517732937,1,5,1,0,4,148967.643305056,72,123,2881.22692385787,4,1,3,1,0,11,2,9,2,0,10,3,7,3,0,15,6,0,0,0,1,0,1,0,0,1,2,4,1,1,6,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,5,5,5,4,2,1,4,4,4,0,0,0,1,2,2,1,1,0,1,1,1,2,0.048,0.037474183355525,0.048,0.037474183355525,0.0364741968869723,0.000133442438779468,0.032,0.0308535934282957,0.0196487360463567,9.87933227631311e-05,0.0249893541545816,0.00569956293639608
ZA,ZAF,South Africa,Eastern Cape,2021-07-23,2021-07-22,64,7956382.81406577,66,264,59,222,0,3,101,55,23,76,40,58,32,7,7,579266.411702153,2,4,2,0,2,126971.888883302,60,100,2342.46091370558,3,0,3,0,0,9,2,7,2,0,7,1,5,0,1,17,3,0,0,0,1,0,1,0,0,1,1,2,0,1,3,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,3,3,1,1,1,2,3,2,1,0,0,1,1,1,0,0,0,0,1,0,2,0.0297029702970297,0.0331085145091172,0.0693069306930693,0.0495312145212828,0.0728052464592441,0.000180533198525414,0.0198019801980198,0.0271705622473482,0.0159584941864328,8.70748868965344e-05,0.0256140880084461,0.00639759673407288
ZA,ZAF,South Africa,Eastern Cape,2021-07-24,2021-07-23,63,8491437.30185244,98,430,105,333,0,9,127,70,36,90,54,71,45,8,8,573053.290896342,2,5,2,0,3,179309.706542477,105,127,2974.92536040609,8,0,8,0,0,15,3,12,2,1,14,2,11,0,2,11,1,0,0,0,4,0,4,0,0,4,2,7,0,2,9,2,4,1,3,4,4,0,3,2,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,5,8,1,6,8,8,3,3,2,7,7,7,1,1,0,2,2,2,1,0,0,0,2,1,2,0.0708661417322835,0.0446277270248897,0.062992125984252,0.0422533341097069,0.0674860180350538,0.000168729906306673,0.0236220472440945,0.0264127718210884,0.0211165318859929,9.67017382255867e-05,0.0352950031612447,0.00663076949200223
ZA,ZAF,South Africa,Eastern Cape,2021-07-25,2021-07-24,53,8065075.25735709,89,422,95,272,0,10,116,65,40,71,48,64,41,7,5,326781.638035145,0,5,0,0,2,152779.399471354,95,113,2646.98083248731,8,0,8,0,0,15,1,14,0,1,15,1,14,0,1,10,2,0,0,0,5,0,5,0,0,5,1,8,0,1,10,2,5,2,3,4,5,2,3,2,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2,5,7,8,4,3,3,8,7,7,0,1,0,1,1,1,1,0,0,0,1,1,2,0.0862068965517242,0.0510756661761258,0.0431034482758621,0.0369579266118149,0.0405181139180381,0.000136077674735673,0.0172413793103448,0.0236880074342301,0.0189433321570045,9.40847235139745e-05,0.0358899463245189,0.0070863468082139
ZA,ZAF,South Africa,Eastern Cape,2021-07-26,2021-07-25,74,8332027.56330258,90,453,90,304,0,9,127,75,34,87,52,68,44,7,8,440139.894193819,2,6,2,0,4,214540.551696157,90,123,2881.22692385787,6,1,4,1,0,18,5,12,5,0,14,4,9,4,0,10,3,0,0,0,3,0,2,0,0,3,1,6,1,0,9,1,3,2,2,2,3,2,2,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2,5,5,4,4,4,2,6,5,5,1,1,0,1,1,0,1,1,0,1,1,1,2,0.0708661417322835,0.0446277270248897,0.062992125984252,0.0422533341097069,0.0528250645896039,0.000151882542617836,0.031496062992126,0.0303756136941526,0.0257489008607071,0.000107544335830383,0.031236692693227,0.00635185714185251
ZA,ZAF,South Africa,Eastern Cape,2021-07-27,2021-07-26,75,8202697.2753432,110,477,91,372,0,13,149,91,30,116,68,77,55,12,10,461835.5189996,4,6,4,0,5,189270.41731196,91,147,3443.41754314721,7,3,3,3,0,18,9,8,9,0,12,7,4,7,0,20,9,0,0,0,5,1,3,1,0,5,3,9,3,0,13,2,4,3,5,3,4,1,3,1,4,3,4,1,1,0,1,1,1,0,0,0,1,1,1,6,9,4,8,9,4,4,8,1,9,7,6,3,3,1,2,3,1,1,2,0,3,2,2,2,0.087248322147651,0.0453116439138944,0.0671140939597315,0.0401768689580227,0.0563028847093807,0.00015774346856433,0.0335570469798658,0.0289157816494543,0.023074168283754,0.000102745680648869,0.0264272336595079,0.00535751391749626
ZA,ZAF,South Africa,Eastern Cape,2021-07-28,2021-07-27,75,8280299.5286421,113,481,64,396,0,18,150,94,30,115,64,84,51,12,9,531589.454271528,4,5,3,0,4,246340.452494183,65,148,3466.84215228426,7,4,3,4,0,17,9,8,8,0,13,8,5,7,0,27,13,0,0,0,9,3,6,3,0,9,5,13,4,0,18,2,6,3,6,6,5,3,2,1,6,8,5,1,3,1,2,3,2,0,0,0,3,3,2,7,12,4,9,14,7,6,5,1,10,13,7,3,5,2,2,5,3,0,1,0,4,3,3,2,0.12,0.0520037211146343,0.06,0.0380051117164651,0.0641993025050272,0.000166948262911496,0.0266666666666667,0.0257820606669192,0.0297501861668259,0.000115720871422137,0.0187490509070833,0.00451503109734919
