"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_active"
"2020-10-02","LR",4661010,0,0,1343,82,6026.91617228424,5882.15914317947,6175.23560032538,0,0,0.00129304939750917,0.00126199238859806,0.00132487070405886,0,0
"2020-10-03","LR",4661010,0,0,1343,82,6020.83849251518,5876.22087446179,6169.01524421897,0,0,0.00129174545699648,0.00126071835813735,0.00132353615294088,0,0
"2020-10-04","LR",4661010,4,0,1347,82,6032.80293160746,5887.88480672902,6181.28791684537,0,0,0.00129431237684696,0.00126322080551834,0.00132616920299364,0,0
"2020-10-05","LR",4661010,1,0,1348,82,6031.33546751084,5886.44604662876,6179.79120737677,0,0,0.00129399753862593,0.00126291212561843,0.00132584809030162,0,0
"2020-10-06","LR",4661010,6,0,1354,82,6051.95919286155,5906.56777337978,6200.92945299495,0,0,0.00129842227175259,0.00126722915706677,0.00133038321157752,0,0
"2020-10-07","LR",4661010,0,0,1354,82,6045.25181328052,5900.00845611291,6194.07069630682,0,0,0.00129698323180609,0.00126582188326412,0.00132891169431235,0,0
"2020-10-08","LR",4661010,0,0,1354,82,6037.88987235543,5892.81037365253,6186.54119156659,0,0,0.00129540375848913,0.00126427756508837,0.00132729627088691,0,0
"2020-10-09","LR",4661010,6,0,1360,82,6057.10473613043,5911.55702337401,6206.23596108251,0,0,0.00129952622631799,0.00126829957957052,0.0013315217004646,0,0
"2020-10-10","LR",4661010,0,0,1360,82,6049.39521782659,5904.01977314931,6198.35026093461,0,0,0.00129787218174314,0.00126668249438412,0.00132982985681958,0,0
"2020-10-11","LR",4661010,3,0,1363,82,6054.61300891064,5909.09921518428,6203.71013461258,0,0,0.001298991636772,0.0012677722672091,0.00133097979506858,0,0
"2020-10-12","LR",4661010,7,0,1370,82,6077.35977244124,5931.29280455827,6227.02385815495,0,0,0.00130387185876907,0.00127253380802836,0.00133598165594044,0,0
"2020-10-13","LR",4661010,0,0,1370,82,6068.46590206316,5922.59976514671,6217.92453733213,0,0,0.00130196371646127,0.0012706687531558,0.00133402943510787,0,0
"2020-10-14","LR",4661010,2,0,1372,82,6067.70807934375,5921.84083803291,6217.16833381885,0,0,0.00130180112879907,0.00127050592855044,0.0013338671948395,0,0
"2020-10-15","LR",4661010,0,0,1372,82,6057.87258964154,5912.22898144852,6207.10402582195,0,0,0.00129969096604417,0.00126844374533599,0.00133170794008636,0,0
"2020-10-16","LR",4661010,0,0,1372,82,6048.15222254936,5902.72955903135,6197.15759316128,0,0,0.00129760550235879,0.00126640568439702,0.00132957397498853,0,0
"2020-10-17","LR",4661010,5,0,1377,82,6060.91245991579,5915.17024558913,6210.24557562905,0,0,0.00130034315736628,0.0012690747811288,0.00133238194632259,0,0
"2020-10-18","LR",4661010,0,0,1377,82,6051.95848431816,5906.41889423678,6201.08430366304,0,0,0.0012984221197376,0.00126719721567574,0.00133041643413403,0,0
"2020-10-19","LR",4661010,3,0,1380,82,6056.20671657567,5910.55230687243,6205.45050438851,0,0,0.00129933356001718,0.00126808402189063,0.00133135318404992,0,0
"2020-10-20","LR",4661010,1,0,1381,82,6051.76419735263,5906.20402212736,6200.91174689349,0,0,0.00129838043629012,0.00126715111577262,0.00133037941280827,0,0
