"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"2020/12/10","AE",9770526,1255,4,181405,602,47820.7546237577,47575.8975571118,48066.8718869773,292.367212521312,2261.57848068917,3480.25753865262,0.00489438896368095,0.00486932817712289,0.00491957872963823,2.99233851402998e-05,0.000231469470598529,0.000356199608767493
"2020/12/11","AE",9770526,1196,5,182601,607,48176.4669913572,47931.0698064801,48423.1205591731,355.712367599437,2564.98839243275,3751.47721668857,0.00493079563898169,0.0049056795720599,0.00495604029498239,3.64066753007399e-05,0.000262523060931699,0.000383958572618154
"2020/12/12","AE",9770526,1154,2,183755,609,48282.8333809884,48037.3996379858,48529.5210994905,106.366389631228,2578.953048557,3464.30067307389,0.00494168209377759,0.00491656228518155,0.00496693024505441,1.08864547959064e-05,0.000263952324425215,0.000354566445355541
"2020/12/13","AE",9770526,1194,8,184949,617,48875.8326063496,48629.4096011693,49123.504327029,592.999225361193,2870.38802526165,3746.84236177553,0.00500237475508991,0.00497715369686027,0.00502772361764648,6.06926613123175e-05,0.000293780296502118,0.000383484201544065
"2020/12/14","AE",9770526,1092,1,186041,618,48888.5702507921,48642.3289895582,49136.0580551089,12.7376444425245,2582.07847334776,3687.91226832453,0.00500367843561259,0.00497847597862778,0.00502900847458048,1.30368052267856e-06,0.000264272207386559,0.000377452786914904
"2020/12/15","AE",9770526,1226,4,187267,622,49175.7890393812,48929.0950320896,49423.7268451366,287.218788589067,2479.96339409603,3750.67721079942,0.00503307488659067,0.00500782609166483,0.00505845098259158,2.93964509780811e-05,0.000253820868405245,0.000383876693107354
"2020/12/16","AE",9770526,1278,4,188545,626,49478.4900657107,49231.2648326684,49726.9567926707,302.70102632948,2715.12515820155,3919.3139226421,0.00506405592346929,0.00503875275831295,0.00508948615383355,3.09810368786163e-05,0.000277889353981715,0.000401136430386869
"2020/12/17","AE",9770526,1321,3,189866,629,49714.2493937539,49466.5809307898,49963.1578791007,235.759328043212,2751.13981841262,4102.77079482946,0.00508818556889915,0.00506283703976529,0.00511366101263132,2.41296454298583e-05,0.000281575405296769,0.000419912990849158
"2020/12/18","AE",9770526,1284,1,191150,630,49781.8219298766,49534.0579601444,50030.8251880343,67.5725361227451,2636.34825050917,4077.94159744522,0.00509510152573942,0.00506974322161821,0.00512058666933943,6.91595684027094e-06,0.000269826645004494,0.000417371756387038
"2020/12/19","AE",9770526,1254,4,192404,634,50077.3519194249,49829.0912964754,50326.8494370337,295.529989548224,2830.21895116113,4071.9073383369,0.00512534861679145,0.00509993948089135,0.00515088434717165,3.02470910520297e-05,0.000289669046595969,0.000416754158203653
"2020/12/20","AE",9770526,1171,3,193575,637,50270.9807224035,50022.4846427851,50520.7112529298,193.628802978623,2890.95474591079,3964.48894495911,0.00514516626048623,0.00511973302591745,0.0051707258394205,1.9817643694784e-05,0.000295885272288389,0.000405760032260199
"2020/12/21","AE",9770526,1077,2,194652,639,50360.876202731,50112.4145620826,50610.5697374601,89.8954803274828,2832.48879149453,3665.05055744579,0.00515436694019656,0.00512893723040936,0.00517992273266149,9.20067971033318e-06,0.000289901361655916,0.000375112922011138
"2020/12/22","AE",9770526,1226,3,195878,642,50569.1106822507,50320.3391790595,50819.1120511743,208.23447951972,2748.35605849294,3805.74577474155,0.00517567945494958,0.00515021803115406,0.00520126675382413,2.13125147530154e-05,0.000281290491268631,0.000389512885462006
"2020/12/23","AE",9770526,1246,3,197124,645,50784.0938109516,50534.9785918692,51034.4370585027,214.9831287009,2607.6268195944,3820.98423561032,0.00519768268473484,0.005172186082087,0.00522330497442028,2.20032297852644e-05,0.000266887045753156,0.000391072521132467
