"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_active","p_infected","p_infected_low","p_infected_high","p_daily","p_active"
"2021-06-04","VC",110696,21,0,2065,12,906.897988513034,769.543163509467,1068.76910947812,0,0,0.00819268978565652,0.00695186062287225,0.00965499303929788,0,0,0.00819268978565652,0.00695186062287225,0.00965499303929788,0,0
"2021-06-05","VC",110696,3,0,2068,12,905.456327240343,768.317552224951,1067.07331905328,0,0,0.00817966617800411,0.00694078875682004,0.00963967369239431,0,0,0.00817966617800411,0.00694078875682004,0.00963967369239431,0,0
"2021-06-06","VC",110696,8,0,2076,12,906.096234238335,768.858254544881,1067.83061877496,0,0,0.00818544693790503,0.00694567332645155,0.00964651494882341,0,0,0.00818544693790503,0.00694567332645155,0.00964651494882341,0,0
"2021-06-07","VC",110696,0,0,2076,12,903.188024558649,766.387883778089,1064.40697324797,0,0,0.00815917489844844,0.00692335661431387,0.00961558659073474,0,0,0.00815917489844844,0.00692335661431387,0.00961558659073474,0,0
"2021-06-08","VC",110696,16,0,2092,12,907.237195685792,769.821493966045,1069.18205803192,0,0,0.00819575409848407,0.00695437499065951,0.00965872351333306,0,0,0.00819575409848407,0.00695437499065951,0.00965872351333306,0,0
"2021-06-09","VC",110696,0,0,2092,12,904.346877713786,767.36635140663,1065.77943342383,0,0,0.00816964368824335,0.0069321958463416,0.00962798505297241,0,0,0.00816964368824335,0.0069321958463416,0.00962798505297241,0,0
"2021-06-10","VC",110696,40,0,2132,12,918.667243327281,779.515367627393,1082.65922521999,0,0,0.00829901029239793,0.00704194702272343,0.00978047287363578,0,0,0.00829901029239793,0.00704194702272343,0.00978047287363578,0,0
"2021-06-11","VC",110696,0,0,2132,12,915.511333527246,776.834879937939,1078.94357406274,0,0,0.00827050059195676,0.00701773216681668,0.00974690660965831,0,0,0.00827050059195676,0.00701773216681668,0.00974690660965831,0,0
"2021-06-12","VC",110696,15,0,2147,12,918.388946913713,779.27364073101,1082.3390061315,0,0,0.00829649623214671,0.00703976332235139,0.00977758009441625,0,0,0.00829649623214671,0.00703976332235139,0.00977758009441625,0,0
"2021-06-13","VC",110696,9,0,2156,12,918.447101094111,779.320040878796,1082.41163226979,0,0,0.00829702158247914,0.00704018248969065,0.00977823618079958,0,0,0.00829702158247914,0.00704018248969065,0.00977823618079958,0,0
"2021-06-14","VC",110696,0,0,2156,12,914.503007685376,775.970130211688,1077.76796877149,3.81055317534685,3.81055317534685,0.00826139162829168,0.00700992023389904,0.00973628648525229,3.44235850920255e-05,3.44235850920255e-05,0.00826139162829168,0.00700992023389904,0.00973628648525229,3.44235850920255e-05,3.44235850920255e-05
"2021-06-15","VC",110696,2,0,2158,12,911.395829484307,773.330408952026,1074.11055919426,4.37955889651425,8.19011207186111,0.00823332215693708,0.0069860736517311,0.00970324636115362,3.9563840577024e-05,7.39874256690495e-05,0.00823332215693708,0.0069860736517311,0.00970324636115362,3.9563840577024e-05,7.39874256690495e-05
"2021-06-16","VC",110696,14,0,2172,12,913.488172628744,775.102576387926,1076.58091580767,2.09234314443688,10.282455216298,0.00825222386200715,0.00700208296946526,0.00972556294543321,1.89017050700737e-05,9.28891307391233e-05,0.00825222386200715,0.00700208296946526,0.00972556294543321,1.89017050700737e-05,9.28891307391233e-05
"2021-06-17","VC",110696,6,0,2178,12,912.336153691382,774.122251061621,1075.22714427973,0,10.282455216298,0.00824181681082769,0.00699322695546019,0.00971333331177038,0,9.28891307391233e-05,0.00824181681082769,0.00699322695546019,0.00971333331177038,0,9.28891307391233e-05
"2021-06-18","VC",110696,5,0,2183,12,910.814234802503,772.828093556845,1073.43738825645,0,10.282455216298,0.0082280681759278,0.00698153585998451,0.00969716510313334,0,9.28891307391233e-05,0.0082280681759278,0.00698153585998451,0.00969716510313334,0,9.28891307391233e-05
"2021-06-19","VC",110696,9,0,2192,12,911.023240478727,773.002655230183,1073.68757283921,0,10.282455216298,0.00822995628097426,0.00698311280651679,0.00969942520813047,0,9.28891307391233e-05,0.00822995628097426,0.00698311280651679,0.00969942520813047,0,9.28891307391233e-05
"2021-06-20","VC",110696,3,0,2195,12,908.807705245198,771.12002270717,1071.08027387675,0,10.282455216298,0.00820994168935822,0.00696610557479195,0.00967587152089281,0,9.28891307391233e-05,0.00820994168935822,0.00696610557479195,0.00967587152089281,0,9.28891307391233e-05
