"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_active","p_infected","p_infected_low","p_infected_high","p_daily","p_active"
"2021-01-08","SV",645355,1929,82,86620,2629,199518.355466308,198867.864192444,200170.974479106,0,0,0.309160625494972,0.308152666660123,0.310171881335243,0,0
"2021-01-09","SV",645355,0,0,86620,2629,198910.018615384,198261.483330495,199560.675331065,0,0,0.308217986403427,0.30721305844147,0.309226201596121,0,0
"2021-01-10","SV",645355,0,0,86620,2629,198073.192382572,197427.348082756,198721.149433553,0,0,0.306921295074141,0.305920536887072,0.307925327042562,0,0
"2021-01-11","SV",645355,0,0,86620,2629,197117.719335728,196474.948140453,197762.5933681,0,0,0.305440756383275,0.304444760078488,0.30644001110722,0,0
"2021-01-12","SV",645355,0,0,86620,2629,196145.957692946,195506.312156235,196787.695982612,0,0,0.303934977946938,0.302943824958721,0.304929373728587,0,0
"2021-01-13","SV",645355,0,0,86620,2629,195215.668478091,194579.015747008,195854.404304817,0,0,0.302493462478932,0.301506946947042,0.303483205839913,0,0
"2021-01-14","SV",645355,0,0,86620,2629,194353.521254255,193719.642346646,194989.474306048,0,0,0.301157535394093,0.300175317998072,0.302142966748608,0,0
"2021-01-15","SV",645355,0,0,86620,2629,193568.633694003,192937.280307562,194202.053073589,0,0,0.29994132484292,0.298963020829717,0.3009228301843,0,0
"2021-01-16","SV",645355,0,0,86620,2629,192861.017608743,192231.941430602,193492.152429349,0,0,0.298844849127601,0.297870073727796,0.299822814465448,0,0
"2021-01-17","SV",645355,1583,71,50157,1479,117038.821130233,116665.164984399,117413.674025031,0,0,0.181355720696722,0.180776727513382,0.181936568284171,0,0
"2021-01-18","SV",645355,0,0,50157,1479,116629.699960092,116257.332273464,117003.260325851,0,0,0.180721773225731,0.180144776554708,0.181300617994517,0,0
"2021-01-19","SV",645355,0,0,50157,1479,116129.012297222,115758.221598721,116500.990693151,0,0,0.179945940292122,0.179371387219005,0.180522333743678,0,0
"2021-01-20","SV",645355,0,0,50157,1479,115586.312089902,115217.230943775,115956.575532213,0,0,0.179105007460859,0.178533103398556,0.179678743532185,0,0
"2021-01-21","SV",645355,0,0,50157,1479,115047.514311628,114680.13068963,115416.074865715,0,0,0.17827012157902,0.177700847889348,0.178841218965864,0,0
"2021-01-22","SV",645355,0,0,50157,1479,114537.965453248,114172.187325436,114904.915439477,0,0,0.17748055791502,0.176913771994385,0.178049159670998,0,0
"2021-01-23","SV",645355,0,0,50157,1479,114068.768576597,113704.469019625,114434.235318715,0,0,0.176753521049031,0.176189026225294,0.177319824466713,0,0
"2021-01-24","SV",645355,2515,72,52672,1551,125267.324464354,124875.225379741,125660.654711447,0,0,0.194106072571459,0.19349850141355,0.194715551458417,0,0
"2021-01-25","SV",645355,0,0,52672,1551,124740.564885882,124350.092491109,125132.263405124,0,0,0.193289840298568,0.192684789753096,0.193896790766515,0,0
"2021-01-26","SV",645355,0,0,52672,1551,124046.96942924,123658.639174098,124436.51917368,0,0,0.192215090034539,0.191613358808869,0.192818710901256,0,0
"2021-01-27","SV",645355,0,0,52672,1551,123271.868411324,122885.932531136,123659.016362743,0,0,0.191014044070819,0.190416023012352,0.191613943275783,0,0
"2021-01-28","SV",645355,0,0,52672,1551,122493.264104467,122109.733728455,122877.999098201,0,0,0.189807569639139,0.189213275992988,0.190403729882314,0,0
"2021-01-29","SV",645355,0,0,52672,1551,121754.24523767,121372.998580196,122136.689435087,0,0,0.188662434222513,0.188071679277601,0.189255044797185,0,0
"2021-01-30","SV",645355,0,0,52672,1551,121073.901210015,120694.757103199,121454.236340013,0,0,0.187608217508216,0.187020720538616,0.188197560009628,0,0
"2021-01-31","SV",645355,1317,63,53989,1614,128580.644622779,128184.527583388,128977.985746791,0,0,0.199240177302072,0.198626380183602,0.199855871182203,0,0
"2021-02-01","SV",645355,0,0,53989,1614,127936.936663869,127542.776807224,128332.314637264,0,0,0.19824272944948,0.197631965053689,0.198855381359506,0,0
"2021-02-02","SV",645355,0,0,53989,1614,127247.903408826,126855.838702965,127641.179842387,0,0,0.197175048475376,0.196567530588537,0.197784443976396,0,0
"2021-02-03","SV",645355,0,0,53989,1614,126553.663903261,126163.710573771,126944.822520695,0,0,0.19609930023516,0.195495053999382,0.196705414106491,0,0
"2021-02-04","SV",645355,0,0,53989,1614,125890.242371042,125502.306964776,126279.376909683,0,0,0.195071305515634,0.19447018612202,0.195674283006536,0,0
"2021-02-05","SV",645355,880,30,69198,2128,163606.0148284,163105.571770256,164107.993353737,0,0,0.253513205644026,0.252737751733939,0.254291038813889,0,0
"2021-02-06","SV",645355,0,0,69198,2128,162831.680617798,162333.575742845,163331.31387938,0,0,0.252313347874888,0.251541517060913,0.253087546977058,0,0
"2021-02-07","SV",645355,0,0,69198,2128,162039.788470009,161544.075050404,162537.023033576,0,0,0.251086283471901,0.250318158301097,0.251856765708138,0,0
"2021-02-08","SV",645355,0,0,69198,2128,161264.048801035,160770.678270525,161758.933379273,0,0,0.249884247896173,0.249119753113442,0.250651088748477,0,0
"2021-02-09","SV",645355,0,0,69198,2128,160533.410441122,160042.246989459,161026.081254378,0,0,0.248752098366205,0.247991023528847,0.249515508912735,0,0
"2021-02-10","SV",645355,0,0,69198,2128,159861.593069746,159372.459176596,160352.228175632,0,0,0.247711094002132,0.246953164036222,0.248471350149347,0,0
"2021-02-11","SV",645355,0,0,69198,2128,159252.235374683,158764.942518308,159741.023865573,0,0,0.246766873077117,0.246011795861669,0.247524267830223,0,0
"2021-02-12","SV",645355,0,0,69198,2128,158703.609003934,158217.9738447,159190.734774521,0,0,0.245916757449674,0.245164248893555,0.246671575759886,0,0
