"","date","p_cases_infected","p_cases_recent","p_cases_active","p_cases_daily","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high"
"157",2020-09-08,0.0104490351990815,0,0,0,0.00763401797214247,0.00741048444498058,0.00785755149930437
"158",2020-09-09,0.0104490351990815,0,0,0,0.00763401797214247,0.00741048444498058,0.00785755149930437
"159",2020-09-10,0.0104490351990815,0,0,0,0.00763401797214247,0.00741048444498058,0.00785755149930437
"160",2020-09-11,0.0104490351990815,0,0,0,0.00763401797214247,0.00741048444498058,0.00785755149930437
"161",2020-09-12,0.00729645922879862,0,0,0,0.00763401797214247,0.00741048444498058,0.00785755149930437
"162",2020-09-13,0.00729645922879862,0,0,0,0.00763401797214247,0.00741048444498058,0.00785755149930437
"163",2020-09-14,0.00729645922879862,0,0,0,0.00763401797214247,0.00741048444498058,0.00785755149930437
"164",2020-09-15,0.00729645922879862,0,0,0,0.00763401797214247,0.00741048444498058,0.00785755149930437
"165",2020-09-16,0.00729645922879862,0,0,0,0.00763401797214247,0.00741048444498058,0.00785755149930437
"166",2020-09-17,0.00729645922879862,0,0,0,0.00763401797214247,0.00741048444498058,0.00785755149930437
"167",2020-09-18,0.00729645922879862,0,0,0,0.00763401797214247,0.00741048444498058,0.00785755149930437
"168",2020-09-19,0.00729645922879862,0,0,0,0.00763401797214247,0.00741048444498058,0.00785755149930437
"169",2020-09-20,0.00729645922879862,0,0,0,0.00763401797214247,0.00741048444498058,0.00785755149930437
"170",2020-09-21,0.00729645922879862,0,0,0,0.00763401797214247,0.00741048444498058,0.00785755149930437
"171",2020-09-22,0.00729645922879862,0,0,0,0.00763401797214247,0.00741048444498058,0.00785755149930437
"172",2020-09-23,0.00729645922879862,0,0,0,0.00763401797214247,0.00741048444498058,0.00785755149930437
"173",2020-09-24,0.00729645922879862,0,0,0,0.00763401797214247,0.00741048444498058,0.00785755149930437
"174",2020-09-25,0.00729645922879862,0,0,0,0.00763401797214247,0.00741048444498058,0.00785755149930437
"175",2020-09-26,0.00729645922879862,0,0,0,0.00763401797214248,0.00741048444498059,0.00785755149930437
"176",2020-09-27,0.00729645922879862,0,0,0,0.00763401797214248,0.00741048444498059,0.00785755149930437
"177",2020-09-28,0.00729645922879862,0,0,0,0.00763401797214248,0.00741048444498059,0.00785755149930437
"178",2020-09-29,0.00729645922879862,0,0,0,0.00763401797214248,0.00741048444498059,0.00785755149930437
"179",2020-09-30,0.00729645922879862,0,0,0,0.00763401797214248,0.00741048444498059,0.00785755149930437
"180",2020-10-01,0.00729645922879862,0,0,0,0.00763401797214248,0.00741048444498059,0.00785755149930437
"181",2020-10-02,0.00729645922879862,0,0,0,0.00763401797214249,0.0074104844449806,0.00785755149930438
"182",2020-10-03,0.00729645922879862,0,0,0,0.00763401797214249,0.0074104844449806,0.00785755149930438
"183",2020-10-04,0.00729645922879862,0,0,0,0.00763401797214249,0.0074104844449806,0.00785755149930438
"184",2020-10-05,0.00729645922879862,0,0,0,0.00763401797214249,0.0074104844449806,0.00785755149930438
