"date","region","country","ISO2","ISO3","count_14days","count_local_14days","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cliWHO_14days","p_cliWHO_14days_low","p_cliWHO_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-11-10,"Analamanga","Madagascar","MG","MDG",134,133,0.0223880597014925,0,0.0474368737447936,0.0223880597014925,0,0.0474368737447936,0.0149253731343284,0,0.0354555578525413,0.00794438927507448,0.00587194623622374,0.0100168323139252
2020-11-11,"Analamanga","Madagascar","MG","MDG",135,135,0.0222222222222222,0,0.0470875982491103,0.0222222222222222,0,0.0470875982491103,0.0148148148148148,0,0.0351940676112953,0.00838574423480084,0.00627281253407773,0.010498675935524
2020-11-12,"Analamanga","Madagascar","MG","MDG",133,133,0.0225563909774436,0,0.0477913691304552,0.0225563909774436,0,0.0477913691304552,0.0150375939849624,0,0.0357209627568698,0.00822811746347,0.00611929279592577,0.0103369421310142
2020-11-13,"Analamanga","Madagascar","MG","MDG",134,134,0.0223880597014925,0,0.0474368737447936,0.0223880597014925,0,0.0474368737447936,0.0149253731343284,0,0.0354555578525413,0.00872993522951281,0.00656642345358854,0.0108934470054371
2020-11-14,"Analamanga","Madagascar","MG","MDG",133,133,0.0225563909774436,0,0.0477913691304552,0.0225563909774436,0,0.0477913691304552,0.0150375939849624,0,0.0357209627568698,0.00879557384026103,0.00661586722855239,0.0109752804519697
2020-11-15,"Analamanga","Madagascar","MG","MDG",124,124,0.0241935483870968,0,0.0512374206401292,0.0241935483870968,0,0.0512374206401292,0.0161290322580645,0,0.0383013184894028,0.00882531953743153,0.00656411612198215,0.0110865229528809
2020-11-16,"Analamanga","Madagascar","MG","MDG",116,116,0.0258620689655172,0,0.0547463097222517,0.0258620689655172,0,0.0547463097222517,0.0258620689655172,0,0.0547463097222517,0.00975927130774236,0.00730195959988988,0.0122165830155948
2020-11-17,"Analamanga","Madagascar","MG","MDG",108,108,0.0277777777777778,0,0.0587710716861665,0.0277777777777778,0,0.0587710716861665,0.0277777777777778,0,0.0587710716861665,0.0101327742837177,0.00753829065120074,0.0127272579162346
2020-11-18,"Analamanga","Madagascar","MG","MDG",105,104,0.0285714285714286,0,0.0604372307444941,0.0285714285714286,0,0.0604372307444941,0.0285714285714286,0,0.0604372307444941,0.00852685050798258,0.00609952349091179,0.0109541775250534
2020-11-19,"Analamanga","Madagascar","MG","MDG",101,100,0.0297029702970297,0,0.0628114848061469,0.0297029702970297,0,0.0628114848061469,0.0297029702970297,0,0.0628114848061469,0.00886792452830189,0.00634393867739281,0.011391910379211
2020-11-20,"Analamanga","Madagascar","MG","MDG",101,100,0.0198019801980198,0,0.046972542445368,0.0198019801980198,0,0.046972542445368,0.0297029702970297,0,0.0628114848061469,0.00849056603773585,0.00602039569223559,0.0109607363832361
2020-11-21,"Analamanga","Madagascar","MG","MDG",109,108,0.018348623853211,0,0.0435436742144312,0.018348623853211,0,0.0435436742144312,0.0275229357798165,0,0.0582359120428654,0.00978336827393431,0.00723355963811035,0.0123331769097583
2020-11-22,"Analamanga","Madagascar","MG","MDG",109,108,0.00917431192660551,0,0.0270729597077337,0.00917431192660551,0,0.0270729597077337,0.0275229357798165,0,0.0582359120428654,0.00960866526904263,0.00708150243104522,0.01213582810704
2020-11-23,"Analamanga","Madagascar","MG","MDG",110,109,0.00909090909090909,0,0.0268275883383194,0.00909090909090909,0,0.0268275883383194,0.0181818181818182,0,0.0431499436964207,0.00796261035139346,0.00567074731764007,0.0102544733851468
2020-11-28,"Analamanga","Madagascar","MG","MDG",101,100,0,0,0,0,0,0,0.0099009900990099,0,0.0292102678820743,0.00811320754716981,0.00569809428424343,0.0105283208100962
2020-11-29,"Analamanga","Madagascar","MG","MDG",112,111,0,0,0,0,0,0,0.00892857142857143,0,0.0263499511317067,0.00747917729049804,0.00527754191739641,0.00968081266359968
2020-11-30,"Analamanga","Madagascar","MG","MDG",115,114,0,0,0,0,0,0,0.0173913043478261,0,0.0412834718084511,0.00810989738497186,0.00584839427936533,0.0103714004905784
2020-12-01,"Analamanga","Madagascar","MG","MDG",117,116,0,0,0,0,0,0,0.0170940170940171,0,0.0405813236599009,0.00927130774235524,0.00687562651154657,0.0116669889731639
2020-12-02,"Analamanga","Madagascar","MG","MDG",116,116,0,0,0,0,0,0,0.0172413793103448,0,0.040929386744575,0.00943396226415094,0.00701755603907107,0.0118503684892308
2020-12-03,"Analamanga","Madagascar","MG","MDG",120,120,0,0,0,0,0,0,0.0166666666666667,0,0.0395717683152074,0.00849056603773585,0.00623561933921781,0.0107455127362539
2020-12-04,"Analamanga","Madagascar","MG","MDG",122,122,0,0,0,0,0,0,0.0163934426229508,0,0.0389261805661398,0.00835137643055985,0.00613324039509161,0.0105695124660281
2020-12-05,"Analamanga","Madagascar","MG","MDG",122,122,0,0,0,0,0,0,0.0163934426229508,0,0.0389261805661398,0.00680482523971543,0.004801017593533,0.00880863288589787
2020-12-06,"Analamanga","Madagascar","MG","MDG",115,115,0,0,0,0,0,0,0.0173913043478261,0,0.0412834718084511,0.00672682526661198,0.0046747151435235,0.00877893538970045
2020-12-07,"Analamanga","Madagascar","MG","MDG",116,116,0,0,0,0,0,0,0.0172413793103448,0,0.040929386744575,0.00683148991541965,0.00477251835500264,0.00889046147583666
2020-12-08,"Analamanga","Madagascar","MG","MDG",125,125,0.008,0,0.0236168670868465,0.008,0,0.0236168670868465,0.024,0,0.0508301817237139,0.008,0.00585485832983905,0.010145141670161
2020-12-09,"Analamanga","Madagascar","MG","MDG",129,129,0.00775193798449612,0,0.0228864530633032,0.00775193798449612,0,0.0228864530633032,0.0232558139534884,0,0.0492639618116449,0.00789820096533567,0.00579994962303278,0.00999645230763857
2020-12-10,"Analamanga","Madagascar","MG","MDG",130,130,0.00769230769230769,0,0.0227108546824709,0.00769230769230769,0,0.0227108546824709,0.0230769230769231,0,0.0488873715288082,0.00769230769230769,0.00562935160804899,0.0097552637765664
