"date","region","country","ISO2","ISO3","cli","anosmia","count","cli_local","count_local","cli_14days","anosmia_14days","count_14days","cli_local_14days","count_local_14days","p_cli","p_cli_low","p_cli_high","p_anosmia","p_anosmia_low","p_anosmia_high","p_cli_local","p_cli_local_low","p_cli_local_high","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-05-01,"Vitsyebsk","Belarus","BY","BLR",0,0,12,15,12,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0235849056603774,0.0117911032583416,0.0353787080624131,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-02,"-99","Belarus","BY","BLR",2,0,14,39,14,NA,NA,NA,NA,NA,0.142857142857143,0,0.326156802419226,0,0,0,0.0525606469002695,0.0365040982646638,0.0686171955358753,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-02,"Brest","Belarus","BY","BLR",0,0,14,35,14,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0471698113207547,0.0319157333417879,0.0624238892997215,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-02,"Homyel'","Belarus","BY","BLR",0,0,11,9,11,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0154373927958834,0.00542996512744385,0.0254448204643229,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-02,"Hrodna","Belarus","BY","BLR",0,0,13,11,13,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0159651669085631,0.00660614535013005,0.0253241884669962,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-02,"Mahilyow","Belarus","BY","BLR",0,0,7,11,7,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0296495956873315,0.01238983302142,0.0469093583532431,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-02,"Minsk","Belarus","BY","BLR",3,0,98,61,98,NA,NA,NA,NA,NA,0.0306122448979592,0,0.0647182935692618,0,0,0,0.0117443203696573,0.00881446809997606,0.0146741726393385,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-02,"Vitsyebsk","Belarus","BY","BLR",1,0,14,30,14,NA,NA,NA,NA,NA,0.0714285714285714,0,0.206333468106206,0,0,0,0.0404312668463612,0.0262588845996367,0.0546036490930857,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-03,"-99","Belarus","BY","BLR",1,1,25,12,25,NA,NA,NA,NA,NA,0.04,0,0.116814586821685,0.04,0,0.116814586821685,0.00905660377358491,0.00395569848656782,0.014157509060602,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-03,"Brest","Belarus","BY","BLR",0,0,18,18,18,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0188679245283019,0.0102341698193284,0.0275016792372754,NA,NA,NA,NA,NA,NA,NA,NA,NA
