"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","stillsick_p_w_country","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","stillsick_p_w_provs","stillsick_p_m_provs","sumreach_provs","n_obs_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","stillsick_p_w_regs_rhs","stillsick_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESCB","ESS",581078,0.0410810810810811,0.061,0,0,0,0,925,15,581078,0,0,0,0,0,0,0,0,0.0410810810810811,0.061,0,0,0,0,925,925,0.0410810810810811,0.061,0,0,0,0
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESCE","ESCE",84777,0,0,0,0,0,0,100,1,84777,0,0,0,0,0,0,100,1,0,0,0,0,0,0,100,100,0,0,0,0,0,0
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESCL","ESAV",157640,0,0,0,0,0,0,0,0,2399548,0.0538888888888889,0.0637069597069597,0.000560224089635854,0.00114942528735632,0.00280112044817927,0.00304597701149425,1800,30,0.0433065508355926,0.0360588403871618,0.0185995790781338,0.0160324895910952,0.0138119549552203,0.00624407596764057,607,607,0.0512202228322412,0.0567346255037535,0.00510940916567169,0.0049026533855572,0.00557784522830968,0.00385247724679995
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESCL","ESLE",460001,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0666666666666667,0,0,30,1,2399548,0.0538888888888889,0.0637069597069597,0.000560224089635854,0.00114942528735632,0.00280112044817927,0.00304597701149425,1800,30,0.0433065508355926,0.0360588403871618,0.0185995790781338,0.0160324895910952,0.0138119549552203,0.00624407596764057,607,607,0.0512202228322412,0.0567346255037535,0.00510940916567169,0.0049026533855572,0.00557784522830968,0.00385247724679995
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESCL","ESP",160980,0,0,0,0,0,0,1,1,2399548,0.0538888888888889,0.0637069597069597,0.000560224089635854,0.00114942528735632,0.00280112044817927,0.00304597701149425,1800,30,0.0433065508355926,0.0360588403871618,0.0185995790781338,0.0160324895910952,0.0138119549552203,0.00624407596764057,607,607,0.0512202228322412,0.0567346255037535,0.00510940916567169,0.0049026533855572,0.00557784522830968,0.00385247724679995
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESCL","ESSG",153129,0.05,0.05,0,0,0,0,20,1,2399548,0.0538888888888889,0.0637069597069597,0.000560224089635854,0.00114942528735632,0.00280112044817927,0.00304597701149425,1800,30,0.0433065508355926,0.0360588403871618,0.0185995790781338,0.0160324895910952,0.0138119549552203,0.00624407596764057,607,607,0.0512202228322412,0.0567346255037535,0.00510940916567169,0.0049026533855572,0.00557784522830968,0.00385247724679995
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESCL","ESSA",330119,0,0,0,0,0,0,16,2,2399548,0.0538888888888889,0.0637069597069597,0.000560224089635854,0.00114942528735632,0.00280112044817927,0.00304597701149425,1800,30,0.0433065508355926,0.0360588403871618,0.0185995790781338,0.0160324895910952,0.0138119549552203,0.00624407596764057,607,607,0.0512202228322412,0.0567346255037535,0.00510940916567169,0.0049026533855572,0.00557784522830968,0.00385247724679995
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESCL","ESZA",172539,0.015,0.015,0.015,0.015,0,0,200,1,2399548,0.0538888888888889,0.0637069597069597,0.000560224089635854,0.00114942528735632,0.00280112044817927,0.00304597701149425,1800,30,0.0433065508355926,0.0360588403871618,0.0185995790781338,0.0160324895910952,0.0138119549552203,0.00624407596764057,607,607,0.0512202228322412,0.0567346255037535,0.00510940916567169,0.0049026533855572,0.00557784522830968,0.00385247724679995
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESCL","ESVA",519546,0.108,0.075,0.02,0.00833333333333333,0.06,0.025,250,3,2399548,0.0538888888888889,0.0637069597069597,0.000560224089635854,0.00114942528735632,0.00280112044817927,0.00304597701149425,1800,30,0.0433065508355926,0.0360588403871618,0.0185995790781338,0.0160324895910952,0.0138119549552203,0.00624407596764057,607,607,0.0512202228322412,0.0567346255037535,0.00510940916567169,0.0049026533855572,0.00557784522830968,0.00385247724679995
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESCL","ESBU",356958,0,0,0,0,0,0,0,0,2399548,0.0538888888888889,0.0637069597069597,0.000560224089635854,0.00114942528735632,0.00280112044817927,0.00304597701149425,1800,30,0.0433065508355926,0.0360588403871618,0.0185995790781338,0.0160324895910952,0.0138119549552203,0.00624407596764057,607,607,0.0512202228322412,0.0567346255037535,0.00510940916567169,0.0049026533855572,0.00557784522830968,0.00385247724679995
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESCL","ESSO",88636,0.0777777777777778,0.075,0.0111111111111111,0.01,0.0222222222222222,0.0225,90,2,2399548,0.0538888888888889,0.0637069597069597,0.000560224089635854,0.00114942528735632,0.00280112044817927,0.00304597701149425,1800,30,0.0433065508355926,0.0360588403871618,0.0185995790781338,0.0160324895910952,0.0138119549552203,0.00624407596764057,607,607,0.0512202228322412,0.0567346255037535,0.00510940916567169,0.0049026533855572,0.00557784522830968,0.00385247724679995
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESCM","ESCU",196329,0,0,0,0,0,0,0,0,2032863,0.0589802130898021,0.0724893792274745,0,0,0.00420521446593776,0.00801810182762564,2628,30,0.0565997151144306,0.0565997151144306,0,0,0,0,450,450,0.058632187070011,0.0701663289185499,0,0,0.00359041702939715,0.00684586471832364
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESCM","ESTO",694844,0.0666666666666667,0.0666666666666667,0,0,0,0,390,7,2032863,0.0589802130898021,0.0724893792274745,0,0,0.00420521446593776,0.00801810182762564,2628,30,0.0565997151144306,0.0565997151144306,0,0,0,0,450,450,0.058632187070011,0.0701663289185499,0,0,0.00359041702939715,0.00684586471832364
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESCM","ESCR",495761,0,0,0,0,0,0,0,0,2032863,0.0589802130898021,0.0724893792274745,0,0,0.00420521446593776,0.00801810182762564,2628,30,0.0565997151144306,0.0565997151144306,0,0,0,0,450,450,0.058632187070011,0.0701663289185499,0,0,0.00359041702939715,0.00684586471832364
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESCM","ESGU",257762,0.266666666666667,0.266666666666667,0,0,0,0,60,1,2032863,0.0589802130898021,0.0724893792274745,0,0,0.00420521446593776,0.00801810182762564,2628,30,0.0565997151144306,0.0565997151144306,0,0,0,0,450,450,0.058632187070011,0.0701663289185499,0,0,0.00359041702939715,0.00684586471832364
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESCM","ESAB",388167,0,0,0,0,0,0,0,0,2032863,0.0589802130898021,0.0724893792274745,0,0,0.00420521446593776,0.00801810182762564,2628,30,0.0565997151144306,0.0565997151144306,0,0,0,0,450,450,0.058632187070011,0.0701663289185499,0,0,0.00359041702939715,0.00684586471832364
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESCN","ESTF",1032983,0.0149253731343284,0.020952380952381,0,0,0,0,134,5,2153389,0.0580645161290323,0.0791674284968003,0,0,0.00218579234972678,0.00264705882352941,1085,19,0.0331746640836458,0.0293762684463111,0,0,0,0,314,314,0.0524780875784595,0.0679920001509435,0,0,0.00169519992812977,0.00205293697178657
