ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
BY,BLR,Belarus,Minsk,2020-12-26,2020-12-26,113,6,113219.2124173406,3,56491.8388098764,178,111,2842080.813761975,98,3,6,104,3,22,88,3,15,95,2,40,71,1,40,72,3,19,91,3,15,95,3,17,93,3,6,104,3,15,95,3,14,96,3,29,81,3,8,102,1,37,75,107,3,2,1,91,3,9,10,98,3,10,2,73,6,14,20,73,6,19,15,94,3,9,7,98,3,8,4,96,4,9,4,107,1,4,1,98,3,10,2,99,1,8,5,84,6,10,13,105,3,3,2,76,6,16,15,1,1,60,51,54,0,25,34,3,1,60,49,53,2,25,33,88,13,9,3,88,11,14,0,102,0,2,9,0,31,0,30,52,113,4,0,23,39,27,20,6,6,23,37,41,6,12,23,34,38,6,8,45,26,28,6,12,10,24,61,6,12,3,11,81,83,17,1,12,83,14,7,9,83,13,7,10,83,12,10,8,83,14,5,11,83,15,8,7,113,0,0,0,113,0,0,0,113,0,0,0,113,0,0,0,113,0,0,0,113,0,0,0,113,0,0,0,113,0,0,0,113,0,0,0,113,0,0,0,113,0,0,0,113,0,0,0,6,4,44,59,6,2,86,19,6,5,47,55,6,3,54,50,6,5,24,78,6,5,29,73,7,0,55,51,58,0,32,16,3,4,7,2,2,6,45,51,7,2,104,0,8,2,28,75,8,1,70,17,8,3,2,4,8,1,40,16,24,24,8,0,21,47,29,8,9,0,20,83,1,10,1,19,82,1,69,4,37,3,27,4,79,3,66,8,29,10,59,6,34,14,89,3,18,3,84,1,25,3,11,2,3,5,28,28,36,11,3,4,4,30,27,34,11,1,28,61,8,4,11,2,4,12,28,56,11,1,20,39,25,17,54,9,41,9,54,25,15,19,54,20,26,13,11,1,67,34,79,18,16,97,1,0,1,0,0,6,2,6,30,0,0,15,6,10,0,3,5,9,1,4,7,2,0,4,17,13,1,46,52,0,1,13,0,3,18,38,19,12,10,0,14,5,78,13,3,14,4,30,38,22,3,2,8.242857142857142,7.511220040781337,3.4893617021276597,2.509740506467897,12.88659793814433,5.486491533491967,2.223404255319149,1.0989169185885674
BY,BLR,Belarus,Vitsyebsk,2020-12-26,2020-12-21,100,10,211269.8407716664,8,173650.43552203762,134,94,2281762.909739612,73,6,13,81,4,23,73,6,14,80,5,36,59,3,29,68,5,17,78,6,11,83,5,12,83,6,8,86,5,9,86,5,7,88,4,28,68,6,12,82,5,28,67,87,1,11,1,77,6,12,5,86,2,10,2,64,4,19,13,71,5,10,14,83,3,10,4,89,2,6,3,88,5,6,1,92,2,5,1,91,2,7,0,93,1,4,2,72,2,12,14,88,0,12,0,72,3,15,10,5,1,51,43,51,0,21,28,7,1,38,54,62,2,7,29,93,5,2,0,93,2,5,0,98,0,0,2,0,17,0,33,50,100,12,0,17,25,23,23,20,6,16,23,35,20,5,21,25,29,20,3,31,24,22,20,5,15,20,40,20,4,6,13,57,69,14,6,11,69,17,7,7,69,19,5,7,69,14,8,9,69,16,6,9,69,17,7,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,17,3,43,37,17,3,66,14,17,8,27,48,17,2,50,31,17,5,13,65,17,4,24,55,19,0,47,34,53,0,26,9,5,7,19,0,0,7,31,43,19,0,81,0,19,0,19,62,19,0,53,17,1,5,1,4,19,0,29,15,9,28,19,0,13,43,17,8,20,0,5,75,0,21,1,6,72,0,57,3,32,8,34,2,63,1,73,2,21,4,50,1,37,12,87,0,10,3,76,2,20,2,23,0,3,3,19,11,41,23,0,1,3,13,25,35,24,1,28,37,7,3,24,0,3,11,26,36,24,0,14,30,19,13,56,6,32,6,56,21,7,16,56,17,14,13,25,0,53,22,78,9,13,92,0,0,0,0,0,2,1,5,39,0,3,11,1,7,2,1,6,7,0,4,2,1,1,5,10,26,1,34,37,1,1,26,0,1,13,20,26,13,1,0,26,2,25,38,9,26,0,18,33,20,2,1,7.615384615384616,8.256082359545706,3.371428571428572,2.474406812880665,12.264705882352942,5.106675897114858,2.140845070422535,1.1249860271879866
BY,BLR,Belarus,-99,2020-12-27,2020-12-24,100,3,133124.92795700417,2,33791.447512198894,125,90,2487922.912420715,57,11,5,84,10,25,65,11,11,78,9,38,53,8,28,64,11,16,73,9,14,77,10,7,83,10,6,84,10,8,82,8,11,81,8,28,64,12,6,82,8,39,53,95,0,3,2,75,4,14,7,89,2,7,2,62,3,22,13,72,3,10,15,84,1,12,3,86,1,8,5,93,1,6,0,94,0,6,0,92,0,8,0,89,0,5,6,72,4,15,9,94,0,4,2,61,3,23,13,9,1,55,35,47,2,27,24,13,3,40,44,60,4,9,27,91,2,6,1,91,3,6,0,97,0,2,1,0,30,5,21,44,100,15,2,13,14,19,37,20,3,16,19,42,20,14,14,20,32,20,13,21,16,30,20,15,6,20,39,20,15,4,7,54,80,16,0,4,80,13,3,4,80,8,11,1,80,14,3,3,80,14,2,4,80,13,4,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,24,4,41,31,24,4,58,14,24,7,23,46,24,3,41,32,24,7,15,54,24,4,32,40,24,2,45,29,55,0,26,6,6,7,25,0,1,10,27,37,25,1,74,0,28,0,24,48,28,0,58,7,4,1,1,1,28,0,16,10,24,22,29,1,12,31,17,10,29,0,11,60,0,29,0,13,56,2,59,5,34,2,42,5,50,3,77,4,16,3,59,7,26,8,85,3,9,3,68,4,24,4,29,3,0,5,14,12,37,29,3,0,3,22,9,34,31,1,23,35,5,5,31,0,0,13,23,33,31,0,14,30,11,14,59,7,24,10,59,17,16,8,59,22,12,7,35,0,40,25,75,11,14,90,3,1,0,0,0,4,0,2,51,0,0,8,1,8,3,2,7,4,0,1,2,1,1,3,8,39,3,11,47,0,0,39,0,0,4,16,26,11,4,0,40,1,32,17,10,40,2,19,19,19,1,0,7.254901960784315,8.128574628444774,3.5000000000000004,2.516611478423583,11.88888888888889,5.833108710859451,2.2181818181818183,1.165728338388734
BY,BLR,Belarus,Brest,2020-12-27,2020-12-23,100,6,119886.67367256209,4,67911.0957945937,139,92,2671561.9654099005,73,2,9,89,3,19,78,2,7,91,1,45,54,1,22,77,2,27,71,1,15,84,2,12,86,1,6,93,1,8,91,2,12,86,1,28,71,2,13,85,3,28,69,91,1,6,2,81,1,13,5,93,1,5,1,55,3,24,18,78,1,15,6,73,2,16,9,85,0,13,2,88,0,10,2,94,0,6,0,92,1,7,0,88,1,9,2,72,1,16,11,87,1,10,2,72,1,20,7,8,0,52,40,48,0,16,36,8,0,37,55,64,1,9,26,91,5,4,0,91,2,7,0,98,0,1,1,0,19,2,33,46,100,10,0,14,28,19,29,11,9,20,22,38,11,9,20,26,34,11,6,30,19,34,11,9,10,22,48,11,11,4,9,65,68,17,5,10,68,16,3,13,68,13,9,10,68,13,9,10,68,14,6,12,68,17,4,11,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,13,5,32,50,13,2,75,10,13,8,24,55,13,3,50,34,13,5,14,68,13,4,20,63,14,0,50,36,50,0,33,10,1,6,14,0,2,4,33,47,14,0,86,0,14,0,20,66,14,0,58,20,3,1,2,2,14,0,24,13,24,25,15,2,12,38,27,6,15,0,12,73,0,15,1,13,71,0,68,0,28,4,25,0,73,2,76,1,19,4,50,1,36,13,86,0,13,1,80,0,20,0,17,1,1,8,18,21,34,17,1,0,7,22,23,30,18,0,29,44,5,4,18,0,3,17,24,38,18,0,14,37,22,9,51,6,32,11,51,18,9,22,51,12,22,15,20,0,49,31,69,13,18,88,2,0,0,1,1,1,1,6,41,0,2,11,3,9,1,0,6,6,0,4,1,2,0,3,11,23,0,28,48,0,1,23,0,2,7,31,21,8,7,1,26,0,25,39,10,26,0,14,38,18,3,1,6.72,7.483423858973993,3.289473684210526,1.9017473435628145,12.31060606060606,6.425768527227009,2.338235294117647,1.1539716507245885
BY,BLR,Belarus,Homyel',2020-12-27,2020-12-22,100,7,114638.7876300316,5,80642.2605036183,152,94,2673506.9255359853,69,2,13,85,5,24,71,3,15,82,2,42,56,3,35,62,3,22,75,5,7,88,5,12,83,5,5,90,3,12,85,4,24,72,3,25,72,4,15,81,2,37,61,87,2,8,3,76,0,10,14,85,1,12,2,58,4,25,13,65,3,16,16,78,2,18,2,93,0,4,3,88,1,9,2,95,0,4,1,88,2,8,2,76,3,18,3,75,2,9,14,85,2,10,3,63,4,19,14,5,1,55,39,46,0,24,30,7,1,45,47,55,1,19,25,81,15,3,1,81,8,11,0,92,0,3,4,1,28,0,33,39,100,10,0,17,19,25,29,14,3,22,17,44,14,4,25,23,34,14,3,33,18,32,14,5,14,18,49,14,5,6,5,70,69,13,4,14,69,15,5,11,69,13,6,12,69,15,5,11,69,13,6,12,69,11,12,8,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,17,4,36,43,17,1,64,18,17,4,25,54,17,2,44,37,17,5,10,68,17,3,27,53,19,1,44,36,56,0,34,5,2,3,19,0,1,4,40,36,19,0,81,0,19,0,25,56,19,0,54,14,5,1,1,6,19,0,33,9,23,16,19,1,13,40,22,5,21,0,13,65,1,23,1,14,61,1,64,3,32,1,36,3,59,2,75,2,21,2,56,3,31,10,90,2,8,0,73,3,18,6,25,3,0,2,18,19,33,25,2,0,2,20,19,32,25,0,28,41,5,1,25,0,1,15,23,36,25,0,11,35,12,17,55,8,26,11,55,9,22,14,55,12,20,13,26,0,49,25,75,14,11,86,1,0,0,2,0,5,0,6,39,0,0,7,8,7,1,1,5,7,2,0,3,3,0,2,15,28,1,32,39,0,0,28,0,4,16,24,17,10,1,0,30,3,33,31,3,30,3,7,40,16,3,1,9.906666666666666,9.214597115446773,3.1886363636363635,2.433890168652961,12.977777777777778,5.404790122881871,2.3582089552238807,1.1507769778049357
BY,BLR,Belarus,Hrodna,2020-12-27,2020-12-21,100,2,40518.5046121787,2,40518.5046121787,186,98,2410730.5034887926,71,3,8,89,5,23,72,5,10,85,3,38,59,5,25,70,4,22,74,5,17,78,4,9,87,5,9,86,4,10,86,6,13,81,4,26,70,5,11,84,3,38,59,92,0,7,1,77,1,10,12,90,0,8,2,62,5,18,15,75,3,10,12,78,3,12,7,83,2,7,8,91,1,8,0,91,1,6,2,90,0,9,1,87,0,11,2,74,4,10,12,89,0,10,1,62,1,20,17,2,0,52,46,50,0,19,31,4,4,55,37,46,3,14,37,86,10,3,1,86,2,12,0,99,0,0,1,0,26,1,24,49,100,6,1,9,28,24,32,16,4,12,26,42,16,7,16,23,38,16,8,28,15,33,16,10,13,17,44,16,10,1,6,67,76,12,4,8,76,12,2,10,76,14,3,7,76,11,8,5,76,14,3,7,76,12,4,8,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,9,3,44,44,9,1,69,21,9,4,21,66,9,4,48,39,9,3,26,62,9,3,21,67,14,1,47,38,53,0,22,13,6,6,16,2,0,11,35,36,16,2,82,0,16,1,18,65,16,0,59,16,2,4,0,3,16,0,30,13,16,25,18,1,17,32,21,11,18,0,12,68,2,19,3,12,65,1,58,3,35,4,34,3,60,3,81,1,18,0,54,3,32,11,74,2,18,6,80,3,15,2,22,2,0,7,18,25,26,22,2,1,7,21,18,29,23,1,24,41,6,5,23,1,7,10,20,39,23,0,19,30,21,7,51,3,36,10,51,19,16,14,51,19,18,12,23,1,49,27,73,12,15,89,2,1,0,0,0,4,1,3,41,0,4,9,1,10,1,0,3,9,0,2,3,2,1,2,12,27,4,28,41,0,0,27,1,3,7,23,22,14,3,0,27,4,22,39,8,27,4,15,29,21,3,1,7.888888888888889,8.084455636532871,4.828571428571428,3.52708606847831,13.088235294117649,5.509111297395791,2.1449275362318843,1.19158029423659
BY,BLR,Belarus,Minsk,2020-12-27,2020-12-27,149,12,267670.2940709625,7,184080.09750506683,215,134,3366655.1401696503,108,1,17,131,5,36,108,4,17,128,1,66,82,2,58,89,3,41,105,4,26,119,2,24,123,4,8,137,3,14,132,2,24,123,2,53,94,3,17,129,3,48,98,132,3,10,4,113,4,17,15,132,0,12,5,83,7,26,33,91,7,23,28,108,4,20,17,123,1,13,12,125,5,14,5,141,2,5,1,135,1,11,2,125,4,13,7,96,8,21,24,132,2,8,7,101,3,27,18,15,0,76,58,76,0,30,43,20,1,64,64,85,1,30,33,119,21,8,1,119,10,20,0,139,0,1,8,1,52,0,44,53,149,22,0,27,35,32,33,24,5,28,40,52,24,8,22,43,52,24,9,39,40,37,24,11,14,23,77,24,9,6,10,100,107,16,9,17,107,14,10,18,107,17,9,16,107,18,5,19,107,19,6,17,107,17,9,16,149,0,0,0,149,0,0,0,149,0,0,0,149,0,0,0,149,0,0,0,149,0,0,0,149,0,0,0,149,0,0,0,149,0,0,0,149,0,0,0,149,0,0,0,149,0,0,0,26,4,34,85,26,4,84,35,26,6,43,74,26,1,61,61,26,3,17,103,26,4,39,80,28,0,64,57,85,0,46,12,4,2,28,1,0,11,47,62,28,1,120,0,28,2,26,93,28,0,84,20,6,3,1,7,28,1,36,27,35,22,28,2,30,53,28,8,28,1,14,106,0,30,2,14,103,0,115,1,26,7,66,0,79,4,107,0,38,4,89,1,43,16,132,1,10,6,110,0,38,1,30,3,1,10,30,29,46,30,1,2,12,32,26,46,32,1,38,66,9,3,32,1,2,17,28,69,32,1,21,47,27,21,82,7,49,11,82,26,17,24,82,25,20,22,33,0,75,41,108,20,21,131,1,0,1,0,0,4,3,9,57,1,1,16,10,15,0,2,4,8,0,3,6,4,2,3,17,37,0,46,65,1,0,37,0,10,25,39,23,11,3,1,40,3,84,15,7,40,3,34,47,21,3,1,8.538461538461538,8.742371522021918,3.5740740740740735,2.4231731251418056,13.727722772277227,5.3373798592920325,2.30188679245283,1.1055686864213041
BY,BLR,Belarus,Vitsyebsk,2020-12-27,2020-12-22,100,9,193613.7129145952,7,155994.3076649664,136,95,2214129.9571013874,74,5,13,82,4,22,74,5,13,82,4,38,58,2,29,69,4,18,78,5,10,85,4,12,84,5,9,86,4,9,87,4,8,88,3,28,69,5,14,81,4,30,66,87,1,11,1,78,5,12,5,87,2,9,2,62,4,17,17,71,5,11,13,82,3,10,5,90,2,5,3,88,5,6,1,91,2,5,2,91,2,7,0,92,1,3,4,72,2,11,15,86,0,14,0,70,3,13,14,4,1,52,43,50,0,20,30,6,1,40,53,60,2,10,28,90,8,2,0,90,4,6,0,96,0,0,4,0,19,0,31,50,100,11,0,17,27,24,21,15,6,19,25,35,15,5,23,29,28,15,3,32,29,21,15,5,16,23,41,15,4,6,16,59,71,12,7,10,71,15,7,7,71,18,4,7,71,12,8,9,71,14,6,9,71,15,8,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,16,2,44,38,16,2,66,16,16,6,27,51,16,1,49,34,16,3,13,68,16,2,23,59,18,0,51,31,49,0,29,11,3,8,18,0,0,8,31,43,18,0,82,0,19,0,18,63,19,0,56,16,1,4,1,3,19,0,28,16,11,26,19,0,13,43,18,7,20,0,7,73,0,21,1,7,70,1,56,3,32,9,34,2,63,1,73,2,21,4,51,1,35,13,87,0,10,3,77,2,19,2,24,0,3,4,19,10,40,24,0,1,4,13,23,35,25,1,29,37,5,3,25,0,3,12,23,37,25,0,15,29,18,13,56,7,31,6,56,18,9,17,56,15,15,14,26,0,55,19,81,7,12,93,0,0,0,0,0,2,1,4,38,0,4,10,1,6,2,0,6,10,0,4,2,1,1,4,11,26,1,34,37,1,1,26,0,1,13,22,25,12,1,0,26,3,23,38,10,26,0,19,35,18,1,1,7.641509433962264,8.306842266892074,3.5454545454545454,2.538342336679948,12.117647058823529,5.5785554535381445,2.0985915492957745,1.1358436710526774
BY,BLR,Belarus,-99,2020-12-28,2020-12-24,100,3,133124.92795700417,2,33791.447512198894,123,89,2480376.3919197368,56,11,5,84,10,25,65,11,11,78,9,39,52,8,28,64,11,17,72,9,14,77,10,7,83,10,6,84,10,8,82,8,11,81,8,28,64,12,6,82,8,39,53,95,0,3,2,75,4,14,7,89,2,7,2,61,3,23,13,72,3,10,15,83,2,12,3,86,1,8,5,93,1,6,0,94,0,6,0,92,0,8,0,89,0,5,6,72,4,15,9,94,0,4,2,61,3,23,13,10,1,54,35,48,2,26,24,14,3,39,44,61,4,9,26,91,2,6,1,91,3,6,0,97,0,2,1,0,31,5,20,44,100,16,2,12,14,19,37,21,3,16,19,41,21,14,13,20,32,21,13,20,16,30,21,15,6,19,39,21,15,4,7,53,81,15,0,4,81,12,3,4,81,7,11,1,81,13,3,3,81,13,2,4,81,13,3,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,25,4,40,31,25,4,57,14,25,7,23,45,25,3,40,32,25,7,15,53,25,4,31,40,25,2,44,29,56,0,26,5,6,7,26,0,1,10,27,36,26,1,73,0,29,0,24,47,29,0,57,7,4,1,1,1,29,0,16,10,23,22,30,1,12,30,17,10,30,0,10,60,0,30,0,12,56,2,60,5,33,2,43,5,49,3,77,4,16,3,60,7,26,7,85,3,9,3,69,4,23,4,30,3,0,5,14,12,36,30,3,0,3,22,9,33,32,1,23,34,5,5,32,0,0,13,23,32,32,0,14,30,11,13,59,7,24,10,59,17,16,8,59,22,12,7,36,0,39,25,75,11,14,90,3,1,0,0,0,4,0,2,52,0,0,7,1,8,3,2,7,4,0,1,2,1,1,3,8,40,3,11,46,0,0,40,0,0,4,16,25,11,4,0,41,1,31,17,10,41,2,18,19,19,1,0,7.153846153846153,8.081410805256608,3.5555555555555554,2.5469942063498077,11.773584905660377,5.826469802791799,2.240740740740741,1.1644933335872956
BY,BLR,Belarus,Brest,2020-12-28,2020-12-23,100,6,119886.67367256209,4,67911.0957945937,139,91,2667474.8040135005,72,2,9,89,3,19,78,2,7,91,1,46,53,1,22,77,2,28,70,1,15,84,2,12,86,1,6,93,1,8,91,2,12,86,1,29,70,2,13,85,3,29,68,91,1,6,2,81,1,13,5,93,1,5,1,54,3,24,19,78,1,15,6,72,2,17,9,85,0,13,2,88,0,10,2,94,0,6,0,92,1,7,0,88,1,9,2,71,1,16,12,87,1,10,2,71,1,21,7,9,0,52,39,48,0,16,36,9,0,36,55,65,1,9,25,91,5,4,0,91,2,7,0,98,0,1,1,0,20,2,33,45,100,11,0,14,27,19,29,12,9,20,21,38,12,9,20,25,34,12,6,30,18,34,12,9,10,21,48,12,11,4,9,64,68,17,5,10,68,16,3,13,68,13,9,10,68,13,9,10,68,14,6,12,68,17,4,11,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,14,5,31,50,14,2,74,10,14,8,23,55,14,3,49,34,14,5,14,67,14,4,20,62,15,0,49,36,51,0,32,10,1,6,15,0,2,4,33,46,15,0,85,0,15,0,20,65,15,0,57,20,3,1,2,2,15,0,24,13,23,25,16,2,12,37,27,6,16,0,12,72,0,16,1,13,70,0,69,0,27,4,26,0,72,2,77,1,18,4,51,1,35,13,86,0,13,1,80,0,20,0,18,1,1,8,18,20,34,18,1,0,7,22,22,30,19,0,28,44,5,4,19,0,3,17,23,38,19,0,14,36,22,9,52,6,31,11,52,18,9,21,52,12,22,14,21,0,48,31,69,13,18,88,2,0,0,1,1,1,1,6,42,0,2,11,3,9,1,0,6,6,0,4,1,2,0,2,11,24,0,27,48,0,1,24,0,2,7,30,21,8,7,1,27,0,24,39,10,27,0,14,37,18,3,1,6.72,7.483423858973993,3.289473684210526,1.9017473435628145,12.31060606060606,6.425768527227009,2.338235294117647,1.1539716507245885
