ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C12..99,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
BO,BOL,Bolivia,La Paz,2020-12-24,2020-12-24,137,3,16662.916524968892,1,5997.24763560059,56,127,1328780.6671779635,94,3,7,127,2,18,117,2,11,124,2,35,100,3,33,101,3,21,113,3,26,108,3,15,119,2,19,116,3,8,126,3,30,104,2,42,93,2,11,124,2,37,98,130,0,5,2,119,1,10,7,126,0,7,4,102,2,21,12,104,0,18,15,116,1,13,7,111,1,14,11,122,0,10,5,118,1,14,4,129,0,6,2,107,2,18,10,95,1,19,22,126,1,7,3,100,2,23,12,10,0,30,97,109,0,15,13,13,1,40,83,97,0,9,31,128,2,7,0,128,0,5,4,0,133,0,2,2,0,24,2,23,88,137,0,0,0,0,17,0,48,50,12,10,20,3,69,34,11,20,9,65,32,11,20,8,60,33,16,20,9,45,39,24,20,9,16,22,70,114,7,12,4,114,10,9,4,114,7,12,4,114,10,7,6,114,11,6,6,114,9,8,6,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,23,3,58,53,23,1,97,16,23,3,55,56,23,2,54,58,23,3,37,74,23,0,78,36,23,0,66,48,71,0,40,14,6,6,25,2,0,21,50,39,25,2,110,0,26,0,14,97,26,1,95,12,2,0,0,1,26,1,24,36,30,20,30,0,26,58,23,0,137,137,79,1,57,0,40,1,93,3,82,1,51,3,83,1,40,13,100,1,32,4,59,1,77,0,30,0,1,3,26,32,45,30,0,1,8,18,33,47,34,1,48,44,7,3,34,0,16,29,36,22,34,0,26,42,25,10,71,4,51,11,71,8,46,12,71,9,39,18,37,1,59,40,97,0,23,17,115,1,6,0,1,5,1,0,8,56,0,2,6,8,5,2,2,3,5,2,9,9,1,0,1,26,41,1,55,38,0,2,41,0,19,20,25,21,10,1,0,42,1,88,2,4,42,1,22,23,32,11,6,2.926829268292683,1.8310119161702587,2.130434782608696,1.217461883894185,12.011494252873565,6.635868448577552,2.776595744680851,1.7111541431113313
BO,BOL,Bolivia,Santa Cruz,2020-12-24,2020-12-24,143,5,45120.56472229557,2,15818.033983629877,94,131,1358656.2397747645,90,2,8,133,0,22,121,1,12,130,2,27,114,1,45,97,1,34,108,0,25,118,1,12,130,2,17,124,0,15,128,2,31,110,1,52,90,3,10,130,2,43,98,135,1,5,2,121,2,14,6,131,0,9,3,116,1,14,12,98,1,28,16,109,2,19,13,118,2,16,7,131,0,10,2,126,0,12,5,128,2,11,2,112,1,22,8,91,2,29,21,133,2,7,1,100,0,29,14,12,0,38,93,105,0,21,17,13,2,64,64,81,0,33,29,110,8,23,2,110,0,23,10,0,120,0,12,11,0,51,1,20,71,143,0,0,0,0,18,0,50,39,21,15,20,9,64,29,21,20,12,62,35,14,20,11,68,20,24,20,12,46,42,23,20,13,12,25,73,124,6,6,7,124,8,4,7,124,5,12,2,124,9,4,6,124,10,0,9,124,9,4,6,143,0,0,0,143,0,0,0,143,0,0,0,143,0,0,0,143,0,0,0,143,0,0,0,143,0,0,0,143,0,0,0,143,0,0,0,143,0,0,0,143,0,0,0,143,0,0,0,25,2,63,53,25,1,89,28,25,4,51,63,25,1,64,53,25,3,37,78,25,0,53,65,30,1,80,32,63,0,56,14,5,5,31,0,1,18,42,51,31,1,109,2,37,1,26,79,37,0,80,23,3,0,0,0,37,0,17,30,36,23,37,1,26,51,23,5,143,143,80,2,60,1,54,2,86,1,92,1,50,0,79,1,43,20,106,1,30,6,90,1,52,0,39,1,2,6,13,23,59,39,1,4,7,17,26,49,40,1,46,42,13,1,40,1,17,29,28,28,40,1,38,37,13,14,70,3,59,11,70,8,48,17,70,8,39,26,42,1,49,51,92,0,25,26,119,0,5,1,3,2,1,1,11,70,0,5,5,4,6,0,1,7,4,0,4,7,0,0,7,23,46,1,51,45,0,0,46,1,20,27,27,17,4,0,1,52,0,84,3,4,52,0,16,16,35,16,8,2.956989247311828,1.8528120724914547,2.6,1.8019597175101922,10.943820224719099,6.856250549949092,3.222222222222222,1.8709955156881972
BO,BOL,Bolivia,-99,2020-12-25,2020-12-22,100,0,0,0,0,18,80,1480614.2937583853,44,14,1,85,14,7,79,12,2,86,10,13,77,10,12,78,11,9,80,15,10,75,14,6,80,12,6,82,14,3,83,12,12,76,11,21,68,14,2,84,11,19,70,99,0,1,0,93,0,5,2,98,0,1,1,87,0,5,8,88,0,8,4,91,0,4,5,90,0,5,5,94,0,5,1,94,1,2,3,97,0,2,1,88,0,8,4,79,1,10,10,98,0,2,0,81,2,12,5,19,1,12,68,89,0,7,4,21,1,29,49,71,0,6,23,94,0,6,0,94,0,3,3,0,97,0,2,1,0,29,1,16,54,100,0,0,0,0,23,0,32,23,13,9,28,10,37,12,13,28,20,28,17,7,28,23,32,9,8,28,21,26,10,15,28,25,9,7,31,84,10,5,1,84,12,2,2,84,10,6,0,84,9,5,2,84,11,4,1,84,12,2,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,30,8,33,29,30,5,58,7,30,13,22,35,30,9,30,31,30,11,15,44,30,5,38,27,31,0,45,24,55,0,25,13,6,1,31,1,3,10,27,28,31,2,67,0,33,2,12,53,33,1,51,9,2,1,0,3,33,2,20,22,16,7,34,0,15,32,16,3,100,100,67,2,31,0,43,2,54,1,79,1,19,1,71,1,18,10,86,1,11,2,63,3,34,0,34,2,1,0,9,19,35,34,2,2,3,10,18,31,36,0,31,18,7,8,36,1,13,20,13,17,36,1,19,24,10,10,59,5,32,4,59,13,23,5,59,17,16,8,38,1,38,23,77,0,13,10,88,2,2,1,0,3,0,0,4,54,0,2,2,1,5,2,3,5,2,2,5,3,0,0,2,12,50,1,21,27,0,1,50,0,8,15,10,10,5,2,0,55,1,33,6,5,55,1,11,13,13,5,2,2.896551724137931,2.093268592181801,1.6666666666666667,0.8660254037844386,11.108108108108109,5.848949496295058,2.5681818181818183,1.4690247876188058
BO,BOL,Bolivia,Chuquisaca,2020-12-25,2020-12-21,100,1,7309.35919749832,0,0,21,92,1170064.1125172088,67,4,4,92,4,9,87,4,4,92,3,16,81,3,23,74,2,20,78,3,10,87,4,4,92,4,7,89,4,3,93,3,16,81,2,28,70,4,8,88,3,25,72,96,0,2,2,91,0,5,4,96,0,3,1,84,0,5,11,77,1,11,11,80,1,10,9,90,1,7,2,96,0,4,0,93,0,3,4,97,0,2,1,84,0,6,10,72,1,14,13,92,0,5,3,75,0,15,10,8,0,12,80,88,1,3,8,10,1,33,56,67,1,5,27,95,1,3,1,95,0,1,4,0,99,0,1,0,0,17,0,23,60,100,0,0,0,0,14,0,25,38,16,7,19,1,44,22,14,19,6,44,21,10,19,6,42,13,20,19,7,32,24,18,19,9,5,18,49,80,9,5,6,80,10,5,5,80,10,7,3,80,8,9,3,80,12,4,4,80,11,3,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,21,4,37,38,21,2,67,10,21,6,41,32,21,5,43,31,21,4,24,51,21,3,39,37,22,0,55,23,45,0,30,16,5,4,23,1,1,13,34,28,23,1,75,1,24,0,14,62,24,0,59,13,1,0,0,3,24,0,15,14,33,14,24,1,22,37,12,4,100,100,63,0,37,0,34,1,64,1,59,1,38,2,57,1,27,15,76,0,20,4,61,0,39,0,29,1,1,4,10,23,32,29,0,1,3,13,29,25,29,0,35,29,2,5,29,0,13,18,23,17,29,0,25,23,14,9,52,4,35,9,52,5,37,6,52,8,29,11,30,1,36,33,67,0,15,18,85,1,4,0,1,1,0,1,7,49,1,1,3,3,6,2,3,4,2,0,2,2,3,0,1,18,33,0,36,31,0,0,33,0,20,18,16,9,4,0,0,33,2,60,4,1,33,1,13,20,13,9,11,2.8333333333333335,1.7777450206625713,1.9,1.286683937707919,13.476190476190474,6.4878475551308625,3.2,1.688194301613413
BO,BOL,Bolivia,Cochabamba,2020-12-25,2020-12-24,100,1,6425.38583773614,1,6425.38583773614,40,92,1109619.7627233544,55,4,1,95,2,15,83,4,3,93,2,14,84,2,26,72,3,18,79,3,29,68,2,8,90,2,4,94,1,5,94,1,15,84,2,25,73,2,6,92,3,24,73,99,0,0,1,85,1,7,7,97,1,2,0,86,1,10,3,74,1,15,10,82,1,13,4,71,1,12,16,92,1,3,4,96,0,2,2,95,0,3,2,85,1,7,7,75,1,14,10,94,0,4,2,76,1,13,10,8,0,24,68,78,0,9,13,11,2,34,53,66,0,10,24,90,2,8,0,90,0,8,1,1,93,0,5,2,0,23,2,17,58,100,0,0,0,0,13,0,30,28,19,10,16,2,39,24,19,16,6,43,17,18,16,6,40,15,23,16,6,33,25,20,16,8,10,10,56,84,5,7,4,84,6,2,8,84,2,10,4,84,6,6,4,84,7,1,8,84,5,5,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,19,5,39,37,19,1,65,15,19,6,33,42,19,4,48,29,19,6,24,51,19,3,32,46,19,0,55,26,45,0,33,10,5,7,22,0,1,14,24,39,22,1,75,2,25,1,12,62,25,0,55,13,1,4,0,2,25,0,15,20,27,13,27,0,19,37,15,2,100,100,61,2,34,3,35,0,64,1,67,0,31,2,52,0,37,11,76,1,17,6,68,0,30,2,29,1,1,6,11,21,31,29,0,2,7,10,22,30,32,3,31,21,8,5,32,1,9,14,29,15,32,0,16,22,22,8,63,5,28,4,63,7,23,7,63,9,18,10,34,0,33,33,67,0,18,15,83,0,2,1,0,5,1,0,8,50,0,2,1,4,7,0,0,0,3,1,5,2,5,0,1,19,39,2,36,22,1,0,39,0,8,15,13,10,12,3,0,44,1,46,5,4,44,0,8,12,20,10,6,2.8627450980392157,1.876375312597533,2.066666666666667,1.3870146083619754,11.642857142857142,6.955517290555806,2.6037735849056602,1.7903547418309358
BO,BOL,Bolivia,La Paz,2020-12-25,2020-12-25,130,4,54418.91973932194,2,19471.64543188133,48,122,1381281.1082454086,100,2,8,120,2,16,112,2,9,119,1,34,95,1,41,88,2,32,96,1,21,108,2,9,119,2,17,111,2,6,122,1,24,105,0,41,89,2,10,118,2,43,85,122,1,6,1,114,1,12,3,121,1,5,3,96,1,25,8,89,1,22,18,98,2,24,6,109,2,12,7,121,1,8,0,113,0,12,5,124,0,4,2,106,0,17,7,89,2,23,16,120,1,8,1,87,2,21,20,7,1,23,99,108,0,13,9,8,4,30,88,100,1,5,24,125,2,3,0,125,0,4,1,0,126,0,1,3,0,18,3,31,78,130,0,0,0,0,9,0,42,49,11,19,11,5,59,32,23,11,11,67,24,17,11,6,45,43,25,11,8,35,42,34,11,8,9,24,78,100,5,14,11,100,8,11,11,100,5,17,8,100,9,8,13,100,10,1,19,100,8,10,12,130,0,0,0,130,0,0,0,130,0,0,0,130,0,0,0,130,0,0,0,130,0,0,0,130,0,0,0,130,0,0,0,130,0,0,0,130,0,0,0,130,0,0,0,130,0,0,0,12,5,56,57,12,3,95,20,12,7,45,66,12,4,68,46,12,6,33,79,12,1,81,36,13,2,74,41,56,0,40,12,11,11,15,0,1,17,56,41,15,2,113,0,16,0,21,93,16,0,83,18,4,5,1,3,16,0,18,31,38,27,16,4,25,61,19,5,130,130,75,2,48,5,36,2,87,5,85,1,41,3,62,3,39,26,97,0,25,8,50,2,74,4,17,0,1,4,25,34,49,17,0,3,12,20,38,40,18,2,62,32,12,4,18,0,18,43,40,11,18,0,31,54,20,7,46,4,64,16,46,11,51,22,46,12,48,24,20,0,68,42,88,0,24,18,106,2,4,0,1,5,3,2,7,40,0,2,13,7,6,0,2,8,3,2,5,3,3,0,3,33,24,1,57,47,0,1,24,0,25,33,23,15,9,1,0,28,2,93,6,1,28,1,15,23,39,12,12,3.0623529411764707,2.168386303144314,2.25,1.2085223687584246,12.204081632653061,6.853337186451981,3.01980198019802,1.7261529365603847
BO,BOL,Bolivia,Oruro,2020-12-25,2020-12-21,100,1,6538.232652816821,1,6538.232652816821,29,91,1334362.6970225137,64,5,4,91,8,15,77,6,8,86,6,15,79,5,27,68,4,22,74,7,17,76,7,10,83,5,6,89,6,2,92,5,16,79,3,22,75,7,3,90,5,36,59,96,0,1,3,85,0,9,6,92,0,4,4,85,0,7,8,73,2,12,13,78,1,12,9,83,1,8,8,90,1,7,2,94,0,5,1,98,0,0,2,84,2,8,6,78,2,11,9,97,1,0,2,64,2,18,16,9,0,16,75,84,0,9,7,9,0,26,65,75,0,5,20,95,2,3,0,95,0,4,1,0,96,0,3,1,0,16,1,23,60,100,0,0,0,0,12,2,34,36,6,10,27,5,36,16,16,27,12,35,19,7,27,11,39,16,7,27,13,31,20,9,27,11,10,15,37,77,7,7,9,77,9,7,7,77,7,9,7,77,10,5,8,77,10,2,11,77,8,7,8,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,14,6,39,41,14,1,69,16,14,6,37,43,14,4,37,45,14,4,23,59,14,0,46,40,18,0,41,41,59,0,27,5,3,6,20,0,1,21,33,25,20,1,79,0,25,0,21,54,25,0,60,12,2,1,0,0,25,0,17,20,25,13,25,3,20,38,13,1,100,100,61,2,37,0,31,2,64,3,63,3,32,2,63,2,25,10,77,2,16,5,54,1,43,2,26,1,1,4,13,17,38,26,0,1,8,22,19,24,26,0,43,22,7,2,26,0,14,32,19,9,26,2,27,27,14,4,46,7,40,7,46,13,32,9,46,13,32,9,28,0,31,41,59,0,19,22,81,0,5,0,2,4,0,1,7,50,0,2,4,4,5,2,1,6,2,3,3,2,4,0,2,10,33,1,40,25,0,1,33,0,13,17,17,10,8,2,0,36,0,55,6,3,36,1,16,13,12,10,12,3.2222222222222223,1.9968528698048333,2.090909090909091,1.8683974659876548,11.483333333333333,6.6063443227502505,2.7777777777777777,1.669889357397615
BO,BOL,Bolivia,Potos<c3><ad>,2020-12-25,2020-12-21,100,4,68951.72475917087,2,23203.741999576967,31,94,2146895.4189722408,63,4,6,90,3,12,85,4,5,91,4,23,73,3,21,76,4,20,76,4,16,80,4,6,90,3,13,84,3,7,90,3,18,79,4,28,68,3,3,94,4,31,65,94,1,4,1,88,1,6,5,95,1,3,1,77,0,14,9,79,1,10,10,80,1,14,5,84,2,8,6,94,1,3,2,87,0,8,5,93,0,4,3,82,1,10,7,72,1,17,10,97,0,1,2,69,0,19,12,6,0,20,74,81,0,7,12,7,2,29,62,71,1,6,22,94,1,4,1,94,0,2,4,0,98,0,2,0,0,16,2,22,60,100,0,0,0,0,9,0,32,40,9,10,21,4,47,20,8,21,6,43,22,8,21,4,44,21,10,21,4,36,24,15,21,5,11,20,43,78,5,14,3,78,6,9,7,78,2,14,6,78,5,8,9,78,6,7,9,78,7,7,8,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,11,2,42,45,11,3,74,12,11,3,43,43,11,3,47,39,11,3,33,53,11,2,54,33,15,0,48,37,52,0,29,12,1,6,15,1,4,19,42,19,15,1,82,2,18,1,20,61,18,0,64,13,3,1,0,1,18,0,21,26,22,13,18,1,12,48,17,4,100,100,58,2,38,2,26,2,70,2,57,1,39,3,53,1,32,14,67,0,30,3,46,1,51,2,20,0,0,8,17,26,29,20,0,2,8,20,29,21,22,3,28,34,6,7,22,1,8,37,19,13,22,1,28,28,10,11,44,3,46,7,44,10,33,13,44,12,34,10,25,1,40,34,66,0,16,18,86,1,3,0,0,2,1,1,6,48,0,2,5,4,8,1,1,10,0,1,3,1,3,1,2,10,34,1,35,29,0,1,34,0,13,29,13,7,3,0,1,35,1,52,10,2,35,0,14,15,24,8,4,2.9827586206896552,1.960051729628358,1.5294117647058822,0.9432422182837985,10.032786885245901,6.210118659936524,2.5873015873015874,1.652319197418807
BO,BOL,Bolivia,Santa Cruz,2020-12-25,2020-12-25,148,5,143361.80595356814,2,19889.97221660587,88,139,1447488.4223650007,97,5,11,132,5,22,121,5,8,135,5,17,126,3,28,117,5,24,119,4,18,126,5,12,131,6,12,130,4,14,130,4,25,119,1,44,103,5,8,135,4,31,113,137,1,7,3,126,2,12,8,140,1,6,1,131,2,8,7,120,4,15,9,124,2,15,7,130,2,12,4,136,2,6,4,136,1,7,4,134,2,9,3,123,1,16,8,104,3,22,19,140,2,5,1,117,3,19,9,9,0,40,99,112,0,20,16,15,1,53,79,95,0,19,34,129,5,13,1,129,0,11,8,0,137,1,7,3,0,37,2,23,86,148,0,0,0,0,18,1,49,46,22,12,22,6,69,36,15,22,7,67,36,16,22,10,59,26,31,22,8,53,41,24,22,10,18,28,70,125,8,9,6,125,7,8,8,125,5,13,5,125,8,7,8,125,10,4,9,125,10,7,6,148,0,0,0,148,0,0,0,148,0,0,0,148,0,0,0,148,0,0,0,148,0,0,0,148,0,0,0,148,0,0,0,148,0,0,0,148,0,0,0,148,0,0,0,148,0,0,0,28,6,56,58,28,4,99,17,28,7,48,65,28,4,62,54,28,7,37,76,28,4,51,65,30,0,69,49,79,1,38,18,8,4,31,1,1,14,47,54,31,2,115,0,34,1,25,88,34,2,85,19,5,2,0,1,34,1,29,32,25,27,34,1,30,58,19,6,148,148,92,2,52,2,50,2,93,3,101,2,43,2,88,1,36,23,113,2,24,9,97,0,51,0,36,2,2,4,16,32,56,36,2,2,6,12,36,54,36,3,50,42,8,9,36,2,18,28,36,28,36,3,36,40,17,16,77,6,56,9,77,12,44,15,77,15,37,19,42,3,65,38,110,0,18,20,130,2,7,0,1,3,0,1,4,65,0,5,10,8,6,5,2,4,4,0,2,5,5,3,3,21,48,2,61,37,0,0,48,1,19,23,25,23,8,1,0,50,4,84,6,4,50,4,11,23,29,19,12,3.1951219512195124,2.139799369793576,2.6551724137931036,1.798329821746626,11.818390804597701,6.207994259760296,3.131868131868132,1.9218555339901835
BO,BOL,Bolivia,Tarija,2020-12-25,2020-12-21,100,3,31878.03694325211,2,24085.1623570527,20,92,1114535.8926109958,69,6,8,86,3,12,85,6,3,91,4,21,75,4,18,78,4,23,73,4,15,81,6,4,90,6,8,86,5,3,92,3,21,76,5,32,63,6,5,89,3,27,70,92,1,1,6,88,0,5,7,97,0,2,1,79,0,11,10,82,1,8,9,77,1,12,10,85,0,7,8,96,0,3,1,92,0,7,1,97,0,1,2,79,1,10,10,68,1,15,16,95,1,3,1,73,2,11,14,8,0,10,82,90,0,4,6,9,0,37,54,63,1,9,27,91,2,7,0,91,0,4,5,0,96,0,3,1,0,20,1,21,58,100,0,0,0,0,11,0,27,36,17,9,13,5,39,26,17,13,3,42,26,16,13,2,38,29,18,13,3,25,37,22,13,4,9,19,55,80,6,10,4,80,10,4,6,80,5,11,4,80,8,5,7,80,10,2,8,80,10,6,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,17,2,38,43,17,0,66,17,17,2,32,49,17,0,45,38,17,1,25,57,17,1,37,45,18,0,44,38,56,0,31,4,5,4,19,0,3,18,29,31,19,1,80,0,19,0,9,72,19,0,59,13,3,2,0,4,19,0,24,27,21,9,21,0,19,36,20,4,100,100,63,0,35,2,35,1,63,1,69,1,28,2,56,0,23,21,76,1,19,4,64,1,35,0,24,0,0,3,14,18,41,24,0,1,6,10,21,38,26,1,34,29,5,5,26,0,12,25,23,14,26,0,28,28,12,6,44,3,47,6,44,8,31,17,44,9,32,15,27,0,39,34,66,0,16,18,85,0,3,0,2,0,0,2,8,46,0,2,5,7,7,0,0,4,1,0,0,3,2,0,2,21,29,1,30,40,0,0,29,0,23,24,15,4,4,1,0,30,1,54,9,6,30,1,16,10,25,10,8,2.7358490566037736,1.6887745146683508,2.4285714285714284,1.3972762620115438,9.868852459016393,8.092126646389204,2.772727272727273,1.8042296847255217
