ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C12..99,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AUS,Australia,Victoria,2021-01-02,2021-01-01,100,0,0,0,0,0,98,974660.3121522461,64,0,0,100,0,5,95,0,0,100,0,18,82,0,8,92,0,14,86,0,2,98,0,2,98,1,7,92,0,1,99,0,4,96,0,9,91,0,1,99,0,12,88,100,0,0,0,95,0,3,2,100,0,0,0,82,0,5,13,92,0,2,6,86,0,2,12,98,0,1,1,98,0,2,0,93,0,2,5,99,0,0,1,96,0,1,3,91,0,2,7,99,0,0,1,88,0,3,9,2,0,0,98,100,0,0,3,3,40,54,60,0,4,36,96,0,3,1,96,0,4,0,100,0,0,0,10,0,3,87,100,0,0,0,0,0,8,0,51,24,9,8,12,1,28,48,11,12,1,44,35,8,12,3,35,42,8,12,2,36,40,10,12,2,14,42,30,0,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,30,2,0,68,30,2,1,67,30,2,3,65,30,2,1,67,30,2,10,58,30,2,9,59,30,0,6,64,87,1,0,12,87,1,0,12,87,1,0,12,87,1,0,12,87,1,0,12,18,1,21,60,18,0,58,24,18,1,43,38,18,0,53,29,18,0,14,68,18,1,4,77,21,0,43,36,57,0,26,9,4,4,21,1,0,6,25,47,21,1,78,0,23,1,10,66,23,0,34,22,13,4,3,1,23,0,18,17,31,11,25,0,13,33,20,9,100,100,80,0,14,6,43,0,55,2,58,0,40,2,48,0,20,32,86,0,8,6,96,0,4,0,26,0,0,3,7,7,57,26,0,1,2,3,19,49,29,0,11,26,26,8,29,0,1,5,8,57,29,0,4,11,17,39,85,1,10,4,85,1,1,13,85,1,6,8,30,1,29,40,60,1,22,17,82,2,3,0,0,2,1,1,9,53,1,3,1,3,5,1,0,6,3,0,3,8,3,0,0,10,35,2,30,32,0,1,35,1,4,10,11,6,20,10,3,35,1,38,15,11,35,1,16,16,26,5,1,4.6571428571428575,5.9108218655319344,0,0,13.766129032258064,3.847202242907413,2.546875,1.3084546501230263
AUS,Australia,Western Australia,2021-01-02,2021-01-01,100,0,0,0,0,4,97,731075.9284337282,75,0,2,98,0,8,92,0,1,99,0,21,79,0,11,89,0,14,86,0,3,97,0,1,99,0,6,94,0,2,98,0,3,97,0,23,77,0,0,100,0,10,90,98,0,0,2,92,0,2,6,99,0,1,0,79,0,2,19,89,0,3,8,86,0,1,13,97,0,1,2,99,0,1,0,94,0,1,5,98,0,1,1,97,0,1,2,77,0,6,17,100,0,0,0,90,0,4,6,3,0,3,94,97,2,1,3,0,21,76,79,0,0,21,100,0,0,0,100,0,0,0,100,0,0,0,4,1,1,94,100,0,0,0,0,0,7,0,44,27,12,10,9,1,20,62,8,9,2,49,34,6,9,1,42,41,7,9,2,43,39,7,9,1,13,53,24,0,99,1,0,0,99,0,1,0,99,1,0,0,99,1,0,0,99,1,0,0,99,1,0,0,19,3,0,78,19,3,0,78,19,3,1,77,19,3,0,78,19,3,6,72,19,4,1,76,19,4,7,70,90,0,0,10,90,0,0,10,90,0,0,10,90,0,0,10,90,0,0,10,13,1,26,60,13,0,68,19,13,0,65,22,13,0,59,28,13,0,32,55,13,0,18,69,14,1,56,29,44,0,24,17,6,9,16,0,0,8,23,53,16,0,84,0,17,0,17,66,17,0,1,0,2,1,75,4,17,1,16,16,30,20,17,1,8,15,25,34,100,100,74,0,1,25,32,0,0,68,35,0,1,64,41,0,2,57,68,0,1,31,82,0,1,17,18,0,1,1,4,9,67,18,0,2,1,5,10,64,18,0,14,20,26,22,18,0,1,1,15,65,18,0,6,10,20,46,84,0,11,5,84,0,2,14,84,0,4,12,18,1,44,37,63,1,18,18,84,0,0,1,6,1,0,0,8,42,0,4,0,6,9,0,2,5,3,5,2,3,3,0,2,14,25,1,35,39,0,0,25,1,7,11,12,15,16,11,2,25,0,49,22,4,25,1,19,20,16,15,4,5.078947368421052,5.9519770912237515,1.3333333333333333,0.5773502691896257,13.056338028169016,3.8614849991150226,2.6133333333333333,1.567346986655022
AUS,Australia,-99,2021-01-03,2021-01-03,120,0,0,0,0,2,115,1158755.214343657,83,1,1,118,2,4,114,2,2,116,0,20,100,1,13,106,1,15,104,1,7,112,1,2,117,0,3,117,1,0,119,1,4,115,2,16,102,2,1,117,2,7,111,119,0,0,1,116,1,0,3,118,0,0,2,100,2,2,16,107,1,2,10,105,1,4,10,113,1,2,4,118,0,0,2,117,1,0,2,120,0,0,0,116,0,2,2,104,1,3,12,119,0,0,1,113,0,2,5,4,1,2,113,118,2,0,5,4,47,64,73,3,2,42,118,0,2,0,118,0,2,0,120,0,0,0,15,1,0,104,120,0,0,0,0,0,8,1,51,38,16,6,12,6,32,57,13,12,7,49,44,8,12,6,47,44,11,12,7,49,45,7,12,7,15,57,29,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,13,1,31,75,13,0,72,35,13,1,52,54,13,1,56,50,13,0,24,83,13,1,17,89,14,0,58,48,62,0,31,12,6,9,14,2,0,7,27,70,14,3,102,1,19,5,15,81,19,0,20,21,6,11,40,3,19,0,24,32,31,14,20,2,16,34,35,13,120,120,89,0,14,17,48,3,38,31,68,4,20,28,64,1,15,40,96,1,9,14,103,3,6,8,21,1,2,1,8,9,78,21,0,1,4,9,11,74,22,1,10,22,45,20,22,1,3,3,14,77,22,0,4,15,27,52,101,2,15,2,101,5,7,7,101,3,8,8,23,1,42,54,66,0,19,35,103,0,2,1,0,0,0,0,14,61,0,3,2,3,2,1,1,16,2,1,6,3,2,1,3,13,30,7,30,53,0,0,30,1,4,5,5,20,25,20,10,35,6,39,20,20,35,3,22,18,23,17,2,5.258064516129032,8.433930447644142,1,0,13.297297297297296,4.212602520128779,2.5128205128205128,1.3166623460856368
AUS,Australia,Australian Capital Territory,2021-01-03,2021-01-01,100,0,0,0,0,5,98,629516.9945335728,74,0,0,100,0,9,91,0,1,99,0,18,82,0,15,85,0,18,82,0,4,96,0,2,98,0,3,97,0,0,100,0,4,96,0,14,86,0,0,100,0,9,91,100,0,0,0,91,0,2,7,99,0,0,1,82,0,3,15,85,0,3,12,82,0,3,15,96,0,2,2,98,0,0,2,97,0,3,0,100,0,0,0,96,0,1,3,86,0,1,13,100,0,0,0,91,0,3,6,2,0,4,94,97,3,0,4,1,32,63,68,0,5,27,95,0,5,0,95,0,5,0,100,0,0,0,10,3,4,83,100,0,0,0,0,0,7,1,53,19,14,6,9,2,30,51,8,9,2,47,37,5,9,2,43,36,10,9,0,43,40,8,9,2,14,51,24,0,96,0,0,4,96,0,1,3,96,0,1,3,96,0,0,4,96,0,0,4,96,0,0,4,74,1,1,24,74,2,0,24,74,2,0,24,74,2,0,24,74,2,2,22,74,2,0,24,74,2,2,22,97,0,0,3,97,0,0,3,97,0,0,3,97,0,0,3,97,0,0,3,13,1,18,68,13,0,61,26,13,1,54,32,13,0,56,31,13,0,17,70,13,0,6,81,14,1,43,42,57,0,28,10,5,0,14,0,1,5,33,47,14,0,86,0,15,3,11,71,15,0,7,7,9,8,54,0,15,0,16,24,33,12,16,1,9,32,28,14,100,100,82,0,3,15,39,0,15,46,46,0,10,44,44,0,7,49,83,0,4,13,94,0,2,4,17,1,1,3,6,8,64,17,0,0,1,8,9,65,18,1,7,30,32,12,18,0,0,6,14,62,18,0,3,7,30,42,90,0,9,1,90,2,3,5,90,2,4,4,19,0,33,48,52,0,31,17,75,0,3,0,0,0,2,1,19,42,0,0,3,5,6,1,1,5,0,0,3,8,12,1,2,11,26,0,32,42,0,0,26,0,6,14,17,13,14,6,4,26,2,53,14,5,26,0,18,24,23,6,3,5.619047619047619,6.544229932720218,1.3333333333333333,0.5773502691896257,13.616438356164384,4.458544035476845,2.5833333333333335,1.4988258315226077
AUS,Australia,New South Wales,2021-01-03,2021-01-03,457,1,16398.5287614218,1,16398.5287614218,17,437,4805139.281955887,369,2,3,452,1,35,421,2,5,450,2,78,377,1,60,396,2,65,390,2,24,431,2,9,446,1,14,442,1,3,453,2,13,442,1,77,379,1,3,453,1,56,400,454,0,1,2,422,1,11,23,452,0,2,3,379,1,10,67,397,0,12,48,392,1,8,56,433,0,10,14,448,0,4,5,443,0,9,5,454,0,0,3,444,1,5,7,380,0,16,61,454,0,2,1,401,1,14,41,18,2,12,425,447,7,3,22,4,181,250,278,3,36,140,421,0,36,0,421,2,34,0,455,0,1,1,67,3,17,370,457,0,0,0,0,0,25,0,223,122,62,25,37,5,138,249,28,37,5,231,161,23,37,7,210,165,38,37,8,207,175,30,37,11,58,215,136,0,440,1,0,16,440,1,1,15,440,1,0,16,440,0,5,12,440,1,3,13,440,1,1,15,457,0,0,0,457,0,0,0,457,0,0,0,457,0,0,0,457,0,0,0,457,0,0,0,457,0,0,0,457,0,0,0,457,0,0,0,457,0,0,0,457,0,0,0,457,0,0,0,43,2,110,302,43,3,283,128,43,5,226,183,43,2,222,190,43,3,48,363,43,7,40,367,47,0,199,211,258,0,141,32,13,13,52,1,4,22,119,259,52,0,404,1,53,2,51,351,53,0,73,83,70,47,118,13,53,0,76,103,162,63,54,1,59,191,119,33,457,457,348,1,63,45,175,1,171,110,232,1,120,104,235,1,60,161,409,0,20,28,418,0,35,4,60,0,4,10,34,57,292,60,0,5,14,45,70,263,65,2,45,166,126,53,65,0,4,33,71,284,65,0,25,77,104,186,357,3,77,20,357,14,21,65,357,10,34,56,68,1,180,208,249,0,111,97,355,1,11,6,5,3,3,3,70,177,0,1,14,17,35,4,13,31,20,3,10,32,11,9,13,67,85,6,145,219,0,2,85,1,54,74,65,65,57,39,17,88,7,169,125,68,88,3,70,108,112,59,17,5.158244680851064,7.539948765320716,1.5,0.7071067811865476,14.175,3.9811446262122834,2.867403314917127,1.4216717551069091
AUS,Australia,Queensland,2021-01-03,2021-01-03,375,1,6034.06118689834,1,6034.06118689834,14,360,2964140.633996987,306,3,3,369,2,38,335,2,11,362,3,66,306,3,43,329,2,55,318,2,22,351,3,10,362,3,15,357,2,4,369,3,19,353,3,49,323,3,2,370,3,37,335,372,2,0,1,337,2,17,19,364,2,3,6,309,3,12,51,332,2,13,28,320,3,16,36,353,2,6,14,365,1,4,5,360,0,2,13,371,0,3,1,356,3,9,7,326,3,15,31,373,0,2,0,338,1,13,23,14,1,10,350,365,8,2,17,5,113,240,262,3,8,102,367,0,6,2,367,0,8,0,375,0,0,0,35,4,7,329,375,0,0,0,0,0,23,1,166,116,48,21,29,4,109,203,30,29,5,190,135,16,29,5,172,135,34,29,4,175,132,35,29,8,40,182,116,0,368,1,2,4,368,2,0,5,368,2,0,5,368,2,2,3,368,2,0,5,368,2,0,5,375,0,0,0,375,0,0,0,375,0,0,0,375,0,0,0,375,0,0,0,375,0,0,0,375,0,0,0,375,0,0,0,375,0,0,0,375,0,0,0,375,0,0,0,375,0,0,0,34,2,85,254,34,2,241,98,34,2,232,107,34,4,219,118,34,2,107,232,34,2,32,307,39,1,196,139,179,0,111,49,16,20,41,0,5,33,87,209,41,1,333,0,48,2,42,283,48,0,5,7,10,14,280,11,48,0,50,65,145,67,49,3,36,94,120,73,375,375,291,1,5,78,136,1,14,224,145,1,10,219,158,2,9,206,270,2,6,97,345,1,4,25,53,0,3,4,23,53,239,53,0,5,12,36,63,206,53,4,30,108,112,68,53,0,7,7,39,269,53,0,20,62,84,156,293,6,54,22,293,8,11,63,293,8,30,44,56,0,160,159,216,0,73,86,304,1,3,8,6,6,2,1,44,145,0,7,12,5,29,2,12,32,11,4,8,20,13,9,12,54,65,5,112,191,1,1,65,1,37,62,67,47,46,44,6,67,9,155,91,53,67,3,63,71,92,62,17,5.621276595744681,7.628347588442151,1.4444444444444444,0.7264831572567789,13.351666666666667,3.9563458896077672,2.9764309764309766,1.431823417924955
AUS,Australia,South Australia,2021-01-03,2021-01-03,137,0,0,0,0,8,133,1050351.1823321476,109,0,2,135,0,6,131,0,6,131,0,25,112,0,11,126,0,18,119,0,6,131,0,3,134,0,3,134,0,1,136,0,2,135,0,17,120,0,0,137,0,10,127,135,0,1,1,131,0,2,4,131,0,3,3,112,0,4,21,126,0,6,5,119,0,5,13,131,0,5,1,134,0,0,3,134,0,0,3,136,0,0,1,135,0,0,2,120,0,3,14,137,0,0,0,127,0,3,7,4,0,5,128,132,4,1,4,1,42,90,95,0,9,33,128,0,8,1,128,0,9,0,137,0,0,0,16,1,2,118,137,0,0,0,0,0,7,0,67,38,15,10,10,4,33,81,9,10,6,68,45,8,10,3,62,49,13,10,2,69,42,14,10,5,19,69,34,0,135,1,0,1,135,0,1,1,135,1,0,1,135,1,0,1,135,1,0,1,135,1,0,1,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,13,2,33,89,13,2,90,32,13,1,77,46,13,1,81,42,13,1,39,84,13,2,13,109,15,0,75,47,62,0,44,11,8,12,17,3,0,6,40,71,17,1,119,0,19,0,19,99,19,0,5,11,15,19,61,7,19,0,20,24,48,26,19,1,11,43,38,25,137,137,104,2,2,29,48,2,20,67,61,2,15,59,57,3,8,69,98,1,9,29,124,0,1,12,19,0,1,7,7,21,82,19,0,3,5,12,28,70,21,1,12,40,31,32,21,1,3,2,17,93,21,0,7,16,20,73,115,0,17,5,115,3,3,16,115,2,10,10,22,0,50,65,72,0,35,30,102,1,3,2,0,3,1,2,23,52,0,4,5,5,14,2,2,9,3,2,5,7,4,0,3,20,26,2,45,63,0,1,26,1,14,13,13,18,22,25,5,28,2,56,34,17,28,2,27,28,31,18,3,4.7875,6.444459717192096,1.6,0.8944271909999159,13.75462962962963,4.314448324818029,2.5700934579439254,1.3880361417505864
AUS,Australia,Tasmania,2021-01-03,2021-01-01,100,1,4845.43728542876,1,4845.43728542876,6,97,684547.7871911563,80,1,3,96,1,10,89,1,2,97,2,14,84,1,20,79,1,17,82,1,9,90,1,2,97,2,4,94,1,1,98,2,6,92,1,14,85,1,1,98,1,9,90,97,0,2,1,90,1,2,7,98,0,0,2,86,1,3,10,80,1,6,13,83,0,6,11,91,0,4,5,98,0,2,0,96,0,4,0,99,0,1,0,94,0,1,5,86,0,3,11,99,0,0,1,91,1,1,7,2,1,2,95,98,1,1,4,0,27,69,73,0,6,21,94,0,5,1,94,0,6,0,100,0,0,0,10,1,0,89,100,0,0,0,0,0,4,1,44,34,10,7,5,3,19,63,10,5,3,44,41,7,5,5,42,37,11,5,3,42,43,7,5,7,11,55,22,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,60,2,0,38,60,2,0,38,60,2,0,38,60,2,0,38,60,2,5,33,60,2,0,38,60,2,5,33,93,0,0,7,93,0,0,7,93,0,0,7,93,0,0,7,93,0,0,7,8,2,20,70,8,0,60,32,8,0,45,47,8,0,55,37,8,0,22,70,8,0,6,86,9,0,51,40,49,0,32,6,5,8,9,0,2,3,26,60,9,0,91,0,10,0,10,80,10,0,2,2,2,2,77,5,10,0,16,21,33,20,10,1,8,36,28,17,100,100,80,0,1,19,40,1,4,55,55,1,5,39,45,1,7,47,78,1,2,19,94,1,1,4,10,0,2,2,8,12,66,10,0,3,2,7,16,62,11,0,11,21,32,25,11,0,0,5,13,71,11,0,2,15,21,51,84,1,13,2,84,1,6,9,84,1,7,8,13,1,42,44,56,0,16,28,85,0,3,2,1,0,0,1,8,43,1,2,3,0,7,2,1,10,4,3,1,2,4,1,0,16,17,0,32,50,0,1,17,0,6,12,12,18,20,8,7,20,0,31,30,19,20,0,21,19,20,17,3,4,5.826867164470197,3,2.8284271247461903,13.271604938271606,3.5672550570397,3.0384615384615383,1.868691518685733
AUS,Australia,Victoria,2021-01-03,2021-01-03,416,0,0,0,0,26,407,3861979.6422864143,346,2,0,414,0,34,382,2,9,405,2,68,346,1,53,362,2,52,362,1,25,390,2,9,405,2,14,400,2,3,411,2,14,400,2,70,344,2,2,412,2,32,382,416,0,0,0,382,0,15,19,407,0,2,7,348,1,13,54,363,1,13,39,364,0,12,40,391,0,10,15,407,0,2,7,402,1,8,5,413,1,1,1,402,1,4,9,346,1,16,53,414,0,2,0,384,0,14,18,9,0,16,391,401,9,6,11,7,185,213,232,2,29,153,387,0,25,4,387,0,29,0,416,0,0,0,50,5,19,342,416,0,0,0,0,0,14,1,210,116,51,24,25,5,123,227,36,25,8,214,148,21,25,6,197,149,39,25,7,184,165,35,25,7,55,204,125,0,397,6,5,8,397,6,2,11,397,7,1,11,397,3,6,10,397,6,1,12,397,5,3,11,416,0,0,0,416,0,0,0,416,0,0,0,416,0,0,0,416,0,0,0,416,0,0,0,416,0,0,0,416,0,0,0,416,0,0,0,416,0,0,0,416,0,0,0,416,0,0,0,30,2,98,286,30,0,265,121,30,1,193,192,30,2,231,153,30,3,62,321,30,2,39,345,35,0,207,174,209,0,145,32,16,14,38,1,2,37,117,221,38,4,374,0,40,2,47,327,40,0,188,94,60,15,15,4,40,0,72,102,146,56,40,0,61,158,122,35,416,416,319,1,82,14,153,2,252,9,225,2,174,15,187,2,105,122,355,0,43,18,378,0,33,5,45,0,8,6,49,71,237,45,1,9,16,45,71,229,50,4,52,134,129,47,50,0,6,19,57,284,50,0,17,76,99,174,323,3,68,22,323,9,13,71,323,6,31,56,51,1,178,186,230,0,86,100,334,1,8,2,15,0,4,6,46,157,0,6,18,9,29,1,4,43,14,0,6,36,11,3,10,69,59,5,145,203,2,2,59,1,51,79,58,64,62,34,8,64,5,180,117,50,64,3,68,95,108,66,12,4.287425149700598,5.405376391391879,1.7142857142857144,0.8254203058555569,13.491176470588233,4.40048050789112,2.8497109826589595,1.438784683509739
AUS,Australia,Western Australia,2021-01-03,2021-01-03,191,0,0,0,0,22,187,1428863.731686704,157,0,0,191,1,19,171,0,3,188,0,36,155,0,27,164,0,29,162,0,12,179,0,2,189,0,3,188,0,1,190,0,10,181,0,24,167,0,3,188,0,17,174,191,0,0,0,172,0,10,9,188,0,2,1,155,0,9,27,164,0,9,18,162,0,6,23,179,0,8,4,189,0,2,0,188,0,2,1,190,0,0,1,181,0,5,5,167,0,4,20,188,0,3,0,174,0,5,12,4,0,11,176,180,5,6,4,2,48,137,143,0,9,39,182,0,9,0,182,0,9,0,191,0,0,0,17,4,5,165,191,0,0,0,0,0,7,1,94,42,33,14,8,3,66,99,15,8,2,97,74,10,8,5,83,75,20,8,4,82,82,15,8,4,32,100,47,0,186,2,1,2,186,2,0,3,186,2,0,3,186,1,2,2,186,2,1,2,186,2,1,2,191,0,0,0,191,0,0,0,191,0,0,0,191,0,0,0,191,0,0,0,191,0,0,0,191,0,0,0,191,0,0,0,191,0,0,0,191,0,0,0,191,0,0,0,191,0,0,0,9,2,70,110,9,1,130,51,9,2,129,51,9,1,130,51,9,2,80,100,9,1,35,146,13,1,120,57,71,0,55,38,8,19,14,2,2,16,61,96,14,1,174,2,15,3,29,144,15,1,3,0,2,3,162,5,15,0,26,30,67,53,15,1,13,49,65,48,191,191,121,0,4,66,61,1,5,124,62,1,5,123,61,0,7,123,111,0,1,79,156,0,2,33,17,1,5,2,10,23,133,17,1,2,6,13,30,122,21,1,27,39,61,42,21,0,3,7,28,132,21,0,10,25,50,85,156,1,26,8,156,5,6,24,156,3,11,21,26,0,90,75,116,0,47,28,149,1,4,2,2,2,1,2,28,59,0,2,9,3,9,6,4,20,2,15,9,6,7,4,6,30,32,0,72,87,0,0,32,1,16,29,22,34,37,17,3,34,4,91,42,20,34,1,31,24,54,39,8,4.77027027027027,6.887644879111282,2,1.2649110640673518,13.6258064516129,3.647002660247756,2.7254901960784315,1.6191099492819432
AUS,Australia,-99,2021-01-04,2021-01-03,100,0,0,0,0,2,95,996922.1739311372,60,1,1,98,2,3,95,2,2,96,0,19,81,1,14,85,1,15,84,1,5,94,1,2,97,0,3,97,1,0,99,1,4,95,2,15,83,2,1,97,2,6,92,99,0,0,1,97,1,0,2,98,0,0,2,81,2,2,15,86,1,2,11,85,1,5,9,95,1,2,2,98,0,0,2,97,1,0,2,100,0,0,0,96,0,2,2,85,1,3,11,99,0,0,1,94,0,2,4,4,1,2,93,98,2,0,5,5,33,57,67,3,1,29,99,0,1,0,99,0,1,0,100,0,0,0,15,0,0,85,100,0,0,0,0,0,8,1,43,28,14,6,12,6,25,46,11,12,5,40,35,8,12,6,38,35,9,12,7,37,38,6,12,7,13,46,22,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,13,1,29,57,13,0,62,25,13,1,45,41,13,1,44,42,13,0,22,65,13,1,15,71,14,0,45,41,55,0,21,8,7,9,14,2,1,6,20,57,14,3,82,1,20,4,14,62,20,0,18,13,6,8,32,3,20,0,22,19,26,13,21,2,15,24,26,12,100,100,71,0,11,18,38,3,32,27,55,4,17,24,56,1,13,30,78,1,7,14,85,3,6,6,22,1,2,0,8,7,60,22,0,1,4,7,9,57,23,0,9,17,32,19,23,1,2,1,10,63,23,0,2,10,20,45,88,1,10,1,88,2,5,5,88,1,7,4,24,1,36,39,61,0,15,24,87,0,1,1,0,0,0,0,11,51,0,2,2,3,2,1,1,12,1,2,6,1,1,1,3,11,31,3,24,42,0,0,31,1,4,5,2,16,19,16,6,36,4,30,16,14,36,3,19,14,16,11,1,5.517241379310345,8.65868964705058,1,0,12.803571428571429,4.214346246538636,2.3559322033898304,1.256194470234808
