ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
HU,HUN,Hungary,Somogy,2020-12-25,2020-12-22,100,0,0,0,0,14,97,485940.7339656502,84,0,0,100,0,11,89,0,2,98,0,23,77,0,21,79,0,13,87,0,4,96,0,2,98,0,5,95,0,1,99,0,4,96,0,16,84,0,3,97,0,9,91,100,0,0,0,89,0,4,7,98,0,2,0,77,0,2,21,79,0,2,19,87,1,4,8,96,0,2,2,98,0,1,1,95,0,1,4,99,0,1,0,96,0,1,3,84,1,1,14,97,0,0,3,91,0,3,6,2,1,8,89,92,0,2,6,2,2,21,75,79,0,9,12,91,0,8,1,91,0,2,7,0,98,1,1,0,13,1,18,68,100,0,0,0,0,0,2,0,23,22,25,28,2,2,22,42,32,2,5,35,34,24,2,8,26,35,29,2,6,13,29,50,2,9,6,17,66,0,82,4,2,12,82,4,3,11,82,3,8,7,82,4,1,13,82,4,2,12,82,1,6,11,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,4,3,27,66,4,2,56,38,4,6,21,69,4,3,51,42,4,3,5,88,4,3,9,84,5,0,53,42,47,0,39,10,3,1,5,1,0,4,33,57,5,1,94,0,5,2,13,80,5,0,66,15,5,1,0,8,5,0,40,17,21,17,5,0,12,42,23,18,6,1,23,70,0,6,0,15,79,0,73,0,15,12,44,0,56,0,79,0,21,0,49,0,22,29,95,0,5,0,91,0,9,0,7,0,0,2,13,23,55,7,0,2,2,13,15,61,7,1,31,42,11,8,7,0,5,14,23,51,7,0,14,31,18,30,56,1,33,10,56,5,13,26,56,5,21,18,8,1,43,48,52,0,23,25,77,1,3,1,3,3,1,0,11,34,0,3,5,1,8,2,2,4,3,0,4,1,5,5,5,18,13,0,36,51,0,0,13,0,3,9,13,26,20,15,1,16,3,7,42,32,16,3,7,33,26,13,2,2.425531914893617,2.184378141048324,2,1.5491933384829668,14.220238095238095,3.931913901725146,2.3333333333333335,0.9354143466934854
HU,HUN,Hungary,Szabolcs-Szatm<c3><a1>r-Bereg,2020-12-25,2020-12-23,100,0,0,0,0,15,92,760888.8231697013,66,1,0,99,1,14,85,1,4,95,1,25,74,1,20,79,1,9,90,1,10,89,2,1,97,2,2,96,1,5,94,2,3,95,1,16,83,1,2,97,1,6,93,100,0,0,0,86,1,2,11,96,1,1,2,75,2,5,18,80,0,3,17,91,1,3,5,90,0,2,8,99,0,0,1,98,0,0,2,95,0,4,1,97,1,0,2,84,1,3,12,98,0,0,2,94,1,4,1,7,1,8,84,92,0,4,4,7,1,28,64,72,0,8,20,92,2,6,0,92,0,2,6,0,98,0,2,0,16,2,11,71,100,0,0,0,0,0,8,1,30,22,17,22,8,10,24,38,20,8,6,34,37,15,8,9,29,36,18,8,8,22,34,28,8,11,14,24,43,0,89,4,2,5,89,4,3,4,89,3,3,5,89,5,1,5,89,5,1,5,89,5,0,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,9,1,21,69,9,1,55,35,9,2,10,79,9,0,53,38,9,0,3,88,9,0,5,86,12,1,46,41,54,0,28,11,2,5,14,0,0,4,22,60,14,0,86,0,15,1,7,77,15,0,70,9,1,0,0,5,15,0,30,18,20,17,16,3,11,38,22,10,17,0,17,66,0,17,0,13,68,2,80,0,18,2,46,0,52,2,90,0,10,0,48,0,28,24,97,0,3,0,95,0,5,0,17,0,1,0,8,19,55,17,0,0,2,10,22,49,20,1,39,29,7,4,20,0,4,13,20,43,20,0,12,22,17,29,66,4,19,11,66,4,10,20,66,2,18,14,20,0,42,38,62,0,18,20,83,0,1,0,1,1,1,0,13,41,0,4,1,5,3,1,3,5,9,0,1,3,9,1,0,14,31,3,35,31,0,0,31,1,4,5,9,21,16,12,1,33,3,13,23,28,33,2,5,25,29,4,2,4.325581395348837,4.433213014295818,2.1666666666666665,1.4719601443879744,14.545454545454545,3.084361637889875,2.4444444444444446,1.0438418150117503
HU,HUN,Hungary,Tolna,2020-12-25,2020-12-21,100,0,0,0,0,21,95,528241.8109716089,72,3,1,96,3,7,90,3,4,93,3,24,73,2,18,80,3,11,86,3,7,90,3,4,93,3,6,91,3,3,94,3,5,92,3,17,80,3,0,97,2,6,92,99,1,0,0,93,0,0,7,96,0,1,3,76,1,1,22,82,0,2,16,89,0,1,10,93,0,0,7,96,0,2,2,94,0,1,5,97,0,2,1,95,0,1,4,83,0,1,16,100,0,0,0,94,1,3,2,4,1,9,86,91,0,1,8,4,1,23,72,77,0,6,17,94,3,3,0,94,0,0,6,0,100,0,0,0,11,0,20,69,100,0,0,0,0,0,5,0,26,25,28,16,25,9,15,30,21,25,5,27,27,16,25,6,21,30,18,25,7,16,25,27,25,10,6,13,46,0,81,5,3,11,81,5,3,11,81,1,5,13,81,5,3,11,81,5,2,12,81,4,0,15,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,7,3,21,69,7,3,57,33,7,3,8,82,7,1,56,36,7,3,0,90,7,2,6,85,7,0,46,47,54,0,28,12,4,2,8,1,0,3,31,57,8,2,90,0,8,3,7,82,8,0,67,12,6,1,0,6,8,1,35,15,29,12,8,1,12,39,32,8,8,0,27,65,0,11,0,19,68,2,79,0,18,3,43,0,57,0,92,0,7,1,44,0,36,20,100,0,0,0,94,0,6,0,11,1,0,4,15,12,57,11,2,0,3,12,15,57,12,1,44,34,4,5,12,1,5,8,36,38,12,1,13,21,26,27,66,1,24,9,66,5,10,19,66,5,15,14,12,0,44,44,56,0,17,27,85,1,5,0,1,1,1,0,6,41,1,2,1,3,6,4,1,3,14,0,6,0,6,1,1,10,25,2,34,39,0,0,25,1,3,9,16,14,15,11,6,28,3,3,43,23,28,4,8,18,28,13,1,3.8205128205128203,3.085379741806039,3,1.5491933384829668,14.142857142857142,3.4944499029494756,2.5294117647058822,1.0143829568477123
HU,HUN,Hungary,Vas,2020-12-25,2020-12-21,100,0,0,0,0,21,96,608947.3439515531,71,0,0,100,0,13,87,0,0,100,0,17,83,0,16,84,0,6,94,0,1,99,0,4,96,0,3,97,0,3,97,0,4,96,0,11,89,0,0,100,0,4,96,100,0,0,0,87,0,3,10,100,0,0,0,83,2,2,13,84,2,2,12,94,0,2,4,99,0,0,1,96,0,2,2,97,0,0,3,97,0,2,1,96,1,0,3,89,0,3,8,100,0,0,0,96,1,1,2,3,1,9,87,91,0,4,5,3,0,38,59,62,0,12,26,88,2,10,0,88,0,2,10,0,98,0,2,0,15,0,11,74,100,0,0,0,0,0,3,1,26,23,30,17,6,2,33,42,17,6,4,36,38,16,6,3,29,40,22,6,3,17,30,44,6,4,6,23,61,0,89,4,2,5,89,3,3,5,89,1,4,6,89,4,2,5,89,4,2,5,89,4,1,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,5,2,34,59,5,0,57,38,5,4,15,76,5,2,58,35,5,2,1,92,5,1,6,88,6,0,58,36,42,0,42,9,2,5,6,1,0,7,28,58,6,1,91,2,8,2,11,79,8,0,62,20,2,5,0,3,8,0,26,16,36,14,8,3,12,33,29,15,8,0,23,67,2,10,0,13,76,1,66,0,21,13,43,1,55,1,85,1,13,1,42,0,28,30,99,0,1,0,94,1,5,0,12,0,1,1,8,28,50,12,0,2,3,7,24,52,14,0,32,39,11,4,14,0,1,6,24,55,14,0,3,29,24,30,70,5,15,10,70,5,5,20,70,2,15,13,16,0,55,29,71,0,10,19,91,0,3,0,1,2,0,0,3,37,0,2,1,5,6,0,4,8,10,0,2,2,2,2,5,14,26,1,45,28,0,0,26,1,12,13,8,16,9,11,4,26,5,16,30,23,26,4,12,24,23,9,2,3.870967741935484,3.7035292670988937,2.7142857142857144,1.9760470401187071,14.347826086956522,3.567937643532044,2.411764705882353,1.025572924958228
HU,HUN,Hungary,Veszpr<c3><a9>m,2020-12-25,2020-12-23,100,2,7158.125259750961,2,7158.125259750961,27,97,437321.6801215739,76,2,2,96,2,13,85,2,3,95,1,17,82,1,21,78,1,13,86,2,4,94,2,3,95,2,4,94,2,2,96,2,3,95,3,7,90,2,1,97,1,14,85,98,0,0,2,87,1,1,11,97,0,1,2,83,1,3,13,79,1,1,19,87,0,4,9,96,0,0,4,97,0,1,2,96,0,0,4,98,0,2,0,97,0,1,2,93,0,2,5,99,1,0,0,86,1,4,9,2,1,10,87,90,0,2,8,2,0,30,68,70,1,10,19,90,2,8,0,90,0,1,9,0,99,1,0,0,13,0,15,72,100,0,0,0,0,0,4,1,23,36,19,17,6,8,10,55,21,6,5,31,42,16,6,7,31,39,17,6,6,13,35,40,6,7,4,25,58,0,87,5,1,7,87,6,0,7,87,4,3,6,87,5,1,7,87,6,0,7,87,6,1,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,6,4,23,67,6,1,57,36,6,5,12,77,6,2,52,40,6,4,5,85,6,4,8,82,6,1,52,41,48,1,30,14,3,4,7,1,0,3,28,61,7,1,92,0,8,2,8,82,8,0,54,22,7,1,1,7,8,0,38,17,25,12,8,1,10,43,20,18,8,0,20,68,4,10,1,23,62,4,77,0,15,8,43,0,56,1,88,0,11,1,48,0,25,27,95,0,3,2,92,0,7,1,11,1,1,3,4,19,61,11,0,0,4,5,18,62,11,0,36,35,13,5,11,0,3,12,24,50,11,0,9,22,32,26,70,2,25,3,70,5,8,17,70,4,10,16,13,1,45,41,59,0,15,26,85,1,4,0,2,1,0,0,7,40,0,2,3,1,7,3,0,5,14,0,1,1,3,1,3,16,22,1,46,30,0,1,22,0,4,4,15,19,18,15,3,23,4,10,43,20,23,4,7,37,19,10,0,4.17948717948718,4.0966725578063885,3.125,1.3562026818605375,14.393333333333333,3.5118461046952305,2.2816901408450705,1.123554291288515
HU,HUN,Hungary,Zala,2020-12-25,2020-12-22,100,0,0,0,0,6,95,538981.216120238,71,0,0,100,0,11,89,0,2,98,0,23,77,0,12,88,0,10,90,0,5,95,0,2,98,0,7,93,0,1,99,0,2,98,0,7,93,0,5,95,0,15,85,100,0,0,0,89,2,1,8,98,0,0,2,77,1,1,21,88,1,1,10,90,1,1,8,95,1,0,4,98,0,0,2,93,1,0,6,99,0,1,0,98,0,0,2,93,1,1,5,95,0,1,4,85,1,5,9,3,2,5,90,95,0,2,3,3,1,24,72,76,0,6,18,94,4,2,0,94,0,1,5,0,99,0,1,0,10,0,17,73,100,0,0,0,0,0,5,1,18,29,34,13,6,5,22,50,17,6,8,34,34,18,6,9,25,35,25,6,7,14,43,30,6,8,4,20,62,0,84,5,2,9,84,4,5,7,84,3,5,8,84,6,0,10,84,5,2,9,84,5,2,9,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,7,3,25,65,7,3,49,41,7,7,13,73,7,3,56,34,7,4,2,87,7,4,6,83,9,0,50,41,50,0,34,12,1,3,9,2,0,5,31,53,9,3,87,1,10,0,13,77,10,0,69,11,2,2,2,4,10,0,37,15,27,11,10,2,14,42,19,13,10,0,17,71,2,11,1,16,72,0,75,1,16,8,51,1,47,1,87,0,13,0,44,1,32,23,98,1,0,1,94,0,5,1,14,2,2,1,5,20,56,14,1,1,1,8,15,60,15,3,32,42,4,4,15,2,2,10,20,51,15,1,5,26,23,30,69,0,23,8,69,6,9,16,69,5,12,14,16,1,50,33,67,0,12,21,89,0,0,2,0,5,1,0,3,40,0,2,0,3,8,2,3,8,9,1,3,1,3,4,4,9,27,0,37,35,1,0,27,0,2,5,11,22,19,9,5,28,4,7,35,26,28,3,5,27,26,8,3,3.888888888888889,3.5438298715838714,1.3333333333333333,0.5773502691896257,14.249999999999998,3.33401734275499,2.417910447761194,0.955831444049967
HU,HUN,Hungary,-99,2020-12-26,2020-12-25,100,1,2192.63834566801,1,2192.63834566801,11,95,438261.07269239554,65,2,1,97,1,11,88,1,1,98,1,15,84,1,12,87,2,7,91,1,6,93,2,4,94,1,1,98,2,2,96,1,3,96,1,7,92,1,1,98,1,10,89,99,1,0,0,89,1,1,9,99,0,0,1,85,2,4,9,88,3,2,7,93,2,1,4,94,1,1,4,96,2,1,1,99,0,1,0,98,1,0,1,97,1,0,2,93,0,1,6,99,1,0,0,90,2,4,4,3,2,6,89,94,0,3,3,3,5,24,68,76,2,4,18,96,0,4,0,96,0,1,3,0,99,1,0,0,14,1,17,68,100,0,0,0,0,0,5,0,26,28,24,17,9,17,23,36,15,9,14,28,34,15,9,18,26,29,18,9,21,16,25,29,9,23,11,18,39,0,83,12,1,4,83,8,3,6,83,6,5,6,83,11,1,5,83,9,3,5,83,9,3,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,12,7,17,64,12,5,33,50,12,8,14,66,12,5,54,29,12,8,5,75,12,3,17,68,12,0,47,41,53,0,28,11,4,4,13,1,0,7,16,63,13,0,87,0,16,1,7,76,16,0,63,9,4,1,1,6,16,0,31,30,14,9,16,3,16,33,18,14,17,0,19,64,0,19,1,14,65,1,83,0,13,4,67,1,32,0,86,0,13,1,46,0,29,25,95,0,3,2,83,1,16,0,19,3,1,2,7,27,41,19,1,0,1,11,22,46,20,2,45,23,5,5,20,0,6,12,17,45,20,0,20,19,14,27,61,9,26,4,61,13,16,10,61,10,19,10,21,2,34,43,57,0,21,22,79,0,4,1,2,5,0,1,8,45,0,2,1,1,6,2,2,6,8,0,3,0,2,2,3,17,32,4,28,36,0,0,32,1,1,0,9,10,23,19,5,35,5,20,20,20,35,5,11,22,18,6,3,3.9259259259259256,4.103712446121906,2.25,0.9574271077563381,13.036363636363637,3.8728094709981793,2.107142857142857,0.9849517095420821
HU,HUN,Hungary,B<c3><a1>cs-Kiskun,2020-12-26,2020-12-25,100,0,0,0,0,19,98,487068.4005218723,73,0,0,100,0,5,95,0,1,99,0,12,88,0,18,82,0,9,91,0,7,93,0,0,100,0,1,99,0,2,98,0,3,97,1,12,87,0,1,99,0,7,93,100,0,0,0,95,1,0,4,99,0,0,1,88,1,1,10,82,1,3,14,91,1,1,7,93,1,1,5,100,0,0,0,99,0,0,1,98,0,1,1,97,0,1,2,88,0,2,10,99,0,0,1,93,1,2,4,1,1,11,87,89,0,2,9,2,1,26,71,74,0,10,16,90,0,10,0,90,0,1,9,0,99,0,1,0,13,0,10,77,100,0,0,0,0,0,3,1,23,27,24,22,6,7,24,41,22,6,8,33,30,23,6,9,25,36,24,6,12,12,36,34,6,13,5,26,50,0,90,3,1,6,90,2,2,6,90,3,2,5,90,2,2,6,90,3,0,7,90,2,3,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,8,1,8,83,8,1,33,58,8,2,7,83,8,1,57,34,8,1,3,88,8,0,4,88,9,0,53,38,47,0,36,14,3,0,9,1,1,6,31,52,9,2,89,0,10,1,12,77,10,0,67,16,2,1,1,3,10,0,28,21,31,10,10,0,8,36,27,19,10,0,23,67,0,11,1,14,73,1,92,0,4,4,67,0,31,2,93,0,6,1,43,0,25,32,97,0,2,1,96,0,3,1,11,2,0,0,6,25,56,11,1,0,0,6,20,62,13,0,28,44,8,7,13,0,4,8,26,49,13,0,8,32,24,23,61,6,19,14,61,6,8,25,61,1,18,20,15,1,44,40,60,0,12,28,89,0,1,0,0,1,1,2,6,45,0,3,4,5,4,2,4,8,7,0,0,2,3,0,1,12,25,1,37,37,0,0,25,0,2,7,13,15,19,14,5,27,3,16,31,23,27,3,7,24,31,7,1,2.65625,2.417801920967112,1.7777777777777777,1.3017082793177757,14.118055555555555,3.3086453714553947,2.36231884057971,1.028577179648058
HU,HUN,Hungary,B<c3><a9>k<c3><a9>s,2020-12-26,2020-12-23,100,0,0,0,0,17,97,493651.97749559453,71,1,0,99,1,12,87,2,1,97,1,15,84,1,16,83,1,9,90,1,4,95,1,5,94,1,4,95,1,3,96,2,7,91,1,13,86,1,0,99,1,9,90,100,0,0,0,88,1,2,9,99,0,0,1,85,2,3,10,84,1,3,12,91,2,3,4,96,0,1,3,95,1,1,3,96,1,1,2,97,0,3,0,93,1,2,4,87,1,3,9,100,0,0,0,91,0,6,3,2,1,11,86,89,0,3,8,2,2,33,63,67,2,16,15,84,3,12,1,84,0,1,15,0,99,0,1,0,22,0,14,64,100,0,0,0,0,0,6,0,16,29,30,19,12,6,13,47,22,12,4,30,39,15,12,7,28,35,18,12,8,15,31,34,12,8,6,24,50,0,89,1,1,9,89,2,2,7,89,1,5,5,89,2,1,8,89,2,1,8,89,2,3,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,13,0,18,69,13,0,34,53,13,0,11,76,13,0,47,40,13,0,2,85,13,1,6,80,14,0,47,39,53,0,30,10,5,2,15,0,0,7,22,56,15,1,84,0,16,2,10,72,16,0,63,11,3,2,1,4,16,0,30,12,30,12,16,3,7,31,31,12,16,0,18,63,3,19,1,16,61,3,82,0,16,2,67,0,33,0,90,0,7,3,54,0,19,27,98,0,1,1,94,0,4,2,20,0,2,1,11,23,43,20,0,1,0,7,20,52,22,1,35,34,7,1,22,0,4,10,21,43,22,0,8,24,21,25,68,2,22,8,68,3,9,20,68,2,15,15,22,1,32,45,55,0,19,26,81,0,1,0,1,3,4,0,10,49,0,3,4,2,6,0,1,7,5,3,3,2,3,1,1,10,28,4,30,38,0,0,28,0,7,10,8,14,21,9,3,29,1,14,43,13,29,1,9,33,20,6,2,3.9473684210526314,3.3847621052662014,1.8571428571428572,1.0690449676496976,14.417910447761194,3.5893329072588984,2.3529411764705883,0.9889645705793924
HU,HUN,Hungary,Baranya,2020-12-26,2020-12-25,100,0,0,0,0,14,95,360496.2112345164,75,0,0,100,0,9,91,0,3,97,0,20,80,0,17,83,0,9,91,0,7,93,0,0,100,0,4,96,0,1,99,0,3,97,0,16,84,0,2,98,0,6,94,100,0,0,0,91,0,1,8,97,0,0,3,80,0,2,18,83,0,1,16,91,0,3,6,93,0,1,6,100,0,0,0,96,0,2,2,99,0,1,0,97,0,1,2,84,0,0,16,98,0,0,2,94,0,2,4,3,2,10,85,90,0,4,6,3,2,36,59,64,2,7,27,93,0,7,0,93,0,1,6,0,99,0,1,0,15,0,13,72,100,0,0,0,0,0,5,0,20,25,27,23,8,3,23,47,19,8,4,34,35,19,8,9,21,43,19,8,10,10,31,41,8,10,5,20,57,0,88,2,2,8,88,3,2,7,88,2,5,5,88,3,0,9,88,3,2,7,88,3,1,8,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,10,1,12,77,10,2,28,60,10,3,4,83,10,1,60,29,10,1,2,87,10,1,7,82,10,0,56,34,44,0,35,18,3,0,10,1,0,5,24,60,10,1,89,0,13,1,7,79,13,1,61,13,1,1,0,10,13,1,32,18,26,10,14,1,13,41,19,12,15,0,24,60,1,16,1,17,64,2,88,0,10,2,72,1,27,0,96,0,4,0,40,0,31,29,98,0,1,1,93,0,6,1,17,0,3,3,15,15,47,17,0,1,3,11,14,54,17,1,40,30,4,8,17,0,1,11,25,46,17,0,16,21,22,24,63,0,29,8,63,2,16,19,63,5,13,19,17,2,38,43,57,0,20,23,81,0,2,0,3,4,3,1,6,43,1,2,5,4,5,1,3,3,6,0,4,2,2,0,4,15,23,0,31,46,0,0,23,0,5,12,16,18,13,11,2,24,4,38,22,12,24,3,9,34,21,6,3,3.4204545454545454,3.7771392857468657,1.5,0.7559289460184544,14.374999999999998,2.9903012236981583,2.4166666666666665,0.9306971489687671
