ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
GT,GTM,Guatemala,Guatemala,2020-12-26,2020-12-26,153,1,6228.4916085225295,0,0,56,149,1643423.2454683336,106,1,2,150,0,20,133,0,5,148,1,14,138,0,37,116,0,21,132,0,26,127,0,5,148,0,8,145,0,1,152,1,16,136,0,30,123,0,6,147,0,17,136,151,0,0,2,133,1,8,11,148,0,3,2,139,0,4,10,116,1,18,18,132,0,13,8,127,1,15,10,148,1,2,2,145,2,5,1,152,0,0,1,137,0,6,10,123,0,13,17,147,1,3,2,136,1,11,5,4,0,20,129,134,0,4,15,5,2,35,111,118,0,9,26,144,0,9,0,144,5,4,0,148,0,2,3,17,0,18,118,153,0,0,0,0,6,0,65,53,17,12,11,4,80,36,22,11,5,81,39,17,11,4,84,32,22,11,4,66,44,28,11,5,11,43,83,135,1,10,7,135,5,5,8,135,3,9,6,135,5,3,10,135,5,3,10,135,5,5,8,153,0,0,0,153,0,0,0,153,0,0,0,153,0,0,0,153,0,0,0,153,0,0,0,153,0,0,0,153,0,0,0,153,0,0,0,153,0,0,0,153,0,0,0,153,0,0,0,12,3,36,102,12,1,91,49,12,3,47,91,12,2,87,52,12,3,30,108,12,3,17,121,15,2,92,44,61,0,50,28,8,6,16,1,2,13,42,79,16,0,137,0,18,0,13,122,18,1,119,11,1,0,0,3,18,1,21,45,51,17,18,0,47,67,19,2,21,0,23,96,13,29,2,27,84,11,118,1,32,2,62,0,90,1,106,1,45,1,67,0,58,28,123,0,25,5,136,0,17,0,30,1,2,9,11,35,65,30,1,2,9,18,21,72,32,0,52,47,9,13,32,0,11,32,41,37,32,0,25,39,42,15,89,5,52,7,89,11,34,19,89,15,32,17,32,1,62,58,95,1,25,32,129,0,7,1,5,3,1,1,6,69,0,3,10,4,7,3,5,5,4,0,6,8,5,2,3,19,42,0,53,56,0,2,42,0,25,38,29,10,6,3,0,43,3,95,9,3,43,0,16,21,43,21,9,2.472972972972973,1.713947402311305,3,1.7489492643904125,13.969696969696967,5.9478250963376,3.0654205607476634,1.603481048345585
GT,GTM,Guatemala,Quezaltenango,2020-12-26,2020-12-22,100,0,0,0,0,59,95,2385134.3786506285,64,0,0,100,0,10,90,0,1,99,0,11,89,0,16,84,0,14,86,0,21,79,0,6,94,0,1,99,0,2,98,0,11,89,0,17,83,0,2,98,0,18,82,100,0,0,0,90,1,8,1,99,0,0,1,89,0,8,3,84,0,8,8,86,0,9,5,79,0,15,6,94,0,3,3,99,0,1,0,98,0,2,0,89,1,9,1,83,0,9,8,98,0,2,0,82,0,10,8,5,0,20,75,80,0,4,16,6,0,26,68,74,0,5,21,95,0,5,0,95,2,3,0,98,0,1,1,11,3,9,77,100,0,0,0,0,7,0,47,33,10,3,8,1,56,25,10,8,3,58,19,12,8,3,58,18,13,8,3,42,29,18,8,3,10,18,61,91,6,1,2,91,4,4,1,91,0,5,4,91,6,1,2,91,6,1,2,91,6,1,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,8,1,27,64,8,2,56,34,8,1,36,55,8,1,41,50,8,2,13,77,8,1,14,77,12,0,51,37,49,0,38,10,1,2,14,0,0,6,33,47,14,0,85,1,15,1,8,76,15,0,79,4,0,1,0,1,15,0,23,25,24,13,16,1,32,34,15,2,17,1,13,62,7,23,2,18,44,13,74,0,26,0,46,0,54,0,65,0,35,0,59,0,30,11,88,0,10,2,86,0,14,0,23,1,0,4,9,19,44,23,1,0,1,8,25,42,24,3,31,29,9,4,24,1,13,13,25,24,24,0,17,24,23,12,59,4,34,3,59,13,17,11,59,10,16,15,25,0,48,27,73,0,13,14,90,1,0,0,1,3,0,0,5,43,0,2,7,0,8,2,0,8,2,0,5,6,3,1,1,12,33,1,30,35,0,1,33,0,19,18,17,8,3,1,1,36,2,43,14,5,36,1,14,10,20,11,8,2.5434782608695654,1.4252722428306723,3.4375000000000004,1.998958061924595,12.3,5.966857617750609,3.1166666666666667,1.5523810761696748
GT,GTM,Guatemala,-99,2020-12-27,2020-12-24,100,1,999.741042674969,1,999.741042674969,23,86,2043841.134849949,55,1,3,96,3,6,91,2,1,97,1,9,90,2,12,86,3,9,88,1,15,84,2,7,91,2,2,96,3,1,96,2,5,93,2,20,78,3,2,95,3,16,81,97,2,1,0,94,1,3,2,99,0,1,0,91,0,8,1,88,1,7,4,91,2,4,3,85,1,9,5,93,2,4,1,98,0,1,1,99,1,0,0,95,0,4,1,80,3,9,8,98,1,1,0,84,3,8,5,14,0,10,76,90,0,1,9,17,3,14,66,86,0,3,11,97,1,2,0,97,1,2,0,99,0,1,0,24,3,3,70,100,0,0,0,0,19,0,34,24,9,14,22,5,41,16,16,22,11,40,14,13,22,9,47,14,8,22,12,34,19,13,22,15,7,11,45,97,1,1,1,97,1,0,2,97,1,0,2,97,1,0,2,97,1,0,2,97,0,1,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,24,6,18,52,24,2,54,20,24,6,24,46,24,4,31,41,24,5,12,59,24,4,13,59,24,0,40,36,60,0,25,9,3,3,25,5,1,6,21,42,25,4,70,1,26,1,8,65,26,0,66,3,1,0,0,4,26,0,23,23,16,12,26,4,28,31,10,1,27,0,8,55,10,29,3,11,47,10,82,0,18,0,46,1,53,0,76,1,23,0,69,1,24,6,88,0,11,1,87,0,12,1,32,1,0,3,7,18,39,32,2,2,2,9,15,38,32,2,34,14,6,12,32,0,14,17,15,22,32,2,24,19,6,17,57,3,39,1,57,14,20,9,57,10,27,6,33,1,36,30,70,0,16,14,85,2,3,0,0,3,1,2,4,50,1,4,6,2,2,1,0,5,5,0,2,3,1,0,1,17,41,3,20,32,0,4,41,0,9,10,12,15,9,4,0,45,6,22,21,6,45,3,10,12,17,9,4,3.2857142857142856,2.3482516292522218,3.166666666666666,1.4719601443879744,11.772727272727273,5.713564587539296,3.489795918367347,1.5695334893367707
GT,GTM,Guatemala,Guatemala,2020-12-27,2020-12-27,195,1,4903.72011322606,0,0,70,183,1845707.5924720082,139,2,1,192,1,17,177,1,6,188,1,20,174,1,57,137,0,25,170,1,26,168,1,7,187,1,12,182,0,4,191,0,18,177,1,39,155,0,9,186,0,30,165,194,1,0,0,178,1,9,7,189,1,5,0,175,0,10,10,138,4,27,26,170,2,12,11,169,1,15,10,188,0,6,1,183,0,6,6,191,0,4,0,177,3,8,7,156,0,18,21,186,1,4,4,165,2,17,11,12,0,26,157,169,0,4,22,16,1,47,131,148,3,8,36,187,0,8,0,187,4,4,0,191,0,1,3,28,4,13,150,195,0,0,0,0,19,0,81,59,27,9,24,8,88,49,26,24,6,97,38,30,24,5,101,36,29,24,7,77,50,37,24,8,22,27,114,183,7,1,4,183,7,3,2,183,5,5,2,183,7,1,4,183,8,3,1,183,7,5,0,195,0,0,0,195,0,0,0,195,0,0,0,195,0,0,0,195,0,0,0,195,0,0,0,195,0,0,0,195,0,0,0,195,0,0,0,195,0,0,0,195,0,0,0,195,0,0,0,26,1,55,113,26,0,116,53,26,0,79,90,26,0,97,72,26,2,22,145,26,0,21,148,28,0,96,71,99,0,53,29,9,5,28,1,2,8,63,93,28,0,166,1,28,2,17,148,28,0,152,9,1,2,0,3,28,0,38,61,47,21,28,2,48,88,25,4,28,0,22,130,15,35,4,32,112,12,140,0,54,1,79,0,113,3,116,0,76,3,99,0,68,28,173,0,17,5,174,0,19,2,38,1,0,5,26,36,89,38,1,3,13,25,32,83,43,1,63,52,20,16,43,2,24,29,50,47,43,0,41,54,34,23,100,8,70,17,100,19,42,34,100,15,53,27,45,0,77,73,122,0,27,46,168,2,9,1,3,5,1,0,6,91,0,1,15,2,13,3,4,8,5,0,7,11,1,0,5,29,50,2,67,75,1,0,50,0,34,41,32,24,12,2,0,55,2,110,16,12,55,1,19,41,49,25,5,2.48,1.6359595460657443,2.9130434782608696,1.7815479346563374,13.717557251908397,5.495837318665416,2.948148148148148,1.7590640257094259
GT,GTM,Guatemala,Quezaltenango,2020-12-27,2020-12-23,100,0,0,0,0,50,93,2364780.6135980287,65,0,0,100,0,7,93,0,1,99,0,12,88,0,18,82,0,18,82,0,18,82,0,8,92,0,1,99,0,2,98,0,12,88,0,17,83,0,1,99,0,17,83,100,0,0,0,93,0,5,2,99,0,0,1,88,0,8,4,82,0,8,10,82,0,11,7,82,0,12,6,92,0,4,4,99,0,1,0,98,0,2,0,88,1,9,2,83,0,8,9,99,0,1,0,83,0,10,7,7,0,19,74,81,0,6,13,8,0,23,69,77,1,6,16,94,1,5,0,94,2,4,0,98,0,1,1,15,3,7,75,100,0,0,0,0,8,0,42,35,12,3,8,1,55,25,11,8,3,58,19,12,8,3,56,21,12,8,2,46,28,16,8,2,12,18,60,93,3,2,2,93,2,3,2,93,0,3,4,93,3,1,3,93,3,2,2,93,3,1,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,8,2,28,62,8,2,59,31,8,3,36,53,8,3,41,48,8,4,18,70,8,2,12,78,12,0,51,37,49,0,36,11,1,3,14,0,0,5,31,50,14,0,84,2,15,1,10,74,15,0,78,5,0,1,0,1,15,1,20,28,24,12,16,0,29,36,16,3,17,1,14,62,6,20,1,21,44,14,73,0,27,0,43,0,57,0,65,0,35,0,59,0,26,15,83,0,14,3,88,0,12,0,20,1,0,3,9,20,47,20,1,0,2,9,26,42,21,3,30,30,11,5,21,0,11,16,30,22,21,0,18,28,23,10,54,4,38,4,54,16,16,14,54,11,20,15,22,0,49,29,71,0,12,17,91,1,0,0,0,3,0,0,5,43,1,1,7,0,11,1,0,8,1,0,3,5,3,1,1,14,32,1,29,37,0,1,32,0,19,21,16,8,4,0,0,35,1,41,16,7,35,1,12,12,19,13,8,2.2954545454545454,1.3906589613284217,3.066666666666667,1.9073791542572853,12.419354838709678,5.773166835857798,3.096774193548387,1.5226129118469702
GT,GTM,Guatemala,Sacatep<c3><a9>quez,2020-12-27,2020-12-21,100,0,0,0,0,48,96,1371285.437714383,67,2,1,97,1,8,91,1,1,98,2,12,86,2,26,72,1,18,81,1,16,83,2,2,96,2,7,91,1,1,98,1,10,89,2,21,77,1,7,92,1,21,78,99,0,0,1,92,0,3,5,99,0,1,0,88,0,7,5,74,1,11,14,82,1,7,10,84,2,9,5,98,0,2,0,93,0,7,0,99,0,0,1,90,1,4,5,79,1,10,10,93,0,3,4,79,1,13,7,4,0,14,82,86,0,6,8,6,2,27,65,73,0,6,21,94,0,6,0,94,1,5,0,99,0,1,0,14,2,8,76,100,0,0,0,0,8,1,50,26,5,10,17,2,44,22,15,17,7,43,20,13,17,3,55,12,13,17,7,41,18,17,17,6,10,15,52,92,3,3,2,92,3,1,4,92,1,5,2,92,3,0,5,92,3,2,3,92,3,2,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,11,2,29,58,11,0,63,26,11,2,34,53,11,1,50,38,11,1,18,70,11,0,18,71,13,0,57,30,43,0,41,9,4,3,16,0,0,6,28,50,16,0,84,0,17,1,6,76,17,0,75,6,0,0,0,2,17,0,13,25,29,16,18,1,29,38,11,3,18,0,12,60,10,21,2,14,55,8,71,0,29,0,37,0,63,0,66,1,30,3,50,0,35,15,82,0,13,5,82,0,18,0,23,0,0,1,10,23,43,23,0,0,4,12,13,48,23,0,39,26,3,9,23,0,14,17,21,25,23,0,28,30,7,12,42,3,43,12,42,13,21,24,42,13,33,12,23,3,32,42,58,0,19,23,85,0,3,0,1,2,1,0,8,53,0,2,8,2,7,2,1,2,2,0,4,1,4,2,0,10,30,2,34,34,0,0,30,1,20,23,13,8,3,1,1,32,1,16,44,7,32,1,8,17,18,12,12,2.517857142857143,1.7683178594212219,3.428571428571428,2.7655653397364612,13.07142857142857,5.40598320177562,2.7761194029850746,1.7565539224562985
GT,GTM,Guatemala,-99,2020-12-28,2020-12-24,100,1,999.741042674969,1,999.741042674969,23,85,2062248.1933508588,53,1,3,96,3,6,91,2,1,97,1,10,89,2,13,85,3,9,88,1,15,84,2,7,91,2,2,96,3,1,96,2,5,93,2,20,78,3,2,95,3,16,81,97,2,1,0,94,1,3,2,99,0,1,0,90,0,8,2,87,1,7,5,91,2,4,3,85,1,9,5,93,2,4,1,98,0,1,1,99,1,0,0,95,0,4,1,80,3,9,8,98,1,1,0,84,3,8,5,15,0,10,75,90,0,1,9,18,3,14,65,86,0,2,12,98,1,1,0,98,1,1,0,99,0,1,0,24,3,3,70,100,0,0,0,0,20,0,35,24,8,13,23,5,41,15,16,23,11,39,14,13,23,9,45,14,9,23,12,32,19,14,23,14,8,11,44,97,1,1,1,97,1,0,2,97,1,0,2,97,1,0,2,97,1,0,2,97,0,1,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,25,6,18,51,25,2,54,19,25,6,25,44,25,4,31,40,25,5,12,58,25,4,14,57,26,0,41,33,59,0,25,10,3,3,27,5,1,6,19,42,27,4,68,1,28,1,9,62,28,0,64,3,1,0,0,4,28,0,21,23,16,12,28,3,27,31,10,1,29,0,7,54,10,30,3,10,47,10,82,0,18,0,47,1,52,0,75,1,24,0,69,1,25,5,88,0,11,1,86,0,13,1,33,1,0,3,7,19,37,33,2,2,2,9,16,36,33,2,34,14,6,11,33,0,14,17,15,21,33,2,24,19,6,16,58,3,38,1,58,13,20,9,58,9,27,6,35,1,36,28,72,0,15,13,86,2,3,0,0,3,1,1,4,51,1,4,6,2,2,1,0,5,5,0,2,3,1,0,1,16,43,3,20,30,0,4,43,0,8,10,11,15,9,4,0,47,6,21,21,5,47,3,9,12,16,9,4,3.2857142857142856,2.3482516292522218,3.166666666666666,1.4719601443879744,12.071428571428571,5.545346795299585,3.48936170212766,1.5161785547242566
GT,GTM,Guatemala,Guatemala,2020-12-28,2020-12-27,100,1,4903.72011322606,0,0,31,92,1052264.1476228174,54,0,1,99,0,11,89,0,4,96,0,13,87,0,23,77,0,16,84,0,16,84,0,6,94,1,8,91,0,3,97,0,14,86,0,19,81,0,5,95,0,15,85,99,1,0,0,89,1,4,6,96,1,3,0,87,0,5,8,77,4,9,10,84,2,6,8,84,1,9,6,94,0,4,2,92,0,4,4,97,0,3,0,86,2,7,5,81,0,9,10,95,1,1,3,85,2,7,6,8,0,15,77,86,0,3,11,12,1,25,62,75,1,4,20,96,0,4,0,96,3,1,0,97,0,1,2,18,2,8,72,100,0,0,0,0,14,0,45,25,13,3,18,6,45,23,8,18,3,49,16,14,18,3,50,15,14,18,5,42,19,16,18,6,11,12,53,93,4,1,2,93,4,2,1,93,4,3,0,93,5,0,2,93,5,2,0,93,4,3,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,21,0,26,53,21,0,54,25,21,0,39,40,21,0,41,38,21,0,10,69,21,0,9,70,23,0,40,37,60,0,25,11,2,2,23,0,1,5,32,39,23,0,77,0,23,2,6,69,23,0,67,7,0,1,0,2,23,0,17,31,21,8,23,2,23,42,9,1,23,0,11,58,8,29,3,17,46,5,74,0,26,0,46,0,54,0,61,0,38,1,60,0,28,12,90,0,8,2,91,0,9,0,32,1,0,1,10,18,38,32,1,2,4,13,15,33,37,0,30,22,6,5,37,1,11,12,20,19,37,0,18,26,10,9,56,5,33,6,56,12,22,10,56,11,23,10,38,0,33,29,71,0,11,18,89,1,3,1,1,1,1,0,3,56,0,1,6,1,6,0,1,2,2,0,3,4,0,0,1,17,42,1,27,29,1,0,42,0,15,12,11,12,8,0,0,45,1,44,6,4,45,0,4,17,21,9,4,2.549019607843137,1.7699008502195377,2.3333333333333335,1.4354811251305468,13.25,5.554983630691894,2.9411764705882355,1.7710083535193428
GT,GTM,Guatemala,Quezaltenango,2020-12-28,2020-12-23,100,0,0,0,0,49,93,2296370.0285575446,65,0,0,100,0,7,93,0,1,99,0,12,88,0,18,82,0,18,82,0,18,82,0,8,92,0,1,99,0,2,98,0,12,88,0,17,83,0,1,99,0,17,83,100,0,0,0,93,0,5,2,99,0,0,1,88,0,8,4,82,0,8,10,82,0,11,7,82,0,12,6,92,0,4,4,99,0,1,0,98,0,2,0,88,1,9,2,83,0,8,9,99,0,1,0,83,0,10,7,7,0,18,75,82,0,6,12,8,0,23,69,77,1,6,16,94,1,5,0,94,2,4,0,98,0,1,1,15,3,7,75,100,0,0,0,0,8,0,42,35,12,3,8,1,54,26,11,8,3,57,20,12,8,3,55,22,12,8,2,45,29,16,8,2,12,18,60,93,3,2,2,93,2,3,2,93,0,3,4,93,3,1,3,93,3,2,2,93,3,1,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,8,2,27,63,8,2,59,31,8,3,37,52,8,3,40,49,8,4,18,70,8,2,12,78,12,0,51,37,49,0,36,11,1,3,14,0,0,5,31,50,14,0,84,2,15,1,10,74,15,0,78,5,0,1,0,1,15,1,20,29,24,11,16,0,29,36,16,3,17,1,14,61,7,21,1,21,43,14,74,0,26,0,43,0,57,0,64,0,36,0,60,0,25,15,83,0,14,3,88,0,12,0,21,1,0,3,9,20,46,21,1,0,2,9,26,41,22,3,29,30,11,5,22,0,11,16,30,21,22,0,18,27,23,10,55,3,38,4,55,15,16,14,55,11,19,15,23,0,48,29,71,0,12,17,91,1,0,0,0,3,0,0,5,44,1,1,7,0,11,1,0,8,1,0,3,4,3,1,1,14,33,1,28,37,0,1,33,0,19,21,16,7,4,0,0,35,1,41,16,7,35,1,12,12,19,13,8,2.2954545454545454,1.3906589613284217,3.066666666666667,1.9073791542572853,12.37704918032787,5.811379453068005,3.096774193548387,1.5226129118469702
GT,GTM,Guatemala,Sacatep<c3><a9>quez,2020-12-28,2020-12-21,100,0,0,0,0,48,96,1365871.6574537545,66,2,1,97,1,8,91,1,1,98,2,12,86,2,25,73,1,18,81,1,16,83,2,2,96,2,7,91,1,2,97,1,11,88,2,21,77,1,7,92,1,21,78,99,0,0,1,92,0,3,5,99,0,1,0,88,0,7,5,75,1,11,13,82,1,7,10,84,2,9,5,98,0,2,0,93,0,7,0,98,0,1,1,89,2,4,5,79,1,10,10,93,0,3,4,79,2,13,6,4,0,14,82,86,0,6,8,6,2,27,65,73,0,6,21,94,0,6,0,94,1,5,0,99,0,1,0,14,2,8,76,100,0,0,0,0,8,1,50,26,5,10,17,2,44,22,15,17,7,43,20,13,17,3,55,12,13,17,7,41,18,17,17,6,10,15,52,92,3,3,2,92,3,1,4,92,1,5,2,92,3,0,5,92,3,2,3,92,3,2,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,12,2,28,58,12,0,62,26,12,2,33,53,12,1,49,38,12,1,18,69,12,0,18,70,14,0,56,30,44,0,41,8,4,3,17,0,0,6,27,50,17,0,83,0,18,1,6,75,18,0,74,6,0,0,0,2,18,0,13,25,28,16,19,1,29,37,11,3,19,0,12,60,9,22,2,14,54,8,72,0,28,0,38,0,62,0,67,1,29,3,51,0,34,15,82,0,13,5,82,0,18,0,24,0,0,1,9,23,43,24,0,0,4,12,12,48,24,0,38,26,3,9,24,0,14,16,21,25,24,0,27,30,7,12,43,3,42,12,43,13,21,23,43,13,32,12,24,3,32,41,59,0,18,23,86,0,2,0,1,2,1,0,8,54,0,2,8,1,7,2,1,2,2,0,4,1,4,2,0,10,31,2,33,34,0,0,31,1,20,22,13,8,3,1,1,33,1,16,43,7,33,1,8,17,18,12,11,2.5535714285714284,1.7778397806648063,3.428571428571428,2.7655653397364612,13.024193548387098,5.4369918600743805,2.727272727272727,1.7235513832286435
